long,lat,nro_registro,comuna,calle_nombre,calle_altura,calle_chapa,nombre_cientifico,ancho_acera,estado_plantera,ubicacion_plantera,nivel_plantera,diametro_altura_pecho,altura_arbol
-58.50916439877629,-34.577086497761805,154746,12,Albarellos Av.,2800.0,2823.0,Jacaranda,5.8,Ocupada,Regular,A nivel,31,9
-58.50916439877629,-34.577086497761805,154749,12,Albarellos Av.,2800.0,2823.0,Platanus,5.8,Ocupada,Regular,A nivel,61,15
-58.5090114552294,-34.576995856975195,154750,12,Albarellos Av.,2800.0,2809.0,Platanus,5.8,Ocupada,Regular,A nivel,12,4
-58.5090875343212,-34.577040944698304,154751,12,Albarellos Av.,2800.0,2811.0,Platanus,5.8,Ocupada,Regular,A nivel,70,16
-58.5087027679511,-34.5768157474969,154517,12,Albarellos Av.,2700.0,2791.0,Lagerstroemia,6,Ocupada,Fuera de línea,Elevada,15,5
-58.508549336051,-34.5767248111413,154522,12,Albarellos Av.,2700.0,2775.0,Platanus,6,Ocupada,Regular,A nivel,86,17
-58.5097766335323,-34.577451996991,154795,12,Albarellos Av.,2800.0,2883.0,Ficus,5.8,Ocupada,Regular,A nivel,28,4
-58.509700276114394,-34.5774067424184,154798,12,Albarellos Av.,2800.0,2879.0,Platanus,5.8,Ocupada,Regular,A nivel,80,16
-58.509700276114394,-34.5774067424184,154799,12,Albarellos Av.,2800.0,2879.0,Ficus,5.8,Ocupada,Regular,A nivel,66,3
-58.510696645012,-34.5779970731664,155555,12,Albarellos Av.,2900.0,2935.0,Platanus,6,Ocupada,Regular,A nivel,90,17
-58.5110786706076,-34.5782234866251,155566,12,Albarellos Av.,2900.0,2985.0,Platanus,6,Ocupada,Regular,A nivel,85,17
-58.5037816222056,-34.5739063055585,156666,12,Albarellos Av.,2300.0,2367.0,Platanus,6.2,Ocupada,Regular,A nivel,52,17
-58.5037816222056,-34.5739063055585,156667,12,Albarellos Av.,2300.0,2367.0,Platanus,6.2,Ocupada,Regular,A nivel,58,18
-58.5037816222056,-34.5739063055585,156668,12,Albarellos Av.,2300.0,2367.0,Platanus,6.2,Ocupada,Regular,A nivel,39,17
-58.5037816222056,-34.5739063055585,156670,12,Albarellos Av.,2300.0,2367.0,Platanus,6.2,Ocupada,Regular,A nivel,41,17
-58.5037816222056,-34.5739063055585,156671,12,Albarellos Av.,2300.0,2367.0,Platanus,6.2,Ocupada,Regular,A nivel,36,16
-58.5037816222056,-34.5739063055585,156672,12,Albarellos Av.,2300.0,2367.0,Platanus,6.2,Ocupada,Regular,A nivel,35,15
-58.5037816222056,-34.5739063055585,156673,12,Albarellos Av.,2300.0,2367.0,Platanus,6.2,Ocupada,Regular,A nivel,45,15
-58.5037816222056,-34.5739063055585,156674,12,Albarellos Av.,2300.0,2367.0,Platanus,6.2,Ocupada,Regular,A nivel,30,15
