long,lat,nro_registro,comuna,calle_nombre,calle_altura,calle_chapa,nombre_cientifico,ancho_acera,estado_plantera,ubicacion_plantera,nivel_plantera,diametro_altura_pecho,altura_arbol
-58.437244041792,-34.623159842985395,49992,6,Alberdi Juan Bautista Av.,600.0,659.0,Tilia,3.5,Ocupada,Regular,Bajo nivel,4,3
-58.4391332087957,-34.623151403094894,49743,6,Alberdi Juan Bautista Av.,750.0,790.0,Platanus,3.6,Ocupada,Regular,Bajo nivel,38,15
-58.437244041792,-34.623159842985395,50021,6,Alberdi Juan Bautista Av.,600.0,659.0,Tilia,3.5,Ocupada,Regular,Bajo nivel,25,8
-58.437453431527395,-34.6231381690014,50022,6,Alberdi Juan Bautista Av.,600.0,677.0,Melia,3.5,Ocupada,Regular,Bajo nivel,6,4
-58.437531924367704,-34.6231315401875,50025,6,Alberdi Juan Bautista Av.,600.0,689.0,Tilia,3.5,Ocupada,Regular,Bajo nivel,8,3
-58.4285524618635,-34.6222772666581,50720,6,Alberdi Juan Bautista Av.,100.0,52.0,Ficus,2.5,Ocupada,Regular,A nivel,24,5
-58.4365680001444,-34.623156935932805,50350,6,Alberdi Juan Bautista Av.,600.0,615.0,Ficus,3.2,Ocupada,Regular,Elevada,35,8
-58.4366621846279,-34.6231653054585,50351,6,Alberdi Juan Bautista Av.,600.0,621.0,Jacaranda,3.2,Ocupada,Regular,Bajo nivel,20,7
-58.4367747290267,-34.6231584103759,50353,6,Alberdi Juan Bautista Av.,600.0,637.0,Ficus,3.2,Ocupada,Regular,Elevada,30,9
-58.44211961769171,-34.622755591914604,52484,6,Alberdi Juan Bautista Av.,1100.0,1011.0,Platanus,3.6,Ocupada,Regular,Elevada,37,17
-58.4426590006456,-34.622741243643,52493,6,Alberdi Juan Bautista Av.,1100.0,1035.0,Platanus,3.6,Ocupada,Regular,Elevada,25,14
-58.4418538483685,-34.6227608053167,52741,6,Alberdi Juan Bautista Av.,900.0,999.0,Ficus,3.6,Sobreocupada,Regular,Elevada,6,4
-58.4455470606887,-34.6240640195983,52314,6,Alberdi Juan Bautista Av.,1200.0,1235.0,Ficus,4.8,Ocupada,Regular,Elevada,26,7
-58.438962066643,-34.6230024299896,52823,6,Alberdi Juan Bautista Av.,700.0,757.0,Ficus,3.2,Ocupada,Regular,A nivel,15,7
-58.444466644709394,-34.623606313547604,53074,6,Alberdi Juan Bautista Av.,1100.0,1176.0,Platanus,4.2,Sobreocupada,Regular,A nivel,39,13
-58.440474731056995,-34.622852053547604,52602,6,Alberdi Juan Bautista Av.,800.0,885.0,Jacaranda,3.2,Ocupada,Regular,A nivel,6,5
-58.44610992123071,-34.624374621730105,52361,6,Alberdi Juan Bautista Av.,1200.0,1277.0,Tilia,4.8,Ocupada,Regular,Bajo nivel,28,14
-58.4455470606887,-34.6240640195983,52365,6,Alberdi Juan Bautista Av.,1200.0,1233.0,Tilia,4.8,Ocupada,Regular,Elevada,5,3
-58.44581466124371,-34.6242041183566,52366,6,Alberdi Juan Bautista Av.,1200.0,1265.0,Tilia,4.8,Ocupada,Regular,Elevada,44,15
-58.444466644709394,-34.623606313547604,52884,6,Alberdi Juan Bautista Av.,1100.0,1172.0,Ficus,4.2,Ocupada,Regular,A nivel,76,11
-58.4431666030806,-34.622817027709196,52447,6,Alberdi Juan Bautista Av.,1000.0,1063.0,Tilia,5.2,Ocupada,Regular,Elevada,12,4
-58.4383485964124,-34.623058272059495,53497,6,Alberdi Juan Bautista Av.,700.0,739.0,Platanus,3.2,Ocupada,Regular,A nivel,31,13
-58.4290443900807,-34.6221890797351,54078,6,Alberdi Juan Bautista Av.,NA,97.0,Platanus,3.74,Ocupada,Regular,Bajo nivel,36,11
-58.4282490754561,-34.6220622460429,54103,6,Alberdi Juan Bautista Av.,0.0,23.0,Platanus,3.74,Ocupada,Regular,A nivel,43,11
-58.4282490754561,-34.6220622460429,54105,6,Alberdi Juan Bautista Av.,NA,27.0,Platanus,3.74,Ocupada,Regular,Bajo nivel,37,9
-58.4418538483685,-34.6227608053167,53904,6,Alberdi Juan Bautista Av.,900.0,999.0,Ficus,3.6,Sobreocupada,Regular,Elevada,11,4
-58.4418538483685,-34.6227608053167,53910,6,Alberdi Juan Bautista Av.,900.0,999.0,Ficus,3.6,Sobreocupada,Regular,Elevada,9,4
-58.4418538483685,-34.6227608053167,53915,6,Alberdi Juan Bautista Av.,900.0,999.0,Ficus,3.6,Sobreocupada,Regular,Elevada,12,4
-58.4418538483685,-34.6227608053167,53918,6,Alberdi Juan Bautista Av.,900.0,999.0,Ficus,3.6,Sobreocupada,Regular,Elevada,10,4
-58.4383485964124,-34.623058272059495,53482,6,Alberdi Juan Bautista Av.,700.0,739.0,Tilia,3.2,Ocupada,Ochava,A nivel,42,15
-58.435555287727794,-34.6230587079023,54828,6,Alberdi Juan Bautista Av.,500.0,557.0,Ficus,3.6,Ocupada,Regular,Elevada,29,7
-58.4365075442585,-34.6233147938866,55590,6,Alberdi Juan Bautista Av.,600.0,612.0,Platanus,3.6,Ocupada,Ochava,Elevada,33,21
-58.4432219387578,-34.622997357824104,56189,6,Alberdi Juan Bautista Av.,1000.0,1082.0,Platanus,3.8,Ocupada,Regular,A nivel,44,18
-58.4482841919989,-34.62567114898,56222,6,Alberdi Juan Bautista Av.,1400.0,1420.0,Melia,3.8,Ocupada,Regular,A nivel,40,11
-58.4425569683969,-34.6229087017082,56540,6,Alberdi Juan Bautista Av.,1000.0,1040.0,Ficus,3.8,Ocupada,Regular,Elevada,56,11
-58.4421278916086,-34.6229201155059,56559,6,Alberdi Juan Bautista Av.,1000.0,1012.0,Tilia,3.8,Ocupada,Regular,Bajo nivel,14,3
-58.433155229330794,-34.622883778613804,56314,6,Alberdi Juan Bautista Av.,300.0,378.0,Melia,3.6,Ocupada,Regular,A nivel,98,18
-58.432225134998504,-34.62277362010639,56318,6,Alberdi Juan Bautista Av.,300.0,306.0,Platanus,3.6,Ocupada,Regular,A nivel,74,18
-58.432751443919294,-34.622838962200696,56319,6,Alberdi Juan Bautista Av.,300.0,344.0,Ficus,3.6,Ocupada,Regular,A nivel,16,9
