long,lat,nro_registro,comuna,calle_nombre,calle_altura,calle_chapa,nombre_cientifico,ancho_acera,estado_plantera,ubicacion_plantera,nivel_plantera,diametro_altura_pecho,altura_arbol
-58.52246854385779,-34.635242540536105,248212,9,Alvarez Jonte Av.,6500,6509,Lagerstroemia,4.4,Ocupada,Regular,Bajo nivel,4,2
-58.522629550526105,-34.6354294300277,248235,9,Alvarez Jonte Av.,6500,6563,Melia,4.4,Ocupada,Regular,A nivel,70,10
-58.522684484956706,-34.635493195266,248260,9,Alvarez Jonte Av.,6500,6567,Melia,4.4,Ocupada,Regular,A nivel,73,10
-58.5228272952872,-34.635658962044204,248278,9,Alvarez Jonte Av.,6500,6591,Melia,4.4,Ocupada,Regular,A nivel,57,11
-58.5221122386389,-34.634885150978604,248675,9,Alvarez Jonte Av.,6400,6481,Melia,4,Ocupada,Regular,A nivel,58,9
-58.522164769565705,-34.6349430221208,248701,9,Alvarez Jonte Av.,6400,6485,Melia,4,Ocupada,Regular,A nivel,57,9
-58.5218837652316,-34.634633450096196,248619,9,Alvarez Jonte Av.,6400,6457,Lagerstroemia,4,Ocupada,Regular,Elevada,30,8
-58.521941356652896,-34.634696896668004,248632,9,Alvarez Jonte Av.,6400,6465,Melia,4,Ocupada,Regular,A nivel,77,8
-58.522055938054294,-34.634823126844694,248655,9,Alvarez Jonte Av.,6400,6473,Ficus,4,Ocupada,Regular,A nivel,35,6
-58.51345241543199,-34.6258097317006,290862,10,Alvarez Jonte Av.,5400.0,5491,Tilia,4.2,Ocupada,Regular,A nivel,25,6
-58.5131743311085,-34.6255628519808,290866,10,Alvarez Jonte Av.,5400.0,5461,Lagerstroemia,4.2,Sobreocupada,Regular,A nivel,10,4
-58.513109978134395,-34.6255057199335,290867,10,Alvarez Jonte Av.,5400.0,5445,Lagerstroemia,4.2,Sobreocupada,Regular,A nivel,8,3
-58.5130459627116,-34.6254488874498,290868,10,Alvarez Jonte Av.,5400.0,5435,Lagerstroemia,4.2,Sobreocupada,Regular,A nivel,8,3
-58.512806797262705,-34.6252349281503,290871,10,Alvarez Jonte Av.,5400.0,5401,Ficus,4.2,Ocupada,Ochava,Elevada,131,8
-58.50746009448001,-34.6206822126709,290611,10,Alvarez Jonte Av.,4900.0,4982,Ficus,4.4,Ocupada,Regular,A nivel,53,11
-58.507382937671096,-34.6206421466875,290612,10,Alvarez Jonte Av.,4900.0,4980,Ficus,4.4,Ocupada,Regular,A nivel,45,11
-58.507369850804,-34.6206353509098,290613,10,Alvarez Jonte Av.,4900.0,4978,Ficus,4.4,Ocupada,Regular,A nivel,78,13
-58.507304416454105,-34.620601372081296,290614,10,Alvarez Jonte Av.,4900.0,4968,Tilia,4.4,Ocupada,Regular,Bajo nivel,16,6
-58.5070212394636,-34.620454322831996,290617,10,Alvarez Jonte Av.,4900.0,4928,Tilia,4.4,Ocupada,Regular,Bajo nivel,23,6
-58.50674438653029,-34.620312443695504,290620,10,Alvarez Jonte Av.,4800.0,4886,Tilia,4.4,Ocupada,Regular,A nivel,36,10
-58.5062550352266,-34.6200583601736,290625,10,Alvarez Jonte Av.,4800.0,4826,Tilia,4.4,Ocupada,Regular,A nivel,25,10
-58.5147054561094,-34.626921797445505,293129,10,Alvarez Jonte Av.,5600.0,5605,Ficus,4.4,Ocupada,Regular,Elevada,7,2
-58.514775453174295,-34.6269834072802,293130,10,Alvarez Jonte Av.,5600.0,5615,Platanus,4.4,Ocupada,Regular,A nivel,40,10
-58.514775453174295,-34.6269834072802,293131,10,Alvarez Jonte Av.,5600.0,5615,Lagerstroemia,4.4,Ocupada,Regular,A nivel,7,3
-58.5148397286844,-34.627039977105,293132,10,Alvarez Jonte Av.,5600.0,5619,Lagerstroemia,4.4,Ocupada,Regular,Elevada,4,2
-58.5149695393497,-34.627154225061695,293134,10,Alvarez Jonte Av.,5600.0,5635,Lagerstroemia,4.4,Ocupada,Regular,A nivel,11,3
-58.5152273489072,-34.627381125075004,293138,10,Alvarez Jonte Av.,5600.0,5683,Lagerstroemia,4.4,Ocupada,Regular,Bajo nivel,11,5
