long,lat,nro_registro,comuna,calle_nombre,calle_altura,calle_chapa,nombre_cientifico,ancho_acera,estado_plantera,ubicacion_plantera,nivel_plantera,diametro_altura_pecho,altura_arbol
-58.4854865028324,-34.5698838979286,146457,12,Alvarez Thomas Av.,3400.0,3456.0,Ficus,5.3,Ocupada,Regular,Elevada,44,10
-58.4854865028324,-34.5698838979286,146460,12,Alvarez Thomas Av.,3400.0,3456.0,Ficus,5.3,Sobreocupada,Regular,Elevada,40,8
-58.4854099719112,-34.56994269985999,146461,12,Alvarez Thomas Av.,3400.0,3442.0,Ficus,5.6,Sobreocupada,Regular,Elevada,5,4
-58.4868849853938,-34.568815684484896,143242,12,Alvarez Thomas Av.,3600.0,3616.0,Lagerstroemia,5.3,Sobreocupada,Regular,Elevada,18,4
-58.483419810313606,-34.5714688629977,147203,12,Alvarez Thomas Av.,3200.0,3202.0,Tilia,6,Ocupada,Regular,A nivel,17,7
-58.4813625469693,-34.573044526652495,148559,12,Alvarez Thomas Av.,2900.0,2970.0,Tilia,5.6,Ocupada,Regular,Bajo nivel,23,6
-58.481002366162,-34.5733171998549,148562,12,Alvarez Thomas Av.,2900.0,2918.0,Tilia,5.6,Ocupada,Regular,Bajo nivel,14,5
-58.481277084313795,-34.5729373528997,150443,12,Alvarez Thomas Av.,2900.0,2975.0,Tilia,5.2,Sobreocupada,Regular,Elevada,33,11
-58.4809470561356,-34.5733612743507,148585,12,Alvarez Thomas Av.,2900.0,2906.0,Ficus,5.6,Ocupada,Regular,A nivel,13,2
-58.4810696836508,-34.5730960188559,150445,12,Alvarez Thomas Av.,2900.0,2953.0,Tilia,5.2,Ocupada,Regular,A nivel,17,6
-58.4807713827956,-34.573325359407804,150446,12,Alvarez Thomas Av.,2900.0,2907.0,Tilia,5.2,Ocupada,Regular,A nivel,37,12
-58.481277084313795,-34.5729373528997,150450,12,Alvarez Thomas Av.,2900.0,2975.0,Ficus,5.2,Sobreocupada,Regular,Elevada,27,5
-58.4821617606066,-34.5722598550939,154333,12,Alvarez Thomas Av.,4000.0,3079.0,Tilia,5.2,Ocupada,Regular,Elevada,90,16
-58.4821617606066,-34.5722598550939,154338,12,Alvarez Thomas Av.,3000.0,3067.0,Tilia,5.6,Ocupada,Regular,A nivel,56,11
-58.481900094967,-34.5724600608206,154346,12,Alvarez Thomas Av.,3000.0,3035.0,Jacaranda,5.6,Ocupada,Regular,A nivel,63,7
-58.4817644010598,-34.572563882411195,154350,12,Alvarez Thomas Av.,3000.0,3021.0,Tilia,5.6,Ocupada,Regular,A nivel,22,4
-58.4817644010598,-34.572563882411195,154367,12,Alvarez Thomas Av.,3000.0,3021.0,Tilia,5.6,Ocupada,NA,A nivel,90,16
-58.4817008180675,-34.57261253064,154374,12,Alvarez Thomas Av.,3000.0,3005.0,Tilia,5.6,Ocupada,Fuera de línea,A nivel,21,7
-58.48617738828,-34.5691745874363,153859,12,Alvarez Thomas Av.,3500.0,3559.0,Jacaranda,5.2,Ocupada,Regular,A nivel,18,13
-58.486382258,-34.5690188867636,153865,12,Alvarez Thomas Av.,3500.0,3581.0,Tilia,5.2,Ocupada,Regular,A nivel,34,12
-58.485913386106205,-34.569375227318304,153866,12,Alvarez Thomas Av.,3500.0,3527.0,Ficus,5.2,Sobreocupada,Regular,Elevada,6,2
-58.4784570286382,-34.5750318740885,158813,12,Alvarez Thomas Av.,2600.0,2695.0,Ficus,5,Sobreocupada,Regular,A nivel,8,4
-58.4775556674134,-34.575691953644096,159268,12,Alvarez Thomas Av.,2600.0,2611.0,Lagerstroemia,5,Ocupada,Regular,Elevada,5,2
-58.4775556674134,-34.575691953644096,159269,12,Alvarez Thomas Av.,2600.0,2611.0,Lagerstroemia,5,Ocupada,Regular,Elevada,5,4
-58.4778981082005,-34.5754265825817,159300,12,Alvarez Thomas Av.,2600.0,2651.0,Ficus,5,Ocupada,Regular,A nivel,33,9
-58.4818674317085,-34.572658905306895,159737,12,Alvarez Thomas Av.,3000.0,3010.0,Ficus,5.6,Ocupada,Regular,A nivel,70,5
-58.482022023321,-34.5725406246479,159738,12,Alvarez Thomas Av.,3000.0,3036.0,Ficus,5.6,Ocupada,Regular,A nivel,30,6
