long,lat,nro_registro,comuna,calle_nombre,calle_altura,calle_chapa,nombre_cientifico,ancho_acera,estado_plantera,ubicacion_plantera,nivel_plantera,diametro_altura_pecho,altura_arbol
-58.3717310667698,-34.586498715335395,73585,1,Antártida Argentina Av.,1300.0,1301.0,Platanus,9,Ocupada,Regular,A nivel,60,15
-58.3717310667698,-34.586498715335395,73587,1,Antártida Argentina Av.,1300.0,1301.0,Platanus,9,Ocupada,Regular,A nivel,60,15
-58.3717310667698,-34.586498715335395,73597,1,Antártida Argentina Av.,1300.0,1301.0,Platanus,9,Ocupada,Regular,A nivel,60,15
-58.3717310667698,-34.586498715335395,73600,1,Antártida Argentina Av.,1300.0,1301.0,Platanus,9,Ocupada,Regular,A nivel,60,15
-58.3717310667698,-34.586498715335395,73606,1,Antártida Argentina Av.,1300.0,1301.0,Platanus,9,Ocupada,Regular,A nivel,60,15
-58.3717310667698,-34.586498715335395,73607,1,Antártida Argentina Av.,1300.0,1301.0,Platanus,9,Ocupada,Regular,A nivel,60,15
-58.3717310667698,-34.586498715335395,78799,1,Antártida Argentina Av.,1300.0,1301.0,Platanus,9,Ocupada,Regular,A nivel,60,15
-58.3717310667698,-34.586498715335395,78800,1,Antártida Argentina Av.,1300.0,1301.0,Platanus,9,Ocupada,Regular,A nivel,60,15
-58.3717310667698,-34.586498715335395,78801,1,Antártida Argentina Av.,1300.0,1301.0,Platanus,9,Ocupada,Regular,A nivel,60,15
-58.3717310667698,-34.586498715335395,78802,1,Antártida Argentina Av.,1300.0,1301.0,Platanus,9,Ocupada,Regular,A nivel,60,15
-58.3717310667698,-34.586498715335395,78803,1,Antártida Argentina Av.,1300.0,1301.0,Platanus,9,Ocupada,Regular,A nivel,60,15
-58.3717310667698,-34.586498715335395,78804,1,Antártida Argentina Av.,1300.0,1301.0,Platanus,9,Ocupada,Regular,A nivel,60,15
-58.3717310667698,-34.586498715335395,78805,1,Antártida Argentina Av.,1300.0,1301.0,Platanus,9,Ocupada,Regular,A nivel,60,15
-58.3717310667698,-34.586498715335395,78806,1,Antártida Argentina Av.,1300.0,1301.0,Platanus,9,Ocupada,Regular,A nivel,60,15
-58.3717310667698,-34.586498715335395,78807,1,Antártida Argentina Av.,1300.0,1301.0,Platanus,9,Ocupada,Regular,A nivel,60,15
-58.3717310667698,-34.586498715335395,78808,1,Antártida Argentina Av.,1300.0,1301.0,Platanus,9,Ocupada,Regular,A nivel,60,15
-58.3717310667698,-34.586498715335395,78809,1,Antártida Argentina Av.,1300.0,1301.0,Platanus,9,Ocupada,Regular,A nivel,60,15
-58.3717310667698,-34.586498715335395,78644,1,Antártida Argentina Av.,1300.0,1301.0,Platanus,9,Ocupada,Regular,A nivel,60,15
-58.3717310667698,-34.586498715335395,78645,1,Antártida Argentina Av.,1300.0,1301.0,Platanus,9,Ocupada,Regular,A nivel,60,15
-58.3717310667698,-34.586498715335395,78646,1,Antártida Argentina Av.,1300.0,1301.0,Platanus,9,Ocupada,Regular,A nivel,60,15
