long,lat,nro_registro,comuna,calle_nombre,calle_altura,calle_chapa,nombre_cientifico,ancho_acera,estado_plantera,ubicacion_plantera,nivel_plantera,diametro_altura_pecho,altura_arbol
-58.42693646641021,-34.6314457264652,304258,7,Asamblea Av.,0.0,89.0,Melia,4.1,Ocupada,Regular,A nivel,60,13
-58.4268500680396,-34.6314426216297,304259,7,Asamblea Av.,0.0,83.0,Melia,4.1,Ocupada,Regular,Bajo nivel,63,12
-58.4267470466908,-34.631438917726,304261,7,Asamblea Av.,0.0,73.0,Melia,4.1,Ocupada,Regular,Elevada,35,11
-58.4265154614904,-34.631430592830704,304263,7,Asamblea Av.,0.0,35.0,Melia,4.1,Ocupada,Regular,A nivel,19,9
-58.429328289454794,-34.631551463876804,304309,7,Asamblea Av.,200.0,245.0,Melia,4.3,Ocupada,Regular,A nivel,70,17
-58.4294375769242,-34.6317066335523,304312,7,Asamblea Av.,200.0,285.0,Ficus,4,Ocupada,Regular,A nivel,10,5
-58.4295179763061,-34.6317573127674,304315,7,Asamblea Av.,200.0,297.0,Melia,4.2,Sobreocupada,Regular,A nivel,38,12
-58.4312038342801,-34.6328669017636,310210,7,Asamblea Av.,300.0,385,Melia,3.4,Ocupada,Regular,A nivel,46,13
-58.4310410816595,-34.6327592515529,310214,7,Asamblea Av.,300.0,369,Ficus,3.4,Ocupada,Regular,A nivel,30,8
-58.430601814518496,-34.6324626696596,310219,7,Asamblea Av.,300.0,333,Melia,3.4,Ocupada,Regular,Elevada,43,13
-58.430447375216,-34.6323526387177,310220,7,Asamblea Av.,300.0,325,Melia,3.4,Ocupada,Regular,A nivel,43,14
-58.430447375216,-34.6323526387177,310222,7,Asamblea Av.,300.0,311,Melia,3.4,Ocupada,Regular,A nivel,53,15
-58.429957218955,-34.6322465542966,310265,7,Asamblea Av.,300.0,316,Platanus,4.2,Ocupada,Ochava,A nivel,54,17
-58.429957218955,-34.6322465542966,310267,7,Asamblea Av.,300.0,320,Platanus,4.4,Ocupada,Regular,A nivel,53,17
-58.429957218955,-34.6322465542966,310268,7,Asamblea Av.,300.0,320,Platanus,4.4,Ocupada,Regular,A nivel,49,17
-58.4301188358223,-34.6323482692635,310269,7,Asamblea Av.,300.0,324,Platanus,4.4,Ocupada,Regular,A nivel,49,17
-58.4301188358223,-34.6323482692635,310270,7,Asamblea Av.,300.0,324,Platanus,4,Ocupada,Regular,A nivel,50,19
