long,lat,nro_registro,comuna,calle_nombre,calle_altura,calle_chapa,nombre_cientifico,ancho_acera,estado_plantera,ubicacion_plantera,nivel_plantera,diametro_altura_pecho,altura_arbol
-58.444740855537994,-34.617020519137895,42020,6,Avellaneda Av.,1000.0,1004.0,Platanus,3.2,Ocupada,Ochava,A nivel,52,12
-58.445235581613,-34.6172192736187,42021,6,Avellaneda Av.,1000.0,1032.0,Platanus,9.6,Ocupada,Regular,A nivel,60,12
-58.4448952378152,-34.6170825419871,42022,6,Avellaneda Av.,1000.0,1012.0,Platanus,3.2,Ocupada,Regular,A nivel,46,11
-58.445235581613,-34.6172192736187,42023,6,Avellaneda Av.,1000.0,1032.0,Platanus,9.6,Ocupada,Regular,A nivel,53,12
-58.4448182080861,-34.6170515954557,42024,6,Avellaneda Av.,1000.0,1010.0,Platanus,3.2,Ocupada,Regular,A nivel,51,12
-58.445235581613,-34.6172192736187,42026,6,Avellaneda Av.,1000.0,1032.0,Platanus,9.6,Ocupada,Regular,A nivel,61,12
-58.445235581613,-34.6172192736187,42030,6,Avellaneda Av.,1000.0,1032.0,Ficus,3.2,Ocupada,Regular,Elevada,20,6
-58.4448182080861,-34.6170515954557,42032,6,Avellaneda Av.,1000.0,1008.0,Platanus,3.2,Ocupada,Regular,A nivel,54,12
-58.43513102787,-34.613013596291,43077,6,Avellaneda Av.,300.0,328.0,Ficus,3.2,Ocupada,Regular,A nivel,10,2
-58.4367903380055,-34.613593250718004,45462,6,Avellaneda Av.,400.0,433.0,Jacaranda,3.2,Ocupada,Regular,Bajo nivel,9,6
-58.43668460408521,-34.6135493927108,45473,6,Avellaneda Av.,400.0,429.0,Ficus,3.2,Ocupada,Regular,A nivel,35,8
-58.436597679764006,-34.613513336778105,45475,6,Avellaneda Av.,400.0,425.0,Tilia,3.2,Ocupada,Regular,Bajo nivel,27,11
-58.438992404357606,-34.6144451586621,46865,6,Avellaneda Av.,500.0,551.0,Jacaranda,3.2,Ocupada,Regular,A nivel,38,10
-58.438992404357606,-34.6144451586621,46843,6,Avellaneda Av.,500.0,551.0,Jacaranda,3.2,Ocupada,Regular,A nivel,35,10
-58.438992404357606,-34.6144451586621,46845,6,Avellaneda Av.,500.0,551.0,Jacaranda,3.2,Ocupada,Regular,Bajo nivel,32,12
-58.438992404357606,-34.6144451586621,46847,6,Avellaneda Av.,500.0,551.0,Jacaranda,3.2,Ocupada,Regular,A nivel,36,12
-58.438992404357606,-34.6144451586621,46849,6,Avellaneda Av.,500.0,551.0,Jacaranda,3.2,Ocupada,Regular,Bajo nivel,38,12
-58.438992404357606,-34.6144451586621,46854,6,Avellaneda Av.,500.0,551.0,Jacaranda,3.2,Ocupada,Regular,A nivel,26,11
-58.438992404357606,-34.6144451586621,46863,6,Avellaneda Av.,500.0,551.0,Jacaranda,3.2,Ocupada,Regular,Bajo nivel,24,8
-58.4430410378572,-34.6162138331303,47790,6,Avellaneda Av.,800.0,891.0,Platanus,2.8,Ocupada,Ochava,A nivel,48,17
-58.4430193600884,-34.6163194702696,47791,6,Avellaneda Av.,800.0,894.0,Platanus,3.2,Ocupada,Regular,A nivel,71,18
-58.4430193600884,-34.6163194702696,47793,6,Avellaneda Av.,800.0,894.0,Platanus,3.2,Ocupada,Ochava,A nivel,90,24
-58.4427469283605,-34.6162051890278,47794,6,Avellaneda Av.,800.0,868.0,Platanus,3.2,Ocupada,Regular,A nivel,95,16
-58.4427469283605,-34.6162051890278,47795,6,Avellaneda Av.,800.0,868.0,Platanus,3.2,Ocupada,Regular,A nivel,95,17
-58.4427469283605,-34.6162051890278,47796,6,Avellaneda Av.,800.0,868.0,Platanus,3.2,Ocupada,Regular,A nivel,95,18
-58.442333643000495,-34.6160318199377,47797,6,Avellaneda Av.,800.0,836.0,Platanus,3.2,Ocupada,Regular,A nivel,45,19
-58.4427469283605,-34.6162051890278,47798,6,Avellaneda Av.,800.0,868.0,Platanus,3.2,Ocupada,Regular,A nivel,97,19
-58.4427469283605,-34.6162051890278,47799,6,Avellaneda Av.,800.0,868.0,Platanus,3.2,Ocupada,Regular,A nivel,26,20
-58.442861072441,-34.61613834025739,47800,6,Avellaneda Av.,800.0,855.0,Platanus,2.8,Ocupada,Regular,A nivel,48,14
-58.442333643000495,-34.6160318199377,47802,6,Avellaneda Av.,800.0,836.0,Platanus,3.2,Ocupada,Regular,A nivel,98,26
-58.442861072441,-34.61613834025739,47804,6,Avellaneda Av.,800.0,855.0,Platanus,2.8,Ocupada,Regular,A nivel,39,13
-58.4430410378572,-34.6162138331303,47807,6,Avellaneda Av.,800.0,891.0,Platanus,2.8,Ocupada,Regular,A nivel,46,15
-58.434839471828006,-34.6127761629741,48566,6,Avellaneda Av.,300.0,303.0,Ficus,7.5,Sobreocupada,Ochava,Elevada,48,10
-58.435288403552896,-34.6129641121512,48572,6,Avellaneda Av.,300.0,335.0,Ficus,3.2,Sobreocupada,Regular,Elevada,25,7
-58.435288403552896,-34.6129641121512,48579,6,Avellaneda Av.,300.0,335.0,Ficus,3.2,Sobreocupada,Regular,Elevada,7,2
-58.4513039618993,-34.6192497715755,48907,6,Avellaneda Av.,1300.0,1389.0,Platanus,4,Ocupada,Regular,Bajo nivel,70,22
