long,lat,nro_registro,comuna,calle_nombre,calle_altura,calle_chapa,nombre_cientifico,ancho_acera,estado_plantera,ubicacion_plantera,nivel_plantera,diametro_altura_pecho,altura_arbol
-58.462000881330496,-34.6086473205495,45553,6,Álvarez Donato Tte. Gral. Av.,1500.0,1575.0,Ficus,3.2,Ocupada,Regular,Elevada,20,5
-58.461959755928,-34.608730417207106,45566,6,Álvarez Donato Tte. Gral. Av.,1500.0,1567.0,Ficus,3.2,Ocupada,Regular,A nivel,20,8
-58.461432527585,-34.6097958779282,48488,6,Álvarez Donato Tte. Gral. Av.,1400.0,1481.0,Ficus,2.8,Ocupada,Regular,Bajo nivel,36,9
-58.4556094933429,-34.6220884074654,52617,6,Álvarez Donato Tte. Gral. Av.,300.0,313.0,Melia,3,Ocupada,Regular,A nivel,39,10
-58.4571038978471,-34.618795886951,53698,6,Álvarez Donato Tte. Gral. Av.,500.0,587.0,Tilia,2.4,Ocupada,Regular,A nivel,8,7
-58.4563965821932,-34.6203424998129,55238,6,Álvarez Donato Tte. Gral. Av.,400.0,467.0,Ficus,2.2,Ocupada,Regular,Bajo nivel,65,15
-58.456333289016,-34.6204810340345,55241,6,Álvarez Donato Tte. Gral. Av.,400.0,459.0,Ficus,2.2,Ocupada,Regular,Elevada,21,8
-58.456333289016,-34.6204810340345,55242,6,Álvarez Donato Tte. Gral. Av.,400.0,457.0,Ficus,2.2,Ocupada,Regular,Elevada,31,8
-58.4552270280247,-34.6229250001442,59941,6,Álvarez Donato Tte. Gral. Av.,200.0,245.0,Melia,3.2,Ocupada,Regular,Bajo nivel,44,15
-58.4579303030931,-34.6169923120637,59468,6,Álvarez Donato Tte. Gral. Av.,700.0,741.0,Tilia,2.7,Ocupada,Regular,A nivel,30,12
-58.458282819166,-34.616219438249395,59471,6,Álvarez Donato Tte. Gral. Av.,700.0,863.0,Ficus,2.7,Ocupada,Regular,Bajo nivel,38,13
-58.4583527393921,-34.6160658677746,59472,6,Álvarez Donato Tte. Gral. Av.,700.0,895.0,Ficus,2.7,Ocupada,Regular,A nivel,34,10
-58.4583136259581,-34.616151775289694,59476,6,Álvarez Donato Tte. Gral. Av.,700.0,877.0,Ficus,2.7,Ocupada,Regular,A nivel,9,3
-58.4582218831972,-34.616353275493104,59478,6,Álvarez Donato Tte. Gral. Av.,700.0,835.0,Ficus,2.7,Ocupada,Regular,Bajo nivel,27,5
-58.4579303030931,-34.6169923120637,59479,6,Álvarez Donato Tte. Gral. Av.,700.0,741.0,Tilia,2.7,Ocupada,Regular,A nivel,26,10
-58.457032141291,-34.619270831729395,312488,7,Álvarez Donato Tte. Gral. Av.,500.0,564.0,Ficus,2.6,Ocupada,Regular,Elevada,25,4
