long,lat,nro_registro,comuna,calle_nombre,calle_altura,calle_chapa,nombre_cientifico,ancho_acera,estado_plantera,ubicacion_plantera,nivel_plantera,diametro_altura_pecho,altura_arbol
-58.4263069105934,-34.6494722178317,397958,4,Barco Centenera del Av.,2700,2785,Ficus,4,Ocupada,Regular,A nivel,60,13
-58.4264697446173,-34.649353887347196,397959,4,Barco Centenera del Av.,2700,2773,Melia,4,Ocupada,Regular,A nivel,51,6
-58.432258190237,-34.6421721613977,510398,4,Barco Centenera del Av.,2050,2040,Melia,3.2,Ocupada,Ochava,Bajo Nivel,45,10
-58.437084693817,-34.632424519284704,510407,4,Barco Centenera del Av.,1200,1122,Ficus,5.6,Ocupada,Regular,Elevada,29,12
-58.4321648384089,-34.643488792873,510980,4,Barco Centenera del Av.,2100,2146,Jacaranda,3,Ocupada,Regular,A Nivel,14,7
-58.432183331845295,-34.6431767143426,510982,4,Barco Centenera del Av.,2100,2120,Ficus,3,Ocupada,Regular,A Nivel,32,10
-58.4320085797466,-34.6443586292442,511042,4,Barco Centenera del Av.,2200,2206,Tilia,3,Ocupada,Regular,A Nivel,25,8
-58.432123128063296,-34.6441054129944,511234,4,Barco Centenera del Av.,2200,2200,Ficus,4.4,Ocupada,Regular,A Nivel,157,11
-58.432123128063296,-34.6441054129944,511236,4,Barco Centenera del Av.,2200,2200,Jacaranda,4.4,Ocupada,Regular,A Nivel,6,4
-58.432123128063296,-34.6441054129944,511237,4,Barco Centenera del Av.,2200,2200,Jacaranda,4.4,Ocupada,Regular,A Nivel,5,2
-58.43138201334929,-34.6455860669537,511375,4,Barco Centenera del Av.,2300,2364,Ficus,3.2,Ocupada,Regular,Elevada,30,8
-58.4300115410705,-34.6468065576157,511501,4,Barco Centenera del Av.,2400,2495,Ficus,3.2,Ocupada,Regular,A Nivel,13,6
-58.427768938925105,-34.6481807583378,511738,4,Barco Centenera del Av.,2500,2502,Jacaranda,32,Ocupada,Regular,A Nivel,3,2
-58.42935982759499,-34.647043640785,511742,4,Barco Centenera del Av.,2500,2528,Ficus,32,Ocupada,Regular,A Nivel,6,3
-58.42928837953871,-34.64709471073839,511743,4,Barco Centenera del Av.,2500,2532,Ficus,32,Ocupada,Regular,Elevada,16,6
-58.42719256551021,-34.6486206464538,513592,4,Barco Centenera del Av.,2600,2650,Jacaranda,4.2,Ocupada,Regular,A Nivel,32,5
-58.4273647048312,-34.648703718933895,513849,4,Barco Centenera del Av.,2600,2679,Melia,4.4,Ocupada,Regular,A nivel,54,10
-58.4240992456359,-34.651086493262895,513940,4,Barco Centenera del Av.,2900,2987,Jacaranda,4,Ocupada,Ochava,A Nivel,3,2
-58.4229446764713,-34.651919111313894,514332,4,Barco Centenera del Av.,3100,3111,Lagerstroemia,4.2,Ocupada,Regular,A Nivel,11,5
-58.4220288495892,-34.6525803099358,514419,4,Barco Centenera del Av.,3100,3175,Tilia,4.2,Ocupada,Regular,A Nivel,21,8
-58.4214598502202,-34.652779211398894,514488,4,Barco Centenera del Av.,3100,3198,Jacaranda,4,Ocupada,Ochava,A Nivel,17,5
-58.4225626701653,-34.6519837177448,514498,4,Barco Centenera del Av.,3100,3132,Melia,4,Ocupada,Regular,A Nivel,45,8
