long,lat,nro_registro,comuna,calle_nombre,calle_altura,calle_chapa,nombre_cientifico,ancho_acera,estado_plantera,ubicacion_plantera,nivel_plantera,diametro_altura_pecho,altura_arbol
-58.5256304680888,-34.614303507946204,265628,10,Beiró Francisco  Av.,5300.0,5325,Ficus,5.6,Ocupada,Regular,Elevada,38,9
-58.5266645262536,-34.6151105916813,275780,10,Beiró Francisco  Av.,5400.0,5433,Ficus,6,Ocupada,Regular,A nivel,32,6
-58.5267336245404,-34.6151642010812,275781,10,Beiró Francisco  Av.,5400.0,5447,Ficus,6,Ocupada,Regular,A nivel,24,6
-58.5291302665008,-34.6170221931694,305229,10,Beiró Francisco  Av.,5650.0,5687.0,Platanus,5.6,Ocupada,Regular,Elevada,5,4
-58.5294798732824,-34.6174716199586,299982,10,Beiró Francisco  Av.,5700.0,5740.0,Ficus,5.6,Ocupada,Regular,A nivel,32,7
-58.5285715991024,-34.6167659834307,297515,10,Beiró Francisco  Av.,5600.0,5632.0,Ficus,5.6,Ocupada,Regular,Elevada,13,2
-58.5289249580014,-34.6170397919513,297405,10,Beiró Francisco  Av.,5650.0,5676.0,Lagerstroemia,5.6,Ocupada,Regular,Elevada,11,4
-58.52976417414859,-34.6175128354906,297426,10,Beiró Francisco  Av.,5700.0,5747.0,Ficus,5.6,Ocupada,Regular,A nivel,32,5
-58.5146637785636,-34.6075441558149,187699,11,Beiró Francisco  Av.,4500,4523.0,Tilia,5.4,Sobreocupada,Regular,A nivel,4,3
-58.5200237966755,-34.6108275056187,208175,11,Beiró Francisco  Av.,4900,4955.0,Lagerstroemia,5.6,Ocupada,Regular,A nivel,14,7
-58.5196441124797,-34.610598954741995,208273,11,Beiró Francisco  Av.,4900,4903.0,Ficus,5.6,Ocupada,Regular,A nivel,42,7
-58.514575317072,-34.607489654896895,187671,11,Beiró Francisco  Av.,4500,4513.0,Tilia,5.4,Ocupada,Regular,A nivel,20,5
-58.514651133753006,-34.6075363653779,187687,11,Beiró Francisco  Av.,4500,4521.0,Jacaranda,5.4,Ocupada,Regular,A nivel,25,9
-58.510791811072906,-34.6053387819602,193635,11,Beiró Francisco  Av.,4200,4240.0,Platanus,3.8,Ocupada,Regular,A nivel,58,10
-58.510623008476294,-34.6052348827134,193656,11,Beiró Francisco  Av.,4200,4220.0,Platanus,3.8,Ocupada,Regular,A nivel,45,10
-58.51053041321239,-34.6051778894271,193673,11,Beiró Francisco  Av.,4200,4202.0,Platanus,3.8,Ocupada,Regular,Elevada,57,11
-58.510947856269,-34.605434334029695,193608,11,Beiró Francisco  Av.,4200,4296.0,Platanus,3.8,Ocupada,Regular,A nivel,50,11
-58.5109420874164,-34.6054307832857,193623,11,Beiró Francisco  Av.,4200,4292.0,Platanus,3.8,Ocupada,Regular,Elevada,50,10
-58.511669942404296,-34.605680406782,193896,11,Beiró Francisco  Av.,4200,4295.0,Ficus,4,Ocupada,Regular,Bajo nivel,20,3
-58.4974377080683,-34.5970466937595,210524,11,Beiró Francisco  Av.,3134,3134.0,Ficus,8,Ocupada,Regular,Elevada,3,2
-58.497721250364,-34.597222342979805,210527,11,Beiró Francisco  Av.,3176,3176.0,Ficus,8,Ocupada,Regular,A nivel,5,4
-58.4977973137101,-34.5972695094688,210528,11,Beiró Francisco  Av.,3180,3180.0,Platanus,8,Ocupada,Regular,A nivel,72,14
-58.4978737907829,-34.5973168637596,210529,11,Beiró Francisco  Av.,3190,3190.0,Platanus,8,Sobreocupada,Regular,Elevada,54,4
-58.4979524968836,-34.5973655981531,210530,11,Beiró Francisco  Av.,3194,3194.0,Platanus,8,Ocupada,Regular,Elevada,73,14
-58.4979524968836,-34.5973655981531,210531,11,Beiró Francisco  Av.,3194,3194.0,Ficus,8,Ocupada,Regular,Elevada,51,11
-58.52089585970489,-34.611354474157096,210813,11,Beiró Francisco  Av.,5000,5025.0,Ficus,5.6,Sobreocupada,Fuera de línea,A nivel,29,4
-58.508099523441,-34.6036407391812,203196,11,Beiró Francisco  Av.,3900,4000.0,Platanus,7.4,Ocupada,Regular,A nivel,50,10
