long,lat,nro_registro,comuna,calle_nombre,calle_altura,calle_chapa,nombre_cientifico,ancho_acera,estado_plantera,ubicacion_plantera,nivel_plantera,diametro_altura_pecho,altura_arbol
-58.368201377146704,-34.6123248726365,57915,1,Belgrano Av.,100.0,130.0,Jacaranda,12,Ocupada,Regular,NA,9,4
-58.377995857568,-34.612794532695105,59572,1,Belgrano Av.,800.0,831.0,Jacaranda,3.6,Ocupada,Regular,A nivel,15,7
-58.3782227689253,-34.6128092207464,59581,1,Belgrano Av.,800.0,845.0,Jacaranda,3.6,Ocupada,Regular,A nivel,14,7
-58.378548258652295,-34.6128302895071,59588,1,Belgrano Av.,800.0,865.0,Jacaranda,3.6,Ocupada,Regular,A nivel,13,7
-58.3783843638764,-34.6128196805315,59590,1,Belgrano Av.,800.0,853.0,Jacaranda,3.6,Ocupada,Regular,A nivel,2,2
-58.3787015937527,-34.6128402145966,59609,1,Belgrano Av.,800.0,873.0,Jacaranda,3.6,Ocupada,Regular,A nivel,34,9
-58.3788785236582,-34.6128518723834,59612,1,Belgrano Av.,800.0,891.0,Jacaranda,3.6,Ocupada,Regular,A nivel,15,7
-58.37997207015329,-34.6129224048547,59613,1,Belgrano Av.,900.0,955.0,Jacaranda,3.2,Ocupada,Regular,A nivel,18,7
-58.37997207015329,-34.6129224048547,59615,1,Belgrano Av.,900.0,955.0,Jacaranda,3.2,Ocupada,Regular,A nivel,36,10
-58.37932081498701,-34.6128816818966,59618,1,Belgrano Av.,900.0,923.0,Jacaranda,3.2,Ocupada,Regular,A nivel,44,12
-58.37997207015329,-34.6129224048547,59637,1,Belgrano Av.,900.0,955.0,Jacaranda,3.2,Ocupada,Regular,A nivel,53,12
-58.37997207015329,-34.6129224048547,59638,1,Belgrano Av.,900.0,955.0,Jacaranda,3.2,Ocupada,Regular,NA,19,8
-58.3782227689253,-34.6128092207464,59639,1,Belgrano Av.,800.0,847.0,Jacaranda,3.6,Ocupada,Regular,A nivel,16,7
-58.379147094124,-34.612870195933105,59648,1,Belgrano Av.,900.0,909.0,Jacaranda,3.2,Ocupada,Regular,A nivel,16,6
-58.3788785236582,-34.6128518723834,59653,1,Belgrano Av.,800.0,891.0,Jacaranda,3.6,Ocupada,Ochava,A nivel,11,3
-58.37997207015329,-34.6129224048547,59655,1,Belgrano Av.,900.0,955.0,Jacaranda,3.2,Ocupada,Regular,A nivel,32,11
-58.371470387943106,-34.6123575670372,60721,1,Belgrano Av.,300.0,369.0,Jacaranda,4,Ocupada,Regular,Elevada,17,8
-58.37165870351029,-34.6123686266355,60723,1,Belgrano Av.,300.0,381.0,Jacaranda,4,Ocupada,Regular,Elevada,11,6
-58.3713034861732,-34.6123477652061,60727,1,Belgrano Av.,300.0,355.0,Jacaranda,3.6,Ocupada,Regular,Elevada,13,7
-58.3717214754325,-34.6123723125148,60732,1,Belgrano Av.,300.0,385.0,Jacaranda,4,Ocupada,Regular,Elevada,15,6
-58.3713034861732,-34.6123477652061,60733,1,Belgrano Av.,300.0,357.0,Tilia,3.6,Ocupada,Regular,Elevada,8,5
-58.372905521692296,-34.612445155946105,60740,1,Belgrano Av.,400.0,475.0,Jacaranda,4,Ocupada,Regular,Bajo nivel,14,6
-58.3725005226839,-34.6124200161607,60741,1,Belgrano Av.,400.0,423.0,Jacaranda,4,Ocupada,Regular,A nivel,7,4
-58.3745118821916,-34.6125534326769,64725,1,Belgrano Av.,500.0,599.0,Jacaranda,9,Ocupada,Ochava,Bajo nivel,18,8
-58.3750961083866,-34.6125933596926,64729,1,Belgrano Av.,600.0,609.0,Jacaranda,3.6,Ocupada,Regular,Bajo nivel,33,12
-58.3750961083866,-34.6125933596926,64732,1,Belgrano Av.,600.0,625.0,Jacaranda,3.6,Ocupada,Regular,Bajo nivel,36,13
-58.3738620718689,-34.6125074993329,64733,1,Belgrano Av.,500.0,539.0,Jacaranda,4,Ocupada,Regular,Bajo nivel,12,7
-58.3740914443457,-34.6125237133084,64694,1,Belgrano Av.,500.0,561.0,Jacaranda,4,Ocupada,Regular,A nivel,10,5
-58.3740914443457,-34.6125237133084,64696,1,Belgrano Av.,500.0,561.0,Jacaranda,4,Ocupada,Regular,A nivel,34,11
-58.3745118821916,-34.6125534326769,64737,1,Belgrano Av.,500.0,599.0,Jacaranda,9,Ocupada,Ochava,Bajo nivel,20,9
-58.3745118821916,-34.6125534326769,64706,1,Belgrano Av.,500.0,599.0,Jacaranda,4,Ocupada,Regular,A nivel,2,2
-58.3738620718689,-34.6125074993329,64710,1,Belgrano Av.,500.0,535.0,Platanus,4,Ocupada,Regular,A nivel,4,2
-58.376736507783,-34.6127079774079,64787,1,Belgrano Av.,700.0,737.0,Tilia,4,Ocupada,Ochava,Elevada,17,2
-58.3796390240058,-34.6130662641792,68508,1,Belgrano Av.,900.0,940.0,Jacaranda,3.75,Ocupada,Regular,Elevada,28,8
-58.3792274880361,-34.613040305564496,68520,1,Belgrano Av.,900.0,918.0,Jacaranda,3.75,Ocupada,Regular,Elevada,20,4
-58.3792274880361,-34.613040305564496,68525,1,Belgrano Av.,900.0,918.0,Jacaranda,3.75,Ocupada,Regular,Elevada,10,4
-58.380092560805394,-34.613094623345496,68312,1,Belgrano Av.,900.0,980.0,Jacaranda,3.75,Ocupada,Regular,A nivel,22,5
-58.37980198058471,-34.6130764536362,68315,1,Belgrano Av.,900.0,954.0,Jacaranda,3.75,Ocupada,Regular,Elevada,36,8
-58.380026090638104,-34.6130904673447,68412,1,Belgrano Av.,900.0,970.0,Ficus,3.75,Ocupada,Regular,A nivel,84,11
-58.3796390240058,-34.6130662641792,68414,1,Belgrano Av.,900.0,936.0,Jacaranda,3.75,Ocupada,Regular,Elevada,4,3
-58.3793194859409,-34.6128816909222,68418,1,Belgrano Av.,900.0,915.0,Jacaranda,3.75,Ocupada,Regular,Elevada,23,6
-58.3794652361314,-34.613055397363,68422,1,Belgrano Av.,900.0,926.0,Jacaranda,3.75,Ocupada,Regular,Elevada,33,8
-58.379226642459706,-34.6130404772513,68423,1,Belgrano Av.,900.0,920.0,Jacaranda,3.75,Ocupada,Regular,Elevada,5,3
-58.3796390240058,-34.6130662641792,68425,1,Belgrano Av.,900.0,948.0,Jacaranda,3.75,Ocupada,Regular,Elevada,36,8
-58.3838838155193,-34.6131965579246,70576,1,Belgrano Av.,1200.0,1245.0,Jacaranda,4,Ocupada,Regular,A nivel,30,11
-58.3836396490785,-34.613179280094,70590,1,Belgrano Av.,1200.0,1225.0,Jacaranda,4,Ocupada,Regular,A nivel,2,4
-58.3835172123763,-34.6131706161883,70602,1,Belgrano Av.,1200.0,1219.0,Jacaranda,4,Ocupada,Regular,Bajo nivel,12,9
-58.384251508089,-34.6132225754136,70352,1,Belgrano Av.,1200.0,1279.0,Jacaranda,4,Ocupada,Regular,Bajo nivel,8,5
-58.3833561204135,-34.6131592166282,70654,1,Belgrano Av.,1200.0,1209.0,Jacaranda,4,Ocupada,Regular,A nivel,21,9
-58.3772089244282,-34.6129080722509,70146,1,Belgrano Av.,800.0,774.0,Jacaranda,3.86,Ocupada,Regular,Elevada,41,11
-58.3828970628957,-34.613127355068805,70693,1,Belgrano Av.,1100.0,1177.0,Jacaranda,4,Ocupada,Regular,Bajo nivel,17,12
-58.3827002265814,-34.6131134225649,70737,1,Belgrano Av.,1100.0,1151.0,Jacaranda,4,Ocupada,Regular,Bajo nivel,37,16
-58.385281311372005,-34.613295050284904,70224,1,Belgrano Av.,1300.0,1337.0,Jacaranda,3.6,Ocupada,Regular,Bajo nivel,14,8
-58.385281311372005,-34.613295050284904,70235,1,Belgrano Av.,1300.0,1335.0,Jacaranda,3.6,Ocupada,Regular,Bajo nivel,12,8
-58.3851542348022,-34.613286207674,70245,1,Belgrano Av.,1300.0,1331.0,Jacaranda,3.6,Ocupada,Regular,Bajo nivel,15,8
-58.3851542348022,-34.613286207674,70251,1,Belgrano Av.,1300.0,1329.0,Jacaranda,3.6,Ocupada,Regular,Bajo nivel,14,10
-58.3822582907596,-34.6130821398452,70770,1,Belgrano Av.,1100.0,1127.0,Jacaranda,4,Ocupada,Regular,Bajo nivel,50,15
-58.376294675843106,-34.6128453146803,70259,1,Belgrano Av.,800.0,702.0,Jacaranda,3.86,Ocupada,Regular,A nivel,33,9
-58.375251951919005,-34.6127711314279,70263,1,Belgrano Av.,700.0,636.0,Jacaranda,4.4,Ocupada,Regular,A nivel,13,6
-58.3764232041526,-34.6128541937684,70268,1,Belgrano Av.,800.0,720.0,Jacaranda,3.86,Ocupada,Regular,A nivel,42,9
-58.3773815798431,-34.612919910907394,70269,1,Belgrano Av.,800.0,794.0,Jacaranda,3.86,Ocupada,Regular,A nivel,56,10
-58.375642715630804,-34.612798743153704,70271,1,Belgrano Av.,700.0,672.0,Jacaranda,4.4,Ocupada,Regular,A nivel,25,7
-58.37593450834889,-34.612819360676305,70272,1,Belgrano Av.,700.0,680.0,Jacaranda,4.4,Ocupada,Regular,Elevada,51,15
-58.3785810037786,-34.6129980490578,71694,1,Belgrano Av.,800.0,866.0,Jacaranda,4,Ocupada,Regular,A nivel,46,16
-58.3894674051401,-34.6135886080336,75040,1,Belgrano Av.,1600.0,1637.0,Jacaranda,4.4,Sobreocupada,Regular,Bajo nivel,8,5
-58.3742719220963,-34.6127005072365,74494,1,Belgrano Av.,600.0,570.0,Jacaranda,3,Ocupada,Regular,Bajo nivel,20,5
-58.3728236096889,-34.6126055714235,74510,1,Belgrano Av.,500.0,456.0,Jacaranda,3.2,Ocupada,Regular,Bajo nivel,36,6
-58.37175804541229,-34.612541682919606,74522,1,Belgrano Av.,350.0,390.0,Jacaranda,3.6,Ocupada,Regular,Bajo nivel,31,7
-58.3895996581942,-34.6135972162133,75010,1,Belgrano Av.,1600.0,1647.0,Jacaranda,4.4,Ocupada,Regular,A nivel,38,15
-58.37175804541229,-34.612541682919606,74488,1,Belgrano Av.,350.0,390.0,Jacaranda,3.6,Ocupada,Regular,A nivel,40,7
-58.3862606098999,-34.6133632695856,75897,1,Belgrano Av.,1400.0,1403.0,Jacaranda,3.7,Ocupada,Regular,Bajo nivel,20,10
-58.385855133869704,-34.6133349783589,75912,1,Belgrano Av.,1300.0,1389.0,Ficus,3.6,Ocupada,Regular,A nivel,14,7
-58.3865221897023,-34.6133816693444,75913,1,Belgrano Av.,1400.0,1433.0,Jacaranda,3.7,Ocupada,Regular,A nivel,17,10
-58.385764405687,-34.6133286654225,75914,1,Belgrano Av.,1300.0,1381.0,Jacaranda,3.6,Ocupada,Regular,A nivel,15,9
-58.38567946050671,-34.6133227550203,75916,1,Belgrano Av.,1300.0,1377.0,Jacaranda,3.6,Ocupada,Regular,Bajo nivel,15,7
