long,lat,nro_registro,comuna,calle_nombre,calle_altura,calle_chapa,nombre_cientifico,ancho_acera,estado_plantera,ubicacion_plantera,nivel_plantera,diametro_altura_pecho,altura_arbol
-58.450780365500705,-34.6315931869911,308199,7,Bilbao Francisco Av.,1500.0,1582.0,Jacaranda,4.4,Ocupada,Regular,A nivel,38,6
-58.450597427747205,-34.6315350125338,308201,7,Bilbao Francisco Av.,1500.0,1548.0,Jacaranda,4.4,Ocupada,Regular,A nivel,50,11
-58.4503262651384,-34.6314487817935,308205,7,Bilbao Francisco Av.,1500.0,1510.0,Tilia,4.4,Sobreocupada,Regular,Elevada,30,9
-58.4502284209665,-34.6314176668033,308206,7,Bilbao Francisco Av.,1500.0,1502.0,Jacaranda,4.4,Sobreocupada,Ochava,A nivel,26,7
-58.4594963020847,-34.6345484111523,331893,7,Bilbao Francisco Av.,2300.0,2356,Ficus,3.2,Ocupada,Ochava,Elevada,0,6
-58.460307153222296,-34.635172682021896,328210,7,Bilbao Francisco Av.,2400.0,2421,Jacaranda,3,Ocupada,Regular,Bajo nivel,28,8
-58.4607635230844,-34.635591859353106,328216,7,Bilbao Francisco Av.,2400.0,2467,Lagerstroemia,3,Ocupada,Regular,Elevada,15,5
-58.4607635230844,-34.635591859353106,328217,7,Bilbao Francisco Av.,2400.0,2467,Lagerstroemia,3,Ocupada,Regular,Elevada,13,6
-58.4484049523273,-34.6307397468222,321607,7,Bilbao Francisco Av.,1300.0,1333,Ficus,3.2,Sobreocupada,Regular,A nivel,31,4
-58.46859202789471,-34.640794033142804,324368,7,Bilbao Francisco Av.,3300.0,3307,Melia,4.4,Sobreocupada,Regular,A nivel,18,8
-58.46554683158529,-34.6390596168328,348400,7,Bilbao Francisco Av.,3000.0,3086,Ficus,3.2,Ocupada,Regular,Bajo nivel,4,2
-58.4667974030643,-34.639647481542,345015,7,Bilbao Francisco Av.,3100.0,3169,Ficus,3.2,Ocupada,Regular,Elevada,3,2
-58.4665950818474,-34.6395168504682,345018,7,Bilbao Francisco Av.,3100.0,3147,Jacaranda,3.2,Ocupada,Regular,A nivel,14,7
-58.46650079140329,-34.639458016526,345019,7,Bilbao Francisco Av.,3100.0,3137,Lagerstroemia,3.2,Ocupada,Regular,Elevada,15,8
-58.466445399436104,-34.6394212382901,345020,7,Bilbao Francisco Av.,3100.0,3131,Melia,3.2,Ocupada,Regular,A nivel,46,10
-58.466351258814,-34.6393624997962,345021,7,Bilbao Francisco Av.,3100.0,3123,Ficus,3.2,Ocupada,Regular,Elevada,14,7
-58.4673816639155,-34.640027955638,345095,7,Bilbao Francisco Av.,3200.0,3203,Melia,3.6,Ocupada,Regular,A nivel,35,11
-58.46694292265921,-34.6397404337103,345013,7,Bilbao Francisco Av.,3100.0,3177,Melia,3.2,Ocupada,Regular,A nivel,27,10
-58.466869558621205,-34.639693571714304,345014,7,Bilbao Francisco Av.,3100.0,3175,Melia,3.2,Ocupada,Regular,A nivel,37,14
-58.4581398421873,-34.6339160039514,341815,7,Bilbao Francisco Av.,2200.0,2276,Lagerstroemia,2.4,Ocupada,Regular,Elevada,6,3
-58.4589989938233,-34.6341831483816,341825,7,Bilbao Francisco Av.,2300.0,2332,Tilia,2.4,Sobreocupada,Regular,Bajo nivel,41,7
-58.4552658745745,-34.6330149879411,334957,7,Bilbao Francisco Av.,2000.0,2026,Jacaranda,3,Ocupada,Regular,Elevada,20,6
-58.4628521466508,-34.6370711026338,339439,7,Bilbao Francisco Av.,2700.0,2729,Melia,3.4,Ocupada,Regular,A nivel,62,11
-58.462946406940794,-34.6371325855548,339441,7,Bilbao Francisco Av.,2700.0,2737,Melia,3.4,Ocupada,Regular,A nivel,55,12
-58.46300836649179,-34.637172999643504,339442,7,Bilbao Francisco Av.,2700.0,2757,Ficus,3.4,Ocupada,Regular,A nivel,28,9
-58.4640627420942,-34.6378689918331,339459,7,Bilbao Francisco Av.,2800.0,2885,Ficus,3.4,Ocupada,Regular,Elevada,5,2
-58.46414452995379,-34.637920467313,339460,7,Bilbao Francisco Av.,2800.0,2897,Jacaranda,3.4,Sobreocupada,Regular,A nivel,25,9
-58.464293254763696,-34.638016682301995,339463,7,Bilbao Francisco Av.,2800.0,2925,Tilia,3.4,Ocupada,Regular,A nivel,26,9
-58.4564063540493,-34.6333771018137,334997,7,Bilbao Francisco Av.,2100.0,2124,Lagerstroemia,2.5,Ocupada,Regular,Bajo nivel,3,2
-58.4649593231988,-34.6384628488591,339490,7,Bilbao Francisco Av.,3000.0,3009,Melia,3.2,Ocupada,Regular,A nivel,32,10
-58.4649593231988,-34.6384628488591,339491,7,Bilbao Francisco Av.,3000.0,3011,Melia,3.2,Ocupada,Regular,A nivel,40,11
-58.46518806412,-34.6386072948065,339492,7,Bilbao Francisco Av.,3000.0,3037,Ficus,3.2,Ocupada,Regular,A nivel,14,3
-58.4542434408197,-34.6326113847471,333079,7,Bilbao Francisco Av.,1900.0,1919,Ficus,2.8,Ocupada,Regular,Elevada,35,3
-58.4540932834419,-34.6326436999489,333150,7,Bilbao Francisco Av.,1900.0,1910,Ficus,6,Ocupada,Ochava,Elevada,25,2
-58.4516695585045,-34.6317939753626,332534,7,Bilbao Francisco Av.,1700.0,1705,Lagerstroemia,2.8,Ocupada,Regular,A nivel,10,4
-58.4518475532024,-34.6318504640624,332536,7,Bilbao Francisco Av.,1700.0,1713,Ficus,2.8,Ocupada,Regular,A nivel,38,4
-58.4521561734168,-34.631948407519005,332539,7,Bilbao Francisco Av.,1700.0,1755,Tilia,2.8,Sobreocupada,Regular,Elevada,32,9
-58.45231416352549,-34.631998546657904,332542,7,Bilbao Francisco Av.,1700.0,1767,Ficus,2.8,Sobreocupada,Regular,Elevada,32,10
-58.459952125037496,-34.634995204812896,364832,7,Bilbao Francisco Av.,2300.0,2384,Ficus,3.2,Ocupada,Ochava,Elevada,24,2
-58.4662761146587,-34.6395316637151,366200,7,Bilbao Francisco Av.,3100.0,3130,Platanus,3.2,Ocupada,Regular,A nivel,83,18
-58.4664240620757,-34.6396280695648,366201,7,Bilbao Francisco Av.,3100.0,3140,Platanus,3.2,Ocupada,Regular,A nivel,91,21
-58.4664240620757,-34.6396280695648,366202,7,Bilbao Francisco Av.,3100.0,3142,Melia,3.2,Ocupada,Regular,Elevada,44,14
-58.460316658801496,-34.6353269017696,364782,7,Bilbao Francisco Av.,2400.0,2418,Ficus,3.2,Ocupada,Regular,A nivel,23,4
