long,lat,nro_registro,comuna,calle_nombre,calle_altura,calle_chapa,nombre_cientifico,ancho_acera,estado_plantera,ubicacion_plantera,nivel_plantera,diametro_altura_pecho,altura_arbol
-58.4170380393129,-34.616092996553,2085,5,Boedo Av.,300.0,317.0,Jacaranda,3.2,Ocupada,Regular,NA,31,17
-58.4160391010326,-34.6385214151051,2226,5,Boedo Av.,2000.0,2067.0,Jacaranda,3.9699999999999998,Ocupada,Regular,A nivel,3,3
-58.4160811988748,-34.6383512681086,2227,5,Boedo Av.,2000.0,2059.0,Platanus,3.9699999999999998,Ocupada,Regular,A nivel,76,24
-58.4160811988748,-34.6383512681086,2229,5,Boedo Av.,2000.0,2059.0,Platanus,3.9699999999999998,Ocupada,Regular,A nivel,64,25
-58.4160391010326,-34.6385214151051,2230,5,Boedo Av.,2000.0,2071.0,Jacaranda,3.9699999999999998,Ocupada,Regular,A nivel,4,3
-58.4169954758006,-34.6153991374677,3674,5,Boedo Av.,200.0,290.0,Platanus,3.8,Ocupada,Regular,A nivel,27,11
-58.4170074132634,-34.6153022869737,3676,5,Boedo Av.,200.0,278.0,Platanus,3.8,Ocupada,Regular,A nivel,46,12
-58.4169954758006,-34.6153991374677,3679,5,Boedo Av.,200.0,290.0,Platanus,3.8,Ocupada,Regular,A nivel,56,13
-58.417272778641504,-34.6141321404196,3713,5,Boedo Av.,200.0,215.0,Melia,4.64,Ocupada,Regular,A nivel,11,12
-58.417272778641504,-34.6141321404196,3714,5,Boedo Av.,200.0,211.0,Platanus,4.64,Ocupada,Regular,A nivel,49,23
-58.417047789198506,-34.6159960465485,3884,5,Boedo Av.,300.0,309.0,Ficus,NA,Ocupada,NA,A nivel,8,7
-58.417192447061794,-34.6147879053661,4355,5,Boedo Av.,200.0,241.0,Platanus,3.4,Ocupada,Regular,A nivel,45,20
-58.4170380393129,-34.616092996553,4373,5,Boedo Av.,300.0,317.0,Jacaranda,3.2,Ocupada,Regular,A nivel,3,3
-58.4161724372408,-34.6335017591398,7359,5,Boedo Av.,1600.0,1655.0,Platanus,3.8,Ocupada,Regular,A nivel,69,27
-58.416180366119605,-34.633632328671105,7361,5,Boedo Av.,1600.0,1669.0,Ficus,3.8,Ocupada,Regular,Bajo nivel,19,13
-58.416186656102,-34.6337359094369,7363,5,Boedo Av.,1600.0,1681.0,Tilia,3.8,Ocupada,Regular,A nivel,35,9
-58.416191403214704,-34.6338140824486,7372,5,Boedo Av.,1600.0,1685.0,Platanus,3.8,Ocupada,Regular,Bajo nivel,64,22
-58.4161961845823,-34.6338928196696,7373,5,Boedo Av.,1600.0,1687.0,Platanus,3.8,Ocupada,Regular,A nivel,0,20
-58.4161961845823,-34.6338928196696,7374,5,Boedo Av.,1600.0,1691.0,Platanus,3.8,Ocupada,Regular,A nivel,46,20
-58.4161980724084,-34.6339239072821,7375,5,Boedo Av.,1600.0,1695.0,Platanus,3.8,Ocupada,Regular,A nivel,65,21
-58.4162864508667,-34.6360056856278,8463,5,Boedo Av.,1800.0,1897.0,Platanus,3.8,Ocupada,Regular,A nivel,93,16
-58.4162848420129,-34.635910922197105,8464,5,Boedo Av.,1800.0,1885.0,Platanus,3.8,Ocupada,Regular,A nivel,52,18
-58.4162833003326,-34.6358201159943,8466,5,Boedo Av.,1800.0,1837.0,Platanus,3.8,Ocupada,Regular,A nivel,53,21
-58.4162817542314,-34.6357290486158,8467,5,Boedo Av.,1800.0,1825.0,Platanus,3.8,Ocupada,Regular,A nivel,90,21
-58.4162797919867,-34.6356134698342,8468,5,Boedo Av.,1800.0,1813.0,Platanus,3.8,Ocupada,Regular,A nivel,58,22
-58.4162778769909,-34.6355006742995,8469,5,Boedo Av.,1800.0,1805.0,Platanus,3.8,Ocupada,Ochava,A nivel,91,21
-58.4162797919867,-34.6356134698342,8470,5,Boedo Av.,1800.0,1813.0,Platanus,3.8,Ocupada,Regular,A nivel,56,22
-58.4160897818846,-34.6320526508822,8544,5,Boedo Av.,1500.0,1551.0,Platanus,4.5,Ocupada,Regular,A nivel,44,22
-58.4160931720222,-34.632116270297296,8548,5,Boedo Av.,1500.0,1553.0,Platanus,4.5,Ocupada,Regular,A nivel,51,22
-58.416097864505,-34.6322043292207,8551,5,Boedo Av.,1500.0,1561.0,Ficus,4.5,Ocupada,Regular,A nivel,7,2
