long,lat,nro_registro,comuna,calle_nombre,calle_altura,calle_chapa,nombre_cientifico,ancho_acera,estado_plantera,ubicacion_plantera,nivel_plantera,diametro_altura_pecho,altura_arbol
-58.427236461331994,-34.658267574831,515376,4,Bonorino Esteban Cnel. Av.,3300,3388,Platanus,4.4,Ocupada,Ochava,A Nivel,113,14
-58.4285662749379,-34.6573161989944,515696,4,Bonorino Esteban Cnel. Av.,3200,3218,Tilia,4.4,Sobreocupada,Regular,A Nivel,41,6
-58.4293318907351,-34.6567662659174,515996,4,Bonorino Esteban Cnel. Av.,3100,3126,Tilia,4.4,Ocupada,Regular,A Nivel,33,9
-58.4291891615711,-34.656869262939104,515998,4,Bonorino Esteban Cnel. Av.,3100,3150,Melia,4.4,Ocupada,Regular,A Nivel,53,12
-58.4289744177403,-34.6570242268125,515999,4,Bonorino Esteban Cnel. Av.,3100,3178,Melia,4.4,Ocupada,Regular,A Nivel,74,12
-58.4289744177403,-34.6570242268125,516000,4,Bonorino Esteban Cnel. Av.,3100,3178,Melia,4.4,Ocupada,Regular,A Nivel,42,9
-58.425977041681605,-34.6592810044401,518509,4,Bonorino Esteban Cnel. Av.,3500,3416,Melia,4,Ocupada,Regular,A Nivel,59,9
-58.425977041681605,-34.6592810044401,518510,4,Bonorino Esteban Cnel. Av.,3500,3416,Melia,4,Ocupada,Regular,A Nivel,54,8
-58.425977041681605,-34.6592810044401,518511,4,Bonorino Esteban Cnel. Av.,3500,3416,Melia,4,Ocupada,Regular,A Nivel,55,7
-58.42545712728579,-34.6602200422809,518534,4,Bonorino Esteban Cnel. Av.,3600,3526,Ficus,4,Sobreocupada,Regular,A Nivel,13,4
-58.459611069378205,-34.628395770237304,309159,7,Bonorino Esteban Cnel. Av.,0.0,32,Ficus,2.8,Ocupada,Regular,Elevada,13,3
-58.4578565490895,-34.6323656976642,328564,7,Bonorino Esteban Cnel. Av.,300.0,393,Tilia,2.8,Ocupada,Regular,A nivel,39,15
