long,lat,nro_registro,comuna,calle_nombre,calle_altura,calle_chapa,nombre_cientifico,ancho_acera,estado_plantera,ubicacion_plantera,nivel_plantera,diametro_altura_pecho,altura_arbol
-58.3641723210979,-34.624957273647496,410066,1,Brasil Av.,NA,37.0,Ficus,2.8,Ocupada,Regular,A nivel,21,6
-58.389862727554,-34.629182738530304,413757,1,Brasil Av.,1700.0,1730.0,Ficus,2.6,Ocupada,Regular,A nivel,5,4
-58.38490469771111,-34.628326451099,413794,1,Brasil Av.,1300.0,1334.0,Ficus,2.5,Ocupada,Regular,Bajo nivel,11,6
-58.38490469771111,-34.628326451099,413626,1,Brasil Av.,1300.0,1334.0,Ficus,2.5,Ocupada,Regular,A nivel,8,4
-58.389151034381506,-34.628979227544,420273,1,Brasil Av.,1600.0,1695.0,Tilia,2.8,Ocupada,Regular,A nivel,3,2
-58.39033957441521,-34.6291849449162,420321,1,Brasil Av.,1750.0,1771.0,Tilia,2.6,Ocupada,Regular,Elevada,3,3
-58.389528111540095,-34.629044164894,419449,1,Brasil Av.,1700.0,1725.0,Melia,2.6,Ocupada,Regular,A nivel,35,10
-58.3897112325305,-34.6290758730378,419450,1,Brasil Av.,1700.0,1739.0,Tilia,2.6,Ocupada,Regular,A nivel,5,3
-58.3898032296345,-34.6290918026458,419451,1,Brasil Av.,1700.0,1749.0,Tilia,2.6,Ocupada,Regular,A nivel,4,3
-58.3901661511272,-34.629154915236896,419452,1,Brasil Av.,1700.0,1755.0,Tilia,2.6,Ocupada,Regular,A nivel,4,3
-58.3904792375751,-34.629209128593104,420409,1,Brasil Av.,1700.0,1789.0,Ficus,2.6,Ocupada,Regular,A nivel,34,10
-58.3906249364182,-34.629314447694,420410,1,Brasil Av.,1700.0,1792.0,Ficus,2.6,Ocupada,Ochava,A nivel,24,3
-58.3890028708325,-34.6290334715423,415704,1,Brasil Av.,1600.0,1688.0,Tilia,2.8,Ocupada,Regular,A nivel,19,4
-58.3641723210979,-34.624957273647496,500607,1,Brasil Av.,0.0,37.0,Ficus,3.2,Ocupada,Regular,A Nivel,24,7
-58.3979623659956,-34.630811604513895,343242,4,Brasil Av.,2400,2408,Jacaranda,3,Ocupada,Regular,A nivel,22,9
-58.396511032904904,-34.6305041661087,343293,4,Brasil Av.,2300,2316,Platanus,3.4,Ocupada,Ochava,A nivel,41,11
-58.396693397210505,-34.6305386692976,343296,4,Brasil Av.,2300,2332,Platanus,3.4,Ocupada,Regular,Elevada,27,10
-58.3967866564934,-34.630556313777106,343297,4,Brasil Av.,2300,2360,Platanus,3.4,Ocupada,Regular,A nivel,17,11
-58.39700197577729,-34.630597051455496,343299,4,Brasil Av.,2300,2370,Tilia,3.4,Ocupada,Regular,A nivel,33,10
-58.4001289849347,-34.6315518817492,343205,4,Brasil Av.,2500,2570,Platanus,3.2,Ocupada,Regular,A nivel,37,14
-58.4010890204978,-34.631719172154,340621,4,Brasil Av.,2600,2639,Ficus,4,Ocupada,Regular,A nivel,50,9
-58.4012760763651,-34.631792708666396,340622,4,Brasil Av.,2600,2663,Jacaranda,4,Ocupada,Regular,A nivel,3,3
-58.403455733051096,-34.6326573155527,338409,4,Brasil Av.,2800,2823,Tilia,4,Ocupada,Regular,Elevada,25,4
-58.4068748302401,-34.6338726425041,338487,4,Brasil Av.,3000,3047,Ficus,4.4,Sobreocupada,Regular,Elevada,4,2
-58.403455733051096,-34.6326573155527,338545,4,Brasil Av.,2800,2819,Tilia,4,Ocupada,Regular,Elevada,17,4
-58.403579375175,-34.632706466524,338546,4,Brasil Av.,2800,2833,Platanus,4,Ocupada,Regular,Elevada,24,7
-58.3931301307662,-34.6296694385038,365284,4,Brasil Av.,2200,2290,Jacaranda,8.2,Ocupada,Regular,Bajo nivel,31,7
-58.3940209759248,-34.6298380420355,365288,4,Brasil Av.,2200,2242,Jacaranda,8.2,Ocupada,Regular,Elevada,64,9
-58.39409521318901,-34.629852092034696,365289,4,Brasil Av.,2200,2238,Jacaranda,8.2,Ocupada,Regular,Elevada,36,10
-58.3943921624754,-34.6299082915787,365290,4,Brasil Av.,2200,2222,Jacaranda,8.2,Ocupada,Regular,Elevada,50,10
-58.394138406886206,-34.6300676821696,365300,4,Brasil Av.,1900,1988,Platanus,3.2,Ocupada,Regular,A nivel,23,9
-58.3940606260689,-34.6300529615512,365304,4,Brasil Av.,1900,1960,Platanus,3.2,Ocupada,Regular,A nivel,30,13
-58.4053982373351,-34.6335458393432,357817,4,Brasil Av.,2900,2962,Ficus,4.8,Sobreocupada,Regular,Elevada,12,6
-58.4053982373351,-34.6335458393432,357818,4,Brasil Av.,2900,2964,Ficus,4.8,Sobreocupada,Regular,Elevada,22,6
-58.4021482686405,-34.6321310023855,350765,4,Brasil Av.,2700,2707,Tilia,4.8,Ocupada,Regular,A nivel,31,6
-58.4022638240443,-34.6321764339551,350766,4,Brasil Av.,2700,2715,Ficus,4.8,Ocupada,Regular,Elevada,27,6
-58.40243443180471,-34.6322435095138,350768,4,Brasil Av.,2700,2731,Ficus,4.8,Ocupada,Regular,A nivel,20,5
-58.4025183750811,-34.6322765122408,350769,4,Brasil Av.,2700,2741,Ficus,4.8,Ocupada,Regular,Elevada,22,6
-58.40261064478621,-34.632500113034396,353525,4,Brasil Av.,2700,2762,Platanus,4.8,Ocupada,Regular,A nivel,25,9
