long,lat,nro_registro,comuna,calle_nombre,calle_altura,calle_chapa,nombre_cientifico,ancho_acera,estado_plantera,ubicacion_plantera,nivel_plantera,diametro_altura_pecho,altura_arbol
-58.3600169875216,-34.6335757778584,268860,4,Brown Almirante Av.,900,987,Platanus,3.5,Ocupada,Regular,A nivel,12,4
-58.3602072389616,-34.6332526507766,268864,4,Brown Almirante Av.,900,947,Ficus,3.5,Ocupada,Regular,A nivel,38,7
-58.3586384377985,-34.635927610233004,265953,4,Brown Almirante Av.,1200,1281,Jacaranda,3.2,Ocupada,Regular,A nivel,3,2
-58.3642257358119,-34.629645492515806,277405,4,Brown Almirante Av.,400,464,Platanus,7.2,Ocupada,Regular,A nivel,86,12
-58.364447246675205,-34.6294996556452,277408,4,Brown Almirante Av.,400,424,Platanus,7.2,Ocupada,Regular,A nivel,99,15
-58.364521289834606,-34.6294509073955,277409,4,Brown Almirante Av.,400,418,Platanus,7.2,Ocupada,Regular,A nivel,81,15
-58.36459446716739,-34.629402729073,277410,4,Brown Almirante Av.,400,406,Platanus,7.2,Ocupada,Regular,A nivel,79,15
-58.3638447599061,-34.6298954234658,277432,4,Brown Almirante Av.,500,506,Platanus,7.2,Ocupada,Regular,A nivel,96,15
-58.3594542811412,-34.634232712888604,277016,4,Brown Almirante Av.,1000,1100,Jacaranda,3.2,Sobreocupada,Regular,Bajo nivel,4,3
-58.3594542811412,-34.634232712888604,277019,4,Brown Almirante Av.,1000,1100,Jacaranda,3.2,Ocupada,Regular,A nivel,36,10
-58.3638447599061,-34.6298954234658,273112,4,Brown Almirante Av.,500,506,Platanus,6.9,Ocupada,Ochava,A nivel,110,19
-58.3625297361935,-34.6307646566965,273174,4,Brown Almirante Av.,600,674,Platanus,6.6,Ocupada,Regular,A nivel,98,20
-58.36256516603721,-34.630741330125105,273175,4,Brown Almirante Av.,600,670,Platanus,6.6,Ocupada,Regular,A nivel,62,19
-58.3626183107548,-34.630706340246704,273176,4,Brown Almirante Av.,600,664,Platanus,6.6,Ocupada,Regular,A nivel,78,20
-58.3627000047721,-34.6306525537304,273177,4,Brown Almirante Av.,600,650,Platanus,6.6,Ocupada,Regular,A nivel,43,19
-58.3627000047721,-34.6306525537304,273178,4,Brown Almirante Av.,600,650,Platanus,6.6,Ocupada,Regular,A nivel,90,20
-58.3615644385692,-34.6313984624779,284528,4,Brown Almirante Av.,700,752,Platanus,6.9,Ocupada,Regular,A nivel,7,5
-58.3648229776058,-34.6295926530025,294446,4,Brown Almirante Av.,300,401,Platanus,6.8,Ocupada,Regular,Bajo nivel,57,17
-58.3648229776058,-34.6295926530025,294447,4,Brown Almirante Av.,300,401,Platanus,6.8,Ocupada,Regular,Bajo nivel,50,18
-58.3648229776058,-34.6295926530025,294448,4,Brown Almirante Av.,300,401,Jacaranda,6.8,Ocupada,Regular,Bajo nivel,4,3
-58.3648229776058,-34.6295926530025,294449,4,Brown Almirante Av.,300,401,Platanus,6.8,Ocupada,Regular,A nivel,46,16
-58.3648229776058,-34.6295926530025,294450,4,Brown Almirante Av.,300,401,Platanus,6.8,Ocupada,Regular,A nivel,47,18
-58.3648229776058,-34.6295926530025,294451,4,Brown Almirante Av.,300,401,Platanus,6.8,Ocupada,Regular,A nivel,44,19
-58.3648229776058,-34.6295926530025,294452,4,Brown Almirante Av.,300,401,Platanus,6.8,Ocupada,Regular,Bajo nivel,54,20
-58.3648229776058,-34.6295926530025,294453,4,Brown Almirante Av.,300,401,Platanus,6.8,Ocupada,Regular,A nivel,51,18
-58.3648229776058,-34.6295926530025,294454,4,Brown Almirante Av.,300,401,Platanus,6.8,Ocupada,Regular,Bajo nivel,75,22
-58.3648229776058,-34.6295926530025,294455,4,Brown Almirante Av.,300,401,Platanus,6.8,Ocupada,Regular,A nivel,2,3
-58.3648229776058,-34.6295926530025,294456,4,Brown Almirante Av.,300,401,Platanus,6.8,Ocupada,Regular,A nivel,58,19
-58.3648229776058,-34.6295926530025,294457,4,Brown Almirante Av.,300,401,Platanus,6.8,Ocupada,Regular,Bajo nivel,51,18
-58.3648229776058,-34.6295926530025,294458,4,Brown Almirante Av.,400,401,Platanus,6.8,Ocupada,Regular,A nivel,49,21
-58.3648229776058,-34.6295926530025,294459,4,Brown Almirante Av.,400,401,Platanus,6.8,Ocupada,Regular,A nivel,48,12
-58.3648229776058,-34.6295926530025,294460,4,Brown Almirante Av.,400,401,Platanus,6.8,Ocupada,Regular,A nivel,2,2
-58.3648229776058,-34.6295926530025,294461,4,Brown Almirante Av.,400,401,Platanus,6.8,Ocupada,Regular,Bajo nivel,54,21
-58.3648229776058,-34.6295926530025,294462,4,Brown Almirante Av.,400,401,Platanus,6.8,Ocupada,Regular,Bajo nivel,49,20
-58.3648229776058,-34.6295926530025,294463,4,Brown Almirante Av.,400,401,Platanus,6.8,Ocupada,Regular,Bajo nivel,57,18
-58.3648229776058,-34.6295926530025,294464,4,Brown Almirante Av.,400,401,Platanus,6.8,Ocupada,Regular,Bajo nivel,59,17
-58.364575291983,-34.6297575559983,294465,4,Brown Almirante Av.,400,473,Platanus,6.8,Ocupada,Regular,Bajo nivel,63,22
-58.3637109819114,-34.6303274374548,294479,4,Brown Almirante Av.,500,549,Platanus,6.8,Ocupada,Regular,A nivel,70,18
-58.3637109819114,-34.6303274374548,294480,4,Brown Almirante Av.,500,549,Platanus,6.8,Ocupada,Regular,A nivel,51,18
-58.3637109819114,-34.6303274374548,294482,4,Brown Almirante Av.,500,549,Platanus,6.8,Ocupada,Regular,Bajo nivel,57,16
-58.3637109819114,-34.6303274374548,294483,4,Brown Almirante Av.,500,549,Platanus,6.8,Ocupada,Regular,Bajo nivel,44,17
-58.3637109819114,-34.6303274374548,294484,4,Brown Almirante Av.,500,549,Platanus,6.8,Ocupada,Regular,Bajo nivel,44,16
-58.3637109819114,-34.6303274374548,294485,4,Brown Almirante Av.,500,549,Platanus,6.8,Ocupada,Regular,Bajo nivel,55,16
-58.3637109819114,-34.6303274374548,294486,4,Brown Almirante Av.,500,549,Platanus,6.8,Ocupada,Regular,A nivel,60,19
-58.3631237034622,-34.6307105802613,294511,4,Brown Almirante Av.,600,633,Platanus,6.8,Ocupada,Regular,A nivel,61,18
-58.3631237034622,-34.6307105802613,294512,4,Brown Almirante Av.,600,633,Platanus,6.8,Ocupada,Regular,A nivel,41,19
-58.3631237034622,-34.6307105802613,294513,4,Brown Almirante Av.,600,633,Platanus,6.8,Ocupada,Regular,A nivel,60,17
-58.3631237034622,-34.6307105802613,294514,4,Brown Almirante Av.,600,633,Platanus,6.8,Ocupada,Regular,A nivel,2,2
-58.3631237034622,-34.6307105802613,294515,4,Brown Almirante Av.,600,633,Platanus,6.8,Ocupada,Regular,A nivel,57,18
-58.3631237034622,-34.6307105802613,294518,4,Brown Almirante Av.,600,633,Platanus,6.8,Ocupada,Regular,A nivel,2,3
-58.3631237034622,-34.6307105802613,294516,4,Brown Almirante Av.,600,633,Platanus,6.8,Ocupada,Regular,A nivel,57,20
-58.3631237034622,-34.6307105802613,294517,4,Brown Almirante Av.,600,633,Platanus,6.8,Ocupada,Regular,A nivel,2,2
