long,lat,nro_registro,comuna,calle_nombre,calle_altura,calle_chapa,nombre_cientifico,ancho_acera,estado_plantera,ubicacion_plantera,nivel_plantera,diametro_altura_pecho,altura_arbol
-58.4911201934143,-34.6458613980172,296362,9,Bruix Av.,4600,4699,Platanus,6,Ocupada,Ochava,Elevada,52,11
-58.4911201934143,-34.6458613980172,296363,9,Bruix Av.,4600,4695,Platanus,6,Ocupada,Regular,Elevada,58,12
-58.4908339054404,-34.6459359293274,296365,9,Bruix Av.,4600,4673,Platanus,6,Ocupada,Regular,A nivel,80,17
-58.4903237901806,-34.646068729172896,296369,9,Bruix Av.,4600,4651,Lagerstroemia,6,Ocupada,Regular,A nivel,13,4
-58.490142599544,-34.6461158984425,296370,9,Bruix Av.,4600,4637,Platanus,6,Ocupada,Regular,A nivel,95,16
-58.4900524392888,-34.6461393697042,296372,9,Bruix Av.,4600,4631,Platanus,6,Ocupada,Regular,A nivel,79,15
-58.4899625297517,-34.64616277561711,296373,9,Bruix Av.,4600,4625,Platanus,6,Ocupada,Regular,A nivel,75,11
-58.48987467764339,-34.646185645848604,296374,9,Bruix Av.,4600,4621,Platanus,6,Ocupada,Regular,A nivel,84,9
-58.4897836946404,-34.6462093310695,296375,9,Bruix Av.,4600,4617,Tilia,6,Ocupada,Regular,A nivel,30,5
-58.489701075101394,-34.6462308389667,296376,9,Bruix Av.,4600,4607,Platanus,6,Ocupada,Ochava,A nivel,92,16
-58.489421781058205,-34.646303427669395,296385,9,Bruix Av.,4500,4597,Platanus,6,Ocupada,Ochava,A nivel,92,15
-58.48933485750361,-34.646325727722996,296386,9,Bruix Av.,4500,4591,Platanus,6,Ocupada,Regular,A nivel,81,15
-58.4891322453646,-34.6463783127028,296387,9,Bruix Av.,4500,4575,Platanus,6,Ocupada,Regular,Elevada,70,16
-58.489035562456294,-34.6464034051912,296388,9,Bruix Av.,4500,4569,Platanus,6,Ocupada,Regular,Elevada,57,15
-58.4889604904084,-34.646422888881396,296389,9,Bruix Av.,4500,4563,Platanus,6,Ocupada,Regular,A nivel,55,16
-58.4888619377219,-34.6464484664884,296390,9,Bruix Av.,4500,4553,Platanus,6,Ocupada,Regular,A nivel,57,17
-58.488837299529294,-34.646454860847,296391,9,Bruix Av.,4500,4551,Platanus,6,Ocupada,Ochava,A nivel,64,13
-58.48712770998779,-34.6470178287288,296404,9,Bruix Av.,4400,4450,Platanus,6,Ocupada,Regular,A nivel,182,11
-58.487285885767704,-34.6469790025318,296405,9,Bruix Av.,4400,4456,Platanus,6,Ocupada,Regular,A nivel,56,15
-58.487361982182705,-34.646960323609,296406,9,Bruix Av.,4400,4466,Platanus,6,Ocupada,Regular,A nivel,54,15
-58.4874967101157,-34.646927252687505,296407,9,Bruix Av.,4400,4472,Jacaranda,6,Sobreocupada,Regular,A nivel,26,7
-58.4874967101157,-34.646927252687505,296409,9,Bruix Av.,4400,4472,Platanus,6,Ocupada,Regular,A nivel,70,16
-58.4874967101157,-34.646927252687505,296410,9,Bruix Av.,4400,4472,Platanus,6,Ocupada,Ochava,A nivel,76,17
-58.4745472647015,-34.649578228066304,283617,9,Bruix Av.,3600,3696,Lagerstroemia,2.5,Ocupada,Regular,A nivel,16,5
-58.4738806069197,-34.6496431543538,283622,9,Bruix Av.,3600,3654,Ficus,2.5,Ocupada,Regular,A nivel,40,8
-58.4730215163004,-34.649727535848,283627,9,Bruix Av.,3600,3602,Melia,2.5,Ocupada,Regular,A nivel,52,10
-58.4730215163004,-34.649727535848,283628,9,Bruix Av.,3600,3602,Melia,2.5,Ocupada,Regular,A nivel,46,7
-58.4851031082564,-34.647341783038,280950,9,Bruix Av.,4300,4301,Platanus,4.4,Ocupada,Regular,A nivel,48,7
-58.48562862578939,-34.64722809009189,280951,9,Bruix Av.,4300,4337,Platanus,6,Ocupada,Regular,A nivel,47,7
-58.4857502704992,-34.647201772523395,280952,9,Bruix Av.,4300,4345,Platanus,5.6,Ocupada,Regular,A nivel,52,7
-58.485840788009206,-34.647182189167104,280953,9,Bruix Av.,4300,4353,Platanus,5.6,Ocupada,Regular,A nivel,49,7
-58.485932437723505,-34.6471623608034,280954,9,Bruix Av.,4300,4361,Platanus,5.6,Ocupada,Regular,Bajo nivel,50,7
-58.48602248642071,-34.6471428787004,280955,9,Bruix Av.,4300,4369,Platanus,5.6,Ocupada,Regular,Bajo nivel,53,8
-58.4861011799963,-34.647125853243104,280956,9,Bruix Av.,4300,4373,Platanus,5.6,Sobreocupada,Regular,A nivel,64,8
-58.4862770717272,-34.647087798628895,280958,9,Bruix Av.,4300,4389,Platanus,6,Sobreocupada,Ochava,A nivel,47,8
-58.4929334020229,-34.645393301198396,311172,9,Bruix Av.,4700.0,4797,Platanus,6,Sobreocupada,Ochava,Elevada,61,9
-58.492795693599994,-34.645428924846,311175,9,Bruix Av.,4700.0,4791,Platanus,6,Ocupada,Regular,Elevada,60,10
-58.492708403459304,-34.6454515057358,311176,9,Bruix Av.,4700.0,4785,Platanus,6,Ocupada,Regular,A nivel,61,9
-58.4926192765436,-34.645474561683805,311177,9,Bruix Av.,4700.0,4771,Platanus,6,Ocupada,Regular,A nivel,60,10
-58.4924401575356,-34.6455208971848,311179,9,Bruix Av.,4700.0,4749,Platanus,6,Ocupada,Regular,A nivel,60,10
-58.49252981585,-34.6454977039131,311178,9,Bruix Av.,4700.0,4763,Jacaranda,6,Ocupada,Regular,Bajo nivel,25,9
-58.4923438399992,-34.6455458130253,311180,9,Bruix Av.,4700.0,4741,Platanus,6,Ocupada,Regular,A nivel,58,10
-58.4922388202146,-34.6455729798811,311181,9,Bruix Av.,4700.0,4731,Platanus,6,Sobreocupada,Regular,A nivel,57,11
-58.4920615692179,-34.6456188315087,311182,9,Bruix Av.,4700.0,4719,Melia,6,Ocupada,Regular,A nivel,44,8
-58.4948793203364,-34.644904660822895,311212,9,Bruix Av.,4800.0,4897,Platanus,6,Ocupada,Ochava,Elevada,51,9
-58.4948793203364,-34.644904660822895,311213,9,Bruix Av.,4800.0,4897,Platanus,6,Ocupada,Regular,Elevada,50,9
-58.4948793203364,-34.644904660822895,311214,9,Bruix Av.,4800.0,4897,Platanus,6,Sobreocupada,Regular,Elevada,46,10
-58.49450451234421,-34.6449980723378,311215,9,Bruix Av.,4800.0,4889,Platanus,6,Ocupada,Regular,Elevada,54,10
-58.4944137883012,-34.6450206828065,311216,9,Bruix Av.,4800.0,4885,Platanus,6,Ocupada,Regular,Elevada,57,11
-58.4943239606266,-34.6450430698831,311217,9,Bruix Av.,4800.0,4881,Platanus,6,Ocupada,Regular,Bajo nivel,55,12
-58.494233825658206,-34.6450655333968,311218,9,Bruix Av.,4800.0,4877,Platanus,6,Ocupada,Regular,A nivel,57,13
-58.493869719396294,-34.6451562754974,311221,9,Bruix Av.,4800.0,4849,Platanus,6,Ocupada,Regular,Bajo nivel,70,12
-58.4936886505623,-34.6452014008188,311222,9,Bruix Av.,4800.0,4841,Platanus,6,Ocupada,Regular,A nivel,69,12
-58.4935984974778,-34.645223868292106,311223,9,Bruix Av.,4800.0,4835,Platanus,6,Ocupada,Regular,A nivel,64,12
-58.4935076145502,-34.645246517574,311224,9,Bruix Av.,4800.0,4829,Platanus,6,Ocupada,Regular,A nivel,68,13
-58.49332708704971,-34.6452915073374,311225,9,Bruix Av.,4800.0,4815,Platanus,6,Ocupada,Regular,A nivel,61,11
-58.493219217335394,-34.6453183896708,311226,9,Bruix Av.,4800.0,4809,Platanus,6,Ocupada,Ochava,A nivel,58,9
-58.4917744882716,-34.6458225835011,311260,9,Bruix Av.,4700.0,4710,Platanus,6,Ocupada,Regular,A nivel,75,9
-58.49207418363051,-34.6457450585424,311263,9,Bruix Av.,4700.0,4722,Platanus,6,Ocupada,Regular,A nivel,79,10
-58.4922374829888,-34.645702816053,311265,9,Bruix Av.,4700.0,4738,Platanus,6,Ocupada,Regular,A nivel,49,9
-58.4923448576106,-34.645675040084,311266,9,Bruix Av.,4700.0,4744,Platanus,6,Ocupada,Regular,A nivel,63,9
-58.492434450539896,-34.6456518638466,311267,9,Bruix Av.,4700.0,4750,Melia,6,Ocupada,Regular,Bajo nivel,45,8
-58.492525348716605,-34.6456283498824,311268,9,Bruix Av.,4700.0,4756,Platanus,6,Ocupada,Regular,A nivel,67,9
-58.49279749764089,-34.64555794863,311269,9,Bruix Av.,4700.0,4776,Platanus,6,Ocupada,Regular,A nivel,74,9
-58.4928863707907,-34.645534958193394,311270,9,Bruix Av.,4700.0,4782,Platanus,6,Ocupada,Regular,A nivel,63,10
-58.4929769351727,-34.64551153019,311271,9,Bruix Av.,4700.0,4788,Platanus,6,Ocupada,Regular,Elevada,66,10
-58.4930760606598,-34.645485887400106,311272,9,Bruix Av.,4700.0,4794,Platanus,6,Ocupada,Regular,A nivel,57,10
-58.488390999850104,-34.6467035709766,307012,9,Bruix Av.,4500.0,4510,Platanus,6,Ocupada,Regular,Elevada,45,10
-58.4884856412065,-34.646546126644104,307013,9,Bruix Av.,4500.0,4519,Platanus,6,Ocupada,Regular,A nivel,66,10
-58.488527703308,-34.6466680927118,307014,9,Bruix Av.,4500.0,4520,Platanus,6,Ocupada,Regular,A nivel,59,10
-58.488793342280296,-34.6464662691257,307015,9,Bruix Av.,4500.0,4547,Platanus,6,Ocupada,Regular,A nivel,64,10
-58.48893329358871,-34.6465628298641,307017,9,Bruix Av.,4500.0,4554,Platanus,6,Ocupada,Regular,Bajo nivel,71,11
-58.4888441163531,-34.646585974153,307016,9,Bruix Av.,4500.0,4550,Platanus,6,Sobreocupada,Regular,A nivel,65,11
-58.489052083792295,-34.6465319999541,307018,9,Bruix Av.,4500.0,4566,Platanus,6,Ocupada,Regular,A nivel,68,11
-58.48911182962689,-34.6465164939284,307019,9,Bruix Av.,4500.0,4572,Platanus,6,Sobreocupada,Regular,A nivel,66,10
-58.4892008614676,-34.6464933870956,307020,9,Bruix Av.,4500.0,4576,Platanus,6,Ocupada,Regular,Elevada,62,9
-58.489290196024896,-34.6464702016482,307021,9,Bruix Av.,4500.0,4580,Platanus,6,Ocupada,Regular,Bajo nivel,64,8
-58.48938295028629,-34.6464461285848,307022,9,Bruix Av.,4500.0,4584,Platanus,6,Ocupada,Regular,A nivel,76,11
-58.4894786107287,-34.646421301189605,307023,9,Bruix Av.,4500.0,4590,Platanus,6,Ocupada,Ochava,A nivel,74,11
-58.488441683856706,-34.6465575347824,299907,9,Bruix Av.,4394.0,4515,Platanus,5.6,Ocupada,Regular,A nivel,71,10
-58.486355999852506,-34.6471974677162,299908,9,Bruix Av.,4300.0,4378,Platanus,5.6,Ocupada,Regular,A nivel,89,10
-58.486265866877005,-34.6472169682609,299909,9,Bruix Av.,4300.0,4372,Platanus,5.6,Ocupada,Regular,A nivel,52,5
-58.4861771080282,-34.647236171455695,299910,9,Bruix Av.,4300.0,4368,Platanus,5.6,Ocupada,Regular,A nivel,62,9
-58.4860867050694,-34.647255730325696,299911,9,Bruix Av.,4300.0,4360,Platanus,5.6,Ocupada,Regular,A nivel,59,8
-58.4859967497126,-34.647275192193696,299912,9,Bruix Av.,4300.0,4354,Platanus,5.6,Sobreocupada,Regular,A nivel,57,6
-58.4857176372084,-34.6473355779431,299913,9,Bruix Av.,4300.0,4340,Platanus,5.6,Ocupada,Regular,A nivel,69,12
-58.4857176372084,-34.6473355779431,299915,9,Bruix Av.,4300.0,4338,Platanus,5.6,Ocupada,Regular,A nivel,65,8
-58.485623961137,-34.6473558445092,299916,9,Bruix Av.,4300.0,4336,Platanus,5.6,Ocupada,Regular,A nivel,67,6
-58.4855295392738,-34.6473762723224,299917,9,Bruix Av.,4300.0,4324,Platanus,5.6,Ocupada,Regular,A nivel,67,7
-58.48537138881989,-34.6474104874238,299918,9,Bruix Av.,4300.0,4310,Platanus,5.6,Ocupada,Ochava,A nivel,63,7
-58.471763940004905,-34.649835616291696,298197,9,Bruix Av.,3500.0,3578,Platanus,3.5,Sobreocupada,Regular,Elevada,45,6
-58.4715158197168,-34.6498431295011,298200,9,Bruix Av.,3500.0,3566,Platanus,3.5,Sobreocupada,Regular,Elevada,49,15
-58.4714691321517,-34.649846117048504,298201,9,Bruix Av.,3500.0,3564,Platanus,3.5,Sobreocupada,Regular,Elevada,66,15
-58.474021621000794,-34.649629703564,298202,9,Bruix Av.,3600.0,3662,Ficus,3.5,Sobreocupada,Regular,A nivel,42,3
-58.471186434970996,-34.6498594408339,298205,9,Bruix Av.,3500.0,3556,Tilia,3.5,Ocupada,Regular,A nivel,18,4
-58.47061990432139,-34.6498920717503,298207,9,Bruix Av.,3500.0,3532,Ficus,4,Ocupada,Regular,A nivel,21,3
-58.4705245061452,-34.6498975661141,298213,9,Bruix Av.,3500.0,3522,Ficus,4,Ocupada,Regular,A nivel,13,4
-58.4703343946221,-34.649908515357,298214,9,Bruix Av.,3500.0,3510,Platanus,4,Ocupada,Regular,A nivel,70,13
-58.4703343946221,-34.649908515357,298215,9,Bruix Av.,3500.0,3510,Ficus,4,Ocupada,Regular,A nivel,67,5
-58.488441683856706,-34.6465575347824,318154,9,Bruix Av.,4500.0,4515,Platanus,5.8,Ocupada,Regular,A nivel,27,7
-58.488441683856706,-34.6465575347824,318155,9,Bruix Av.,4500.0,4515,Platanus,5.8,Ocupada,Regular,A nivel,75,9
-58.48718696168589,-34.646872462115,318120,9,Bruix Av.,4400.0,4417,Platanus,5.8,Ocupada,Regular,A nivel,65,9
