long,lat,nro_registro,comuna,calle_nombre,calle_altura,calle_chapa,nombre_cientifico,ancho_acera,estado_plantera,ubicacion_plantera,nivel_plantera,diametro_altura_pecho,altura_arbol
-58.4709847765598,-34.5455492814885,120120,12,Cabildo Av.,4100.0,4174.0,Jacaranda,5,Ocupada,Regular,Bajo nivel,26,7
-58.472591271128906,-34.5433740056993,125892,12,Cabildo Av.,4400.0,4466.0,Jacaranda,4.8,Ocupada,Regular,A nivel,23,9
-58.472996163416006,-34.542825472546504,125987,12,Cabildo Av.,4500.0,4516.0,Jacaranda,4.4,Ocupada,Regular,A nivel,31,12
-58.473242686171105,-34.5424923537741,126026,12,Cabildo Av.,4500.0,4586.0,Jacaranda,4.4,Ocupada,Regular,A nivel,28,13
-58.47329774120689,-34.5424179591288,126038,12,Cabildo Av.,4500.0,4594.0,Jacaranda,4.4,Ocupada,Regular,A nivel,7,6
-58.4694638459845,-34.5475601144199,127650,12,Cabildo Av.,3800.0,3892.0,Jacaranda,4.4,Ocupada,Regular,A nivel,8,6
-58.469262691027495,-34.5478196390951,127651,12,Cabildo Av.,3800.0,3852.0,Jacaranda,4.4,Ocupada,Regular,A nivel,16,4
-58.472103484988,-34.544032377058805,131379,12,Cabildo Av.,4300.0,4392.0,Jacaranda,4.8,Ocupada,Regular,A nivel,3,2
-58.4715107807883,-34.544832776827896,131198,12,Cabildo Av.,420.0,4268.0,Jacaranda,4.8,Ocupada,Regular,A nivel,5,2
-58.4715107807883,-34.544832776827896,131199,12,Cabildo Av.,4200.0,4276.0,Jacaranda,4.8,Ocupada,Regular,A nivel,8,6
-58.471835727700395,-34.5443942446984,131552,12,Cabildo Av.,4300.0,4316.0,Jacaranda,4.8,Ocupada,Regular,A nivel,32,9
-58.4685075156918,-34.548769660497896,144368,12,Cabildo Av.,3700.0,3750.0,Jacaranda,4.5,Ocupada,Regular,Bajo nivel,23,6
-58.4700164916851,-34.5468670203846,384757,12,Cabildo Av.,4000,4000.0,Jacaranda,3,Ocupada,Regular,A nivel,20,5
-58.4700164916851,-34.5468670203846,384758,12,Cabildo Av.,4000,4000.0,Jacaranda,3,Ocupada,Regular,A nivel,22,7
-58.4700164916851,-34.5468670203846,384759,12,Cabildo Av.,4000,4000.0,Jacaranda,3,Ocupada,Regular,A nivel,23,7
-58.4685075156918,-34.548769660497896,372328,12,Cabildo Av.,3750,3750.0,Jacaranda,10,Ocupada,Regular,A nivel,3,2
-58.4685075156918,-34.548769660497896,372331,12,Cabildo Av.,3750,3750.0,Jacaranda,10,Ocupada,Regular,A nivel,3,2
-58.4685075156918,-34.548769660497896,372334,12,Cabildo Av.,3750,3750.0,Jacaranda,10,Ocupada,Regular,A nivel,8,4
-58.474401070081704,-34.5409310807266,541477,12,Cabildo Av.,4700,4774.0,Melia,5.2,Ocupada,Regular,A Nivel,48,10
-58.474401070081704,-34.5409310807266,541478,12,Cabildo Av.,4700,4774.0,Tilia,5.2,Ocupada,Regular,Bajo Nivel,25,9
-58.474250879172494,-34.5411340494,541479,12,Cabildo Av.,4700,4750.0,Jacaranda,5.2,Ocupada,Regular,A Nivel,22,9
-58.4742136198436,-34.5411844016379,541480,12,Cabildo Av.,4700,4744.0,Melia,5.2,Ocupada,Regular,Bajo Nivel,46,10
-58.474046231691894,-34.5414106090223,541481,12,Cabildo Av.,4700,4710.0,Jacaranda,5.2,Ocupada,Regular,A Nivel,28,6
-58.4737002165143,-34.5418783351111,541493,12,Cabildo Av.,4600,4658.0,Jacaranda,5,Ocupada,Regular,A Nivel,28,6
-58.4735873191302,-34.5420309048501,541494,12,Cabildo Av.,4600,4646.0,Jacaranda,5,Ocupada,Regular,A Nivel,21,6
-58.47047795649551,-34.5457726165164,76190,13,Cabildo Av.,4100,4125.0,Jacaranda,4.6,Ocupada,Regular,A nivel,13,6
-58.47047795649551,-34.5457726165164,76191,13,Cabildo Av.,4100,4125.0,Jacaranda,4.6,Ocupada,Regular,Bajo nivel,2,2
-58.470439058851795,-34.545825248042604,76193,13,Cabildo Av.,4100,4115.0,Jacaranda,4.6,Ocupada,Regular,Bajo nivel,15,7
-58.4703814715568,-34.5459031679666,76194,13,Cabildo Av.,4100,4109.0,Jacaranda,4.6,Ocupada,Regular,Bajo nivel,16,5
