long,lat,nro_registro,comuna,calle_nombre,calle_altura,calle_chapa,nombre_cientifico,ancho_acera,estado_plantera,ubicacion_plantera,nivel_plantera,diametro_altura_pecho,altura_arbol
-58.3922507969662,-34.6037082481837,53118,1,Callao Av.,400.0,467.0,Jacaranda,3.6,Ocupada,Regular,Elevada,21,10
-58.3922218800281,-34.6040758632487,53119,1,Callao Av.,400.0,441.0,Jacaranda,3.6,Ocupada,Regular,A nivel,12,4
-58.3922507969662,-34.6037082481837,53120,1,Callao Av.,400.0,463.0,Ficus,3.6,Ocupada,Regular,Elevada,27,8
-58.392214415152395,-34.6041707621818,53121,1,Callao Av.,400.0,433.0,Jacaranda,3.6,Ocupada,Regular,A nivel,19,7
-58.392322867827,-34.6029558745614,57994,1,Callao Av.,500.0,521.0,Jacaranda,3.6,Ocupada,Regular,Elevada,30,12
-58.3923562569454,-34.6027694953954,57995,1,Callao Av.,500.0,531.0,Jacaranda,3.6,Ocupada,Regular,Elevada,29,11
-58.3923754768489,-34.6026622089243,57996,1,Callao Av.,500.0,545.0,Jacaranda,3.6,Ocupada,Regular,Elevada,22,11
-58.392322867827,-34.6029558745614,58087,1,Callao Av.,500.0,521.0,Jacaranda,3.6,Ocupada,Regular,Bajo nivel,29,10
-58.3919623903823,-34.6075955101833,79805,1,Callao Av.,100.0,121.0,Jacaranda,3.2,Ocupada,Regular,A nivel,40,5
-58.3920627438593,-34.6061191498084,79811,1,Callao Av.,200.0,257.0,Jacaranda,3.6,Ocupada,Regular,Bajo nivel,17,8
-58.389273781985104,-34.5895193174672,17784,2,Callao Av.,1700.0,1763.0,Jacaranda,4,Ocupada,Regular,Elevada,16,8
-58.389063713946705,-34.5893295945034,17790,2,Callao Av.,1700.0,1793.0,Ficus,4,Ocupada,Regular,A nivel,38,4
-58.38977833825629,-34.5899749959925,17771,2,Callao Av.,1700.0,1707.0,Jacaranda,4,Ocupada,Regular,Elevada,17,7
-58.38949830025211,-34.589722089809605,17776,2,Callao Av.,1700.0,1735.0,Ficus,4,Ocupada,Regular,Elevada,26,6
-58.38949830025211,-34.589722089809605,17778,2,Callao Av.,1700.0,1743.0,Ficus,4,Ocupada,Regular,Elevada,33,7
-58.389426570710896,-34.589657307838806,17780,2,Callao Av.,1700.0,1755.0,Jacaranda,4,Ocupada,Regular,Elevada,6,4
-58.3893671655101,-34.589603656414,17782,2,Callao Av.,1700.0,1759.0,Jacaranda,4,Ocupada,Regular,Elevada,31,9
-58.387422223172706,-34.5876988557342,17568,2,Callao Av.,1900.0,1984.0,Jacaranda,4.2,Ocupada,Regular,Elevada,31,8
-58.3874789334756,-34.587742707775504,17569,2,Callao Av.,1900.0,1960.0,Jacaranda,4.2,Ocupada,Regular,Elevada,6,4
-58.3874931110633,-34.5877536707861,17570,2,Callao Av.,1900.0,1954.0,Jacaranda,4.2,Sobreocupada,Regular,Elevada,29,9
-58.3876017818889,-34.5878377017836,17572,2,Callao Av.,1900.0,1940.0,Tilia,4.2,Ocupada,Regular,Elevada,9,3
-58.3876986281318,-34.5879125890514,17573,2,Callao Av.,1900.0,1936.0,Tilia,4.2,Ocupada,Regular,Elevada,18,6
-58.387821137964295,-34.5880073206416,17574,2,Callao Av.,1900.0,1924.0,Tilia,4.2,Ocupada,Regular,Elevada,19,8
-58.38727764028629,-34.5877982834934,18752,2,Callao Av.,1900.0,1975.0,Tilia,4.2,Sobreocupada,Regular,Elevada,19,5
-58.38727764028629,-34.5877982834934,18756,2,Callao Av.,1900.0,1979.0,Tilia,4.2,Sobreocupada,Regular,Elevada,21,6
-58.387205932493295,-34.5877428342473,18762,2,Callao Av.,1900.0,1983.0,Tilia,4.2,Sobreocupada,Regular,Elevada,4,3
-58.393081422907,-34.5946980834551,18806,2,Callao Av.,1200.0,1211.0,Jacaranda,3.6,Ocupada,Regular,Elevada,17,7
-58.3930354550724,-34.5943065373457,18807,2,Callao Av.,1200.0,1251.0,Jacaranda,3.6,Ocupada,Regular,A nivel,15,5
-58.3930354550724,-34.5943065373457,18809,2,Callao Av.,1200.0,1265.0,Jacaranda,3.6,Ocupada,Regular,A nivel,16,6
-58.3930174370241,-34.5941530616885,18810,2,Callao Av.,1200.0,1285.0,Jacaranda,3.6,Sobreocupada,Regular,Elevada,22,9
