long,lat,nro_registro,comuna,calle_nombre,calle_altura,calle_chapa,nombre_cientifico,ancho_acera,estado_plantera,ubicacion_plantera,nivel_plantera,diametro_altura_pecho,altura_arbol
-58.4451235476031,-34.5616392429666,92505,13,Campos Luis María Av.,1600,1626.0,Jacaranda,2.8,Ocupada,Regular,A nivel,13,7
-58.44495620613979,-34.561799506175696,92518,13,Campos Luis María Av.,1600,1616.0,Jacaranda,2.8,Ocupada,Regular,A nivel,10,6
-58.44392017835171,-34.5624941564826,101369,13,Campos Luis María Av.,1500,1533.0,Jacaranda,2.4,Ocupada,Regular,A nivel,50,13
-58.44381787743399,-34.5625764596584,101374,13,Campos Luis María Av.,1500,1521.0,Jacaranda,2.4,Sobreocupada,Regular,Elevada,15,8
-58.444303221429394,-34.5622014725914,101392,13,Campos Luis María Av.,1500,1589.0,Jacaranda,2.4,Ocupada,Regular,Elevada,17,8
-58.442892817700795,-34.5635312542927,103853,13,Campos Luis María Av.,1400,1402.0,Jacaranda,2.4,Ocupada,Regular,A nivel,46,8
-58.443311829025895,-34.5631929080585,103855,13,Campos Luis María Av.,1400,1464.0,Tilia,2.4,Ocupada,Regular,A nivel,32,10
-58.443428909375896,-34.563098709836694,103860,13,Campos Luis María Av.,1400,1472.0,Ficus,2.4,Ocupada,Regular,Elevada,43,9
-58.443428909375896,-34.563098709836694,103861,13,Campos Luis María Av.,1400,1472.0,Ficus,2.4,Ocupada,Regular,Elevada,42,9
-58.443525780832005,-34.5630207706484,103863,13,Campos Luis María Av.,1400,1480.0,Jacaranda,2.4,Ocupada,Regular,A nivel,17,7
-58.444219352527504,-34.562461657248996,106706,13,Campos Luis María Av.,1500,1550.0,Jacaranda,2.8,Ocupada,Regular,Elevada,6,7
-58.4445762743594,-34.5621683276033,106909,13,Campos Luis María Av.,1500,1586.0,Ficus,2.8,Ocupada,Regular,Elevada,35,8
-58.4444365900279,-34.5622868833157,106910,13,Campos Luis María Av.,1500,1572.0,Jacaranda,2.8,Ocupada,Regular,Elevada,13,8
