long,lat,nro_registro,comuna,calle_nombre,calle_altura,calle_chapa,nombre_cientifico,ancho_acera,estado_plantera,ubicacion_plantera,nivel_plantera,diametro_altura_pecho,altura_arbol
-58.5256912671762,-34.6079777369126,207597,11,Carril Salvador María del Av.,5000,5056.0,Melia,2.8,Ocupada,Regular,A nivel,76,21
-58.526213329781,-34.6083289395933,207381,11,Carril Salvador María del Av.,5000,5088.0,Tilia,2.8,Ocupada,Regular,A nivel,34,6
-58.5259467859671,-34.6081496305182,207491,11,Carril Salvador María del Av.,5000,5078.0,Ficus,2.8,Ocupada,Regular,A nivel,94,17
-58.5259467859671,-34.6081496305182,207522,11,Carril Salvador María del Av.,5000,5078.0,Lagerstroemia,2.8,Ocupada,Regular,A nivel,14,7
-58.5185299456868,-34.6033865907886,205783,11,Carril Salvador María del Av.,4500,4536.0,Tilia,2.6,Ocupada,Regular,A nivel,48,12
-58.51830441437839,-34.6032432109299,205799,11,Carril Salvador María del Av.,4500,4510.0,Lagerstroemia,2.6,Ocupada,Regular,Bajo nivel,13,6
-58.52398932080521,-34.6065566831989,209372,11,Carril Salvador María del Av.,4900,4955.0,Tilia,3.2,Ocupada,Regular,A nivel,30,17
-58.523761188584,-34.6066523716388,213028,11,Carril Salvador María del Av.,4900,4942.0,Tilia,3.2,Ocupada,Regular,Bajo nivel,34,6
-58.524527558067206,-34.6071863702908,209188,11,Carril Salvador María del Av.,4900,4984.0,Tilia,3.2,Ocupada,Regular,A nivel,28,17
-58.52098822673389,-34.6046803006241,213359,11,Carril Salvador María del Av.,4700,4707.0,Jacaranda,2.8,Ocupada,Regular,A nivel,24,5
-58.523544301460504,-34.6065031887577,213119,11,Carril Salvador María del Av.,4900,4926.0,Tilia,3.2,Ocupada,Regular,A nivel,37,8
-58.5244407045823,-34.607126156567396,209285,11,Carril Salvador María del Av.,4900,4976.0,Tilia,3.2,Sobreocupada,Regular,A nivel,26,19
-58.521782632113705,-34.605380715188,203970,11,Carril Salvador María del Av.,4700,4796.0,Tilia,3,Sobreocupada,Ochava,A nivel,33,10
-58.5248608043647,-34.6074174016917,209080,11,Carril Salvador María del Av.,4900,4994.0,Ficus,3.2,Sobreocupada,Regular,A nivel,19,7
-58.5191710282479,-34.6035391099545,202098,11,Carril Salvador María del Av.,4500,4579.0,Tilia,2.73,Sobreocupada,Regular,Bajo nivel,34,9
-58.5208561187566,-34.6048175037527,204624,11,Carril Salvador María del Av.,4700,4708.0,Ficus,3,Ocupada,Ochava,Elevada,86,10
-58.5192201783082,-34.6038259389068,205452,11,Carril Salvador María del Av.,4500,4598.0,Tilia,2.6,Sobreocupada,Regular,Elevada,25,6
-58.518867646846,-34.6033523349051,201889,11,Carril Salvador María del Av.,4500,4545.0,Tilia,2.73,Ocupada,Regular,A nivel,46,6
-58.5193239407512,-34.6036332490607,202197,11,Carril Salvador María del Av.,4500,4587.0,Tilia,2.73,Ocupada,Regular,Bajo nivel,33,9
-58.5216942943854,-34.605327016823104,204133,11,Carril Salvador María del Av.,4700,4790.0,Lagerstroemia,3,Ocupada,Regular,A nivel,3,4
-58.52161711008,-34.6052800982712,204177,11,Carril Salvador María del Av.,4700,4780.0,Lagerstroemia,3,Ocupada,Regular,A nivel,5,5
-58.5248608043647,-34.6074174016917,209014,11,Carril Salvador María del Av.,4900,4994.0,Melia,3.2,Ocupada,Regular,A nivel,29,12
-58.5190190836135,-34.6034455662959,202009,11,Carril Salvador María del Av.,4500,4561.0,Tilia,2.73,Ocupada,Regular,Elevada,38,8
-58.5215398622643,-34.6052331410287,204214,11,Carril Salvador María del Av.,4700,4774.0,Tilia,3,Ocupada,Regular,A nivel,27,8
-58.5230303545346,-34.605918278101605,218192,11,Carril Salvador María del Av.,4800,4883.0,Lagerstroemia,2.5,Ocupada,Regular,A nivel,22,6
