long,lat,nro_registro,comuna,calle_nombre,calle_altura,calle_chapa,nombre_cientifico,ancho_acera,estado_plantera,ubicacion_plantera,nivel_plantera,diametro_altura_pecho,altura_arbol
-58.381666875833105,-34.6309867078623,63237,1,Caseros Av.,1300.0,1325.0,Platanus,9.9,Ocupada,Regular,A nivel,54,13
-58.381666875833105,-34.6309867078623,63238,1,Caseros Av.,1300.0,1325.0,Ficus,9.9,Ocupada,Regular,A nivel,29,6
-58.3815414627877,-34.630977932129305,63239,1,Caseros Av.,1300.0,1309.0,Ficus,9.9,Ocupada,Regular,A nivel,35,10
-58.381937034081105,-34.6311862109928,63240,1,Caseros Av.,1300.0,1363.0,Platanus,9.9,Ocupada,Regular,A nivel,0,11
-58.38178911640039,-34.6310769787595,63241,1,Caseros Av.,1300.0,1329.0,Platanus,9.9,Ocupada,Regular,A nivel,0,12
-58.3818562645249,-34.6311265654412,63242,1,Caseros Av.,1300.0,1355.0,Platanus,9.9,Ocupada,Regular,A nivel,0,11
-58.381937034081105,-34.6311862109928,63243,1,Caseros Av.,1300.0,1365.0,Platanus,9.9,Ocupada,Regular,Bajo nivel,55,15
-58.3820195316475,-34.6312471324724,63581,1,Caseros Av.,1300.0,1371.0,Platanus,9.9,Ocupada,Regular,A nivel,64,15
-58.38677143843471,-34.6331200702384,64619,1,Caseros Av.,1700.0,1717.0,Platanus,3.8,Ocupada,Regular,A nivel,12,4
-58.3871164225723,-34.6332190125625,64630,1,Caseros Av.,1700.0,1745.0,Platanus,3.8,Ocupada,Regular,A nivel,10,5
-58.373773502675,-34.626661287389695,409880,1,Caseros Av.,500.0,599.0,Tilia,4.4,Ocupada,Regular,Bajo nivel,27,9
-58.3741196233452,-34.6266696675666,410117,1,Caseros Av.,600.0,605.0,Tilia,5.6,Ocupada,Regular,A nivel,31,10
-58.371365618370504,-34.6265437026409,410129,1,Caseros Av.,400.0,417.0,Tilia,3.6,Ocupada,Regular,A nivel,41,9
-58.3717912610999,-34.6265677218991,408568,1,Caseros Av.,400.0,453.0,Tilia,3.6,Ocupada,Regular,Bajo nivel,19,12
-58.3722623464073,-34.6265943034947,408570,1,Caseros Av.,400.0,485.0,Tilia,3.6,Ocupada,Regular,A nivel,29,13
-58.3770362675303,-34.6279494753949,409995,1,Caseros Av.,900.0,925.0,Tilia,4,Ocupada,Regular,A nivel,37,10
-58.373773502675,-34.626661287389695,409877,1,Caseros Av.,500.0,599.0,Tilia,4.4,Ocupada,Regular,Bajo nivel,30,10
-58.373773502675,-34.626661287389695,409878,1,Caseros Av.,500.0,599.0,Tilia,4.4,Ocupada,Regular,A nivel,45,10
-58.373773502675,-34.626661287389695,410023,1,Caseros Av.,500.0,599.0,Tilia,4.4,Ocupada,Regular,A nivel,39,12
-58.373773502675,-34.626661287389695,410025,1,Caseros Av.,500.0,599.0,Tilia,4.4,Ocupada,Regular,A nivel,35,11
-58.373773502675,-34.626661287389695,410026,1,Caseros Av.,500.0,599.0,Tilia,4.4,Ocupada,Regular,A nivel,40,12
-58.373773502675,-34.626661287389695,410027,1,Caseros Av.,500.0,599.0,Tilia,4.4,Ocupada,Regular,A nivel,42,12
-58.3850171727682,-34.6326118489691,414021,1,Caseros Av.,1500.0,1575.0,Tilia,3.6,Ocupada,Regular,A nivel,28,7
-58.38677143843471,-34.6331200702384,414048,1,Caseros Av.,1700.0,1717.0,Platanus,4,Ocupada,Regular,A nivel,12,5
-58.3815414627877,-34.630977932129305,414539,1,Caseros Av.,1300.0,1309.0,Ficus,4.4,Ocupada,Regular,A nivel,39,7
-58.381666875833105,-34.6309867078623,414540,1,Caseros Av.,1300.0,1325.0,Platanus,4.4,Ocupada,Regular,A nivel,55,10
-58.3818562645249,-34.6311265654412,414542,1,Caseros Av.,1300.0,1355.0,Platanus,4.4,Ocupada,Regular,A nivel,62,11
