long,lat,nro_registro,comuna,calle_nombre,calle_altura,calle_chapa,nombre_cientifico,ancho_acera,estado_plantera,ubicacion_plantera,nivel_plantera,diametro_altura_pecho,altura_arbol
-58.4195777995973,-34.617771912208,1041,5,Castro Barros Av.,500.0,506.0,Platanus,2.86,Sobreocupada,Regular,Elevada,54,16
-58.4195777995973,-34.617771912208,1157,5,Castro Barros Av.,500.0,506.0,Platanus,2.86,Sobreocupada,Regular,Elevada,54,16
-58.4196819211256,-34.6198020385898,1230,5,Castro Barros Av.,600.0,691.0,Platanus,3.3,Ocupada,Regular,NA,68,16
-58.419685453979604,-34.6195383767703,1233,5,Castro Barros Av.,600.0,675.0,Platanus,3.3,Ocupada,Regular,A nivel,61,15
-58.4196902831285,-34.6191490541884,1312,5,Castro Barros Av.,600.0,635.0,Platanus,3.3,Ocupada,Regular,NA,70,24
-58.4196869085681,-34.6194211090827,1396,5,Castro Barros Av.,600.0,661.0,Ficus,3.3,Ocupada,Regular,A nivel,24,9
-58.4171647223076,-34.6386199589961,2244,5,Castro Barros Av.,2200.0,2220.0,Lagerstroemia,3.06,Ocupada,Regular,Elevada,5,2
-58.4192585285673,-34.6223765871204,6616,5,Castro Barros Av.,800.0,874.0,Platanus,2.5,Ocupada,Regular,A nivel,120,17
-58.417854157598704,-34.6358896839941,8449,5,Castro Barros Av.,1900.0,1924.0,Lagerstroemia,3,Ocupada,Regular,Bajo nivel,3,2
-58.417854157598704,-34.6358896839941,8450,5,Castro Barros Av.,1900.0,1924.0,Jacaranda,3,Ocupada,Regular,A nivel,3,2
-58.4192378808049,-34.623668802179395,8474,5,Castro Barros Av.,900.0,959.0,Ficus,2.7,Sobreocupada,Regular,Elevada,34,8
-58.4178273799104,-34.6367203103709,7686,5,Castro Barros Av.,2000.0,2057.0,Melia,3.2,Ocupada,Regular,A nivel,43,9
-58.4191673625816,-34.624465023068,8479,5,Castro Barros Av.,900.0,997.0,Platanus,2.7,Ocupada,Regular,Bajo nivel,52,21
-58.41785163434,-34.6356590469427,8124,5,Castro Barros Av.,1900.0,1902.0,Tilia,3,Ocupada,Ochava,Bajo nivel,23,7
-58.41785163434,-34.6356590469427,8125,5,Castro Barros Av.,1900.0,1906.0,Melia,3,Ocupada,Regular,Bajo nivel,77,12
-58.41759472551539,-34.6370879715994,9495,5,Castro Barros Av.,2000.0,2096.0,Ficus,3.2,Sobreocupada,Regular,Elevada,5,2
-58.4176671391595,-34.6368498325995,9501,5,Castro Barros Av.,2000.0,2080.0,Melia,3.2,Ocupada,Regular,A nivel,36,9
-58.4177150048711,-34.6366924210245,9502,5,Castro Barros Av.,2000.0,2066.0,Melia,3.2,Ocupada,Regular,Elevada,43,8
-58.417786130913,-34.6364585141289,9504,5,Castro Barros Av.,2000.0,2006.0,Tilia,3.2,Ocupada,Fuera de línea,Bajo nivel,25,8
-58.4178686077069,-34.632456358982104,8817,5,Castro Barros Av.,1600.0,1663.0,Melia,3.2,Ocupada,Regular,A nivel,24,12
-58.4178712162498,-34.6325343081527,8821,5,Castro Barros Av.,1600.0,1673.0,Melia,3.2,Ocupada,Regular,A nivel,52,13
-58.417876545319395,-34.6326935531649,8827,5,Castro Barros Av.,1600.0,1685.0,Melia,3.2,Ocupada,Regular,A nivel,22,8
-58.4178791775331,-34.6327722094389,8832,5,Castro Barros Av.,1600.0,1695.0,Melia,3.2,Ocupada,Regular,A nivel,69,14
-58.4177462951709,-34.6320650917699,10450,5,Castro Barros Av.,1600.0,1628.0,Ficus,3.2,Ocupada,Regular,A nivel,40,9
-58.41776955109,-34.6327600622369,10455,5,Castro Barros Av.,1600.0,1692.0,Melia,3.2,Ocupada,Regular,A nivel,22,5
-58.417860963938,-34.6322279439685,9678,5,Castro Barros Av.,1600.0,1641.0,Ficus,3.2,Ocupada,Regular,Elevada,37,6
