long,lat,nro_registro,comuna,calle_nombre,calle_altura,calle_chapa,nombre_cientifico,ancho_acera,estado_plantera,ubicacion_plantera,nivel_plantera,diametro_altura_pecho,altura_arbol
-58.4973874791752,-34.6435978405392,229245,9,Castro Emilio Av.,5100,5122,Platanus,6,Ocupada,Regular,A nivel,62,18
-58.497872997357504,-34.6438256272052,228990,9,Castro Emilio Av.,5100,5166,Platanus,6,Ocupada,Regular,A nivel,54,13
-58.4972858573071,-34.6435501630195,229284,9,Castro Emilio Av.,5100,5110,Platanus,6,Ocupada,Regular,A nivel,57,19
-58.4977894267454,-34.6437864192787,229027,9,Castro Emilio Av.,5100,5158,Platanus,6,Ocupada,Regular,A nivel,67,13
-58.4971826689619,-34.643501750412604,229332,9,Castro Emilio Av.,5100,5104,Platanus,6,Ocupada,Ochava,A nivel,73,19
-58.497700469179,-34.643744683909304,229079,9,Castro Emilio Av.,5100,5156,Jacaranda,6,Ocupada,Regular,A nivel,8,3
-58.4976112160614,-34.643702809759,229106,9,Castro Emilio Av.,5100,5150,Platanus,6,Ocupada,Regular,A nivel,69,17
-58.4976112160614,-34.643702809759,229142,9,Castro Emilio Av.,5100,5150,Platanus,6,Ocupada,Regular,A nivel,63,17
-58.498048732726296,-34.6439103811143,228906,9,Castro Emilio Av.,5200,5200,Platanus,6,Ocupada,Regular,A nivel,56,7
-58.4975301008704,-34.6436647535357,229189,9,Castro Emilio Av.,5100,5140,Platanus,6,Ocupada,Regular,A nivel,69,18
-58.5166130183061,-34.652449806030695,247128,9,Castro Emilio Av.,6900,6927,Platanus,6,Ocupada,Regular,A nivel,57,8
-58.5151740707242,-34.651906043208896,246315,9,Castro Emilio Av.,6700,6794,Jacaranda,6,Sobreocupada,Regular,A nivel,5,3
-58.5020799135271,-34.645790199286296,248284,9,Castro Emilio Av.,5500,5594,Platanus,6,Ocupada,Ochava,A nivel,62,11
-58.5167908753443,-34.6525325046469,247201,9,Castro Emilio Av.,6900,6959,Platanus,6,Ocupada,Regular,A nivel,55,7
-58.5020523865689,-34.645777637615105,248304,9,Castro Emilio Av.,5500,5590,Platanus,6,Ocupada,Regular,Elevada,66,12
-58.5019279376153,-34.645720846395804,248325,9,Castro Emilio Av.,5500,5584,Platanus,6,Ocupada,Regular,A nivel,67,12
-58.5167908753443,-34.6525325046469,247234,9,Castro Emilio Av.,6900,6963,Platanus,6,Ocupada,Regular,Bajo nivel,38,8
-58.5016706498005,-34.6456034346345,248365,9,Castro Emilio Av.,5500,5550,Platanus,6,Ocupada,Regular,A nivel,71,14
-58.5168907551923,-34.6525789421807,247277,9,Castro Emilio Av.,6900,6973,Platanus,6,Ocupada,Regular,A nivel,61,10
-58.5162111307238,-34.65225544964,246996,9,Castro Emilio Av.,6900,6901,Ficus,5,Ocupada,Ochava,Elevada,18,2
-58.5015882512619,-34.6455658323573,248388,9,Castro Emilio Av.,5500,5542,Platanus,6,Ocupada,Regular,A nivel,62,15
-58.5242583034564,-34.6559944024086,246730,9,Castro Emilio Av.,7600,7615,Platanus,5.6,Ocupada,Regular,Bajo nivel,44,11
-58.5162111307238,-34.65225544964,247020,9,Castro Emilio Av.,6900,6901,Ficus,5,Ocupada,Ochava,Elevada,25,2
-58.5171203351403,-34.6526856811888,247316,9,Castro Emilio Av.,6900,6997,Platanus,6,Ocupada,Ochava,A nivel,48,11
-58.501505577297706,-34.64552810432,248404,9,Castro Emilio Av.,5500,5532,Platanus,6,Sobreocupada,Regular,A nivel,64,13
-58.501505577297706,-34.64552810432,248423,9,Castro Emilio Av.,5500,5530,Ficus,6,Sobreocupada,Regular,A nivel,9,13
-58.5242583034564,-34.6559944024086,246764,9,Castro Emilio Av.,7600,7611,Platanus,5.6,Ocupada,Regular,A nivel,44,12
-58.501424075035104,-34.6454909108973,248442,9,Castro Emilio Av.,5500,5526,Platanus,6,Ocupada,Regular,Bajo nivel,68,9
-58.514633433754994,-34.6516619320327,246503,9,Castro Emilio Av.,6700,6726,Platanus,6,Sobreocupada,Regular,Elevada,67,12
-58.5177088993284,-34.6531004182185,251934,9,Castro Emilio Av.,7000,7056,Platanus,6,Sobreocupada,Regular,A nivel,55,12
-58.5114245691029,-34.6500405824471,252499,9,Castro Emilio Av.,6300,6351,Platanus,5.6,Ocupada,Regular,Elevada,68,12
-58.517538825856704,-34.6530213464118,251969,9,Castro Emilio Av.,7000,7046,Ficus,6,Sobreocupada,Regular,A nivel,11,3
-58.517452746988795,-34.6529813258455,251979,9,Castro Emilio Av.,7000,7030,Platanus,6,Ocupada,Regular,A nivel,66,12
-58.5114245691029,-34.6500405824471,252542,9,Castro Emilio Av.,6300,6351,Platanus,5.6,Ocupada,Regular,Elevada,54,13
-58.4985819619526,-34.644160599946105,231808,9,Castro Emilio Av.,5200,5250,Platanus,6,Ocupada,Regular,Elevada,57,15
-58.5114245691029,-34.6500405824471,252578,9,Castro Emilio Av.,6300,6351,Platanus,5.6,Ocupada,Regular,Elevada,48,13
-58.49845809666571,-34.644102473515396,231871,9,Castro Emilio Av.,5200,5230,Platanus,6,Ocupada,Regular,A nivel,67,16
-58.498911608145505,-34.6443152924514,231610,9,Castro Emilio Av.,5200,5288,Platanus,6,Ocupada,Ochava,A nivel,59,18
-58.5114245691029,-34.6500405824471,252620,9,Castro Emilio Av.,6300,6351,Platanus,5.6,Ocupada,Regular,Elevada,51,13
-58.4984171166936,-34.6440832427367,231924,9,Castro Emilio Av.,5200,5226,Platanus,6,Ocupada,Regular,A nivel,68,17
-58.5114245691029,-34.6500405824471,252668,9,Castro Emilio Av.,6300,6351,Platanus,5.6,Ocupada,Regular,Elevada,47,12
-58.498911608145505,-34.6443152924514,231679,9,Castro Emilio Av.,5200,5288,Platanus,6,Ocupada,Regular,A nivel,63,18
-58.5114245691029,-34.6500405824471,252693,9,Castro Emilio Av.,6300,6351,Platanus,5.5,Ocupada,Regular,Elevada,48,13
-58.4983350862644,-34.6440447480513,231970,9,Castro Emilio Av.,5200,5216,Platanus,6,Ocupada,Regular,Bajo nivel,70,16
-58.5114245691029,-34.6500405824471,252721,9,Castro Emilio Av.,6300,6351,Platanus,5.6,Ocupada,Regular,Elevada,49,15
-58.5178017501923,-34.65314358697611,251894,9,Castro Emilio Av.,7000,7064,Platanus,6,Ocupada,Regular,A nivel,50,13
-58.5177088993284,-34.6531004182185,251895,9,Castro Emilio Av.,7000,7058,Platanus,6,Ocupada,Regular,A nivel,39,8
-58.498829499094704,-34.6442767614099,231723,9,Castro Emilio Av.,5200,5282,Platanus,6,Ocupada,Regular,A nivel,43,16
-58.5177088993284,-34.6531004182185,251928,9,Castro Emilio Av.,7000,7056,Platanus,6,Sobreocupada,Regular,A nivel,51,13
