long,lat,nro_registro,comuna,calle_nombre,calle_altura,calle_chapa,nombre_cientifico,ancho_acera,estado_plantera,ubicacion_plantera,nivel_plantera,diametro_altura_pecho,altura_arbol
-58.4866507185306,-34.6244955936603,325663,7,Chivilcoy Av.,900.0,977,Melia,3.2,Ocupada,Regular,A nivel,37,15
-58.4936908368553,-34.618912883004604,311414,10,Chivilcoy Av.,1600.0,1627,Tilia,3.2,Ocupada,Regular,Bajo nivel,22,8
-58.4940314339548,-34.6186411791469,311416,10,Chivilcoy Av.,1600.0,1661,Ficus,3.2,Sobreocupada,Regular,A nivel,11,3
-58.4941662206056,-34.618534535032396,311419,10,Chivilcoy Av.,1600.0,1675,Ficus,3.2,Ocupada,Regular,A nivel,16,8
-58.494167494724906,-34.6186699692186,311482,10,Chivilcoy Av.,1600.0,1662,Platanus,3.2,Ocupada,Regular,A nivel,53,17
-58.48554939019589,-34.6254622791782,307101,10,Chivilcoy Av.,800.0,831,Tilia,4.5,Ocupada,Ochava,A nivel,35,12
-58.4856631211827,-34.6254949416187,307104,10,Chivilcoy Av.,800.0,824,Melia,4.5,Ocupada,Regular,Bajo nivel,32,10
-58.49289808296621,-34.619541580977895,311380,10,Chivilcoy Av.,1500.0,1553.0,Ficus,3.2,Ocupada,Regular,A nivel,40,9
-58.49289808296621,-34.619541580977895,311381,10,Chivilcoy Av.,1500.0,1555.0,Ficus,3.2,Ocupada,Regular,A nivel,22,9
-58.4930972444711,-34.619383210824104,311383,10,Chivilcoy Av.,1500.0,1575.0,Ficus,3.2,Ocupada,Regular,A nivel,32,4
-58.4857285516047,-34.6254256818852,307106,10,Chivilcoy Av.,800.0,880.0,Lagerstroemia,4.5,Ocupada,Regular,A nivel,11,5
-58.489855585101004,-34.6220904687589,304184,10,Chivilcoy Av.,1250.0,1266.0,Lagerstroemia,3,Ocupada,Ochava,A nivel,18,7
-58.489925374718894,-34.622035254903004,304186,10,Chivilcoy Av.,1250.0,1276.0,Lagerstroemia,3,Sobreocupada,Regular,Elevada,7,2
-58.489925374718894,-34.622035254903004,304187,10,Chivilcoy Av.,1250.0,1276.0,Lagerstroemia,3,Sobreocupada,Regular,Elevada,13,7
-58.4993171125278,-34.6141057336539,305642,10,Chivilcoy Av.,2100.0,2148.0,Tilia,3,Ocupada,Regular,A nivel,28,11
-58.499119089619505,-34.6143427829264,305646,10,Chivilcoy Av.,2100.0,2120.0,Lagerstroemia,3,Ocupada,Regular,A nivel,12,5
-58.49628696125339,-34.6168552053282,302419,10,Chivilcoy Av.,1800.0,1877.0,Jacaranda,3.2,Ocupada,Regular,A nivel,44,9
-58.49582077919911,-34.6172249661304,302425,10,Chivilcoy Av.,1800.0,1825.0,Ficus,3.2,Ocupada,Regular,Elevada,32,6
-58.4966335938306,-34.616714096627,300667,10,Chivilcoy Av.,1900.0,1900.0,Ficus,3.2,Ocupada,Regular,A nivel,14,3
-58.4966335938306,-34.616714096627,300668,10,Chivilcoy Av.,1900.0,1900.0,Ficus,3.2,Ocupada,Regular,A nivel,7,3
-58.4966335938306,-34.616714096627,300670,10,Chivilcoy Av.,1900.0,1900.0,Ficus,3.2,Ocupada,Regular,A nivel,16,4
-58.4887756646305,-34.622943123909394,313540,10,Chivilcoy Av.,1100.0,1164.0,Tilia,3.2,Ocupada,Regular,A nivel,40,11
-58.490944482392905,-34.6210939365364,309208,10,Chivilcoy Av.,1300.0,1381.0,Ficus,3.2,Ocupada,Regular,A nivel,43,7
-58.4919004733119,-34.6203326991675,309253,10,Chivilcoy Av.,1400.0,1467.0,Tilia,3.2,Ocupada,Regular,A nivel,5,2
-58.4922147143448,-34.620082854625004,309258,10,Chivilcoy Av.,1400.0,1491.0,Ficus,3.2,Ocupada,Regular,A nivel,10,4
-58.4922147143448,-34.620082854625004,309259,10,Chivilcoy Av.,1400.0,1491.0,Ficus,3.2,Ocupada,Ochava,A nivel,22,7
-58.50210412939529,-34.6108096402317,298968,10,Chivilcoy Av.,2400.0,2472.0,Melia,3.2,Ocupada,Regular,A nivel,81,15
-58.502170551997395,-34.610731801259604,298969,10,Chivilcoy Av.,2400.0,2480.0,Tilia,3.2,Ocupada,Regular,A nivel,27,13
-58.502213172319706,-34.6106803033534,298972,10,Chivilcoy Av.,2400.0,2488.0,Melia,3.2,Sobreocupada,Regular,Elevada,44,11
