long,lat,nro_registro,comuna,calle_nombre,calle_altura,calle_chapa,nombre_cientifico,ancho_acera,estado_plantera,ubicacion_plantera,nivel_plantera,diametro_altura_pecho,altura_arbol
-58.4696106929733,-34.5808403420868,191338,15,Chorroarín Av.,1300.0,1376,Ficus,5.8,Sobreocupada,Regular,Elevada,27,6
-58.4696106929733,-34.5808403420868,191344,15,Chorroarín Av.,1300.0,1376,Melia,5.8,Sobreocupada,Regular,Elevada,66,3
-58.4700977327662,-34.586163969092304,192485,15,Chorroarín Av.,900.0,957,Jacaranda,3.2,Ocupada,Regular,A nivel,21,6
-58.4699823177265,-34.5859657276453,192491,15,Chorroarín Av.,900.0,967,Melia,3.2,Ocupada,Regular,A nivel,80,13
-58.4694599067665,-34.5837025136733,191102,15,Chorroarín Av.,1100.0,1109,Tilia,3.2,Sobreocupada,Regular,Elevada,28,8
-58.4696133674251,-34.5811570799623,191370,15,Chorroarín Av.,1300.0,1334,Lagerstroemia,5.8,Ocupada,Regular,Elevada,4,3
-58.469820127187504,-34.5855299680777,192511,15,Chorroarín Av.,900.0,991,Tilia,3.2,Ocupada,Regular,Elevada,8,3
-58.4696133674251,-34.5811570799623,191376,15,Chorroarín Av.,1300.0,1334,Lagerstroemia,5.8,Ocupada,Regular,Elevada,4,3
-58.469500386694,-34.5847931917285,206791,15,Chorroarín Av.,1000.0,1029,Tilia,3.2,Ocupada,Regular,A nivel,14,6
-58.4783718420187,-34.5985989665347,191936,15,Chorroarín Av.,800.0,87,Ficus,8,Ocupada,Regular,A nivel,25,7
-58.4696265024199,-34.5823863491927,191720,15,Chorroarín Av.,1200.0,1240,Ficus,5.8,Ocupada,Regular,A nivel,7,5
-58.4695061176408,-34.584932369364,206610,15,Chorroarín Av.,1000.0,1015,Ficus,3.2,Ocupada,Regular,A nivel,46,8
-58.47177641720079,-34.5882847709278,191792,15,Chorroarín Av.,800.0,801,Platanus,8,Ocupada,Regular,A nivel,61,16
-58.4715219878729,-34.5880858904227,191814,15,Chorroarín Av.,800.0,829,Jacaranda,8,Ocupada,Regular,A nivel,31,8
-58.470832125538,-34.587317106129305,209951,15,Chorroarín Av.,900.0,900,Tilia,3,Ocupada,Regular,Elevada,19,8
-58.470618122338706,-34.5866306599446,210001,15,Chorroarín Av.,900.0,914,Jacaranda,3,Ocupada,Regular,A nivel,2,3
-58.4723918656528,-34.588652839255,209713,15,Chorroarín Av.,700.0,788,Ficus,8,Ocupada,Regular,A nivel,8,2
-58.4705372173464,-34.5864962603931,210026,15,Chorroarín Av.,900.0,924,Jacaranda,3,Ocupada,Regular,Elevada,27,8
-58.470453716321,-34.5863575477788,210087,15,Chorroarín Av.,900.0,932,Jacaranda,3,Ocupada,Regular,A nivel,3,3
