long,lat,nro_registro,comuna,calle_nombre,calle_altura,calle_chapa,nombre_cientifico,ancho_acera,estado_plantera,ubicacion_plantera,nivel_plantera,diametro_altura_pecho,altura_arbol
-58.4801702044141,-34.574442374680096,150582,12,Combatientes de Malvinas Av.,3800.0,3900.0,Platanus,5.6,Ocupada,Regular,Elevada,57,22
-58.4797719537899,-34.574958421932,150583,12,Combatientes de Malvinas Av.,3800.0,3842.0,Platanus,5.6,Ocupada,Regular,A nivel,68,20
-58.48009739275621,-34.5745325139367,150585,12,Combatientes de Malvinas Av.,3800.0,3896.0,Platanus,5.6,Ocupada,Regular,A nivel,67,20
-58.4796210245344,-34.5751569642171,150589,12,Combatientes de Malvinas Av.,3800.0,3810.0,Platanus,5.6,Ocupada,Regular,Elevada,72,20
-58.478563083884794,-34.5765484242677,161266,12,Combatientes de Malvinas Av.,3700.0,3714.0,Tilia,4.5,Ocupada,Regular,Elevada,9,7
-58.4797636206464,-34.5747316177494,159935,12,Combatientes de Malvinas Av.,3800.0,3859.0,Platanus,5.6,Ocupada,Regular,A nivel,66,11
-58.479512258809606,-34.575062275881,159936,12,Combatientes de Malvinas Av.,3800.0,3813.0,Platanus,5.6,Ocupada,Regular,A nivel,61,15
-58.4798570059604,-34.5746022917261,159946,12,Combatientes de Malvinas Av.,3800.0,3881.0,Platanus,5.6,Ocupada,Ochava,Bajo nivel,41,12
-58.478658992235495,-34.576422264688,161282,12,Combatientes de Malvinas Av.,3700.0,3726.0,Platanus,4.5,Ocupada,Regular,A nivel,42,10
-58.4787590959296,-34.576290585985106,161286,12,Combatientes de Malvinas Av.,3700.0,3738.0,Tilia,4.5,Ocupada,Regular,Elevada,18,9
-58.4787073721145,-34.5763586247489,161287,12,Combatientes de Malvinas Av.,3700.0,3732.0,Platanus,4.5,Ocupada,Regular,Elevada,36,11
-58.478809462136205,-34.5762243329362,161288,12,Combatientes de Malvinas Av.,3700.0,3740.0,Platanus,4.5,Ocupada,Regular,A nivel,32,10
-58.4798570059604,-34.5746022917261,159953,12,Combatientes de Malvinas Av.,3800.0,3881.0,Platanus,5.6,Ocupada,Regular,Bajo nivel,30,11
-58.4797636206464,-34.5747316177494,159955,12,Combatientes de Malvinas Av.,3800.0,3859.0,Ficus,5.6,Sobreocupada,Regular,Elevada,50,9
-58.4796620639371,-34.5748652125986,159956,12,Combatientes de Malvinas Av.,3800.0,3841.0,Lagerstroemia,5.6,Ocupada,Regular,Elevada,26,5
-58.47891013633621,-34.5760919030258,161420,12,Combatientes de Malvinas Av.,3700.0,3746.0,Ficus,4.5,Ocupada,Regular,Bajo nivel,6,4
-58.4790180642225,-34.5759643894872,161422,12,Combatientes de Malvinas Av.,3700.0,3754.0,Ficus,4.5,Ocupada,Regular,A nivel,60,13
-58.4790689972447,-34.5758973968042,161425,12,Combatientes de Malvinas Av.,3700.0,3758.0,Ficus,4.5,Sobreocupada,Regular,A nivel,36,9
-58.47932338703,-34.575562793595,161442,12,Combatientes de Malvinas Av.,3700.0,3780.0,Tilia,4.5,Ocupada,Regular,A nivel,4,3
-58.4805124389105,-34.5740172078862,166851,12,Combatientes de Malvinas Av.,3900.0,3946.0,Lagerstroemia,5.8,Ocupada,Regular,A nivel,14,6
-58.4781850736945,-34.5767951091364,172696,12,Combatientes de Malvinas Av.,3600.0,3693.0,Platanus,5.6,Ocupada,Ochava,A nivel,72,21
-58.4779624495624,-34.5770469216003,172703,12,Combatientes de Malvinas Av.,3600.0,3675.0,Platanus,5.6,Ocupada,Regular,Bajo nivel,73,21
-58.4773929397494,-34.577687928874504,178746,12,Combatientes de Malvinas Av.,3600.0,3625.0,Platanus,5.6,Ocupada,Regular,A nivel,40,21
-58.4773367261279,-34.5777515159612,179308,12,Combatientes de Malvinas Av.,3600.0,3615.0,Platanus,5.6,Ocupada,Regular,Bajo nivel,83,20
