long,lat,nro_registro,comuna,calle_nombre,calle_altura,calle_chapa,nombre_cientifico,ancho_acera,estado_plantera,ubicacion_plantera,nivel_plantera,diametro_altura_pecho,altura_arbol
-58.494356913315,-34.571895285889,137493,12,Congreso Av.,5450.0,5477.0,Platanus,6,Ocupada,Regular,A nivel,55,13
-58.4946753562485,-34.5720622570751,137497,12,Congreso Av.,5450.0,5499.0,Platanus,6,Ocupada,Ochava,A nivel,61,14
-58.4939783918264,-34.571694252140105,137522,12,Congreso Av.,5400.0,5435.0,Platanus,5.7,Ocupada,Regular,Elevada,73,17
-58.49405798046289,-34.5717359906919,137525,12,Congreso Av.,5400.0,5449.0,Platanus,5.7,Ocupada,Ochava,A nivel,65,16
-58.479586995407494,-34.564021925522496,138045,12,Congreso Av.,4600.0,4063.0,Tilia,5.8,Ocupada,Regular,A nivel,20,6
-58.4938984310909,-34.5716523183417,137530,12,Congreso Av.,5400.0,5425.0,Platanus,5.7,Ocupada,Regular,A nivel,56,16
-58.4942528235075,-34.571840707499106,137536,12,Congreso Av.,5450.0,5451.0,Platanus,6,Ocupada,Ochava,Bajo nivel,56,13
-58.4905719984622,-34.5699132322369,137300,12,Congreso Av.,5100.0,5121.0,Platanus,6.6,Ocupada,Regular,A nivel,57,15
-58.4910487260195,-34.5701691019695,137301,12,Congreso Av.,5100.0,5175.0,Platanus,6.6,Ocupada,Regular,Bajo nivel,76,18
-58.4910487260195,-34.5701691019695,137302,12,Congreso Av.,5100.0,5175.0,Platanus,6.6,Ocupada,Regular,A nivel,51,17
-58.4907314304001,-34.569998803108895,137305,12,Congreso Av.,5100.0,5141.0,Platanus,6.6,Sobreocupada,Regular,Elevada,46,14
-58.4909693988955,-34.5701265256787,137310,12,Congreso Av.,5100.0,5165.0,Platanus,6.6,Ocupada,Regular,A nivel,57,16
-58.4905719984622,-34.5699132322369,137320,12,Congreso Av.,5100.0,5123.0,Platanus,6.6,Ocupada,Regular,A nivel,59,16
-58.4956855016704,-34.572591403204996,141435,12,Congreso Av.,5500.0,5579.0,Platanus,6,Ocupada,Regular,A nivel,71,16
-58.4949481761136,-34.5722047111842,141439,12,Congreso Av.,5500.0,5505.0,Platanus,6,Ocupada,Ochava,A nivel,76,17
