long,lat,nro_registro,comuna,calle_nombre,calle_altura,calle_chapa,nombre_cientifico,ancho_acera,estado_plantera,ubicacion_plantera,nivel_plantera,diametro_altura_pecho,altura_arbol
-58.377842136848,-34.6033955055318,53284,1,Corrientes Av.,700.0,781.0,Jacaranda,3.9,Ocupada,Regular,Bajo nivel,5,4
-58.37493078109329,-34.603215540143,53287,1,Corrientes Av.,500.0,587.0,Jacaranda,4,Ocupada,Regular,Bajo nivel,5,3
-58.377310895057,-34.6033629721186,53288,1,Corrientes Av.,700.0,751.0,Jacaranda,3.9,Ocupada,Regular,A nivel,5,4
-58.3764747744079,-34.603310830736696,53292,1,Corrientes Av.,600.0,687.0,Jacaranda,3.6,Ocupada,Regular,A nivel,5,5
-58.377310895057,-34.6033629721186,53293,1,Corrientes Av.,700.0,751.0,Jacaranda,3.9,Ocupada,Regular,A nivel,4,2
-58.377410671122206,-34.6033690827551,53294,1,Corrientes Av.,700.0,753.0,Jacaranda,3.9,Ocupada,Regular,Bajo nivel,5,3
-58.374605750995904,-34.6031956221804,53298,1,Corrientes Av.,500.0,569.0,Jacaranda,4,Ocupada,Regular,NA,5,3
-58.37592707857329,-34.603277252486,53299,1,Corrientes Av.,600.0,635.0,Jacaranda,3.6,Ocupada,Regular,A nivel,5,3
-58.3758205778368,-34.603434376962,59558,1,Corrientes Av.,600.0,640.0,Jacaranda,3.2,Ocupada,Regular,A nivel,6,4
-58.3756517202156,-34.603424023857,59684,1,Corrientes Av.,600.0,632.0,Jacaranda,3.2,Ocupada,Regular,A nivel,4,3
-58.377410671122206,-34.6033690827551,61215,1,Corrientes Av.,700.0,755.0,Jacaranda,4,Ocupada,Regular,A nivel,9,5
-58.3764407086051,-34.6034723960057,61240,1,Corrientes Av.,600.0,690.0,Jacaranda,3.2,Ocupada,Regular,A nivel,3,4
-58.3722260211551,-34.6030474433805,62440,1,Corrientes Av.,300.0,375.0,Jacaranda,3.6,Ocupada,Regular,Bajo nivel,7,4
-58.3722260211551,-34.6030474433805,62441,1,Corrientes Av.,300.0,383.0,Jacaranda,3.6,Ocupada,Regular,Bajo nivel,8,5
-58.3758205778368,-34.603434376962,64637,1,Corrientes Av.,600.0,640.0,Jacaranda,3.2,Sobreocupada,Regular,A nivel,9,6
-58.3760364060476,-34.6034476095706,64640,1,Corrientes Av.,600.0,668.0,Jacaranda,3.2,Ocupada,Regular,A nivel,4,4
-58.37445782221229,-34.6033514855229,66381,1,Corrientes Av.,500.0,544.0,Jacaranda,3.6,Ocupada,Regular,A nivel,5,4
-58.374584185076,-34.603359229032,66372,1,Corrientes Av.,500.0,550.0,Jacaranda,3.6,Ocupada,Regular,A nivel,11,4
-58.412945629879104,-34.604207189861,23597,3,Corrientes Av.,3300.0,3392.0,Platanus,3.6,Ocupada,Regular,A nivel,32,15
-58.41239509531321,-34.6041864902722,23600,3,Corrientes Av.,3300.0,3344.0,Ficus,3.6,Ocupada,Regular,A nivel,10,2
-58.41239509531321,-34.6041864902722,23601,3,Corrientes Av.,3300.0,3340.0,Ficus,3.6,Ocupada,Regular,Bajo nivel,4,2
-58.397211832934104,-34.6044627665907,23683,3,Corrientes Av.,2100.0,2127.0,Platanus,4.9,Ocupada,Regular,A nivel,57,16
-58.3978192396496,-34.6044815840745,23691,3,Corrientes Av.,2100.0,2171.0,Platanus,4.9,Ocupada,Fuera de línea,A nivel,64,19
-58.39560669863479,-34.604421550162,23734,3,Corrientes Av.,2000.0,2019.0,Platanus,4.9,Ocupada,Fuera de línea,A nivel,47,9
-58.3966561677487,-34.6044468455186,23748,3,Corrientes Av.,2000.0,2095.0,Ficus,4.9,Ocupada,Fuera de línea,A nivel,25,5
-58.4123565891267,-34.6040262680754,23276,3,Corrientes Av.,3300.0,3339.0,Jacaranda,3.6,Ocupada,Regular,Bajo nivel,14,5
-58.4123565891267,-34.6040262680754,23277,3,Corrientes Av.,3300.0,3339.0,Jacaranda,3.6,Ocupada,Regular,Bajo nivel,8,4
-58.4127858321236,-34.6040424078866,23279,3,Corrientes Av.,3300.0,3381.0,Platanus,3.6,Ocupada,Regular,A nivel,29,7
-58.4127858321236,-34.6040424078866,23280,3,Corrientes Av.,3300.0,3381.0,Platanus,3.6,Ocupada,Regular,A nivel,38,7
-58.4067529705296,-34.604310951957395,24182,3,Corrientes Av.,2900.0,2917.0,Platanus,3.6,Ocupada,Regular,A nivel,58,15
-58.4068566171696,-34.6042971575132,24211,3,Corrientes Av.,2900.0,2921.0,Platanus,3.6,Sobreocupada,Regular,Elevada,71,12
-58.4072268988678,-34.6042478756881,24743,3,Corrientes Av.,2900.0,2953.0,Ficus,3.6,Ocupada,Regular,Elevada,30,9
-58.4073662546966,-34.6042293280954,24757,3,Corrientes Av.,2900.0,2963.0,Ficus,3.6,Ocupada,Regular,Elevada,53,7
-58.4072268988678,-34.6042478756881,24761,3,Corrientes Av.,2900.0,2955.0,Ficus,3.6,Ocupada,Regular,Elevada,11,5
-58.408099707031205,-34.6041325187958,24244,3,Corrientes Av.,3000.0,3019.0,Platanus,3.6,Ocupada,Regular,A nivel,95,15
-58.409375935869505,-34.6039980212204,26717,3,Corrientes Av.,3100.0,3135.0,Platanus,3.6,Ocupada,Regular,A nivel,28,9
-58.40947117169971,-34.603991913444,26720,3,Corrientes Av.,3100.0,3151.0,Tilia,3.6,Ocupada,Regular,A nivel,22,9
-58.40947117169971,-34.603991913444,26725,3,Corrientes Av.,3100.0,3151.0,Ficus,3.6,Ocupada,Regular,A nivel,56,7
-58.408125197677705,-34.6043016185902,27981,3,Corrientes Av.,3000.0,3042.0,Ficus,3.6,Ocupada,Regular,Elevada,11,2
-58.407228677978296,-34.6044217475389,27985,3,Corrientes Av.,2900.0,2942.0,Platanus,3.6,Ocupada,Regular,A nivel,31,12
-58.407320803472,-34.604409486152,27986,3,Corrientes Av.,2900.0,2958.0,Ficus,3.6,Sobreocupada,Regular,Elevada,8,2
-58.4061552385534,-34.6045630634597,27606,3,Corrientes Av.,2800.0,2854.0,Platanus,3.6,Ocupada,Regular,A nivel,41,18
-58.4057698746071,-34.6046143349413,27631,3,Corrientes Av.,2800.0,2832.0,Jacaranda,3.6,Ocupada,Regular,A nivel,10,6
-58.406839628569095,-34.604473527074596,27910,3,Corrientes Av.,2900.0,2910.0,Platanus,NA,Ocupada,Regular,Elevada,41,8
-58.4016282892695,-34.6046117277274,28321,3,Corrientes Av.,2400.0,2463.0,Ficus,4.4,Ocupada,Regular,A nivel,29,5
-58.4097847149292,-34.6041420374145,29558,3,Corrientes Av.,3100.0,3148.0,Platanus,3.6,Ocupada,Regular,A nivel,47,8
-58.4095992576508,-34.6041539317573,29560,3,Corrientes Av.,3100.0,3144.0,Platanus,3.6,Ocupada,Regular,A nivel,35,12
-58.409406372622605,-34.604166302547,29561,3,Corrientes Av.,3100.0,3126.0,Platanus,3.6,Ocupada,Regular,Elevada,33,12
-58.394025074332895,-34.604385658838396,30157,3,Corrientes Av.,1900.0,1901.0,Jacaranda,3.7,Ocupada,Regular,A nivel,15,7
-58.3941496722704,-34.6043886355676,30161,3,Corrientes Av.,1900.0,1911.0,Jacaranda,3.7,Ocupada,Regular,A nivel,4,3
-58.394677575518,-34.6044012511657,30170,3,Corrientes Av.,1900.0,1963.0,Platanus,3.7,Ocupada,Fuera de línea,Bajo nivel,43,15
-58.409289588261096,-34.6041717792705,29632,3,Corrientes Av.,3100.0,3112.0,Platanus,3.6,Ocupada,Regular,A nivel,46,9
-58.3947999487523,-34.604404174085495,30175,3,Corrientes Av.,1900.0,1969.0,Platanus,3.7,Ocupada,Fuera de línea,Bajo nivel,66,23
-58.3950024362018,-34.6044090116078,30185,3,Corrientes Av.,1900.0,1983.0,Platanus,3.7,Ocupada,Fuera de línea,Bajo nivel,71,18
-58.3932733695916,-34.6043809559371,30410,3,Corrientes Av.,1800.0,1889.0,Platanus,NA,Ocupada,Regular,A nivel,59,22
-58.3930593375804,-34.604377514197004,30419,3,Corrientes Av.,1800.0,1851.0,Platanus,NA,Ocupada,Regular,A nivel,44,23
-58.3930593375804,-34.604377514197004,30423,3,Corrientes Av.,1800.0,1847.0,Platanus,NA,Ocupada,Regular,A nivel,35,23
-58.3930593375804,-34.604377514197004,30427,3,Corrientes Av.,1800.0,1843.0,Platanus,NA,Ocupada,Regular,A nivel,40,15
-58.4030336927865,-34.604817111570895,33159,3,Corrientes Av.,2500.0,2564.0,Jacaranda,4.8,Ocupada,Regular,A nivel,4,2
-58.4030336927865,-34.604817111570895,33170,3,Corrientes Av.,2500.0,2564.0,Jacaranda,4.8,Ocupada,Regular,A nivel,3,2
