long,lat,nro_registro,comuna,calle_nombre,calle_altura,calle_chapa,nombre_cientifico,ancho_acera,estado_plantera,ubicacion_plantera,nivel_plantera,diametro_altura_pecho,altura_arbol
-58.369613402752506,-34.5983248213973,55099,1,Córdoba Av.,100.0,111.0,Jacaranda,3.6,Ocupada,Regular,A nivel,5,4
-58.369613402752506,-34.5983248213973,55100,1,Córdoba Av.,100.0,111.0,Jacaranda,3.6,Ocupada,Regular,A nivel,5,3
-58.369613402752506,-34.5983248213973,55101,1,Córdoba Av.,100.0,111.0,Jacaranda,3.6,Ocupada,Regular,A nivel,5,4
-58.369613402752506,-34.5983248213973,55102,1,Córdoba Av.,100.0,111.0,Jacaranda,3.6,Ocupada,Regular,A nivel,5,4
-58.369613402752506,-34.5983248213973,55103,1,Córdoba Av.,100.0,111.0,Jacaranda,3.6,Ocupada,Regular,A nivel,5,4
-58.369613402752506,-34.5983248213973,55104,1,Córdoba Av.,100.0,111.0,Jacaranda,3.6,Ocupada,Regular,A nivel,4,3
-58.369613402752506,-34.5983248213973,55105,1,Córdoba Av.,100.0,111.0,Jacaranda,3.6,Ocupada,Regular,A nivel,5,3
-58.369613402752506,-34.5983248213973,55106,1,Córdoba Av.,100.0,111.0,Jacaranda,3.6,Ocupada,Regular,A nivel,4,3
-58.369613402752506,-34.5983248213973,55107,1,Córdoba Av.,100.0,111.0,Jacaranda,3.6,Ocupada,Regular,A nivel,4,4
-58.369613402752506,-34.5983248213973,55108,1,Córdoba Av.,100.0,111.0,Jacaranda,3.6,Ocupada,Regular,A nivel,5,4
-58.369613402752506,-34.5983248213973,55109,1,Córdoba Av.,100.0,111.0,Jacaranda,3.6,Ocupada,Regular,A nivel,4,3
-58.369613402752506,-34.5983248213973,55110,1,Córdoba Av.,100.0,111.0,Jacaranda,4,Ocupada,Regular,A nivel,5,3
-58.369613402752506,-34.5983248213973,55120,1,Córdoba Av.,100.0,111.0,Jacaranda,3.6,Ocupada,Regular,A nivel,5,4
-58.3765402155214,-34.5988709648392,86540,1,Córdoba Av.,600.0,664.0,Ficus,7,Sobreocupada,Regular,Elevada,5,2
-58.3806854173501,-34.5990888075108,91820,1,Córdoba Av.,900.0,970.0,Ficus,3.6,Ocupada,Regular,A nivel,26,8
-58.380855356916896,-34.5990953167274,91821,1,Córdoba Av.,900.0,972.0,Tilia,3.6,Ocupada,Regular,A nivel,18,8
-58.380855356916896,-34.5990953167274,91841,1,Córdoba Av.,900.0,972.0,Tilia,3.6,Ocupada,Regular,A nivel,24,7
-58.3793456470747,-34.5988708954257,93704,1,Córdoba Av.,800.0,879.0,Platanus,3.6,Ocupada,Regular,A nivel,5,3
-58.3791387313941,-34.5988620477713,93705,1,Córdoba Av.,800.0,859.0,Platanus,3.6,Ocupada,Regular,A nivel,3,3
-58.389134633000296,-34.599491226542,104948,1,Córdoba Av.,1500.0,1558.0,Jacaranda,3.2,Ocupada,Regular,A nivel,34,10
-58.4006401695011,-34.5994506541296,18646,2,Córdoba Av.,2300.0,2351.0,Jacaranda,3.6,Ocupada,Regular,A nivel,38,11
-58.4006401695011,-34.5994506541296,18648,2,Córdoba Av.,2300.0,2351.0,Jacaranda,8,Ocupada,Regular,A nivel,29,7
-58.4006401695011,-34.5994506541296,18522,2,Córdoba Av.,2300.0,2351.0,Jacaranda,8,Ocupada,Regular,A nivel,34,10
-58.4006401695011,-34.5994506541296,18523,2,Córdoba Av.,2300.0,2351.0,Jacaranda,3.6,Ocupada,Regular,A nivel,48,9
-58.4006401695011,-34.5994506541296,18551,2,Córdoba Av.,2300.0,2351.0,Jacaranda,8,Ocupada,Regular,A nivel,35,11
-58.4006401695011,-34.5994506541296,18553,2,Córdoba Av.,2300.0,2351.0,Jacaranda,8,Ocupada,Regular,A nivel,47,11
-58.4006401695011,-34.5994506541296,18558,2,Córdoba Av.,2300.0,2351.0,Jacaranda,3.6,Ocupada,Regular,A nivel,49,13
-58.4006401695011,-34.5994506541296,18634,2,Córdoba Av.,2300.0,2351.0,Jacaranda,3.6,Ocupada,Regular,A nivel,56,14
-58.4006401695011,-34.5994506541296,18635,2,Córdoba Av.,2300.0,2351.0,Jacaranda,3.6,Ocupada,Regular,A nivel,54,15
-58.4006401695011,-34.5994506541296,18973,2,Córdoba Av.,2300.0,2351.0,Jacaranda,8,Ocupada,Regular,A nivel,31,7
-58.4006401695011,-34.5994506541296,18974,2,Córdoba Av.,2300.0,2351.0,Jacaranda,3.6,Ocupada,Regular,A nivel,43,12
-58.4006401695011,-34.5994506541296,19000,2,Córdoba Av.,2300.0,2351.0,Jacaranda,3.6,Ocupada,Regular,A nivel,29,10
-58.3965266837716,-34.5996354394141,36177,2,Córdoba Av.,2000.0,2049.0,Ficus,3.6,Ocupada,Regular,A nivel,52,10
-58.3968960842505,-34.5996426896643,36181,2,Córdoba Av.,2000.0,2093.0,Ficus,3.6,Ocupada,Regular,Bajo nivel,24,6
-58.3970405654516,-34.5996455250979,36182,2,Córdoba Av.,2000.0,2085.0,Jacaranda,3.6,Ocupada,Regular,Bajo nivel,12,5
-58.396668470260295,-34.599638222399605,36186,2,Córdoba Av.,2000.0,2057.0,Jacaranda,3.6,Ocupada,Regular,Bajo nivel,15,7
-58.3951480730944,-34.5996112823459,36437,2,Córdoba Av.,1900.0,1951.0,Jacaranda,4,Ocupada,Regular,Bajo nivel,47,11
-58.3951480730944,-34.5996112823459,36438,2,Córdoba Av.,1900.0,1951.0,Jacaranda,4,Ocupada,Regular,Bajo nivel,41,12
-58.3951480730944,-34.5996112823459,36440,2,Córdoba Av.,1900.0,1951.0,Jacaranda,4,Ocupada,Regular,Bajo nivel,40,11
-58.3951480730944,-34.5996112823459,36441,2,Córdoba Av.,1900.0,1951.0,Jacaranda,4,Ocupada,Regular,Bajo nivel,48,12
-58.3951480730944,-34.5996112823459,36445,2,Córdoba Av.,1900.0,1951.0,Jacaranda,4,Ocupada,Regular,Bajo nivel,46,11
-58.396049485797995,-34.599626069623106,36449,2,Córdoba Av.,2000.0,2011.0,Jacaranda,3.6,Ocupada,Regular,A nivel,40,11
-58.3951480730944,-34.5996112823459,36456,2,Córdoba Av.,1900.0,1951.0,Jacaranda,4,Ocupada,Regular,Bajo nivel,6,5
-58.3951480730944,-34.5996112823459,36471,2,Córdoba Av.,1900.0,1951.0,Jacaranda,4,Ocupada,Regular,Bajo nivel,6,4
-58.3876160038245,-34.5992451549701,39419,2,Córdoba Av.,1400.0,1459.0,Jacaranda,3.65,Ocupada,Regular,A nivel,5,4
-58.3879222912049,-34.599423380294105,39420,2,Córdoba Av.,1400.0,1488.0,Ficus,2.8,Sobreocupada,Regular,A nivel,12,3
-58.414991684790294,-34.5977968377068,38648,2,Córdoba Av.,3400.0,3435.0,Jacaranda,3.2,Ocupada,Regular,Bajo nivel,1,2
-58.40198227437459,-34.5992876358146,40028,2,Córdoba Av.,2400.0,2457.0,Jacaranda,3.4,Ocupada,Regular,A nivel,43,15
-58.4049050135125,-34.597950813189804,40052,2,Córdoba Av.,2600.0,2671.0,Ficus,3.2,Ocupada,Regular,A nivel,19,4
-58.405943895711495,-34.5979533293229,40131,2,Córdoba Av.,2700.0,2743.0,Ficus,3.03,Ocupada,Regular,Elevada,4,2
-58.40320047631579,-34.598635093015105,44283,2,Córdoba Av.,2500.0,2545.0,Jacaranda,3.6,Ocupada,Regular,A nivel,45,11
-58.4028255174693,-34.5988352501735,44285,2,Córdoba Av.,2500.0,2519.0,Jacaranda,3.6,Ocupada,Fuera de línea,A nivel,27,8
-58.3938447054708,-34.5995780946576,81847,2,Córdoba Av.,1800.0,1865.0,Platanus,3.6,Ocupada,Regular,A nivel,3,3
-58.3938447054708,-34.5995780946576,81854,2,Córdoba Av.,1800.0,1865.0,Platanus,3.6,Ocupada,Regular,A nivel,3,3
-58.402438287407506,-34.5992410850588,24078,3,Córdoba Av.,2400.0,2500.0,Ficus,4.8,Ocupada,Regular,Elevada,34,6
-58.4019458871698,-34.5995039736329,24081,3,Córdoba Av.,2400.0,2472.0,Jacaranda,3.2,Ocupada,Regular,A nivel,4,4
-58.39502608724,-34.599765558822696,24290,3,Córdoba Av.,1900.0,1950.0,Jacaranda,4,Ocupada,Regular,Bajo nivel,31,9
-58.39502608724,-34.599765558822696,24291,3,Córdoba Av.,1900.0,1950.0,Jacaranda,4,Ocupada,Regular,Bajo nivel,47,9
-58.39502608724,-34.599765558822696,24294,3,Córdoba Av.,1900.0,1950.0,Jacaranda,4,Ocupada,Regular,Bajo nivel,42,9
-58.4045774323938,-34.5981211960367,25719,3,Córdoba Av.,2600.0,2646.0,Ficus,3.2,Ocupada,Regular,Elevada,34,13
-58.4034992700305,-34.5986729300739,25874,3,Córdoba Av.,2500.0,2586.0,Jacaranda,3.8,Ocupada,Regular,A nivel,26,12
-58.4034992700305,-34.5986729300739,25875,3,Córdoba Av.,2500.0,2586.0,Ficus,3.8,Ocupada,Regular,Elevada,33,14
-58.39667508776379,-34.5998006353321,29035,3,Córdoba Av.,2000.0,2074.0,Ficus,3.7,Ocupada,Regular,Elevada,34,11
-58.39657908868279,-34.5997987510866,29053,3,Córdoba Av.,2000.0,2064.0,Jacaranda,3.7,Ocupada,Regular,Bajo nivel,4,3
-58.39704487306211,-34.5998078948055,29051,3,Córdoba Av.,2000.0,2100.0,Jacaranda,3.7,Ocupada,Regular,A nivel,51,16
-58.39657908868279,-34.5997987510866,29054,3,Córdoba Av.,2000.0,2062.0,Ficus,3.7,Ocupada,Regular,Bajo nivel,29,2
-58.3979258011788,-34.599824572567,29080,3,Córdoba Av.,2100.0,2122.0,Jacaranda,4.4,Ocupada,Regular,A nivel,25,8
-58.3979258011788,-34.599824572567,29081,3,Córdoba Av.,2100.0,2122.0,Jacaranda,4.4,Ocupada,Regular,A nivel,36,8
-58.3979258011788,-34.599824572567,29082,3,Córdoba Av.,2100.0,2122.0,Ficus,4.4,Ocupada,Regular,A nivel,32,3
-58.3979258011788,-34.599824572567,29083,3,Córdoba Av.,2100.0,2122.0,Jacaranda,4.4,Ocupada,Regular,A nivel,5,3
-58.3979258011788,-34.599824572567,29084,3,Córdoba Av.,2100.0,2122.0,Jacaranda,4.4,Ocupada,Regular,A nivel,7,3
-58.396485322515296,-34.599796912725,28381,3,Córdoba Av.,2000.0,2054.0,Jacaranda,3.7,Ocupada,Regular,A nivel,27,12
-58.3979258011788,-34.599824572567,30091,3,Córdoba Av.,2100.0,2122.0,Jacaranda,4.4,Ocupada,Regular,A nivel,5,3
-58.396390550062,-34.5997950524163,30588,3,Córdoba Av.,2000.0,2046.0,Jacaranda,3.7,Ocupada,Regular,Bajo nivel,49,12
-58.3960065535343,-34.5997875140857,30598,3,Córdoba Av.,2000.0,2016.0,Jacaranda,3.7,Ocupada,Regular,A nivel,37,14
-58.3960065535343,-34.5997875140857,30599,3,Córdoba Av.,2000.0,2008.0,Jacaranda,3.7,Ocupada,Regular,Bajo nivel,45,14
-58.396485322515296,-34.599796912725,30914,3,Córdoba Av.,2000.0,2054.0,Jacaranda,3.7,Ocupada,Regular,A nivel,27,12
-58.39667508776379,-34.5998006353321,30918,3,Córdoba Av.,2000.0,2074.0,Ficus,3.7,Ocupada,Regular,Elevada,34,11
-58.4109248797622,-34.5981419556064,32776,3,Córdoba Av.,3100.0,3120.0,Jacaranda,3.2,Ocupada,Regular,A nivel,3,2
-58.4109248797622,-34.5981419556064,32828,3,Córdoba Av.,3100.0,3120.0,Jacaranda,3.2,Ocupada,Regular,A nivel,26,11
-58.42113258413529,-34.5978319380945,425,5,Córdoba Av.,3800.0,3858.0,Ficus,3.2,Ocupada,Regular,A nivel,70,12
-58.4158501491212,-34.5979436202745,953,5,Córdoba Av.,3400.0,3496.0,Ficus,3.2,Ocupada,Regular,A nivel,11,5
-58.4125708414239,-34.5980616227056,1440,5,Córdoba Av.,3200.0,3250.0,Jacaranda,3.2,Ocupada,Regular,A nivel,25,9
-58.4125708414239,-34.5980616227056,1443,5,Córdoba Av.,3200.0,3250.0,Jacaranda,3.2,Ocupada,Regular,A nivel,26,11
-58.4125708414239,-34.5980616227056,1444,5,Córdoba Av.,3200.0,3250.0,Jacaranda,3.2,Ocupada,Regular,A nivel,26,11
-58.4125708414239,-34.5980616227056,1445,5,Córdoba Av.,3200.0,3250.0,Jacaranda,3.2,Ocupada,Regular,A nivel,27,10
-58.4221751236975,-34.59763826172139,1590,5,Córdoba Av.,3900.0,3933.0,Jacaranda,3.5,Ocupada,Regular,NA,4,2
