long,lat,nro_registro,comuna,calle_nombre,calle_altura,calle_chapa,nombre_cientifico,ancho_acera,estado_plantera,ubicacion_plantera,nivel_plantera,diametro_altura_pecho,altura_arbol
-58.4766316150681,-34.5446018452699,125789,12,Cramer Av.,4300.0,4374.0,Ficus,2.8,Ocupada,Regular,Elevada,22,4
-58.4761165402345,-34.5454484709811,129833,12,Cramer Av.,4200.0,4257.0,Platanus,3,Ocupada,Regular,A nivel,70,17
-58.4761165402345,-34.5454484709811,129834,12,Cramer Av.,4200.0,4257.0,Ficus,3,Ocupada,Regular,Bajo nivel,27,2
-58.4762449280818,-34.545386824362694,135297,12,Cramer Av.,4200.0,4280.0,Ficus,2.8,Sobreocupada,Regular,Bajo nivel,2,2
-58.4729785152915,-34.5511854818854,136783,12,Cramer Av.,3600.0,3618.0,Jacaranda,3.2,Ocupada,Regular,A nivel,21,6
-58.4729785152915,-34.5511854818854,136784,12,Cramer Av.,3600.0,3618.0,Jacaranda,3.2,Ocupada,Regular,A nivel,24,7
-58.4731245926444,-34.550990599783695,136790,12,Cramer Av.,3600.0,3650.0,Tilia,3.2,Ocupada,Regular,Elevada,30,4
-58.475641286505,-34.546626270341704,139353,12,Cramer Av.,4100.0,4120.0,Ficus,2.4,Ocupada,Ochava,A nivel,65,9
-58.4758740852707,-34.546148556725605,139362,12,Cramer Av.,4100.0,4196.0,Platanus,2.4,Ocupada,Ochava,A nivel,76,23
-58.478096528619005,-34.5416033352493,151805,12,Cramer Av.,4700.0,4730.0,Melia,2.8,Ocupada,Ochava,A nivel,58,13
-58.478096528619005,-34.5416033352493,151808,12,Cramer Av.,4700.0,4730.0,Melia,2.8,Ocupada,Regular,A nivel,58,12
-58.4764735882796,-34.5447199698894,168338,12,Cramer Av.,4300.0,4357.0,Platanus,2.6,Ocupada,Regular,A nivel,44,16
-58.47643769212029,-34.5447923885427,168341,12,Cramer Av.,4300.0,4355.0,Platanus,2.6,Ocupada,Regular,A nivel,47,16
-58.476365818690205,-34.5449373890769,168344,12,Cramer Av.,4300.0,4341.0,Platanus,2.6,Ocupada,Regular,A nivel,45,17
-58.4763151124535,-34.5450400060502,168364,12,Cramer Av.,4300.0,4317.0,Platanus,2.6,Ocupada,Regular,A nivel,45,17
-58.4763151124535,-34.5450400060502,168367,12,Cramer Av.,4300.0,4305.0,Platanus,2.6,Ocupada,Ochava,A nivel,49,17
-58.4772479190077,-34.5431617533688,541610,12,Cramer Av.,4500,4535.0,Platanus,2.6,Ocupada,Regular,A Nivel,74,16
-58.47728176308289,-34.54309345915,541611,12,Cramer Av.,4500,4545.0,Platanus,2.6,Ocupada,Regular,A Nivel,76,17
-58.477313765645,-34.543028880825,541612,12,Cramer Av.,4500,4555.0,Platanus,2.6,Ocupada,Regular,A Nivel,73,16
-58.4773462535143,-34.542963323087,541613,12,Cramer Av.,4500,4561.0,Platanus,2.6,Ocupada,Regular,A Nivel,76,16
-58.477417562123,-34.5428169489425,541616,12,Cramer Av.,4500,4597.0,Ficus,2.6,Ocupada,Ochava,Bajo Nivel,23,10
-58.4565676623343,-34.569609344794806,100459,13,Cramer Av.,1600,1655.0,Tilia,3.2,Ocupada,Regular,Elevada,8,4
