long,lat,nro_registro,comuna,calle_nombre,calle_altura,calle_chapa,nombre_cientifico,ancho_acera,estado_plantera,ubicacion_plantera,nivel_plantera,diametro_altura_pecho,altura_arbol
-58.3728674311828,-34.651544325243805,398896,4,Cruz Osvaldo Av.,1800,1896,Platanus,3.2,Ocupada,Regular,A nivel,68,18
-58.3729593037828,-34.6515625856806,398897,4,Cruz Osvaldo Av.,1900,1902,Platanus,3.2,Ocupada,Regular,A nivel,68,17
-58.3780670828911,-34.6529983651904,506557,4,Cruz Osvaldo Av.,2300,2288,Platanus,2,Ocupada,Regular,A Nivel,45,10
-58.3780670828911,-34.6529983651904,506560,4,Cruz Osvaldo Av.,2300,2288,Platanus,2,Ocupada,Regular,A Nivel,52,10
-58.3780670828911,-34.6529983651904,506561,4,Cruz Osvaldo Av.,2300,2288,Platanus,2,Ocupada,Regular,A Nivel,9,6
-58.3763299134258,-34.6525456324294,506656,4,Cruz Osvaldo Av.,2100,2152,Platanus,2.8,Ocupada,Regular,A Nivel,22,10
-58.3763299134258,-34.6525456324294,506657,4,Cruz Osvaldo Av.,2100,2152,Platanus,2.8,Ocupada,Regular,A Nivel,23,10
-58.3786102567359,-34.6530540643495,509246,4,Cruz Osvaldo Av.,2300,2313,Platanus,2.4,Ocupada,Regular,A Nivel,44,14
-58.37871792577889,-34.653081346244,509250,4,Cruz Osvaldo Av.,2300,2327,Ficus,2.4,Ocupada,Regular,A Nivel,15,5
-58.3792058972328,-34.6532064808792,509251,4,Cruz Osvaldo Av.,2300,2371,Platanus,2.4,Ocupada,Regular,A Nivel,43,14
-58.3792058972328,-34.6532064808792,509252,4,Cruz Osvaldo Av.,2300,2371,Platanus,2.4,Ocupada,Regular,A Nivel,37,9
-58.3792058972328,-34.6532064808792,509253,4,Cruz Osvaldo Av.,2300,2371,Platanus,2.4,Ocupada,Regular,A Nivel,35,14
-58.38001756482671,-34.653410835734,509259,4,Cruz Osvaldo Av.,2400,2413,Platanus,2.4,Ocupada,Regular,A Nivel,78,16
-58.38001756482671,-34.653410835734,509260,4,Cruz Osvaldo Av.,2400,2413,Platanus,2.4,Ocupada,Regular,A Nivel,51,14
-58.38061561617349,-34.6535621459911,509262,4,Cruz Osvaldo Av.,2400,2469,Platanus,2.4,Ocupada,Regular,A Nivel,45,12
-58.3809840810693,-34.6536553679209,509264,4,Cruz Osvaldo Av.,2400,2497,Platanus,2.4,Ocupada,Regular,Elevada,102,16
-58.3815594440798,-34.6538040330821,509304,4,Cruz Osvaldo Av.,2500,2543,Platanus,2.8,Ocupada,Regular,A Nivel,8,5
-58.381874619042904,-34.6538837802142,509307,4,Cruz Osvaldo Av.,2500,2571,Platanus,2.8,Ocupada,Regular,A Nivel,23,2
-58.38319155754579,-34.6542175481406,509345,4,Cruz Osvaldo Av.,2600,2649,Melia,2.8,Ocupada,Regular,A Nivel,17,7
-58.382929449912005,-34.6542292782572,509348,4,Cruz Osvaldo Av.,2600,2638,Ficus,2.8,Ocupada,Regular,A Nivel,17,3
-58.3825958879434,-34.6540668517368,509349,4,Cruz Osvaldo Av.,2600,2621,Platanus,2.8,Ocupada,Regular,A Nivel,34,13
