long,lat,nro_registro,comuna,calle_nombre,calle_altura,calle_chapa,nombre_cientifico,ancho_acera,estado_plantera,ubicacion_plantera,nivel_plantera,diametro_altura_pecho,altura_arbol
-58.45927546629971,-34.571348551360394,108882,13,De Los Incas Av.,3100,3178.0,Ficus,3.6,Ocupada,Regular,Elevada,57,9
-58.458814950595595,-34.5708937190771,108898,13,De Los Incas Av.,3100,3122.0,Ficus,3.6,Ocupada,Regular,Elevada,31,8
-58.458637103152704,-34.5703782608104,117443,13,De Los Incas Av.,3000,3093.0,Platanus,3.6,Ocupada,Regular,A nivel,75,21
-58.458637103152704,-34.5703782608104,117529,13,De Los Incas Av.,3000,3093.0,Platanus,3.6,Ocupada,Regular,A nivel,60,22
-58.458637103152704,-34.5703782608104,117534,13,De Los Incas Av.,3000,3093.0,Platanus,3.6,Ocupada,Regular,A nivel,43,18
-58.458637103152704,-34.5703782608104,117535,13,De Los Incas Av.,3000,3093.0,Platanus,3.6,Ocupada,Regular,A nivel,75,22
-58.4584844179261,-34.5702298553492,117536,13,De Los Incas Av.,3000,3085.0,Platanus,3.6,Ocupada,Regular,Elevada,36,14
-58.4619132915753,-34.5735598473159,122296,13,De Los Incas Av.,3400,3419.0,Platanus,3,Ocupada,Regular,Elevada,83,16
-58.4624127487185,-34.574045278979995,122333,13,De Los Incas Av.,3400,3495.0,Ficus,3,Ocupada,Regular,A nivel,10,5
-58.4599365899905,-34.5716413763698,122702,13,De Los Incas Av.,3200,3223.0,Platanus,3,Ocupada,Regular,A nivel,65,18
-58.4599365899905,-34.5716413763698,122703,13,De Los Incas Av.,3200,3223.0,Platanus,3,Ocupada,Regular,A nivel,79,18
-58.4599365899905,-34.5716413763698,122704,13,De Los Incas Av.,3200,3223.0,Platanus,3,Ocupada,Regular,A nivel,80,18
-58.4599365899905,-34.5716413763698,122705,13,De Los Incas Av.,3200,3223.0,Platanus,3,Ocupada,Regular,A nivel,82,18
-58.4599365899905,-34.5716413763698,122706,13,De Los Incas Av.,3200,3223.0,Platanus,3,Ocupada,Regular,A nivel,81,18
-58.460545945880206,-34.5722332761586,122709,13,De Los Incas Av.,3200,3267.0,Platanus,3,Ocupada,Regular,A nivel,65,18
-58.4600509325733,-34.571749274031,122710,13,De Los Incas Av.,3200,3239.0,Platanus,3,Ocupada,Regular,A nivel,59,18
-58.460545945880206,-34.5722332761586,122711,13,De Los Incas Av.,3200,3267.0,Platanus,3,Ocupada,Regular,A nivel,61,18
-58.4599365899905,-34.5716413763698,122712,13,De Los Incas Av.,3200,3223.0,Platanus,3,Ocupada,Regular,A nivel,64,18
-58.4604222262388,-34.572113337606694,122713,13,De Los Incas Av.,3200,3255.0,Platanus,3,Ocupada,Regular,A nivel,75,18
-58.4601543139859,-34.5718500271879,122714,13,De Los Incas Av.,3200,3249.0,Platanus,6,Ocupada,Regular,A nivel,63,18
-58.4604222262388,-34.572113337606694,122715,13,De Los Incas Av.,3200,3255.0,Platanus,3,Ocupada,Regular,A nivel,70,18
-58.4601543139859,-34.5718500271879,122716,13,De Los Incas Av.,3200,3249.0,Platanus,3,Ocupada,Regular,A nivel,62,18
-58.4604222262388,-34.572113337606694,122717,13,De Los Incas Av.,3200,3255.0,Platanus,3,Ocupada,Regular,A nivel,64,18
-58.46068886360421,-34.5723718254744,122718,13,De Los Incas Av.,3200,3295.0,Platanus,3,Ocupada,Regular,A nivel,65,18
-58.460545945880206,-34.5722332761586,122719,13,De Los Incas Av.,3200,3267.0,Platanus,3,Ocupada,Regular,A nivel,59,18
-58.4601543139859,-34.5718500271879,122720,13,De Los Incas Av.,3200,3249.0,Platanus,3,Ocupada,Regular,A nivel,64,18
-58.46068886360421,-34.5723718254744,122721,13,De Los Incas Av.,3200,3295.0,Platanus,3,Ocupada,Regular,A nivel,59,18
-58.46068886360421,-34.5723718254744,122723,13,De Los Incas Av.,3200,3295.0,Platanus,3,Ocupada,Regular,A nivel,58,18
-58.461411066451,-34.5730730229593,122826,13,De Los Incas Av.,3300,3343.0,Platanus,3,Ocupada,Regular,A nivel,75,20
-58.4610646450786,-34.5727371177522,122830,13,De Los Incas Av.,3300,3315.0,Platanus,3,Ocupada,Regular,A nivel,68,18
-58.4611957035029,-34.5728641981216,122831,13,De Los Incas Av.,3300,3331.0,Platanus,3,Ocupada,Regular,Elevada,58,19
-58.4612501295263,-34.572916971986196,122832,13,De Los Incas Av.,3300,3333.0,Platanus,3,Ocupada,Regular,A nivel,70,20
-58.4610646450786,-34.5727371177522,122835,13,De Los Incas Av.,3300,3315.0,Platanus,3,Ocupada,Regular,A nivel,71,18
-58.4613045556184,-34.572969745826,122836,13,De Los Incas Av.,3300,3335.0,Platanus,3,Ocupada,Regular,A nivel,79,20
-58.4614708147023,-34.573130957094996,122837,13,De Los Incas Av.,3300,3351.0,Platanus,3,Ocupada,Regular,A nivel,58,19
-58.4615623840516,-34.5732197459133,122838,13,De Los Incas Av.,3300,3361.0,Platanus,4,Ocupada,Regular,A nivel,55,19
-58.4612501295263,-34.572916971986196,122839,13,De Los Incas Av.,3300,3333.0,Platanus,3,Ocupada,Regular,Elevada,64,20
-58.4610646450786,-34.5727371177522,122840,13,De Los Incas Av.,3300,3315.0,Platanus,3,Ocupada,Regular,A nivel,65,18
-58.461411066451,-34.5730730229593,122842,13,De Los Incas Av.,3300,3343.0,Platanus,3,Ocupada,Regular,A nivel,1,20
-58.46054468581671,-34.5725560319597,127431,13,De Los Incas Av.,3200,3290.0,Ficus,3.6,Ocupada,Regular,Elevada,32,6
-58.46041099304279,-34.572431500605695,127436,13,De Los Incas Av.,3200,3274.0,Platanus,3.6,Ocupada,Regular,A nivel,68,18
-58.460198647072104,-34.5722337047726,127461,13,De Los Incas Av.,3200,3260.0,Platanus,3.6,Ocupada,Regular,A nivel,79,18
-58.46110033398521,-34.5731044450501,127752,13,De Los Incas Av.,3300,3350.0,Platanus,3.6,Ocupada,Regular,Elevada,98,17
-58.4611458561228,-34.5731533367966,127753,13,De Los Incas Av.,3300,3360.0,Platanus,3.6,Ocupada,Regular,A nivel,79,20
-58.4612490985519,-34.5732576843235,127754,13,De Los Incas Av.,3300,3370.0,Platanus,3.6,Ocupada,Regular,Elevada,85,19
-58.4611458561228,-34.5731533367966,127764,13,De Los Incas Av.,3300,3360.0,Platanus,3.6,Ocupada,Regular,Elevada,82,15
-58.46264295209001,-34.5746111635699,128077,13,De Los Incas Av.,3500,3518.0,Platanus,4,Ocupada,Regular,A nivel,89,15
-58.46264295209001,-34.5746111635699,128079,13,De Los Incas Av.,3500,3518.0,Platanus,4,Ocupada,Regular,A nivel,89,16
-58.46264295209001,-34.5746111635699,128080,13,De Los Incas Av.,3500,3518.0,Platanus,4,Ocupada,Regular,A nivel,89,14
-58.4629474264783,-34.5749165742847,128081,13,De Los Incas Av.,3500,3542.0,Platanus,4,Ocupada,Regular,A nivel,78,17
-58.46307124419129,-34.574698211469105,128083,13,De Los Incas Av.,3500,3533.0,Platanus,4,Ocupada,Regular,A nivel,48,17
-58.4628243213586,-34.5747922282512,128084,13,De Los Incas Av.,3500,3536.0,Platanus,4,Ocupada,Regular,NA,79,18
-58.46264295209001,-34.5746111635699,128086,13,De Los Incas Av.,3500,3518.0,Platanus,4,Ocupada,Regular,A nivel,98,17
-58.46299069646171,-34.5749583230356,128089,13,De Los Incas Av.,3500,3546.0,Platanus,4,Ocupada,Regular,A nivel,68,12
-58.4624699578061,-34.574438458818804,128092,13,De Los Incas Av.,3500,3502.0,Platanus,4,Ocupada,Regular,A nivel,96,19
-58.46212431979551,-34.5741046276436,133730,13,De Los Incas Av.,3400,3488.0,Platanus,3,Ocupada,Regular,Elevada,112,24
-58.462062035592794,-34.574045345692,133743,13,De Los Incas Av.,3400,3470.0,Platanus,3,Ocupada,Regular,Elevada,110,23
-58.46197418100579,-34.5739617257102,133744,13,De Los Incas Av.,3400,3462.0,Ficus,3,Ocupada,Regular,Elevada,8,4
-58.46188840014089,-34.5738800792786,133752,13,De Los Incas Av.,3400,3450.0,Platanus,3,Ocupada,NA,NA,98,17
-58.46188840014089,-34.5738800792786,133755,13,De Los Incas Av.,3400,3450.0,Tilia,3,Ocupada,Regular,A nivel,28,10
-58.46160914782929,-34.5736142847357,133757,13,De Los Incas Av.,3400,3406.0,Platanus,4,Ocupada,Regular,A nivel,110,15
-58.45912728315721,-34.570853856665394,139113,13,De Los Incas Av.,3100,3129.0,Tilia,3,Ocupada,Ochava,Elevada,28,11
-58.45899618570029,-34.5707243113412,139116,13,De Los Incas Av.,3100,3113.0,Tilia,3.6,Ocupada,Regular,A nivel,28,11
-58.4584407543651,-34.57051984737,141218,13,De Los Incas Av.,3000,3082.0,Platanus,3.6,Ocupada,Regular,Elevada,68,13
-58.459823692894496,-34.5718775097382,142050,13,De Los Incas Av.,3200,3222.0,Platanus,3.6,Ocupada,Regular,A nivel,68,15
-58.4598951088616,-34.5719458863393,142555,13,De Los Incas Av.,3200,3240.0,Platanus,3.6,Ocupada,Regular,A nivel,82,17
-58.45997562472321,-34.5720229753627,142556,13,De Los Incas Av.,3200,3248.0,Platanus,3.6,Ocupada,Regular,A nivel,78,20
-58.45997562472321,-34.5720229753627,142557,13,De Los Incas Av.,3200,3248.0,Platanus,3.6,Ocupada,Regular,A nivel,78,15
-58.459823692894496,-34.5718775097382,142558,13,De Los Incas Av.,3200,3222.0,Platanus,3.6,Ocupada,Regular,A nivel,76,19
-58.4592767529195,-34.5713476600094,142657,13,De Los Incas Av.,3100,3176.0,Ficus,4,Ocupada,Regular,Elevada,38,13
-58.4617272615095,-34.5737267065396,182631,13,De Los Incas Av.,3400,3438.0,Platanus,4.2,Ocupada,Regular,A nivel,70,25
-58.462062035592794,-34.574045345692,182633,13,De Los Incas Av.,3400,3470.0,Platanus,4.2,Ocupada,Regular,Elevada,82,27
-58.46197418100579,-34.5739617257102,182653,13,De Los Incas Av.,3400,3462.0,Ficus,4.2,Ocupada,Regular,Elevada,6,5
-58.46188840014089,-34.5738800792786,182655,13,De Los Incas Av.,3400,3450.0,Platanus,4.2,Sobreocupada,Regular,Elevada,50,25
-58.46188840014089,-34.5738800792786,182660,13,De Los Incas Av.,3400,3450.0,Tilia,4.2,Ocupada,Regular,Elevada,16,9
-58.46160914782929,-34.5736142847357,184752,13,De Los Incas Av.,3400,3406.0,Platanus,4.2,Ocupada,Regular,A nivel,82,26
-58.46178865214561,-34.5737851386301,185616,13,De Los Incas Av.,3400,3444.0,Platanus,4,Ocupada,Regular,A nivel,74,32
-58.46178865214561,-34.5737851386301,185639,13,De Los Incas Av.,3400,3444.0,Platanus,4,Ocupada,Regular,Elevada,68,28
-58.46212431979551,-34.5741046276436,185642,13,De Los Incas Av.,3400,3488.0,Platanus,4,Ocupada,Regular,Elevada,68,28
-58.4620852967176,-34.5737266963286,185645,13,De Los Incas Av.,3400,3449.0,Platanus,4,Ocupada,Regular,Elevada,73,28
-58.46188840014089,-34.5738800792786,185652,13,De Los Incas Av.,3400,3450.0,Tilia,4,Ocupada,Regular,Elevada,19,9
-58.4653550800572,-34.5760995003822,207296,15,De Los Incas Av.,3700.0,3731,Platanus,4,Ocupada,Regular,A nivel,60,10
-58.478590611943105,-34.5844147688318,207544,15,De Los Incas Av.,4800.0,4859,Platanus,7.8,Ocupada,Regular,A nivel,63,14
-58.46530373661611,-34.576070268910605,207323,15,De Los Incas Av.,3700.0,3725,Platanus,4,Ocupada,Regular,A nivel,60,10
-58.46530373661611,-34.576070268910605,207348,15,De Los Incas Av.,3700.0,3725,Platanus,4,Ocupada,Ochava,A nivel,70,10
-58.466729203203705,-34.5771353217798,207367,15,De Los Incas Av.,3800.0,3878,Ficus,3.8,Ocupada,Regular,A nivel,81,9
-58.478711435720705,-34.584505939028894,207611,15,De Los Incas Av.,4800.0,4869,Platanus,7.8,Ocupada,Regular,Elevada,56,9
-58.478228457798394,-34.5841414956542,207393,15,De Los Incas Av.,4800.0,4825,Ficus,7.8,Ocupada,Regular,Elevada,31,4
-58.46637161857039,-34.5769283272944,207663,15,De Los Incas Av.,3800.0,3844,Platanus,3.8,Ocupada,Regular,Elevada,62,19
-58.466566038112795,-34.5770408708973,207434,15,De Los Incas Av.,3800.0,3864,Tilia,3.8,Ocupada,Regular,Elevada,5,3
-58.466566038112795,-34.5770408708973,207448,15,De Los Incas Av.,3800.0,3860,Tilia,3.8,Ocupada,Regular,Elevada,22,7
-58.4662649685043,-34.5768665905428,207697,15,De Los Incas Av.,3800.0,3834,Platanus,3.8,Ocupada,Regular,A nivel,58,19
-58.4655775687446,-34.5762261698081,207208,15,De Los Incas Av.,3700.0,3765,Platanus,4,Ocupada,Regular,A nivel,76,9
-58.466095713707,-34.5767686132334,207724,15,De Los Incas Av.,3800.0,3826,Platanus,3.8,Ocupada,Regular,A nivel,63,17
-58.47376432642079,-34.581042608649504,187613,15,De Los Incas Av.,4400.0,4426,Platanus,7.7,Ocupada,Regular,Elevada,49,16
