long,lat,nro_registro,comuna,calle_nombre,calle_altura,calle_chapa,nombre_cientifico,ancho_acera,estado_plantera,ubicacion_plantera,nivel_plantera,diametro_altura_pecho,altura_arbol
-58.3869388362969,-34.6093517605031,45655,1,De Mayo Av.,1400.0,1495.0,Platanus,6.2,Ocupada,Regular,A nivel,54,16
-58.380432955118,-34.6089042715221,59765,1,De Mayo Av.,900.0,981.0,Platanus,5.6,Ocupada,Regular,Bajo nivel,25,15
-58.380288356811505,-34.6088943484245,59772,1,De Mayo Av.,900.0,979.0,Platanus,5.6,Ocupada,Regular,Bajo nivel,20,16
-58.379396241395206,-34.6088330553221,59773,1,De Mayo Av.,900.0,915.0,Platanus,5.6,Ocupada,Regular,Bajo nivel,20,13
-58.380145186717904,-34.6088845230629,59777,1,De Mayo Av.,900.0,961.0,Platanus,5.6,Ocupada,Regular,Bajo nivel,47,22
-58.3798000367013,-34.6088608362607,59778,1,De Mayo Av.,900.0,945.0,Platanus,5.6,Ocupada,Regular,Bajo nivel,23,15
-58.3775707439105,-34.6087054437157,63455,1,De Mayo Av.,700.0,781.0,Platanus,6,Ocupada,Regular,A nivel,50,25
-58.3775707439105,-34.6087054437157,63457,1,De Mayo Av.,700.0,781.0,Platanus,6,Ocupada,Regular,Bajo nivel,40,24
-58.379063484849794,-34.6088901170369,63462,1,De Mayo Av.,800.0,891.0,Platanus,5.8,Ocupada,Regular,Bajo nivel,28,28
-58.3791771244045,-34.608898060113304,63466,1,De Mayo Av.,800.0,899.0,Platanus,5.8,Ocupada,Regular,Bajo nivel,40,28
-58.378921435418206,-34.608880188045,63469,1,De Mayo Av.,800.0,881.0,Platanus,5.8,Ocupada,Regular,Bajo nivel,30,27
-58.378523697217595,-34.6088523859861,63569,1,De Mayo Av.,800.0,853.0,Platanus,5.8,Ocupada,Regular,Bajo nivel,45,27
-58.378921435418206,-34.608880188045,63532,1,De Mayo Av.,800.0,881.0,Platanus,5.8,Ocupada,Regular,Bajo nivel,45,28
-58.3758926694086,-34.6086684194391,63058,1,De Mayo Av.,600.0,667.0,Platanus,6.6,Ocupada,Regular,Bajo nivel,11,9
-58.375747512447994,-34.6086582634085,63059,1,De Mayo Av.,600.0,657.0,Platanus,6.6,Ocupada,Regular,Bajo nivel,40,24
-58.377158348597895,-34.6086766111171,63061,1,De Mayo Av.,700.0,761.0,Platanus,6,Ocupada,Regular,Bajo nivel,19,13
-58.3739412645214,-34.6086208546484,63621,1,De Mayo Av.,500.0,520.0,Platanus,6.2,Ocupada,Regular,A nivel,35,18
-58.3770755709278,-34.6086708237073,63066,1,De Mayo Av.,700.0,757.0,Platanus,6,Ocupada,Regular,A nivel,40,19
-58.3769674573766,-34.608663264812996,63068,1,De Mayo Av.,700.0,747.0,Platanus,6,Ocupada,Regular,Bajo nivel,30,18
