long,lat,nro_registro,comuna,calle_nombre,calle_altura,calle_chapa,nombre_cientifico,ancho_acera,estado_plantera,ubicacion_plantera,nivel_plantera,diametro_altura_pecho,altura_arbol
-58.471546768490896,-34.6854673092728,385162,8,"De la Torre, Lisandro Av.",4800.0,4867,Platanus,5.6,Ocupada,Fuera de línea,A nivel,63,16
-58.4712827305699,-34.685674244941694,385165,8,"De la Torre, Lisandro Av.",4800.0,4893,Tilia,5.6,Ocupada,Ochava,A nivel,18,8
-58.4701179715234,-34.6865815261841,385205,8,"De la Torre, Lisandro Av.",4900.0,4993,Tilia,5.2,Ocupada,Regular,A nivel,39,8
-58.4701836483015,-34.6865301806808,385207,8,"De la Torre, Lisandro Av.",4900.0,4987,Tilia,5.2,Ocupada,Regular,A nivel,26,12
-58.4706081698552,-34.686198879053,385212,8,"De la Torre, Lisandro Av.",4900.0,4947,Lagerstroemia,5.2,Ocupada,Regular,Elevada,12,6
-58.4708721980828,-34.6859925669929,385214,8,"De la Torre, Lisandro Av.",4900.0,4917,Tilia,5.2,Ocupada,Regular,A nivel,20,8
-58.4762023163033,-34.6818743411518,378839,8,"De la Torre, Lisandro Av.",4400.0,4465,Melia,4.4,Ocupada,Regular,A nivel,72,9
-58.476478828980504,-34.681660568713,378843,8,"De la Torre, Lisandro Av.",4400.0,4447,Melia,4.4,Ocupada,Regular,A nivel,36,8
-58.47687297166621,-34.6813498558428,378848,8,"De la Torre, Lisandro Av.",4400.0,4405,Lagerstroemia,4.4,Ocupada,Regular,A nivel,13,6
-58.47689217195379,-34.6813352222646,378849,8,"De la Torre, Lisandro Av.",4400.0,4403,Jacaranda,4.4,Ocupada,Ochava,A nivel,39,11
-58.474895344932,-34.6828866514715,378859,8,"De la Torre, Lisandro Av.",4500.0,4583,Melia,4.4,Ocupada,Regular,A nivel,52,9
-58.4750324196671,-34.6827806818981,378862,8,"De la Torre, Lisandro Av.",4500.0,4567,Tilia,4.4,Ocupada,Regular,A nivel,40,8
-58.475101898624494,-34.6827269690152,378863,8,"De la Torre, Lisandro Av.",4500.0,4563,Melia,4.4,Ocupada,Regular,A nivel,8,2
-58.4752395969517,-34.682620516719396,378865,8,"De la Torre, Lisandro Av.",4500.0,4551,Melia,4.4,Ocupada,Regular,A nivel,45,6
-58.4753772887411,-34.68251406904,378867,8,"De la Torre, Lisandro Av.",4500.0,4531,Lagerstroemia,4.4,Ocupada,Regular,Elevada,8,5
-58.4754465068446,-34.682460557287605,378868,8,"De la Torre, Lisandro Av.",4500.0,4525,Tilia,4.4,Ocupada,Regular,A nivel,30,8
-58.4755846626945,-34.6823537449418,378872,8,"De la Torre, Lisandro Av.",4500.0,4513,Tilia,4.4,Ocupada,Regular,A nivel,11,5
-58.4755846626945,-34.6823537449418,378873,8,"De la Torre, Lisandro Av.",4500.0,4513,Lagerstroemia,4.4,Ocupada,Ochava,A nivel,14,4
-58.46968054243871,-34.6869234772816,396057,8,"De la Torre, Lisandro Av.",5000.0,5021,Ficus,5,Ocupada,Regular,Elevada,13,4
-58.46954654856749,-34.6870346099273,396060,8,"De la Torre, Lisandro Av.",5000.0,5033,Ficus,5,Ocupada,Regular,A nivel,13,9
-58.4694776545192,-34.6870885299646,396061,8,"De la Torre, Lisandro Av.",5000.0,5037,Ficus,5,Ocupada,Regular,A nivel,4,4
-58.4694776545192,-34.6870885299646,396062,8,"De la Torre, Lisandro Av.",5000.0,5039,Lagerstroemia,5,Ocupada,Regular,A nivel,20,5
-58.4692727836974,-34.6872488718109,396064,8,"De la Torre, Lisandro Av.",5000.0,5063,Tilia,5,Ocupada,Regular,A nivel,35,12
-58.468919133128,-34.687525653626,396070,8,"De la Torre, Lisandro Av.",5000.0,5095,Jacaranda,5,Ocupada,Regular,A nivel,2,4
-58.4654050356612,-34.6902171179999,395846,8,"De la Torre, Lisandro Av.",5300.0,5399,Melia,4.4,Ocupada,Ochava,A nivel,65,14
-58.46546411232861,-34.6901708881328,395847,8,"De la Torre, Lisandro Av.",5300.0,5393,Melia,4.4,Ocupada,Regular,A nivel,41,10
-58.4655034967374,-34.6901400682053,395848,8,"De la Torre, Lisandro Av.",5300.0,5389,Melia,4.4,Ocupada,Regular,A nivel,54,12
-58.465641341937705,-34.6900321983576,395849,8,"De la Torre, Lisandro Av.",5300.0,5375,Melia,4.4,Ocupada,Regular,A nivel,49,13
-58.465739802577104,-34.6899551483698,395850,8,"De la Torre, Lisandro Av.",5300.0,5365,Melia,4.4,Ocupada,Regular,A nivel,37,10
-58.46583826303289,-34.6898780983015,395851,8,"De la Torre, Lisandro Av.",5300.0,5355,Melia,4.4,Ocupada,Regular,A nivel,39,10
-58.465779186781504,-34.6899243283522,395852,8,"De la Torre, Lisandro Av.",5300.0,5361,Melia,4.4,Ocupada,Regular,A nivel,65,14
-58.46579887887221,-34.689908918338496,395853,8,"De la Torre, Lisandro Av.",5300.0,5359,Melia,4.4,Ocupada,Regular,A nivel,55,10
-58.4658984720412,-34.6898817144911,395857,8,"De la Torre, Lisandro Av.",5300.0,5333,Melia,4.4,Ocupada,Regular,A nivel,55,13
-58.4659280992758,-34.6898585257628,395858,8,"De la Torre, Lisandro Av.",5300.0,5331,Melia,4.4,Ocupada,Regular,A nivel,49,13
-58.4659577264994,-34.6898353370335,395859,8,"De la Torre, Lisandro Av.",5300.0,5329,Melia,4.4,Ocupada,Regular,A nivel,47,11
-58.4663428789151,-34.689533882890004,395861,8,"De la Torre, Lisandro Av.",5300.0,5303,Melia,4.4,Ocupada,Ochava,A nivel,73,11
-58.46411087448529,-34.6912299742609,387019,8,"De la Torre, Lisandro Av.",5500.0,5500,Tilia,4.3,Ocupada,Regular,A nivel,33,10
-58.46411087448529,-34.6912299742609,387020,8,"De la Torre, Lisandro Av.",5500.0,5500,Tilia,4.3,Ocupada,Regular,A nivel,34,10
-58.46411087448529,-34.6912299742609,387021,8,"De la Torre, Lisandro Av.",5500.0,5500,Tilia,4.3,Ocupada,Regular,A nivel,28,9
-58.46411087448529,-34.6912299742609,387022,8,"De la Torre, Lisandro Av.",5500.0,5500,Tilia,4.3,Ocupada,Regular,A nivel,38,11
-58.46411087448529,-34.6912299742609,387023,8,"De la Torre, Lisandro Av.",5500.0,5500,Tilia,4.3,Ocupada,Regular,A nivel,27,9
-58.46411087448529,-34.6912299742609,387024,8,"De la Torre, Lisandro Av.",5500.0,5500,Tilia,4.3,Ocupada,Regular,A nivel,30,10
-58.4647042625037,-34.6908162760743,389470,8,"De la Torre, Lisandro Av.",5400.0,5471,Tilia,5,Ocupada,Ochava,A nivel,26,9
-58.4647042625037,-34.6908162760743,389471,8,"De la Torre, Lisandro Av.",5400.0,5471,Tilia,5,Ocupada,Regular,A nivel,29,9
-58.4647042625037,-34.6908162760743,389472,8,"De la Torre, Lisandro Av.",5400.0,5471,Tilia,5,Ocupada,Regular,A nivel,28,7
-58.4647042625037,-34.6908162760743,389473,8,"De la Torre, Lisandro Av.",5400.0,5471,Tilia,5,Ocupada,Regular,A nivel,25,7
-58.4647042625037,-34.6908162760743,389478,8,"De la Torre, Lisandro Av.",5400.0,5475,Tilia,6.5,Ocupada,Regular,A nivel,13,5
-58.4647042625037,-34.6908162760743,389479,8,"De la Torre, Lisandro Av.",5400.0,5475,Jacaranda,6.5,Ocupada,Regular,A nivel,5,3
-58.4646644908095,-34.6908474022613,389482,8,"De la Torre, Lisandro Av.",5400.0,5477,Jacaranda,6.5,Ocupada,Regular,A nivel,4,3
-58.4646644908095,-34.6908474022613,389483,8,"De la Torre, Lisandro Av.",5400.0,5477,Jacaranda,5,Ocupada,Regular,A nivel,4,4
-58.464425860031795,-34.6910341591198,389485,8,"De la Torre, Lisandro Av.",5400.0,5489,Jacaranda,5,Ocupada,Regular,A nivel,3,3
-58.4642660816873,-34.6911580614326,389487,8,"De la Torre, Lisandro Av.",5400.0,5497,Tilia,5,Ocupada,Regular,A nivel,8,5
-58.479218366243295,-34.679438104336,404428,8,"De la Torre, Lisandro Av.",4200.0,4202,Lagerstroemia,3.2,Ocupada,Regular,Elevada,11,4
-58.467803967509205,-34.6883899167348,400597,8,"De la Torre, Lisandro Av.",5100.0,5189,Tilia,4,Ocupada,Regular,A nivel,0,9
-58.4682984017215,-34.688007719145304,400605,8,"De la Torre, Lisandro Av.",5100.0,5143,Ficus,4,Ocupada,Regular,A nivel,0,4
-58.468423137440006,-34.6879102824742,400607,8,"De la Torre, Lisandro Av.",5100.0,5133,Ficus,4,Ocupada,Regular,Elevada,0,5
-58.468546769121104,-34.6878137078365,400609,8,"De la Torre, Lisandro Av.",5100.0,5121,Ficus,4,Ocupada,Regular,A nivel,0,5
-58.46860877054521,-34.687765275429896,400610,8,"De la Torre, Lisandro Av.",5100.0,5115,Jacaranda,4,Ocupada,Fuera de línea,A nivel,0,4
-58.4686807151414,-34.687709116091106,400613,8,"De la Torre, Lisandro Av.",5100.0,5107,Melia,4,Ocupada,Regular,A nivel,0,2
-58.4781280028788,-34.6802824947853,401208,8,"De la Torre, Lisandro Av.",4300.0,4312,Tilia,4.4,Ocupada,Regular,A nivel,9,6
-58.478871563151294,-34.6798262589862,401229,8,"De la Torre, Lisandro Av.",4200.0,4267,Ficus,4.4,Ocupada,Ochava,A nivel,96,6
-58.478871563151294,-34.6798262589862,401231,8,"De la Torre, Lisandro Av.",4200.0,4267,Lagerstroemia,4.4,Ocupada,Regular,A nivel,15,5
-58.4787615070644,-34.6797991900579,401236,8,"De la Torre, Lisandro Av.",4200.0,4250,Lagerstroemia,4.4,Ocupada,Regular,A nivel,8,5
-58.478661267287706,-34.6798671570249,401239,8,"De la Torre, Lisandro Av.",4200.0,4256,Ficus,4.4,Ocupada,Regular,A nivel,46,6
-58.478661267287706,-34.6798671570249,401240,8,"De la Torre, Lisandro Av.",4250.0,4256,Tilia,4.4,Ocupada,Ochava,A nivel,42,9
-58.4731634499199,-34.6842135593588,409507,8,"De la Torre, Lisandro Av.",4700.0,4727,Tilia,4.4,Ocupada,Regular,A nivel,41,9
-58.47270926115021,-34.6845626803852,409514,8,"De la Torre, Lisandro Av.",4700.0,4759,Ficus,4.4,Ocupada,Regular,Elevada,29,9
-58.4768048276828,-34.681300242954805,408927,8,"De la Torre, Lisandro Av.",4300.0,4392,Melia,4.4,Ocupada,Regular,A nivel,70,11
-58.477060427417605,-34.681103678597005,408930,8,"De la Torre, Lisandro Av.",4300.0,4370,Melia,4.4,Ocupada,Regular,A nivel,61,8
