long,lat,nro_registro,comuna,calle_nombre,calle_altura,calle_chapa,nombre_cientifico,ancho_acera,estado_plantera,ubicacion_plantera,nivel_plantera,diametro_altura_pecho,altura_arbol
-58.49629265530311,-34.5789167585275,250679,11,De los Constituyentes Av.,4950,4984.0,Platanus,2.7,Sobreocupada,Regular,A nivel,0,13
-58.4961513435524,-34.5790498733142,250597,11,De los Constituyentes Av.,4950,4960.0,Platanus,2.7,Ocupada,Regular,A nivel,50,10
-58.4961513435524,-34.5790498733142,250634,11,De los Constituyentes Av.,4950,4960.0,Platanus,2.7,Ocupada,Regular,A nivel,61,12
-58.5036031161937,-34.5730762269545,127712,12,De los Constituyentes Av.,5800.0,5863.0,Tilia,5.6,Ocupada,Regular,A nivel,17,6
-58.5030671269499,-34.5733964192476,127734,12,De los Constituyentes Av.,5800.0,5811.0,Tilia,5.6,Ocupada,Regular,A nivel,47,12
-58.5047372464543,-34.5725691737714,146785,12,De los Constituyentes Av.,5900.0,5936.0,Jacaranda,8.2,Ocupada,Regular,A nivel,18,10
-58.504414549380705,-34.572601694568604,146786,12,De los Constituyentes Av.,5900.0,5935.0,Melia,8.2,Ocupada,Regular,A nivel,39,12
-58.5041887798374,-34.572732142065504,146787,12,De los Constituyentes Av.,5900.0,5901.0,Ficus,8.2,Ocupada,Regular,A nivel,41,9
-58.50259527656671,-34.5737320918941,148451,12,De los Constituyentes Av.,5700.0,5771.0,Tilia,6,Sobreocupada,Regular,A nivel,15,5
-58.5023910526671,-34.5738896977865,148746,12,De los Constituyentes Av.,5700.0,5745.0,Melia,6,Ocupada,Regular,A nivel,96,23
-58.504611852462205,-34.5724876940446,150878,12,De los Constituyentes Av.,5900.0,5961.0,Ficus,8.2,Ocupada,Fuera de línea,Elevada,70,12
-58.5025291998236,-34.5737830854586,148757,12,De los Constituyentes Av.,5700.0,5759.0,Melia,6,Ocupada,Regular,A nivel,70,8
-58.5041887798374,-34.572732142065504,150881,12,De los Constituyentes Av.,5900.0,5901.0,Ficus,8.2,Ocupada,Regular,A nivel,41,9
-58.5047372464543,-34.5725691737714,150895,12,De los Constituyentes Av.,5900.0,5936.0,Jacaranda,8.2,Ocupada,Regular,A nivel,18,10
-58.4944866732421,-34.579940968871895,148582,12,De los Constituyentes Av.,4800.0,4825.0,Jacaranda,4.5,Sobreocupada,Regular,Elevada,5,3
-58.4944866732421,-34.579940968871895,148583,12,De los Constituyentes Av.,4800.0,4825.0,Jacaranda,4.5,Sobreocupada,Regular,Elevada,3,2
-58.4990034051791,-34.5765134240421,150708,12,De los Constituyentes Av.,5300.0,5321.0,Melia,4.6,Ocupada,Regular,A nivel,47,15
-58.50120601173221,-34.5748047997674,154619,12,De los Constituyentes Av.,5500.0,5549.0,Ficus,6,Ocupada,Regular,A nivel,56,14
-58.50120601173221,-34.5748047997674,154620,12,De los Constituyentes Av.,5500.0,5553.0,Ficus,6,Ocupada,Regular,A nivel,62,16
-58.49988532077471,-34.5758319844116,152022,12,De los Constituyentes Av.,5400.0,5435.0,Ficus,5.8,Ocupada,Regular,Elevada,37,11
-58.504414549380705,-34.572601694568604,152895,12,De los Constituyentes Av.,5900.0,5935.0,Melia,8.2,Ocupada,Regular,A nivel,39,12
-58.4915043098666,-34.582391276592396,153960,12,De los Constituyentes Av.,4400.0,4483.0,Jacaranda,5.6,Ocupada,Regular,A nivel,55,14
-58.4913604953539,-34.582515319278,153998,12,De los Constituyentes Av.,4400.0,4457.0,Platanus,5.6,Ocupada,Regular,A nivel,63,17
-58.4922545721465,-34.5817407764437,158532,12,De los Constituyentes Av.,4500.0,4581.0,Jacaranda,5.6,Ocupada,Regular,A nivel,18,7
-58.4921701429294,-34.5820017973057,158544,12,De los Constituyentes Av.,4500.0,4550.0,Ficus,5.8,Ocupada,Regular,A nivel,25,7
-58.5022065221478,-34.57421096113,156408,12,De los Constituyentes Av.,5600.0,5682.0,Lagerstroemia,6.2,Ocupada,Regular,A nivel,5,4
-58.493050576416,-34.5810716864295,158597,12,De los Constituyentes Av.,4600.0,4681.0,Tilia,5.6,Ocupada,Regular,A nivel,3,3
