long,lat,nro_registro,comuna,calle_nombre,calle_altura,calle_chapa,nombre_cientifico,ancho_acera,estado_plantera,ubicacion_plantera,nivel_plantera,diametro_altura_pecho,altura_arbol
-58.4247556168341,-34.5569984671234,151321,14,De los Ombúes Av.,NA,211,Platanus,4.8,Ocupada,Regular,A nivel,86,25
-58.4266732256427,-34.5584778372906,151337,14,De los Ombúes Av.,NA,277,Platanus,4.8,Ocupada,Regular,A nivel,101,27
-58.4247556168341,-34.5569984671234,151340,14,De los Ombúes Av.,NA,211,Platanus,4.8,Ocupada,Regular,A nivel,101,24
-58.42661189775129,-34.5584244952909,151936,14,De los Ombúes Av.,NA,275,Platanus,4.8,Ocupada,Regular,A nivel,104,26
-58.4266732256427,-34.5584778372906,151938,14,De los Ombúes Av.,NA,277,Platanus,4.5,Ocupada,Regular,A nivel,117,25
-58.4247556168341,-34.5569984671234,151942,14,De los Ombúes Av.,NA,211,Platanus,4.8,Ocupada,Regular,A nivel,93,24
-58.4247556168341,-34.5569984671234,151945,14,De los Ombúes Av.,NA,211,Platanus,4.8,Ocupada,Regular,A nivel,75,25
-58.4247556168341,-34.5569984671234,152171,14,De los Ombúes Av.,NA,211,Platanus,4.8,Ocupada,Regular,A nivel,96,25
-58.4247556168341,-34.5569984671234,152177,14,De los Ombúes Av.,NA,211,Platanus,4.8,Ocupada,Regular,A nivel,76,25
-58.4266732256427,-34.5584778372906,152184,14,De los Ombúes Av.,NA,277,Platanus,4.8,Ocupada,Regular,A nivel,92,27
-58.4266732256427,-34.5584778372906,152236,14,De los Ombúes Av.,NA,277,Platanus,4.8,Ocupada,Regular,A nivel,95,27
-58.4247556168341,-34.5569984671234,152254,14,De los Ombúes Av.,NA,211,Platanus,4.8,Ocupada,Regular,A nivel,84,29
-58.4247556168341,-34.5569984671234,152258,14,De los Ombúes Av.,NA,211,Platanus,4.8,Ocupada,Regular,A nivel,104,30
NA,NA,148518,14,De los Ombúes Av.,NA,NA,Platanus,5.6,Ocupada,Regular,A nivel,80,18
NA,NA,148603,14,De los Ombúes Av.,NA,NA,Platanus,5.6,Ocupada,Regular,A nivel,100,21
NA,NA,148605,14,De los Ombúes Av.,NA,NA,Platanus,5.6,Ocupada,Ochava,A nivel,81,18
NA,NA,148607,14,De los Ombúes Av.,NA,NA,Platanus,5.6,Ocupada,Regular,A nivel,85,17
NA,NA,148609,14,De los Ombúes Av.,NA,NA,Platanus,5.6,Ocupada,Regular,A nivel,81,15
NA,NA,148614,14,De los Ombúes Av.,NA,NA,Platanus,5.6,Ocupada,Regular,A nivel,91,20
NA,NA,148615,14,De los Ombúes Av.,NA,NA,Platanus,5.6,Ocupada,Regular,A nivel,131,8
NA,NA,148617,14,De los Ombúes Av.,NA,NA,Platanus,5.6,Ocupada,Regular,A nivel,78,17
NA,NA,148621,14,De los Ombúes Av.,NA,NA,Platanus,5.6,Ocupada,Regular,A nivel,83,18
NA,NA,148677,14,De los Ombúes Av.,NA,NA,Platanus,5.6,Ocupada,Regular,A nivel,118,19
NA,NA,148678,14,De los Ombúes Av.,NA,NA,Platanus,5.6,Ocupada,Regular,A nivel,98,10
NA,NA,148682,14,De los Ombúes Av.,NA,NA,Platanus,5.6,Ocupada,Regular,A nivel,79,18
NA,NA,148689,14,De los Ombúes Av.,NA,NA,Platanus,5.6,Ocupada,Regular,A nivel,90,16
NA,NA,150102,14,De los Ombúes Av.,NA,NA,Ficus,NA,Ocupada,Regular,A nivel,8,2
NA,NA,150111,14,De los Ombúes Av.,NA,NA,Platanus,5.6,Ocupada,Regular,A nivel,87,22
NA,NA,150114,14,De los Ombúes Av.,NA,NA,Platanus,5.6,Ocupada,Regular,A nivel,84,20
NA,NA,150115,14,De los Ombúes Av.,NA,NA,Platanus,5.6,Ocupada,Regular,A nivel,120,24
