long,lat,nro_registro,comuna,calle_nombre,calle_altura,calle_chapa,nombre_cientifico,ancho_acera,estado_plantera,ubicacion_plantera,nivel_plantera,diametro_altura_pecho,altura_arbol
-58.476021,-34.66913,385015,8,Dellepiane Luis Tte. Gral. Av.,5200.0,5211,Ficus,3.2,Ocupada,Ochava,A nivel,55,8
-58.476104,-34.669429,385019,8,Dellepiane Luis Tte. Gral. Av.,5200.0,5267,Ficus,3.2,Ocupada,Regular,Elevada,60,4
-58.476104,-34.669429,385020,8,Dellepiane Luis Tte. Gral. Av.,5200.0,5267,Ficus,3.2,Ocupada,Regular,Elevada,55,4
-58.472491,-34.664218,393858,8,Dellepiane Luis Tte. Gral. Av.,4600.0,4602,Lagerstroemia,4,Ocupada,Regular,Elevada,25,3
-58.478318,-34.674925,395484,8,Dellepiane Luis Tte. Gral. Av.,5600.0,5699,Jacaranda,2.77,Ocupada,Regular,A nivel,11,5
-58.478318,-34.674925,395486,8,Dellepiane Luis Tte. Gral. Av.,5600.0,5699,Jacaranda,2.77,Ocupada,Regular,A nivel,17,8
-58.478318,-34.674925,395488,8,Dellepiane Luis Tte. Gral. Av.,5600.0,5699,Jacaranda,2.77,Ocupada,Regular,A nivel,22,8
-58.478318,-34.674925,395489,8,Dellepiane Luis Tte. Gral. Av.,5600.0,5699,Jacaranda,2.77,Ocupada,Regular,A nivel,22,8
-58.478318,-34.674925,395490,8,Dellepiane Luis Tte. Gral. Av.,5600.0,5699,Jacaranda,2.77,Ocupada,Regular,A nivel,31,10
-58.478318,-34.674925,395493,8,Dellepiane Luis Tte. Gral. Av.,5600.0,5699,Jacaranda,2.77,Ocupada,Regular,A nivel,24,9
-58.476829,-34.671095,397879,8,Dellepiane Luis Tte. Gral. Av.,5400.0,5405,Ficus,3.2,Ocupada,Regular,Bajo nivel,11,3
-58.476829,-34.671095,397880,8,Dellepiane Luis Tte. Gral. Av.,5400.0,5405,Ficus,4.4,Ocupada,Regular,Bajo nivel,0,2
-58.476843,-34.671123,397881,8,Dellepiane Luis Tte. Gral. Av.,5400.0,5407,Ficus,3.2,Ocupada,Regular,A nivel,26,6
-58.476897,-34.671235,397882,8,Dellepiane Luis Tte. Gral. Av.,5400.0,5423,Ficus,3.2,Ocupada,Regular,A nivel,0,2
-58.476897,-34.671235,397883,8,Dellepiane Luis Tte. Gral. Av.,5400.0,5423,Tilia,3.2,Ocupada,Regular,A nivel,24,7
-58.477159,-34.671876,397887,8,Dellepiane Luis Tte. Gral. Av.,5400.0,5485,Lagerstroemia,3.2,Ocupada,Regular,A nivel,12,5
-58.479449,-34.679846,404416,8,Dellepiane Luis Tte. Gral. Av.,6100.0,6150,Lagerstroemia,3.2,Sobreocupada,Regular,A nivel,63,8
-58.479449,-34.679846,404418,8,Dellepiane Luis Tte. Gral. Av.,6100.0,6148,Lagerstroemia,3.2,Ocupada,Regular,A nivel,41,6
-58.479351,-34.679634,404419,8,Dellepiane Luis Tte. Gral. Av.,6100.0,6130,Lagerstroemia,3.2,Ocupada,Regular,A nivel,23,4
-58.479351,-34.679634,404420,8,Dellepiane Luis Tte. Gral. Av.,6100.0,6130,Lagerstroemia,3.2,Ocupada,Regular,A nivel,22,5
-58.479351,-34.679634,404421,8,Dellepiane Luis Tte. Gral. Av.,6100.0,6130,Lagerstroemia,3.2,Ocupada,Regular,A nivel,27,6
-58.4792,-34.679154,404430,8,Dellepiane Luis Tte. Gral. Av.,6000.0,6080,Lagerstroemia,4.4,Ocupada,Regular,Elevada,15,4
-58.478635,-34.678012,404439,8,Dellepiane Luis Tte. Gral. Av.,6000.0,NA,Melia,4.4,Ocupada,Regular,A nivel,56,7
-58.479157,-34.679163,404446,8,Dellepiane Luis Tte. Gral. Av.,6000.0,6012,Ficus,4.4,Ocupada,Regular,A nivel,70,5
-58.477880999999996,-34.677183,409727,8,Dellepiane Luis Tte. Gral. Av.,5800.0,5880,Platanus,2.3,Ocupada,Regular,A nivel,82,15
-58.477880999999996,-34.677183,409729,8,Dellepiane Luis Tte. Gral. Av.,5800.0,5880,Platanus,2.3,Ocupada,Regular,A nivel,75,14
-58.477851,-34.677099,409741,8,Dellepiane Luis Tte. Gral. Av.,5800.0,5860,Jacaranda,2.4,Ocupada,Regular,A nivel,60,8
-58.477851,-34.677099,409742,8,Dellepiane Luis Tte. Gral. Av.,5800.0,5860,Ficus,2.4,Ocupada,Regular,A nivel,17,2
-58.477851,-34.677099,409744,8,Dellepiane Luis Tte. Gral. Av.,5800.0,5860,Jacaranda,4.2,Ocupada,Ochava,A nivel,37,9
-58.477229,-34.675418,409770,8,Dellepiane Luis Tte. Gral. Av.,5700.0,5700,Ficus,2.4,Ocupada,Regular,A nivel,21,5
-58.47494,-34.66962,414400,8,Dellepiane Luis Tte. Gral. Av.,5100.0,5200,Lagerstroemia,2.8,Ocupada,Ochava,A nivel,5,2
-58.474862,-34.669445,414401,8,Dellepiane Luis Tte. Gral. Av.,5100.0,5186,Jacaranda,2.8,Ocupada,Regular,A nivel,35,12
-58.474862,-34.669445,414402,8,Dellepiane Luis Tte. Gral. Av.,5100.0,5186,Jacaranda,4.4,Ocupada,Regular,A nivel,28,10
-58.474862,-34.669445,414404,8,Dellepiane Luis Tte. Gral. Av.,5100.0,5186,Jacaranda,2.8,Ocupada,Regular,A nivel,38,7
-58.476943,-34.674092,419342,8,Dellepiane Luis Tte. Gral. Av.,5500.0,5590,Melia,4.2,Ocupada,Regular,A nivel,74,7
NA,NA,432775,8,Dellepiane Luis Tte. Gral. Av.,2700.0,2766,Tilia,4.4,Sobreocupada,Regular,A nivel,35,12
-58.48294,-34.684989,432776,8,Dellepiane Luis Tte. Gral. Av.,6700.0,6742,Tilia,4.4,Ocupada,Regular,A nivel,33,8
-58.48294,-34.684989,432777,8,Dellepiane Luis Tte. Gral. Av.,6700.0,6742,Tilia,4.4,Ocupada,Regular,A nivel,26,4
-58.482915,-34.684931,432779,8,Dellepiane Luis Tte. Gral. Av.,6700.0,6734,Tilia,4.4,Ocupada,Regular,A nivel,25,4
-58.476943,-34.674092,419334,8,Dellepiane Luis Tte. Gral. Av.,5500,5596,Jacaranda,4.2,Sobreocupada,Regular,A nivel,41,10
-58.48303,-34.685132,429279,8,Dellepiane Luis Tte. Gral. Av.,6700,6766,Tilia,3.6,Ocupada,Regular,A nivel,31,10
-58.48294,-34.684989,429281,8,Dellepiane Luis Tte. Gral. Av.,6700,6742,Tilia,3.6,Ocupada,Fuera de línea,Elevada,28,7
