long,lat,nro_registro,comuna,calle_nombre,calle_altura,calle_chapa,nombre_cientifico,ancho_acera,estado_plantera,ubicacion_plantera,nivel_plantera,diametro_altura_pecho,altura_arbol
-58.48065874737921,-34.641925194798,17010,5,Directorio Av.,4000.0,4036.0,Melia,3.5,Ocupada,Regular,A nivel,72,9
-58.4695829288534,-34.6360497400858,316390,5,Directorio Av.,3000.0,3047.0,Ficus,3.2,Ocupada,Regular,A nivel,15,3
-58.4440346934979,-34.6294357154748,49891,6,Directorio Av.,1100.0,1169.0,Ficus,4,Ocupada,Regular,Elevada,30,8
-58.4443513073839,-34.6294828215526,49899,6,Directorio Av.,1100.0,1191.0,Ficus,4,Sobreocupada,Regular,Elevada,10,3
-58.4289721880361,-34.6272421364221,54679,6,Directorio Av.,100.0,151.0,Ficus,4.5,Ocupada,Regular,Elevada,24,10
-58.4302138588565,-34.6274218955652,55033,6,Directorio Av.,200.0,237.0,Tilia,4.5,Ocupada,Regular,Bajo nivel,6,6
-58.43120079216661,-34.6275643991714,55281,6,Directorio Av.,300.0,311.0,Melia,4.5,Ocupada,Regular,A nivel,2,3
-58.43615153942861,-34.6282856161285,56937,6,Directorio Av.,600.0,625.0,Jacaranda,4.5,Ocupada,Regular,Bajo nivel,3,2
-58.436813329645794,-34.6283824329062,56945,6,Directorio Av.,600.0,679.0,Ficus,4.5,Ocupada,Regular,Elevada,40,3
-58.433333453305295,-34.6278739846385,56756,6,Directorio Av.,400.0,473.0,Jacaranda,4.5,Ocupada,Regular,Elevada,8,4
-58.4331486317457,-34.6278469393392,56759,6,Directorio Av.,400.0,455.0,Ficus,4.5,Ocupada,Regular,A nivel,38,12
-58.433333453305295,-34.6278739846385,56777,6,Directorio Av.,400.0,483.0,Jacaranda,4.5,Ocupada,Regular,Bajo nivel,5,3
-58.4380045859982,-34.6286311917912,58357,6,Directorio Av.,700.0,759.0,Ficus,4.5,Ocupada,Regular,Elevada,5,2
-58.4376595712444,-34.6285807222808,58359,6,Directorio Av.,700.0,735.0,Ficus,4.5,Ocupada,Regular,Elevada,15,2
-58.43857961150311,-34.628715305469605,58379,6,Directorio Av.,700.0,799.0,Melia,4.5,Ocupada,Regular,A nivel,5,4
-58.4381770935265,-34.6286564261803,58380,6,Directorio Av.,700.0,771.0,Ficus,4.5,Ocupada,Regular,Elevada,6,3
-58.437832078574495,-34.628605957158,58384,6,Directorio Av.,700.0,747.0,Melia,4.5,Ocupada,Regular,A nivel,2,4
-58.4383783524491,-34.6286858659911,58385,6,Directorio Av.,700.0,785.0,Melia,4.5,Ocupada,Regular,Elevada,2,4
-58.43897000689179,-34.6286972944867,59022,6,Directorio Av.,800.0,821.0,Jacaranda,4,Ocupada,Regular,A nivel,3,3
-58.448571667008494,-34.6301136010411,59802,6,Directorio Av.,1600.0,1525.0,Lagerstroemia,4.4,Sobreocupada,Regular,Elevada,18,8
-58.4497304940428,-34.630285018966305,68899,6,Directorio Av.,1600.0,1611.0,Ficus,3.2,Ocupada,Regular,A nivel,54,5
-58.444925539138296,-34.6295676486482,68910,6,Directorio Av.,1300.0,1225.0,Tilia,3.2,Ocupada,NA,Elevada,17,7
-58.43983475683889,-34.6288268769523,69562,6,Directorio Av.,900.0,905.0,Ficus,4.7,Ocupada,Regular,A nivel,55,15
-58.440195686951,-34.6288796687505,69565,6,Directorio Av.,1000.0,925.0,Ficus,4.7,Ocupada,Regular,A nivel,42,11
