long,lat,nro_registro,comuna,calle_nombre,calle_altura,calle_chapa,nombre_cientifico,ancho_acera,estado_plantera,ubicacion_plantera,nivel_plantera,diametro_altura_pecho,altura_arbol
-58.411862080952794,-34.5912452534382,7353,2,Díaz Cnel. Av.,1700.0,1737.0,Tilia,5.5,Ocupada,Fuera de línea,A nivel,24,12
-58.411862080952794,-34.5912452534382,7355,2,Díaz Cnel. Av.,1700.0,1737.0,Tilia,5.5,Ocupada,Fuera de línea,A nivel,19,8
-58.4125888565963,-34.5921081613425,6921,2,Díaz Cnel. Av.,1600.0,1649.0,Ficus,6,Sobreocupada,Regular,Elevada,8,2
-58.4125888565963,-34.5921081613425,6927,2,Díaz Cnel. Av.,1600.0,1649.0,Ficus,6,Sobreocupada,Regular,Elevada,11,2
-58.40731791399459,-34.5852712609841,6992,2,Díaz Cnel. Av.,2300.0,2351.0,Ficus,4.8,Ocupada,Regular,Elevada,52,13
-58.4071025744131,-34.5849639053186,6997,2,Díaz Cnel. Av.,2300.0,2395.0,Melia,4,Sobreocupada,Regular,A nivel,35,12
-58.4137183450037,-34.593397802445104,7276,2,Díaz Cnel. Av.,1400.0,1477.0,Ficus,5.8,Sobreocupada,Regular,Elevada,11,7
-58.4137183450037,-34.593397802445104,7280,2,Díaz Cnel. Av.,1400.0,1479.0,Ficus,5.8,Sobreocupada,Regular,Elevada,20,6
-58.413845640699904,-34.5935412228284,7901,2,Díaz Cnel. Av.,1400.0,1461.0,Lagerstroemia,5.8,Ocupada,Regular,A nivel,2,2
-58.406889427326,-34.584662410673104,7733,2,Díaz Cnel. Av.,2400.0,2421.0,Tilia,4.3,Ocupada,Regular,Bajo nivel,7,3
-58.40687648541739,-34.5846439384794,7734,2,Díaz Cnel. Av.,2400.0,2423.0,Tilia,4.3,Ocupada,Regular,Bajo nivel,6,3
-58.406763738645104,-34.5844830129103,7737,2,Díaz Cnel. Av.,2400.0,2439.0,Tilia,4.3,Ocupada,Regular,A nivel,17,8
-58.406550219149,-34.5841782505517,8019,2,Díaz Cnel. Av.,2400.0,2467.0,Ficus,4.3,Ocupada,Regular,Elevada,18,6
-58.4067317822863,-34.584437400856,8022,2,Díaz Cnel. Av.,2400.0,2443.0,Tilia,4.3,Ocupada,Regular,Elevada,20,4
-58.406457027312406,-34.5840452344038,8028,2,Díaz Cnel. Av.,2400.0,2479.0,Tilia,4.3,Ocupada,Regular,A nivel,16,6
-58.40639156734901,-34.5839730633889,8032,2,Díaz Cnel. Av.,2400.0,2495.0,Ficus,4.3,Ocupada,Regular,Bajo nivel,75,15
-58.4132848064649,-34.5929012366994,19862,2,Díaz Cnel. Av.,1500.0,1519.0,Jacaranda,5,Sobreocupada,Regular,Elevada,11,6
-58.4131791257328,-34.5927778116032,19864,2,Díaz Cnel. Av.,1500.0,1551.0,Tilia,5,Sobreocupada,Regular,Elevada,3,2
-58.40783558719689,-34.5860002214428,20733,2,Díaz Cnel. Av.,2200.0,2281.0,Tilia,4,Ocupada,Regular,Elevada,23,8
-58.408085555695294,-34.5863569354316,20721,2,Díaz Cnel. Av.,22001.0,2229.0,Tilia,4,Ocupada,Regular,Elevada,14,6
-58.40783558719689,-34.5860002214428,20723,2,Díaz Cnel. Av.,2200.0,2271.0,Tilia,4,Ocupada,Regular,Elevada,8,4
-58.40783558719689,-34.5860002214428,20725,2,Díaz Cnel. Av.,2200.0,2275.0,Tilia,4,Ocupada,Regular,Elevada,16,8
-58.40783558719689,-34.5860002214428,20728,2,Díaz Cnel. Av.,2200.0,2277.0,Tilia,4,Ocupada,Regular,Elevada,14,6
-58.40783558719689,-34.5860002214428,20739,2,Díaz Cnel. Av.,NA,2283.0,Tilia,4,Ocupada,Regular,Elevada,15,7
-58.4107305005898,-34.5899260896784,21958,2,Díaz Cnel. Av.,1800.0,1835.0,Ficus,5.75,Sobreocupada,Regular,Elevada,3,3
-58.410473176985505,-34.589626503474996,21967,2,Díaz Cnel. Av.,1800.0,1869.0,Tilia,5.75,Ocupada,Regular,Elevada,28,14
-58.410282176047104,-34.5894041309687,21980,2,Díaz Cnel. Av.,1800.0,1881.0,Ficus,5.75,Sobreocupada,Regular,Elevada,15,4
-58.410188075684005,-34.589294574225896,21982,2,Díaz Cnel. Av.,1800.0,1891.0,Ficus,5.75,Sobreocupada,Regular,Elevada,24,4
-58.410188075684005,-34.589294574225896,21987,2,Díaz Cnel. Av.,1800.0,1891.0,Ficus,5.75,Sobreocupada,Regular,Elevada,25,4
-58.40639156734901,-34.5839730633889,27666,2,Díaz Cnel. Av.,2400.0,2497.0,Melia,4,Ocupada,Regular,A nivel,64,9
-58.409893802511206,-34.5889469238026,28903,2,Díaz Cnel. Av.,1900.0,1905.0,Melia,4,Ocupada,Regular,Bajo nivel,38,12
-58.409893802511206,-34.5889469238026,28904,2,Díaz Cnel. Av.,1900.0,1921.0,Tilia,4,Ocupada,Regular,Bajo nivel,10,5
-58.409787723226394,-34.5887959543539,28907,2,Díaz Cnel. Av.,1900.0,1935.0,Tilia,4,Ocupada,Regular,A nivel,19,8
