long,lat,nro_registro,comuna,calle_nombre,calle_altura,calle_chapa,nombre_cientifico,ancho_acera,estado_plantera,ubicacion_plantera,nivel_plantera,diametro_altura_pecho,altura_arbol
-58.42131111535811,-34.608648832052495,1599,5,Díaz Vélez Av.,3900.0,3900.0,Platanus,3.75,Ocupada,Ochava,A nivel,71,13
-58.41453258289699,-34.6081871899999,1960,5,Díaz Vélez Av.,3400.0,3400.0,Ficus,3.4,Ocupada,Regular,A nivel,8,3
-58.4237382422983,-34.6085268389457,2397,5,Díaz Vélez Av.,4000.0,4043.0,Lagerstroemia,3.2,Ocupada,Regular,Bajo nivel,3,3
-58.4149232134662,-34.6082574080824,3026,5,Díaz Vélez Av.,3400.0,3417.0,Platanus,3.25,Ocupada,Regular,A nivel,48,12
-58.41511021326679,-34.6083493657467,3027,5,Díaz Vélez Av.,3400.0,3435.0,Platanus,3.25,Ocupada,Regular,Bajo nivel,68,22
-58.415505241680094,-34.6084385453157,3028,5,Díaz Vélez Av.,3400.0,3461.0,Platanus,3.8,Ocupada,Regular,Bajo nivel,82,22
-58.415574179544294,-34.6084450809752,3029,5,Díaz Vélez Av.,3400.0,3469.0,Platanus,4,Ocupada,Regular,A nivel,72,24
-58.41570670142261,-34.6084576446139,3030,5,Díaz Vélez Av.,3400.0,3477.0,Platanus,4.1,Ocupada,Regular,A nivel,57,25
-58.4158353258746,-34.6084698385441,3032,5,Díaz Vélez Av.,3400.0,3485.0,Platanus,4.1,Ocupada,Regular,A nivel,57,22
-58.4158529633883,-34.6084715106228,3034,5,Díaz Vélez Av.,3400.0,3487.0,Platanus,4,Ocupada,Regular,A nivel,89,26
-58.4159531078996,-34.6085863961074,2032,5,Díaz Vélez Av.,3500.0,3500.0,Ficus,4,Ocupada,Regular,A nivel,25,6
-58.4159531078996,-34.6085863961074,2037,5,Díaz Vélez Av.,3500.0,3500.0,Ficus,3.6,Ocupada,Regular,A nivel,10,2
-58.4220546143549,-34.6086621841616,3199,5,Díaz Vélez Av.,3900.0,3932.0,Ficus,4,Ocupada,Regular,Elevada,45,13
-58.4195238161594,-34.608621705970805,8433,5,Díaz Vélez Av.,3700.0,3758.0,Ficus,3.6,Ocupada,Regular,Elevada,24,5
-58.4266945716403,-34.6087618962363,13384,5,Díaz Vélez Av.,4200.0,4230.0,Jacaranda,3.4,Ocupada,Regular,A nivel,17,4
-58.4266060154283,-34.6087596975962,13385,5,Díaz Vélez Av.,4200.0,4224.0,Jacaranda,3.4,Ocupada,Regular,A nivel,10,4
-58.4237418815991,-34.6086976412911,14527,5,Díaz Vélez Av.,4000.0,4048.0,Ficus,3.2,Ocupada,Regular,Elevada,24,3
-58.423524965503795,-34.608693530104496,14528,5,Díaz Vélez Av.,4000.0,4038.0,Ficus,3.2,Ocupada,Regular,A nivel,72,7
-58.423524965503795,-34.608693530104496,14529,5,Díaz Vélez Av.,4000.0,4038.0,Ficus,3.6,Ocupada,Regular,A nivel,35,8
-58.4275448238539,-34.6086157789257,16646,5,Díaz Vélez Av.,4200.0,4289.0,Tilia,3.7,Ocupada,Regular,A nivel,35,7
-58.4442185358651,-34.608043150433105,38235,6,Díaz Vélez Av.,5500.0,5528.0,Ficus,3.6,Ocupada,Regular,Elevada,13,6
-58.4443200805106,-34.608028579254,38236,6,Díaz Vélez Av.,5500.0,5534.0,Platanus,3.6,Ocupada,Regular,A nivel,70,30
-58.4445171662058,-34.6080002981659,38238,6,Díaz Vélez Av.,5500.0,5552.0,Tilia,3.6,Ocupada,Regular,A nivel,26,12
-58.4436492176934,-34.6081235317101,38239,6,Díaz Vélez Av.,5600.0,5500.0,Ficus,3.8,Ocupada,Regular,A nivel,32,3
-58.4436492176934,-34.6081235317101,38240,6,Díaz Vélez Av.,5600.0,5500.0,Ficus,3.8,Ocupada,Regular,A nivel,20,3
-58.4436492176934,-34.6081235317101,38242,6,Díaz Vélez Av.,5600.0,5500.0,Ficus,3.6,Ocupada,Ochava,A nivel,22,3
-58.4420873270875,-34.6082216535121,38284,6,Díaz Vélez Av.,5300.0,5363.0,Jacaranda,4.4,Ocupada,Regular,A nivel,12,10
-58.4421773152662,-34.6082070513076,38286,6,Díaz Vélez Av.,5300.0,5379.0,Platanus,4.4,Ocupada,Regular,A nivel,42,28
-58.44230748967521,-34.6081859280053,38288,6,Díaz Vélez Av.,5300.0,5383.0,Platanus,4.4,Ocupada,Regular,A nivel,46,25
-58.4445309773301,-34.6078440337586,40163,6,Díaz Vélez Av.,5500.0,5557.0,Platanus,4,Ocupada,Regular,A nivel,60,27
-58.444026894604704,-34.6079163672565,40164,6,Díaz Vélez Av.,5500.0,5507.0,Platanus,4.4,Ocupada,Ochava,A nivel,55,27
-58.444026894604704,-34.6079163672565,40165,6,Díaz Vélez Av.,5500.0,5515.0,Platanus,4.4,Ocupada,Regular,A nivel,45,27
-58.444152546369494,-34.6078983370328,40166,6,Díaz Vélez Av.,5500.0,5523.0,Platanus,4.4,Ocupada,Regular,Elevada,60,27
-58.444274239863795,-34.6078808746213,40167,6,Díaz Vélez Av.,5500.0,5537.0,Ficus,4.4,Ocupada,Regular,Elevada,40,12
-58.4443946225811,-34.6078636002481,40168,6,Díaz Vélez Av.,5500.0,5541.0,Ficus,4.4,Ocupada,Regular,Elevada,24,6
-58.4447658188385,-34.6078103343597,40176,6,Díaz Vélez Av.,5500.0,5571.0,Platanus,4,Ocupada,Regular,A nivel,60,27
-58.4447658188385,-34.6078103343597,40180,6,Díaz Vélez Av.,5500.0,5575.0,Platanus,4,Ocupada,Regular,A nivel,60,27
-58.4448579547367,-34.6077971128627,40191,6,Díaz Vélez Av.,5500.0,5581.0,Ficus,3.6,Ocupada,Regular,Elevada,16,6
-58.4449465970253,-34.6077843926024,40192,6,Díaz Vélez Av.,5500.0,5585.0,Ficus,3.6,Ocupada,Regular,Elevada,22,6
-58.4427998252315,-34.608113271637805,42062,6,Díaz Vélez Av.,5400.0,5419.0,Platanus,6,Ocupada,Ochava,A nivel,50,27
-58.4427998252315,-34.608113271637805,42063,6,Díaz Vélez Av.,5400.0,5419.0,Platanus,6,Ocupada,Regular,A nivel,40,27
-58.4429128008975,-34.6080949313478,42065,6,Díaz Vélez Av.,5400.0,5427.0,Platanus,6,Ocupada,Regular,A nivel,45,27
-58.4429128008975,-34.6080949313478,42096,6,Díaz Vélez Av.,5400.0,5429.0,Platanus,6,Ocupada,Regular,A nivel,50,26
-58.4430094067188,-34.6080792485572,42097,6,Díaz Vélez Av.,5400.0,5439.0,Platanus,6,Ocupada,Regular,A nivel,40,22
-58.4430991270569,-34.6080646833274,42098,6,Díaz Vélez Av.,5400.0,5451.0,Ficus,6,Ocupada,Regular,Elevada,50,12
-58.4431885741672,-34.6080501625192,42099,6,Díaz Vélez Av.,5400.0,5463.0,Platanus,6,Ocupada,Regular,Elevada,40,21
-58.443280414586106,-34.6080352530722,42100,6,Díaz Vélez Av.,5400.0,5469.0,Platanus,6,Ocupada,Regular,A nivel,45,30
-58.443372418059205,-34.6080203170615,42102,6,Díaz Vélez Av.,5400.0,5477.0,Platanus,6,Ocupada,Regular,Elevada,35,40
-58.4434636639594,-34.6080055038997,42103,6,Díaz Vélez Av.,5400.0,5483.0,Platanus,6,Ocupada,Regular,Elevada,40,27
-58.4435525037008,-34.6079910813915,42104,6,Díaz Vélez Av.,5400.0,5493.0,Platanus,6,Ocupada,Regular,A nivel,45,27
-58.443656460620296,-34.6079742045158,42105,6,Díaz Vélez Av.,5400.0,5499.0,Platanus,6,Ocupada,Regular,A nivel,40,27
-58.443656460620296,-34.6079742045158,42106,6,Díaz Vélez Av.,5400.0,5499.0,Platanus,6,Ocupada,Regular,A nivel,40,27
-58.4388618890277,-34.6087173297924,42380,6,Díaz Vélez Av.,5100.0,5101.0,Platanus,3.8,Ocupada,Ochava,A nivel,49,11
-58.4391220831578,-34.6087160796078,42383,6,Díaz Vélez Av.,5100.0,5125.0,Jacaranda,3.8,Ocupada,Regular,Elevada,22,4
-58.439311016945496,-34.6087160008045,42384,6,Díaz Vélez Av.,5100.0,5139.0,Platanus,3.8,Ocupada,Regular,A nivel,55,13
-58.4388618890277,-34.6087173297924,42385,6,Díaz Vélez Av.,5100.0,5107.0,Platanus,3.8,Ocupada,Regular,A nivel,54,11
-58.4394534396596,-34.6087159412151,42386,6,Díaz Vélez Av.,5100.0,5157.0,Platanus,3.8,Sobreocupada,Regular,Elevada,70,14
-58.439311016945496,-34.6087160008045,42387,6,Díaz Vélez Av.,5100.0,5151.0,Platanus,3.8,Ocupada,Regular,Elevada,63,15
