long,lat,nro_registro,comuna,calle_nombre,calle_altura,calle_chapa,nombre_cientifico,ancho_acera,estado_plantera,ubicacion_plantera,nivel_plantera,diametro_altura_pecho,altura_arbol
-58.4364981336796,-34.5757258822899,66852,14,Dorrego Av.,2400.0,2450,Jacaranda,3.5,Ocupada,Regular,Elevada,3,3
-58.4422995306073,-34.5808149967033,70072,14,Dorrego Av.,1800.0,1815,Tilia,3.2,Ocupada,Ochava,A nivel,0,8
-58.441659441243296,-34.5802193576713,70290,14,Dorrego Av.,1800.0,1887,Jacaranda,3.2,Ocupada,Regular,A nivel,7,4
-58.4417978474376,-34.5803481536139,70298,14,Dorrego Av.,1800.0,1875,Ficus,3.2,Ocupada,Regular,A nivel,71,14
-58.4392714192945,-34.578050092413996,70305,14,Dorrego Av.,2200.0,2149,Tilia,3.5,Ocupada,Regular,Elevada,48,14
-58.4394882876577,-34.5782285618415,70307,14,Dorrego Av.,2200.0,2129,Jacaranda,3.5,Ocupada,Regular,A nivel,12,8
-58.439411736238,-34.5781655648261,70312,14,Dorrego Av.,2200.0,2133,Lagerstroemia,3.5,Ocupada,Regular,A nivel,7,4
-58.439028690819505,-34.5778531396842,70316,14,Dorrego Av.,2200.0,2173,Ficus,3.5,Ocupada,Regular,A nivel,27,13
-58.43889447186871,-34.5777474807361,70317,14,Dorrego Av.,2200.0,2183,Jacaranda,3.5,Ocupada,Regular,Elevada,4,4
-58.4364981336796,-34.5757258822899,73008,14,Dorrego Av.,2400.0,2450,Jacaranda,3.5,Ocupada,Regular,Elevada,5,3
-58.43808144311421,-34.5771074366189,79063,14,Dorrego Av.,2200.0,2267,Tilia,3.5,Ocupada,Regular,Elevada,32,11
-58.4376084394625,-34.5766210415497,79920,14,Dorrego Av.,2300.0,2320,Ficus,3.2,Ocupada,Regular,A nivel,67,10
-58.4374132654229,-34.576468957047894,79968,14,Dorrego Av.,2300.0,2380,Tilia,3.2,Sobreocupada,Regular,Elevada,39,15
-58.4412791668773,-34.579866862586606,81255,14,Dorrego Av.,1900.0,1925,Jacaranda,3.2,Ocupada,Regular,Bajo nivel,25,15
-58.4412791668773,-34.579866862586606,81257,14,Dorrego Av.,1900.0,1925,Ficus,3.2,Ocupada,Regular,A nivel,71,9
-58.4412791668773,-34.579866862586606,81259,14,Dorrego Av.,1900.0,1925,Jacaranda,3.2,Ocupada,Regular,A nivel,24,12
-58.4412791668773,-34.579866862586606,81260,14,Dorrego Av.,1900.0,1945,Jacaranda,3.2,Ocupada,Regular,Bajo nivel,27,10
-58.4240905489971,-34.5708372737569,82066,14,Dorrego Av.,3500.0,3500,Jacaranda,4,Ocupada,Regular,Elevada,6,2
-58.4335516531941,-34.574132068466895,83747,14,Dorrego Av.,2600.0,2688,Ficus,2.8,Ocupada,Regular,Bajo nivel,65,9
-58.431928934924706,-34.5744171197753,87154,14,Dorrego Av.,2700.0,2795,Ficus,2.8,Ocupada,Regular,A nivel,54,9
-58.44446350128511,-34.5836744592704,88134,14,Dorrego Av.,1500.0,1565,Tilia,3.6,Ocupada,Regular,A nivel,58,15
-58.4446415437459,-34.584284330133,88137,14,Dorrego Av.,1500.0,1517,Ficus,3.6,Ocupada,Regular,A nivel,43,15
-58.4445750936701,-34.5840567115627,88138,14,Dorrego Av.,1500.0,1539,Ficus,3.6,Ocupada,Regular,A nivel,16,6
-58.44448567341271,-34.5837504086901,88139,14,Dorrego Av.,1500.0,1561,Tilia,3.6,Ocupada,Regular,Elevada,40,13
-58.4445750936701,-34.5840567115627,88147,14,Dorrego Av.,1500.0,1541,Jacaranda,3.6,Sobreocupada,Regular,A nivel,30,10
-58.4446734132286,-34.584393495662695,88148,14,Dorrego Av.,1500.0,1511,Melia,3.6,Ocupada,Regular,A nivel,47,12
-58.4445750936701,-34.5840567115627,88149,14,Dorrego Av.,1500.0,1541,Ficus,3.6,Sobreocupada,Regular,A nivel,14,5
-58.4445973484483,-34.5841329434015,88152,14,Dorrego Av.,1500.0,1533,Ficus,3.6,Ocupada,NA,A nivel,17,7
-58.4446734132286,-34.584393495662695,88154,14,Dorrego Av.,1500.0,1511,Melia,3.6,Ocupada,Regular,A nivel,43,15
-58.44011911299871,-34.5787875671747,89289,14,Dorrego Av.,2000.0,2079,Ficus,3.2,Ocupada,Regular,A nivel,82,26
-58.4361948530144,-34.5756316573977,112461,14,Dorrego Av.,2400.0,2481,Tilia,3.2,Ocupada,Regular,A nivel,23,10
-58.4361948530144,-34.5756316573977,112462,14,Dorrego Av.,2400.0,2481,Tilia,3.2,Ocupada,Regular,A nivel,20,10
-58.436785714054395,-34.5760975280814,112470,14,Dorrego Av.,2400.0,2415,Lagerstroemia,3.2,Ocupada,Regular,A nivel,16,7
-58.44595692385321,-34.5882355838357,228134,15,Dorrego Av.,1100.0,1142.0,Melia,3.6,Ocupada,Regular,A nivel,71,12
-58.4513388451293,-34.5947455233881,246845,15,Dorrego Av.,400.0,444.0,Platanus,3.6,Ocupada,Fuera de línea,A nivel,59,18
-58.4512565003658,-34.5946874866469,246885,15,Dorrego Av.,400.0,452.0,Tilia,3.6,Ocupada,Regular,A nivel,3,2
-58.4466410667302,-34.590958126038,246929,15,Dorrego Av.,900.0,905.0,Platanus,3.7,Ocupada,Ochava,A nivel,80,15
