long,lat,nro_registro,comuna,calle_nombre,calle_altura,calle_chapa,nombre_cientifico,ancho_acera,estado_plantera,ubicacion_plantera,nivel_plantera,diametro_altura_pecho,altura_arbol
-58.4590404346256,-34.572567173885005,108802,13,Elcano Av.,3100,3138.0,Jacaranda,5.6,Ocupada,Regular,Bajo nivel,5,2
-58.4587648011176,-34.571793427907,108828,13,Elcano Av.,3000,3089.0,Tilia,5.6,Ocupada,Regular,Bajo nivel,8,3
-58.45773204824929,-34.569227193101604,116436,13,Elcano Av.,2800,2855.0,Lagerstroemia,3.6,Ocupada,Regular,Bajo nivel,6,4
-58.45773204824929,-34.569227193101604,117533,13,Elcano Av.,2800,2855.0,Lagerstroemia,3,Ocupada,Regular,Bajo nivel,8,4
-58.45773204824929,-34.569227193101604,117541,13,Elcano Av.,2800,2855.0,Lagerstroemia,3.2,Ocupada,Regular,Bajo nivel,6,4
-58.45792442703779,-34.5703582649119,117951,13,Elcano Av.,2900,2956.0,Tilia,5.6,Ocupada,Regular,A nivel,23,13
-58.45748590265461,-34.5681531665054,118294,13,Elcano Av.,2700,2728.0,Melia,3.4,Ocupada,Regular,A nivel,56,12
-58.4574788147863,-34.5680847100635,118301,13,Elcano Av.,2700,2706.0,Ficus,3.4,Ocupada,Ochava,A nivel,55,15
-58.4599487902388,-34.5778074212717,120258,13,Elcano Av.,3500,3570.0,Ficus,5.6,Sobreocupada,Regular,Bajo nivel,9,2
-58.4599487902388,-34.5778074212717,120262,13,Elcano Av.,3500,3570.0,Ficus,5.6,Sobreocupada,Regular,Bajo nivel,9,2
-58.4575647186168,-34.5678590505775,125614,13,Elcano Av.,2700,2731.0,Melia,2.8,Ocupada,Regular,A nivel,95,11
-58.457623451127006,-34.5684106065672,125616,13,Elcano Av.,2700,2755.0,Ficus,3.5,Ocupada,Regular,A nivel,42,15
-58.457603375412795,-34.5682167137411,125622,13,Elcano Av.,2700,2743.0,Ficus,3.5,Ocupada,Regular,Elevada,22,3
-58.457603375412795,-34.5682167137411,125624,13,Elcano Av.,2700,2743.0,Ficus,3.5,Ocupada,Regular,Elevada,20,3
-58.4575428905003,-34.567670641707004,125625,13,Elcano Av.,2700,2711.0,Ficus,2.8,Ocupada,Regular,Elevada,30,3
-58.457603375412795,-34.5682167137411,125626,13,Elcano Av.,2700,2743.0,Ficus,3.5,Ocupada,Regular,Elevada,20,3
-58.457603375412795,-34.5682167137411,125630,13,Elcano Av.,2700,2743.0,Ficus,3.5,Ocupada,Regular,Elevada,25,3
-58.459654489345205,-34.573915160892504,127232,13,Elcano Av.,3200,3262.0,Platanus,3.2,Ocupada,Regular,A nivel,76,18
-58.459654489345205,-34.573915160892504,127451,13,Elcano Av.,3200,3262.0,Platanus,3.6,Ocupada,Regular,A nivel,68,14
-58.45964369624679,-34.5738776536087,127464,13,Elcano Av.,3200,3260.0,Platanus,3.6,Ocupada,Regular,A nivel,79,19
-58.4593049695432,-34.572713376627306,127475,13,Elcano Av.,3100,3161.0,Ficus,5.6,Ocupada,Regular,Elevada,9,2
-58.459737455618104,-34.574364953538,130109,13,Elcano Av.,3300,3302.0,Ficus,5.6,Ocupada,Regular,A nivel,48,12
-58.4598040376379,-34.5761408608172,133756,13,Elcano Av.,3400,3444.0,Platanus,3,Ocupada,NA,Elevada,96,20
-58.459802743669606,-34.5760930678393,133784,13,Elcano Av.,3400,3438.0,Platanus,4,Ocupada,NA,NA,80,18
-58.459796357159206,-34.5758571804934,133806,13,Elcano Av.,3400,3414.0,Platanus,4,Ocupada,Regular,Elevada,90,17
-58.4590077715944,-34.57221732451811,142561,13,Elcano Av.,3100,3111.0,Lagerstroemia,5.6,Ocupada,Regular,A nivel,21,9
-58.4587648011176,-34.571793427907,142630,13,Elcano Av.,3000,3089.0,Tilia,5.6,Ocupada,Regular,A nivel,16,3
-58.45792442703779,-34.5703582649119,544512,13,Elcano Av.,2900.0,2956,Tilia,6,Ocupada,Regular,A Nivel,31,10
-58.4590404346256,-34.572567173885005,544623,13,Elcano Av.,3200.0,3138,Jacaranda,6,Ocupada,Regular,A Nivel,6,4
-58.4596710926689,-34.5745033594557,544630,13,Elcano Av.,3340.0,3340,Platanus,NA,Ocupada,Regular,A Nivel,46,11
-58.4596710926689,-34.5745033594557,544631,13,Elcano Av.,3340.0,3340,Platanus,NA,Ocupada,Regular,A Nivel,35,11
-58.4596710926689,-34.5745033594557,544632,13,Elcano Av.,3340.0,3340,Platanus,NA,Ocupada,Regular,A Nivel,34,11
