long,lat,nro_registro,comuna,calle_nombre,calle_altura,calle_chapa,nombre_cientifico,ancho_acera,estado_plantera,ubicacion_plantera,nivel_plantera,diametro_altura_pecho,altura_arbol
-58.3916912948333,-34.6116117418091,60420,1,Entre Ríos Av.,300.0,212.0,Tilia,3.2,Ocupada,Regular,A nivel,16,8
-58.391764321443006,-34.6105399442987,60499,1,Entre Ríos Av.,200.0,114.0,Ficus,3.9,Sobreocupada,Regular,A nivel,6,2
-58.391764321443006,-34.6105399442987,60502,1,Entre Ríos Av.,200.0,114.0,Ficus,3.9,Sobreocupada,Regular,A nivel,8,2
-58.391764321443006,-34.6105399442987,60504,1,Entre Ríos Av.,200.0,114.0,Ficus,3.9,Sobreocupada,Regular,A nivel,13,2
-58.391764321443006,-34.6105399442987,60505,1,Entre Ríos Av.,200.0,114.0,Ficus,3.9,Sobreocupada,Regular,A nivel,18,2
-58.391764321443006,-34.6105399442987,60506,1,Entre Ríos Av.,200.0,114.0,Ficus,3.9,Sobreocupada,Regular,A nivel,19,2
-58.391717652896205,-34.6111451692479,60509,1,Entre Ríos Av.,200.0,184.0,Jacaranda,3.9,Ocupada,Regular,Bajo nivel,4,2
-58.391717652896205,-34.6111451692479,60510,1,Entre Ríos Av.,200.0,182.0,Jacaranda,3.9,Ocupada,Regular,A nivel,4,3
-58.391742847417405,-34.61083398575,60513,1,Entre Ríos Av.,200.0,136.0,Jacaranda,3.9,Ocupada,Regular,A nivel,4,3
-58.391686658717205,-34.6117378594207,60517,1,Entre Ríos Av.,300.0,220.0,Tilia,3.2,Ocupada,Regular,A nivel,24,8
-58.391868014893895,-34.6125034120327,60522,1,Entre Ríos Av.,300.0,283.0,Tilia,3.2,Ocupada,Regular,A nivel,17,8
-58.3916806009985,-34.6119866827496,60526,1,Entre Ríos Av.,300.0,244.0,Tilia,3.2,Ocupada,Regular,Bajo nivel,12,4
-58.391686658717205,-34.6117378594207,60527,1,Entre Ríos Av.,300.0,218.0,Tilia,3.2,Ocupada,Regular,A nivel,21,7
-58.391686658717205,-34.6117378594207,60541,1,Entre Ríos Av.,300.0,216.0,Tilia,3.2,Ocupada,Regular,A nivel,20,8
-58.391742847417405,-34.61083398575,60511,1,Entre Ríos Av.,200.0,140.0,Jacaranda,3.9,Ocupada,Regular,A nivel,4,3
-58.391764321443006,-34.6105399442987,63488,1,Entre Ríos Av.,200.0,114.0,Ficus,3.9,Sobreocupada,Regular,A nivel,28,2
-58.391517740579005,-34.620461289949304,75692,1,Entre Ríos Av.,1000.0,1030.0,Tilia,3.6,Ocupada,Regular,A nivel,6,4
-58.391558926415904,-34.6193877065283,80944,1,Entre Ríos Av.,900.0,910.0,Tilia,3.6,Ocupada,Regular,Bajo nivel,12,3
-58.391647792940795,-34.6129634300221,81031,1,Entre Ríos Av.,300.0,322.0,Tilia,3.6,Ocupada,Regular,A nivel,18,6
-58.39164248316071,-34.6130995202571,81032,1,Entre Ríos Av.,300.0,336.0,Tilia,3.6,Ocupada,Regular,A nivel,18,9
-58.39164248316071,-34.6130995202571,81033,1,Entre Ríos Av.,300.0,336.0,Tilia,3.6,Ocupada,Regular,A nivel,15,7
