long,lat,nro_registro,comuna,calle_nombre,calle_altura,calle_chapa,nombre_cientifico,ancho_acera,estado_plantera,ubicacion_plantera,nivel_plantera,diametro_altura_pecho,altura_arbol
-58.4613518440996,-34.671199661710894,312956,7,Escalada Av.,3700.0,3738,Jacaranda,3.2,Ocupada,Regular,Bajo nivel,5,5
-58.476059256751206,-34.6601052390328,348253,8,Escalada Av.,2300.0,2399,Jacaranda,2.8,Ocupada,Regular,A nivel,9,5
-58.4773926632835,-34.6590582178992,342197,8,Escalada Av.,2300.0,2275,Ficus,2.8,Ocupada,Regular,A nivel,21,5
-58.47457451378459,-34.661271674788196,381928,8,Escalada Av.,2400.0,2491,Tilia,3.2,Ocupada,Regular,Bajo nivel,41,7
-58.4754369803345,-34.660590851344104,381953,8,Escalada Av.,2400.0,2435,Tilia,3.2,Ocupada,Regular,A nivel,8,4
-58.4992435726036,-34.64181012572789,393378,8,Escalada Av.,4900.0,421,Platanus,10.5,Sobreocupada,Regular,A nivel,5,10
-58.450012389044105,-34.6804731386501,393379,8,Escalada Av.,4900.0,4921,Platanus,10.5,Sobreocupada,Regular,A nivel,40,10
-58.450012389044105,-34.6804731386501,393380,8,Escalada Av.,4900.0,4921,Jacaranda,10.5,Sobreocupada,Regular,A nivel,10,3
-58.450012389044105,-34.6804731386501,393381,8,Escalada Av.,4900.0,4921,Platanus,10.5,Sobreocupada,Regular,A nivel,34,9
-58.450012389044105,-34.6804731386501,393382,8,Escalada Av.,4900.0,4921,Platanus,10.5,Sobreocupada,Regular,A nivel,52,10
-58.450012389044105,-34.6804731386501,393384,8,Escalada Av.,4900.0,4921,Platanus,10.5,Sobreocupada,Regular,A nivel,34,8
-58.450012389044105,-34.6804731386501,393385,8,Escalada Av.,4900.0,4921,Platanus,10.5,Sobreocupada,Regular,A nivel,32,7
-58.450012389044105,-34.6804731386501,393386,8,Escalada Av.,4900.0,4921,Platanus,10.5,Sobreocupada,Regular,A nivel,38,9
-58.450012389044105,-34.6804731386501,393387,8,Escalada Av.,4900.0,4921,Platanus,10.5,Sobreocupada,Regular,A nivel,38,8
-58.450012389044105,-34.6804731386501,393388,8,Escalada Av.,4900.0,4921,Platanus,10.5,Sobreocupada,Regular,A nivel,40,8
-58.450012389044105,-34.6804731386501,393389,8,Escalada Av.,4900.0,4921,Platanus,10.5,Sobreocupada,Regular,A nivel,51,9
-58.450012389044105,-34.6804731386501,393391,8,Escalada Av.,4900.0,4921,Platanus,10.5,Sobreocupada,Regular,A nivel,45,8
-58.450012389044105,-34.6804731386501,393392,8,Escalada Av.,4900.0,4921,Platanus,10.5,Sobreocupada,Regular,A nivel,41,8
-58.450012389044105,-34.6804731386501,393393,8,Escalada Av.,4900.0,4921,Platanus,10.5,Sobreocupada,Regular,A nivel,38,7
-58.450012389044105,-34.6804731386501,393394,8,Escalada Av.,4900.0,4921,Platanus,10.5,Sobreocupada,Regular,A nivel,37,8
-58.450012389044105,-34.6804731386501,393395,8,Escalada Av.,4900.0,4921,Platanus,10.5,Sobreocupada,Regular,A nivel,35,6
-58.450012389044105,-34.6804731386501,393396,8,Escalada Av.,4900.0,4921,Platanus,10.5,Sobreocupada,Regular,A nivel,32,7
