long,lat,nro_registro,comuna,calle_nombre,calle_altura,calle_chapa,nombre_cientifico,ancho_acera,estado_plantera,ubicacion_plantera,nivel_plantera,diametro_altura_pecho,altura_arbol
NA,NA,428207,4,Fernández De La Cruz Francisco Av.,800,887,Platanus,6.4,Ocupada,Regular,A nivel,40,13
NA,NA,428208,4,Fernández De La Cruz Francisco Av.,800,823,Platanus,6.4,Ocupada,Regular,Elevada,44,13
NA,NA,428292,4,Fernández De La Cruz Francisco Av.,800,823,Platanus,6.4,Ocupada,Regular,A nivel,44,13
NA,NA,510646,4,Fernández De La Cruz Francisco Av.,1000,993,Platanus,6,Ocupada,Regular,A Nivel,75,18
NA,NA,510647,4,Fernández De La Cruz Francisco Av.,1000,989,Platanus,6,Ocupada,Regular,A Nivel,79,18
NA,NA,510648,4,Fernández De La Cruz Francisco Av.,1000,985,Platanus,6,Ocupada,Fuera de línea,A Nivel,61,18
NA,NA,510649,4,Fernández De La Cruz Francisco Av.,1000,973,Platanus,6,Ocupada,Fuera de línea,A Nivel,60,18
NA,NA,510653,4,Fernández De La Cruz Francisco Av.,1000,915,Platanus,6,Ocupada,Fuera de línea,Elevada,58,15
NA,NA,510654,4,Fernández De La Cruz Francisco Av.,1000,915,Platanus,6,Ocupada,Fuera de línea,Elevada,62,15
NA,NA,510655,4,Fernández De La Cruz Francisco Av.,1000,915,Platanus,6,Ocupada,Regular,Elevada,61,15
NA,NA,510792,4,Fernández De La Cruz Francisco Av.,1100,1009,Melia,6,Ocupada,Ochava,A Nivel,51,9
NA,NA,511611,4,Fernández De La Cruz Francisco Av.,1600,1603,Jacaranda,9,Sobreocupada,"Fuera de Línea, Ochava",A Nivel,37,9
NA,NA,511650,4,Fernández De La Cruz Francisco Av.,1550,1565,Ficus,9.6,Ocupada,Regular,A nivel,46,5
NA,NA,511651,4,Fernández De La Cruz Francisco Av.,1550,1565,Ficus,9.6,Ocupada,Regular,A nivel,55,11
NA,NA,511652,4,Fernández De La Cruz Francisco Av.,1550,1595,Platanus,9.6,Ocupada,Regular,A nivel,37,10
NA,NA,511695,4,Fernández De La Cruz Francisco Av.,1500,1545,Tilia,8,Ocupada,Ochava,A Nivel,18,4
NA,NA,511753,4,Fernández De La Cruz Francisco Av.,1450,1487,Tilia,6,Ocupada,Regular,Elevada,37,12
NA,NA,511823,4,Fernández De La Cruz Francisco Av.,1250,1261,Jacaranda,6,Ocupada,Regular,Elevada,41,8
NA,NA,511862,4,Fernández De La Cruz Francisco Av.,1100,1129,Ficus,6,Ocupada,Regular,A Nivel,7,2
NA,NA,511864,4,Fernández De La Cruz Francisco Av.,1100,1181,Platanus,6,Ocupada,Regular,Elevada,41,10
NA,NA,513107,4,Fernández De La Cruz Francisco Av.,900,996,Platanus,6,Ocupada,Regular,A Nivel,14,4
NA,NA,513109,4,Fernández De La Cruz Francisco Av.,900,988,Platanus,6,Ocupada,Regular,A Nivel,96,15
NA,NA,513110,4,Fernández De La Cruz Francisco Av.,900,960,Platanus,6,Ocupada,Regular,A Nivel,102,16
NA,NA,513113,4,Fernández De La Cruz Francisco Av.,900,910,Platanus,6,Ocupada,Regular,A Nivel,80,16
