long,lat,nro_registro,comuna,calle_nombre,calle_altura,calle_chapa,nombre_cientifico,ancho_acera,estado_plantera,ubicacion_plantera,nivel_plantera,diametro_altura_pecho,altura_arbol
-58.4552469532736,-34.5838945859067,245623,11,Forest Av.,700,730.0,Ficus,4.4,Ocupada,Regular,A nivel,25,11
-58.4664523391633,-34.5729940647292,109773,13,Forest Av.,1700,1739.0,Jacaranda,5.8,Ocupada,Regular,Elevada,45,8
-58.4666137346591,-34.5728919236407,109775,13,Forest Av.,1700,1763.0,Jacaranda,5.8,Sobreocupada,Regular,A nivel,32,7
-58.4662866073489,-34.5730989496356,109776,13,Forest Av.,1700,1727.0,Jacaranda,5.8,Sobreocupada,Regular,Elevada,64,14
-58.4662866073489,-34.5730989496356,109777,13,Forest Av.,1700,1727.0,Jacaranda,5.8,Sobreocupada,Regular,Elevada,69,11
-58.4662866073489,-34.5730989496356,109778,13,Forest Av.,1700,1727.0,Jacaranda,5.8,Sobreocupada,Regular,Elevada,33,8
-58.4666137346591,-34.5728919236407,109779,13,Forest Av.,1700,1763.0,Jacaranda,5.8,Sobreocupada,Regular,A nivel,50,12
-58.4662866073489,-34.5730989496356,109781,13,Forest Av.,1700,1727.0,Jacaranda,5.8,Sobreocupada,Regular,A nivel,50,14
-58.4666137346591,-34.5728919236407,109796,13,Forest Av.,1700,1763.0,Jacaranda,5.8,Sobreocupada,Regular,A nivel,48,13
-58.4669828997064,-34.572658291338,109797,13,Forest Av.,1700,1787.0,Jacaranda,5.8,Sobreocupada,Regular,A nivel,61,13
-58.4669828997064,-34.572658291338,109803,13,Forest Av.,1700,1787.0,Jacaranda,5.8,Sobreocupada,Regular,A nivel,55,13
-58.461149229968,-34.5771882376429,110831,13,Forest Av.,1200,1275.0,Ficus,4.4,Ocupada,Regular,Elevada,53,12
-58.461149229968,-34.5771882376429,110834,13,Forest Av.,1200,1277.0,Melia,4.4,Ocupada,Regular,A nivel,42,6
-58.4613261481212,-34.5770033970774,110840,13,Forest Av.,1200,1289.0,Melia,4.4,Ocupada,Regular,A nivel,44,13
-58.4604535986186,-34.577915944096105,114472,13,Forest Av.,1200,1211.0,Ficus,4.4,Ocupada,Regular,Elevada,0,2
-58.4604535986186,-34.577915944096105,114474,13,Forest Av.,1200,1211.0,Ficus,4.4,Sobreocupada,Regular,Elevada,2,2
-58.4604535986186,-34.577915944096105,114478,13,Forest Av.,1200,1211.0,Ficus,4.4,Sobreocupada,Regular,Elevada,9,2
-58.46062048889621,-34.5777406493187,114481,13,Forest Av.,1200,1225.0,Ficus,4.4,Ocupada,Regular,Elevada,1,3
-58.46258661103929,-34.5756599451163,119499,13,Forest Av.,1400,1499.0,Lagerstroemia,4,Sobreocupada,Regular,Elevada,18,3
-58.4642832134582,-34.574365657155106,122315,13,Forest Av.,1500,1563.0,Jacaranda,6,Ocupada,Regular,Elevada,14,8
-58.4642832134582,-34.574365657155106,122319,13,Forest Av.,1500,1557.0,Jacaranda,6,Ocupada,Regular,Elevada,18,9
-58.4640168324593,-34.5745306612313,122325,13,Forest Av.,1500,1551.0,Jacaranda,6,Ocupada,Regular,A nivel,13,8
-58.4634833212351,-34.5748611297577,122331,13,Forest Av.,1500,1519.0,Jacaranda,6,Ocupada,Regular,A nivel,24,12
-58.4621083055898,-34.576183315577396,134739,13,Forest Av.,1300,1387.0,Tilia,4,Ocupada,Regular,A nivel,38,11
-58.46162137172521,-34.5766920662507,134755,13,Forest Av.,1300,1305.0,Melia,4,Ocupada,Regular,A nivel,25,12
-58.4665402324337,-34.573097968384296,206758,15,Forest Av.,1700.0,1730,Jacaranda,2,Ocupada,Regular,A nivel,35,6
-58.466944552537896,-34.5728420884994,206312,15,Forest Av.,1700.0,1750,Jacaranda,2,Ocupada,Regular,A nivel,0,9
-58.466310437965205,-34.5732433958604,206956,15,Forest Av.,1700.0,1702,Jacaranda,2,Ocupada,Regular,A nivel,43,13
-58.466944552537896,-34.5728420884994,206147,15,Forest Av.,1700.0,1750,Jacaranda,2,Ocupada,Regular,A nivel,61,7
-58.4665402324337,-34.573097968384296,206694,15,Forest Av.,1700.0,1730,Jacaranda,2,Ocupada,Regular,A nivel,0,11
-58.4647188046156,-34.5742331771236,203711,15,Forest Av.,1500.0,1580,Jacaranda,6,Sobreocupada,Regular,A nivel,40,10
-58.4657244892342,-34.5736028576437,203182,15,Forest Av.,1600.0,1670,Jacaranda,6,Ocupada,Regular,Elevada,65,10
-58.46230794890079,-34.576233025966104,203460,15,Forest Av.,1300.0,1394,Ficus,4.4,Ocupada,Ochava,Elevada,19,8
-58.46519180923001,-34.5739385739671,203465,15,Forest Av.,1600.0,1610,Jacaranda,6,Sobreocupada,Regular,Elevada,80,14
-58.464608922413305,-34.574301242183104,203725,15,Forest Av.,1500.0,1570,Jacaranda,6,Sobreocupada,Regular,A nivel,80,12
-58.4657244892342,-34.5736028576437,203205,15,Forest Av.,1600.0,1670,Jacaranda,6,Ocupada,Regular,Elevada,60,10
-58.4644021536827,-34.574429321785495,203743,15,Forest Av.,1500.0,1554,Ficus,6.6,Ocupada,Regular,A nivel,20,3
-58.4644021536827,-34.574429321785495,203750,15,Forest Av.,1500.0,1554,Jacaranda,6.6,Ocupada,Regular,A nivel,80,14
-58.46519180923001,-34.5739385739671,203487,15,Forest Av.,1600.0,1610,Jacaranda,6,Sobreocupada,Regular,Elevada,80,13
-58.4644021536827,-34.574429321785495,203763,15,Forest Av.,1500.0,1554,Jacaranda,6.6,Ocupada,Regular,A nivel,78,12
-58.4644021536827,-34.574429321785495,203770,15,Forest Av.,1500.0,1554,Jacaranda,6.6,Ocupada,Regular,A nivel,90,15
-58.4642205800715,-34.5745417940387,203782,15,Forest Av.,1500.0,1548,Jacaranda,6.6,Ocupada,Regular,A nivel,40,6
-58.4657244892342,-34.5736028576437,203247,15,Forest Av.,1600.0,1670,Jacaranda,6,Sobreocupada,Regular,Elevada,78,14
-58.464118644994294,-34.5746049355009,203793,15,Forest Av.,1500.0,1544,Jacaranda,6.6,Sobreocupada,Regular,Elevada,80,10
-58.46404039841661,-34.574653403509195,203804,15,Forest Av.,1500.0,1536,Jacaranda,6.6,Sobreocupada,Regular,Elevada,20,5
-58.4639613672546,-34.5747023574089,203813,15,Forest Av.,1500.0,1530,Jacaranda,6.6,Sobreocupada,Regular,Elevada,120,13
-58.465526135232,-34.5737278688892,203294,15,Forest Av.,1600.0,1652,Jacaranda,6,Ocupada,Regular,A nivel,70,14
-58.463872303328,-34.5747575257203,203825,15,Forest Av.,1500.0,1526,Jacaranda,6.6,Sobreocupada,Regular,Elevada,50,12
-58.46544977710179,-34.5737759928885,203308,15,Forest Av.,1600.0,1644,Jacaranda,6,Sobreocupada,Regular,A nivel,80,14
-58.4637544790533,-34.5748305086627,203844,15,Forest Av.,1500.0,1522,Jacaranda,6.6,Sobreocupada,Regular,A nivel,40,8
-58.463442571282606,-34.5748863709627,203851,15,Forest Av.,1500.0,1515,Jacaranda,6.6,Ocupada,Regular,A nivel,66,13
-58.4653749191825,-34.5738231712792,203330,15,Forest Av.,1600.0,1640,Jacaranda,6,Sobreocupada,Regular,A nivel,80,14
-58.4648594821259,-34.574146035979,203630,15,Forest Av.,1500.0,1594,Jacaranda,6,Ocupada,Ochava,Elevada,60,14
-58.46530274774779,-34.573868656468896,203366,15,Forest Av.,1600.0,1630,Jacaranda,6,Ocupada,Regular,Elevada,77,14
-58.4648594821259,-34.574146035979,203670,15,Forest Av.,1500.0,1594,Jacaranda,6,Ocupada,Regular,Elevada,60,8
-58.455624580659105,-34.583479042978,245749,15,Forest Av.,700.0,780.0,Melia,4.4,Ocupada,Regular,Elevada,76,13
-58.455767258544995,-34.5830760831274,252683,15,Forest Av.,800.0,801.0,Ficus,4.4,Ocupada,Regular,A nivel,23,11
-58.458560992522706,-34.5799984321416,250111,15,Forest Av.,1000.0,1083.0,Tilia,5,Ocupada,Regular,Bajo nivel,32,12
-58.4582135815388,-34.5803802451634,250282,15,Forest Av.,1000.0,1029.0,Melia,5,Ocupada,Regular,A nivel,47,16
-58.458560992522706,-34.5799984321416,250019,15,Forest Av.,1000.0,1083.0,Tilia,5,Ocupada,Ochava,Bajo nivel,26,9
-58.4582135815388,-34.5803802451634,250334,15,Forest Av.,1000.0,1029.0,Tilia,5,Ocupada,Regular,Bajo nivel,27,15
-58.458560992522706,-34.5799984321416,250071,15,Forest Av.,1000.0,1083.0,Tilia,5,Ocupada,Regular,Bajo nivel,36,12
-58.4545501714782,-34.5844159735919,236792,15,Forest Av.,600.0,677.0,Ficus,4.4,Ocupada,Regular,Bajo nivel,20,10
-58.4545501714782,-34.5844159735919,236802,15,Forest Av.,600.0,675.0,Tilia,4.4,Ocupada,Regular,A nivel,0,10
-58.4596852874676,-34.5787626645275,260399,15,Forest Av.,1100.0,1169.0,Ficus,5,Sobreocupada,Regular,Elevada,32,4
-58.459213414761706,-34.5792799537393,260199,15,Forest Av.,1100.0,1129.0,Tilia,5,Sobreocupada,Regular,A nivel,16,5
-58.460137144648,-34.5785171852494,259371,15,Forest Av.,1100.0,1188.0,Ficus,3.6,Sobreocupada,Regular,Elevada,50,5
-58.4594920510642,-34.5792243740234,259461,15,Forest Av.,1100.0,1136.0,Ficus,5,Ocupada,Regular,A nivel,21,6
-58.4593870551075,-34.579089601925695,260297,15,Forest Av.,1100.0,1147.0,Ficus,5,Ocupada,Regular,Bajo nivel,33,4
-58.459366634583205,-34.5793618609855,259479,15,Forest Av.,1100.0,1128.0,Melia,5,Ocupada,Regular,A nivel,45,8
-58.4592979536543,-34.579437151751,259509,15,Forest Av.,1100.0,1120.0,Tilia,5,Ocupada,Regular,Bajo nivel,12,6
-58.45785199040421,-34.5810223613837,268107,15,Forest Av.,900.0,996.0,Platanus,4.4,Ocupada,Regular,A nivel,76,17
-58.45785199040421,-34.5810223613837,268108,15,Forest Av.,900.0,996.0,Jacaranda,4.4,Ocupada,Regular,A nivel,22,6
-58.45705233658361,-34.5819042279818,268122,15,Forest Av.,900.0,906.0,Ficus,4.4,Ocupada,Regular,A nivel,21,5
-58.4529639493251,-34.5861544580588,276400,15,Forest Av.,400.0,491.0,Ficus,4,Ocupada,Regular,A nivel,3,2
-58.4570117753586,-34.5817057600703,277232,15,Forest Av.,900.0,927.0,Ficus,4.4,Ocupada,Regular,Elevada,60,12
-58.453529431984606,-34.585662090026304,289973,15,Forest Av.,500.0,549.0,Ficus,3.2,Ocupada,Regular,Bajo nivel,26,4
-58.4545501714782,-34.5844159735919,297057,15,Forest Av.,600.0,677.0,Ficus,4.4,Ocupada,Regular,A nivel,25,8
-58.4545501714782,-34.5844159735919,296941,15,Forest Av.,600.0,675.0,Tilia,4.4,Ocupada,Regular,A nivel,42,7
-58.46599,-34.573436,109774,13,Forest Av.,1700,NA,Jacaranda,5.8,Ocupada,Regular,Elevada,34,11
