long,lat,nro_registro,comuna,calle_nombre,calle_altura,calle_chapa,nombre_cientifico,ancho_acera,estado_plantera,ubicacion_plantera,nivel_plantera,diametro_altura_pecho,altura_arbol
-58.4529544716333,-34.6109387575148,40732,6,Gaona Av.,1700.0,1747.0,Ficus,3.2,Ocupada,Ochava,Elevada,20,4
-58.4529154573341,-34.6109176236142,40733,6,Gaona Av.,1700.0,1745.0,Ficus,3.2,Ocupada,Regular,Elevada,46,8
-58.453698227775895,-34.6113518126339,40750,6,Gaona Av.,1800.0,1809.0,Ficus,3,Ocupada,Regular,Elevada,16,5
-58.453698227775895,-34.6113518126339,40752,6,Gaona Av.,1800.0,1809.0,Ficus,3,Ocupada,Regular,Bajo nivel,44,6
-58.454038725531795,-34.6115412141659,40791,6,Gaona Av.,1800.0,1831.0,Ficus,3,Ocupada,Regular,A nivel,30,4
-58.456660049637605,-34.6128599770375,40849,6,Gaona Av.,2000.0,2072.0,Platanus,3.2,Ocupada,Regular,Bajo nivel,8,6
-58.4540969302468,-34.6117765841272,46098,6,Gaona Av.,1800.0,1850.0,Ficus,3.6,Sobreocupada,Regular,A nivel,0,2
-58.4540969302468,-34.6117765841272,46104,6,Gaona Av.,1800.0,1850.0,Ficus,3.6,Sobreocupada,Regular,A nivel,2,2
-58.4537992842375,-34.611611314678804,46106,6,Gaona Av.,1800.0,1832.0,Ficus,3.6,Ocupada,Regular,A nivel,0,6
-58.4536102910601,-34.6115061871805,46110,6,Gaona Av.,1800.0,1810.0,Ficus,3.6,Sobreocupada,Regular,Elevada,0,4
-58.4536102910601,-34.6115061871805,46112,6,Gaona Av.,1800.0,1810.0,Ficus,3.6,Sobreocupada,Regular,Elevada,0,4
-58.4558218001123,-34.6123229932104,45870,6,Gaona Av.,1900.0,1995.0,Melia,3,Ocupada,Regular,Bajo nivel,22,6
-58.45550963595379,-34.612386943930694,45887,6,Gaona Av.,2000.0,2006.0,Tilia,3.6,Ocupada,Regular,A nivel,15,8
-58.45114438690761,-34.6099629347322,49656,6,Gaona Av.,1600.0,1607.0,Ficus,3,Ocupada,Regular,A nivel,52,9
-58.45145602427221,-34.6103366465311,50157,6,Gaona Av.,1600.0,1612.0,Ficus,4,Sobreocupada,Regular,Elevada,0,6
-58.452928721689304,-34.6111390860185,51568,6,Gaona Av.,1700.0,1734.0,Tilia,4,Ocupada,Regular,A nivel,30,8
-58.452557887013995,-34.6109382057631,51570,6,Gaona Av.,1700.0,1730.0,Ficus,4,Ocupada,Regular,Bajo nivel,46,8
-58.452928721689304,-34.6111390860185,51572,6,Gaona Av.,1700.0,1734.0,Ficus,4,Ocupada,Regular,A nivel,48,10
-58.452557887013995,-34.6109382057631,51573,6,Gaona Av.,1700.0,1730.0,Ficus,4,Ocupada,Regular,Bajo nivel,47,7
-58.452557887013995,-34.6109382057631,51574,6,Gaona Av.,1700.0,1730.0,Ficus,4,Ocupada,Regular,A nivel,47,7
-58.452928721689304,-34.6111390860185,51579,6,Gaona Av.,1700.0,1734.0,Ficus,4,Ocupada,Regular,Bajo nivel,0,6
-58.4530386381493,-34.611194897427,51587,6,Gaona Av.,1700.0,1766.0,Tilia,4,Sobreocupada,Regular,Elevada,21,7
-58.44847871132399,-34.608724604047495,56512,6,Gaona Av.,1300.0,1366.0,Melia,4,Ocupada,Regular,A nivel,31,9
-58.4478502006159,-34.6084098381292,56325,6,Gaona Av.,1300.0,1312.0,Tilia,4,Ocupada,Regular,Bajo nivel,6,3
-58.4482931820199,-34.6086241026645,56330,6,Gaona Av.,1300.0,1352.0,Ficus,4,Ocupada,Regular,A nivel,0,8
-58.45826959121221,-34.6133636709583,85594,6,Gaona Av.,2100.0,2197.0,Tilia,3.8,Ocupada,Regular,A nivel,16,5
-58.45826959121221,-34.6133636709583,85611,6,Gaona Av.,2100.0,2197.0,Ficus,3.8,Ocupada,Regular,A nivel,33,9
-58.4576222729531,-34.6130590741742,97118,6,Gaona Av.,2100.0,2137.0,Jacaranda,3.8,Ocupada,Regular,A nivel,23,7
-58.45826959121221,-34.6133636709583,96813,6,Gaona Av.,2100.0,2197.0,Ficus,3.8,Ocupada,Regular,A nivel,39,8
-58.45826959121221,-34.6133636709583,97115,6,Gaona Av.,2197.0,2197.0,Tilia,3.8,Ocupada,Regular,A nivel,11,5
-58.4760489734235,-34.6215711480458,308749,7,Gaona Av.,3600.0,3616.0,Platanus,3.6,Sobreocupada,Regular,A nivel,63,22
-58.4761101212996,-34.6216031989008,308750,7,Gaona Av.,3600.0,3626.0,Platanus,3.6,Ocupada,Regular,A nivel,95,20
-58.476109950448,-34.6216025487471,308751,7,Gaona Av.,3600.0,3630.0,Platanus,3.6,Ocupada,Regular,A nivel,97,21
-58.4762953637187,-34.6216989876829,308752,7,Gaona Av.,3600.0,3658.0,Platanus,3.6,Ocupada,Regular,Elevada,80,19
-58.476446349035704,-34.6217775192602,308753,7,Gaona Av.,3600.0,3674.0,Platanus,3.6,Ocupada,Regular,A nivel,90,20
-58.476446349035704,-34.6217775192602,308754,7,Gaona Av.,3600.0,3678.0,Platanus,3.6,Ocupada,Regular,A nivel,46,19
-58.476515068656205,-34.6218132620941,308756,7,Gaona Av.,3600.0,3688.0,Platanus,3.6,Ocupada,Regular,A nivel,47,18
-58.4755919012321,-34.6213307612517,308759,7,Gaona Av.,3500.0,3596.0,Platanus,3.6,Ocupada,Regular,Elevada,60,17
-58.4755919012321,-34.6213307612517,308760,7,Gaona Av.,3500.0,3588.0,Platanus,3.6,Ocupada,Regular,A nivel,60,20
-58.4750357233772,-34.6210388069136,308763,7,Gaona Av.,3500.0,3552.0,Platanus,3.6,Ocupada,Regular,A nivel,61,19
-58.47519609577989,-34.6209194076486,308761,7,Gaona Av.,3500.0,3575.0,Platanus,3.6,Ocupada,Regular,A nivel,76,19
-58.475276071106904,-34.621164429913996,308762,7,Gaona Av.,3500.0,3570.0,Platanus,3.6,Ocupada,Regular,A nivel,67,19
-58.4749554121888,-34.620996830327805,308764,7,Gaona Av.,3500.0,3548.0,Platanus,3.6,Ocupada,Regular,A nivel,58,20
-58.476885668161,-34.6220032207442,299642,7,Gaona Av.,3700.0,3706.0,Platanus,4.2,Ocupada,Ochava,A nivel,23,6
-58.477158099501,-34.622144905967396,299643,7,Gaona Av.,3700.0,3732.0,Platanus,4.2,Ocupada,Regular,A nivel,71,17
-58.477285225527105,-34.622211020894106,299644,7,Gaona Av.,3700.0,3754.0,Tilia,4.2,Ocupada,Regular,Elevada,18,10
-58.47746865086761,-34.6223064152093,299645,7,Gaona Av.,3700.0,3764.0,Ficus,4.2,Ocupada,Regular,Elevada,11,2
-58.477548441031,-34.6223479116473,299646,7,Gaona Av.,3700.0,3782.0,Ficus,4.2,Ocupada,Regular,Elevada,35,11
-58.477650830453605,-34.6224011611476,299647,7,Gaona Av.,3700.0,3792.0,Platanus,4.2,Ocupada,Regular,A nivel,99,20
-58.477650830453605,-34.6224011611476,299648,7,Gaona Av.,3700.0,3794.0,Platanus,4.2,Ocupada,Ochava,A nivel,105,22
-58.466178187317,-34.6165939191508,331501,7,Gaona Av.,2800.0,2864,Platanus,4,Ocupada,Regular,A nivel,2,2
-58.47146211146461,-34.6191719049238,329309,7,Gaona Av.,3200.0,3296,Melia,6,Ocupada,Regular,A nivel,54,13
-58.4705407071942,-34.6186752662498,329322,7,Gaona Av.,3200.0,3202,Ficus,6,Ocupada,Regular,Elevada,22,2
-58.4706353520041,-34.6185221683676,329323,7,Gaona Av.,3200.0,3205,Ficus,6,Ocupada,Regular,Elevada,25,2
-58.4705407071942,-34.6186752662498,329324,7,Gaona Av.,3200.0,3202,Ficus,6,Ocupada,Regular,Elevada,15,2
-58.466866196139094,-34.6168916825284,331272,7,Gaona Av.,2900.0,2914,Platanus,4,Ocupada,Regular,A nivel,3,3
-58.4674527686017,-34.6171455977949,331275,7,Gaona Av.,2900.0,2970,Platanus,4,Ocupada,Regular,Bajo nivel,3,3
-58.4747160819204,-34.6208717379997,322155,7,Gaona Av.,3500.0,3534,Platanus,3.6,Ocupada,Regular,A nivel,57,19
-58.4747160819204,-34.6208717379997,322156,7,Gaona Av.,3500.0,3530,Platanus,3.6,Ocupada,Regular,A nivel,56,20
-58.4744239442889,-34.6207192174584,322157,7,Gaona Av.,3500.0,3512,Platanus,36,Ocupada,Regular,A nivel,52,20
