long,lat,nro_registro,comuna,calle_nombre,calle_altura,calle_chapa,nombre_cientifico,ancho_acera,estado_plantera,ubicacion_plantera,nivel_plantera,diametro_altura_pecho,altura_arbol
-58.36993589849521,-34.62891230292,289692,4,García Martín Av.,300,320,Tilia,3.2,Ocupada,Regular,Elevada,42,8
-58.36993589849521,-34.62891230292,289694,4,García Martín Av.,300,332,Tilia,3.2,Sobreocupada,Regular,Elevada,8,4
-58.36993589849521,-34.62891230292,289695,4,García Martín Av.,300,346,Tilia,3.2,Sobreocupada,Regular,A nivel,10,5
-58.36993589849521,-34.62891230292,289696,4,García Martín Av.,300,348,Jacaranda,3.2,Ocupada,Regular,Elevada,4,3
-58.37025733948361,-34.6292204813537,289698,4,García Martín Av.,300,378,Tilia,3.2,Ocupada,Regular,Elevada,8,4
-58.37025733948361,-34.6292204813537,289699,4,García Martín Av.,300,378,Tilia,3.2,Sobreocupada,Regular,Elevada,11,5
-58.3728037708811,-34.631568056135,382111,4,García Martín Av.,600,607,Tilia,3.6,Ocupada,Fuera de línea,A nivel,43,12
-58.37315012418899,-34.6319289765405,382114,4,García Martín Av.,600,667,Tilia,3.6,Ocupada,Regular,Elevada,32,9
-58.37315012418899,-34.6319289765405,382115,4,García Martín Av.,600,667,Jacaranda,3.6,Ocupada,Fuera de línea,Elevada,8,3
-58.3732346968254,-34.6320175092939,382116,4,García Martín Av.,600,673,Tilia,3.6,Ocupada,Regular,A nivel,44,9
-58.3733185628572,-34.6321056504719,382117,4,García Martín Av.,600,687,Tilia,3.6,Ocupada,Fuera de línea,A nivel,49,11
-58.3734109129214,-34.6322019718867,382118,4,García Martín Av.,600,695,Tilia,3.6,Ocupada,Regular,A nivel,16,6
-58.372110036724,-34.6308490878693,371870,4,García Martín Av.,500,537,Tilia,3.7,Ocupada,Regular,Elevada,34,9
-58.3723841114079,-34.6311342190733,371874,4,García Martín Av.,500,573,Tilia,3.7,Ocupada,Regular,A nivel,33,12
-58.3712964138692,-34.6302687778953,375328,4,García Martín Av.,400,464,Tilia,3.6,Ocupada,Regular,A nivel,32,6
-58.3712964138692,-34.6302687778953,375329,4,García Martín Av.,400,464,Tilia,3.6,Ocupada,Regular,Bajo nivel,27,8
-58.3712964138692,-34.6302687778953,375330,4,García Martín Av.,400,464,Tilia,3.6,Ocupada,Regular,Elevada,29,8
-58.3712964138692,-34.6302687778953,375331,4,García Martín Av.,400,464,Tilia,3.6,Ocupada,Regular,Elevada,19,6
-58.3712964138692,-34.6302687778953,375332,4,García Martín Av.,400,464,Tilia,3.6,Ocupada,Regular,A nivel,16,6
-58.3740671184331,-34.6328881636746,375312,4,García Martín Av.,700,759,Tilia,3.6,Ocupada,Regular,A nivel,39,7
-58.3740671184331,-34.6328881636746,375310,4,García Martín Av.,700,759,Tilia,3.4,Ocupada,Regular,A nivel,64,11
-58.37222009493421,-34.631230678710295,430736,4,García Martín Av.,500,560,Tilia,3.6,Sobreocupada,Regular,Elevada,35,8
-58.3723374227405,-34.6313527391405,429712,4,García Martín Av.,500,574,Tilia,3.6,Ocupada,Regular,A nivel,15,4
-58.374578685809,-34.6336906265236,424198,4,García Martín Av.,800,808,Ficus,3.4,Ocupada,Regular,A nivel,18,2
-58.375121871053,-34.6339883165585,424181,4,García Martín Av.,800,873,Tilia,4,Ocupada,Regular,A nivel,36,9
-58.375063712923,-34.633927669034,424182,4,García Martín Av.,800,867,Tilia,4,Ocupada,Regular,A nivel,70,9
-58.3748908817871,-34.6337474393642,424184,4,García Martín Av.,800,851,Tilia,4,Ocupada,Regular,A nivel,68,9
-58.3747289143044,-34.6335785374622,424186,4,García Martín Av.,800,833,Tilia,4,Ocupada,Regular,A nivel,67,9
-58.374674918353605,-34.6335222295537,424187,4,García Martín Av.,800,823,Tilia,4,Ocupada,Regular,A nivel,30,9
-58.3749435437095,-34.6340711046892,424192,4,García Martín Av.,800,874,Tilia,3.4,Ocupada,Regular,A nivel,69,8
-58.3749435437095,-34.6340711046892,424193,4,García Martín Av.,800,874,Tilia,3.4,Ocupada,Regular,A nivel,31,9
-58.370857392131704,-34.6295579519584,435443,4,García Martín Av.,400,403,Tilia,4,Ocupada,Regular,A nivel,32,18
-58.370857392131704,-34.6295579519584,435444,4,García Martín Av.,400,405,Tilia,4,Ocupada,Regular,A nivel,32,15
-58.370857392131704,-34.6295579519584,435445,4,García Martín Av.,400,409,Tilia,4,Ocupada,Regular,A nivel,22,10
-58.3709848018164,-34.629685331893896,435446,4,García Martín Av.,400,415,Tilia,4,Sobreocupada,Regular,A nivel,41,18
-58.3710693234376,-34.6297698334869,435448,4,García Martín Av.,400,417,Tilia,4,Ocupada,Regular,A nivel,32,18
-58.3713947045522,-34.6301058636737,435453,4,García Martín Av.,400,473,Tilia,4,Ocupada,Regular,A nivel,36,20
-58.3713947045522,-34.6301058636737,435454,4,García Martín Av.,400,473,Tilia,4,Ocupada,Regular,A nivel,35,18
-58.3717916304471,-34.6305188328872,436178,4,García Martín Av.,500,507,Tilia,3.6,Ocupada,Regular,A nivel,31,6
-58.3717916304471,-34.6305188328872,436179,4,García Martín Av.,500,507,Tilia,3.6,Ocupada,Regular,A nivel,29,5
-58.3740671184331,-34.6328881636746,504598,4,García Martín Av.,700,759,Tilia,3.4,Ocupada,Regular,A Nivel,57,10
-58.3740671184331,-34.6328881636746,504600,4,García Martín Av.,700,759,Tilia,3.4,Ocupada,Regular,A Nivel,38,8
NA,NA,48288,1,García Martín Av.,200.0,NA,Jacaranda,6,Ocupada,Regular,Bajo nivel,12,3
NA,NA,48046,1,García Martín Av.,200.0,NA,Jacaranda,6,Ocupada,Regular,A nivel,11,4
NA,NA,48049,1,García Martín Av.,200.0,NA,Jacaranda,6,Ocupada,Regular,A nivel,11,5
NA,NA,48051,1,García Martín Av.,200.0,NA,Jacaranda,6,Ocupada,Regular,A nivel,8,4
NA,NA,48055,1,García Martín Av.,200.0,NA,Jacaranda,6,Ocupada,Regular,A nivel,12,6
NA,NA,48343,1,García Martín Av.,200.0,NA,Jacaranda,7,Ocupada,Regular,A nivel,11,3
NA,NA,48349,1,García Martín Av.,200.0,NA,Jacaranda,7,Ocupada,Regular,A nivel,11,5
NA,NA,48595,1,García Martín Av.,200.0,NA,Jacaranda,7,Ocupada,Regular,A nivel,11,5
-58.369304,-34.628311,48600,1,García Martín Av.,300.0,NA,Jacaranda,6,Ocupada,Regular,A nivel,10,4
NA,NA,48601,1,García Martín Av.,200.0,NA,Jacaranda,7,Ocupada,Regular,A nivel,13,4
-58.369304,-34.628311,48602,1,García Martín Av.,300.0,NA,Jacaranda,6,Ocupada,Regular,A nivel,15,6
NA,NA,48603,1,García Martín Av.,1500.0,NA,Jacaranda,NA,Ocupada,Regular,A nivel,10,5
NA,NA,48345,1,García Martín Av.,200.0,NA,Jacaranda,6,Ocupada,Regular,A nivel,14,3
NA,NA,48346,1,García Martín Av.,200.0,NA,Jacaranda,6,Ocupada,Regular,A nivel,11,6
NA,NA,48347,1,García Martín Av.,200.0,NA,Jacaranda,NA,Ocupada,Regular,A nivel,12,5
NA,NA,48348,1,García Martín Av.,200.0,NA,Jacaranda,6,Ocupada,Regular,A nivel,11,4
NA,NA,48604,1,García Martín Av.,2001.0,NA,Jacaranda,6,Ocupada,Regular,A nivel,9,4
NA,NA,48605,1,García Martín Av.,200.0,NA,Jacaranda,6,Ocupada,Regular,A nivel,10,6
NA,NA,48606,1,García Martín Av.,200.0,NA,Jacaranda,6,Ocupada,Regular,A nivel,11,5
NA,NA,48608,1,García Martín Av.,200.0,NA,Jacaranda,6,Ocupada,Regular,A nivel,12,4
-58.369304,-34.628311,48364,1,García Martín Av.,300.0,NA,Jacaranda,5.6,Ocupada,Regular,A nivel,12,4
-58.369304,-34.628311,48369,1,García Martín Av.,300.0,NA,Jacaranda,5.2,Ocupada,Regular,A nivel,13,5
-58.369304,-34.628311,48639,1,García Martín Av.,300.0,NA,Jacaranda,6,Ocupada,Regular,A nivel,11,4
NA,NA,48640,1,García Martín Av.,200.0,NA,Jacaranda,6,Ocupada,Regular,A nivel,7,4
NA,NA,48647,1,García Martín Av.,200.0,NA,Jacaranda,6,Ocupada,Regular,A nivel,13,5
-58.369304,-34.628311,48649,1,García Martín Av.,300.0,NA,Jacaranda,6,Ocupada,Regular,A nivel,12,4
