long,lat,nro_registro,comuna,calle_nombre,calle_altura,calle_chapa,nombre_cientifico,ancho_acera,estado_plantera,ubicacion_plantera,nivel_plantera,diametro_altura_pecho,altura_arbol
-58.47584660736629,-34.5500227047148,119449,12,García del Río Av.,3000.0,3064.0,Jacaranda,1.6,Ocupada,Regular,Elevada,2,2
-58.4822398066719,-34.552894584711,119467,12,García del Río Av.,3700.0,3735.0,Melia,2.8,Ocupada,Regular,Elevada,94,12
-58.4823703455413,-34.552963319520394,119470,12,García del Río Av.,3700.0,3771.0,Tilia,2.8,Ocupada,Regular,A nivel,18,11
-58.4824728089133,-34.5530172710749,119471,12,García del Río Av.,3700.0,3789.0,Tilia,2.8,Ocupada,Regular,A nivel,21,10
-58.4823185847573,-34.5529360650628,119473,12,García del Río Av.,3700.0,3763.0,Melia,2.8,Ocupada,Regular,Elevada,43,11
-58.4819992269416,-34.5527679075944,119474,12,García del Río Av.,3700.0,3715.0,Melia,2.8,Ocupada,Regular,A nivel,55,15
-58.483002762230704,-34.5532942368581,121192,12,García del Río Av.,3800.0,3865.0,Melia,2.6,Ocupada,Regular,A nivel,57,14
-58.489252165937,-34.5564618917958,127145,12,García del Río Av.,4500.0,4507.0,Melia,4.2,Ocupada,Regular,A nivel,67,10
-58.489252165937,-34.5564618917958,127146,12,García del Río Av.,4500.0,4507.0,Tilia,4.2,Ocupada,Regular,A nivel,27,10
-58.4894721675159,-34.5565670362371,127102,12,García del Río Av.,4500.0,4537.0,Tilia,4.1,Ocupada,Regular,A nivel,35,10
-58.4893905751875,-34.5565280412279,127126,12,García del Río Av.,4500.0,4527.0,Tilia,4.1,Ocupada,Regular,A nivel,36,10
-58.4811840405457,-34.5524272837726,128476,12,García del Río Av.,3600.0,3652.0,Lagerstroemia,2.8,Ocupada,Regular,Elevada,18,5
-58.483839170704,-34.553825832340195,128482,12,García del Río Av.,3900.0,3938.0,Ficus,2.8,Ocupada,Regular,A nivel,42,9
-58.4837994421315,-34.5538047841478,128483,12,García del Río Av.,3900.0,3934.0,Ficus,2.8,Ocupada,Regular,Elevada,13,4
-58.4850117984418,-34.5544449402433,128505,12,García del Río Av.,4000.0,4064.0,Ficus,2.8,Ocupada,Regular,A nivel,26,6
-58.4850117984418,-34.5544449402433,128506,12,García del Río Av.,4000.0,4062.0,Ficus,2.8,Ocupada,Regular,A nivel,21,5
-58.4846935885471,-34.5542768707417,128508,12,García del Río Av.,4000.0,4018.0,Melia,2.8,Ocupada,Regular,A nivel,68,18
-58.484705269517,-34.5541948939238,128511,12,García del Río Av.,4000.0,4017.0,Melia,2.8,Ocupada,Regular,A nivel,68,18
-58.481931903059504,-34.5528181215802,128284,12,García del Río Av.,3700.0,3724.0,Jacaranda,2.8,Ocupada,Regular,A nivel,37,9
-58.4842774598371,-34.554058036361106,128341,12,García del Río Av.,3900.0,3982.0,Tilia,2.8,Ocupada,Regular,A nivel,17,6
-58.4820229941243,-34.5528660856741,128385,12,García del Río Av.,3700.0,3736.0,Melia,2.8,Ocupada,Regular,A nivel,84,14
-58.488926938110104,-34.5563063935096,128166,12,García del Río Av.,4400.0,4495.0,Lagerstroemia,4.4,Ocupada,Regular,A nivel,3,3
-58.48869113237411,-34.5561936745023,128169,12,García del Río Av.,4400.0,4471.0,Lagerstroemia,4.4,Ocupada,Regular,A nivel,4,3
-58.488608305092896,-34.5561540815246,128170,12,García del Río Av.,4400.0,4457.0,Ficus,4.4,Sobreocupada,Regular,A nivel,150,10
-58.4885267268023,-34.5561150854996,128171,12,García del Río Av.,4400.0,4449.0,Lagerstroemia,4.4,Ocupada,Regular,Elevada,9,6
-58.4833525582641,-34.5535682465944,130033,12,García del Río Av.,3800.0,3894.0,Melia,2.8,Sobreocupada,Regular,A nivel,67,13
-58.4833525582641,-34.5535682465944,130039,12,García del Río Av.,3800.0,3894.0,Melia,2.8,Ocupada,Regular,A nivel,82,9
-58.4832727109916,-34.553526203372606,130044,12,García del Río Av.,3800.0,3882.0,Jacaranda,2.8,Ocupada,Regular,A nivel,38,9
-58.4828665165645,-34.5533123220236,130046,12,García del Río Av.,3800.0,3822.0,Ficus,2.8,Ocupada,Regular,A nivel,20,8
