long,lat,nro_registro,comuna,calle_nombre,calle_altura,calle_chapa,nombre_cientifico,ancho_acera,estado_plantera,ubicacion_plantera,nivel_plantera,diametro_altura_pecho,altura_arbol
-58.4695732996525,-34.6398194271497,324349,7,Garzón Eugenio Gral. Av.,3400.0,3370,Tilia,4.4,Ocupada,Regular,A nivel,24,10
-58.4694787946678,-34.639793856709105,324350,7,Garzón Eugenio Gral. Av.,3400.0,3360,Lagerstroemia,4.4,Ocupada,Regular,A nivel,22,8
-58.4692675449635,-34.6397366979738,324351,7,Garzón Eugenio Gral. Av.,3400.0,3346,Ficus,4.4,Ocupada,Regular,A nivel,24,8
-58.4693608633996,-34.639683543448804,332331,7,Garzón Eugenio Gral. Av.,3300.0,3343,Tilia,4.4,Ocupada,Regular,A nivel,45,10
-58.4694526987556,-34.6397083917066,332332,7,Garzón Eugenio Gral. Av.,3300.0,3351,Ficus,4.4,Ocupada,Regular,Elevada,23,8
-58.469707065581,-34.639777216365104,332335,7,Garzón Eugenio Gral. Av.,3300.0,3395,Melia,4.4,Ocupada,Regular,A nivel,64,12
-58.46926619092879,-34.6396579274384,332330,7,Garzón Eugenio Gral. Av.,3300.0,3333,Ficus,4.4,Ocupada,Regular,A nivel,10,5
-58.48459386984299,-34.650585903332704,261231,9,Garzón Eugenio Gral. Av.,4700,4762,Tilia,3.2,Ocupada,Regular,Elevada,17,6
-58.49320752702471,-34.657903795998,268483,9,Garzón Eugenio Gral. Av.,5700,5796,Jacaranda,5.7,Ocupada,Regular,A nivel,31,8
-58.485735181602,-34.6515695889687,266682,9,Garzón Eugenio Gral. Av.,4800,4862,Ficus,3.2,Ocupada,Regular,Elevada,36,8
-58.5041970410213,-34.667589883637,266702,9,Garzón Eugenio Gral. Av.,7100,7124,Ficus,4.4,Ocupada,Regular,Bajo nivel,3,2
-58.504137573025,-34.667539849864895,266703,9,Garzón Eugenio Gral. Av.,7100,7118,Melia,4.4,Ocupada,Regular,A nivel,38,12
-58.504137573025,-34.667539849864895,266704,9,Garzón Eugenio Gral. Av.,7100,7116,Ficus,4.4,Ocupada,Regular,A nivel,43,8
-58.5036703179953,-34.6670432375502,266749,9,Garzón Eugenio Gral. Av.,7000,7067,Melia,4.4,Ocupada,Regular,A nivel,82,13
-58.503730397077504,-34.6670933197297,266750,9,Garzón Eugenio Gral. Av.,7000,7075,Melia,4.4,Ocupada,Regular,A nivel,54,9
-58.4712075369264,-34.6402149090885,267125,9,Garzón Eugenio Gral. Av.,3500,3501,Melia,4.4,Ocupada,Ochava,A nivel,56,8
-58.47178517023029,-34.6403863783201,267132,9,Garzón Eugenio Gral. Av.,3500,3581,Tilia,4.4,Ocupada,Regular,Elevada,0,9
-58.4923841208549,-34.6569510272373,266894,9,Garzón Eugenio Gral. Av.,5600,5671,Ficus,5.2,Ocupada,Regular,Elevada,27,8
-58.471827740445605,-34.6404835341982,267193,9,Garzón Eugenio Gral. Av.,3500,3592,Melia,4.4,Ocupada,Ochava,A nivel,98,8
-58.48610871223371,-34.651891622239596,266675,9,Garzón Eugenio Gral. Av.,4800,4894,Ficus,3.2,Ocupada,Ochava,Bajo nivel,4,2
-58.5061185448714,-34.669102156722396,277383,9,Garzón Eugenio Gral. Av.,7300,7371,Lagerstroemia,4.4,Ocupada,Regular,A nivel,4,4
-58.50600482263761,-34.6690064665084,277386,9,Garzón Eugenio Gral. Av.,7300,7365,Tilia,4.4,Sobreocupada,Regular,A nivel,33,7
-58.5059917287619,-34.668995448802,277387,9,Garzón Eugenio Gral. Av.,7300,7361,Tilia,4.4,Sobreocupada,Regular,A nivel,30,7
-58.505939353293506,-34.6689513779627,277388,9,Garzón Eugenio Gral. Av.,7300,7353,Ficus,4.4,Ocupada,Regular,A nivel,73,8
-58.50580538420421,-34.6688386506314,277389,9,Garzón Eugenio Gral. Av.,7300,7325,Ficus,4.4,Ocupada,Regular,A nivel,41,6
-58.50580538420421,-34.6688386506314,277390,9,Garzón Eugenio Gral. Av.,7300,7323,Lagerstroemia,4.4,Ocupada,Regular,A nivel,19,6
-58.50431131645289,-34.6675804296764,276668,9,Garzón Eugenio Gral. Av.,7100,7139,Melia,4.4,Ocupada,Regular,Elevada,1,13
-58.504551868511896,-34.6677828182692,276670,9,Garzón Eugenio Gral. Av.,7100,7187,Ficus,4.4,Ocupada,Regular,Elevada,32,8
-58.5046261620323,-34.667845324872104,276674,9,Garzón Eugenio Gral. Av.,7100,7199,Melia,4.4,Ocupada,Ochava,A nivel,58,17
-58.5045800692948,-34.667912144673,276676,9,Garzón Eugenio Gral. Av.,7100,7196,Melia,4.4,Ocupada,Regular,A nivel,60,7
-58.5044947159454,-34.667840332919305,276678,9,Garzón Eugenio Gral. Av.,7100,7192,Melia,4.4,Ocupada,Regular,A nivel,59,9
-58.493295386906794,-34.657721548062504,275664,9,Garzón Eugenio Gral. Av.,5700,5797,Ficus,NA,Ocupada,Regular,A nivel,29,6
-58.4931092580556,-34.657564990408304,275669,9,Garzón Eugenio Gral. Av.,5700,5759,Lagerstroemia,5.7,Ocupada,Regular,A nivel,16,4
-58.4930395527269,-34.65750635927039,275671,9,Garzón Eugenio Gral. Av.,5700,5745,Ficus,5.7,Ocupada,Regular,A nivel,0,8
-58.4737594381614,-34.6411175925153,293751,9,Garzón Eugenio Gral. Av.,3700,3716,Ficus,4.4,Ocupada,Regular,A nivel,53,10
-58.4737594381614,-34.6411175925153,293752,9,Garzón Eugenio Gral. Av.,3700,3716,Ficus,4.4,Sobreocupada,Regular,A nivel,72,11
-58.4736468698411,-34.6410379016857,293754,9,Garzón Eugenio Gral. Av.,3700,3704,Ficus,4.4,Ocupada,Ochava,A nivel,96,11
-58.4738584370108,-34.6410910259558,293758,9,Garzón Eugenio Gral. Av.,3700,3719,Ficus,4.4,Ocupada,Regular,Bajo nivel,32,5
