long,lat,nro_registro,comuna,calle_nombre,calle_altura,calle_chapa,nombre_cientifico,ancho_acera,estado_plantera,ubicacion_plantera,nivel_plantera,diametro_altura_pecho,altura_arbol
-58.4922503573445,-34.5496446031431,383456,12,Goyeneche Roberto Av. Parque,4600,4690.0,Jacaranda,4,Sobreocupada,Regular,A nivel,22,6
-58.4922503573445,-34.5496446031431,383457,12,Goyeneche Roberto Av. Parque,4600,4690.0,Jacaranda,4,Ocupada,Regular,A nivel,26,5
-58.4922503573445,-34.5496446031431,383458,12,Goyeneche Roberto Av. Parque,4600,4690.0,Jacaranda,2,Ocupada,Regular,A nivel,23,5
-58.4922503573445,-34.5496446031431,383459,12,Goyeneche Roberto Av. Parque,4600,4690.0,Jacaranda,2,Ocupada,Regular,A nivel,20,5
-58.4922503573445,-34.5496446031431,383460,12,Goyeneche Roberto Av. Parque,4600,4690.0,Jacaranda,4,Ocupada,Regular,A nivel,25,5
-58.4922503573445,-34.5496446031431,383461,12,Goyeneche Roberto Av. Parque,4600,4690.0,Jacaranda,4,Ocupada,Regular,A nivel,16,4
-58.4922503573445,-34.5496446031431,383462,12,Goyeneche Roberto Av. Parque,4600,4690.0,Jacaranda,4,Ocupada,Regular,A nivel,21,5
-58.4922503573445,-34.5496446031431,383463,12,Goyeneche Roberto Av. Parque,4600,4690.0,Jacaranda,4,Sobreocupada,Regular,A nivel,41,5
-58.4916588178477,-34.5504725180511,371639,12,Goyeneche Roberto Av. Parque,4500,4590.0,Jacaranda,5,Sobreocupada,Regular,A nivel,3,2
-58.4916588178477,-34.5504725180511,371640,12,Goyeneche Roberto Av. Parque,4500,4590.0,Jacaranda,5,Sobreocupada,Regular,A nivel,2,3
-58.4916588178477,-34.5504725180511,371643,12,Goyeneche Roberto Av. Parque,4500,4590.0,Jacaranda,5,Sobreocupada,Regular,A nivel,10,2
-58.4916588178477,-34.5504725180511,371644,12,Goyeneche Roberto Av. Parque,4500,4590.0,Jacaranda,5,Sobreocupada,Regular,A nivel,25,5
-58.4916588178477,-34.5504725180511,371646,12,Goyeneche Roberto Av. Parque,4500,4590.0,Jacaranda,5,Sobreocupada,Regular,A nivel,28,5
-58.4916588178477,-34.5504725180511,371647,12,Goyeneche Roberto Av. Parque,4500,4590.0,Jacaranda,5,Sobreocupada,Regular,A nivel,2,4
-58.4916588178477,-34.5504725180511,371648,12,Goyeneche Roberto Av. Parque,4500,4590.0,Jacaranda,5,Sobreocupada,Regular,A nivel,3,4
