long,lat,nro_registro,comuna,calle_nombre,calle_altura,calle_chapa,nombre_cientifico,ancho_acera,estado_plantera,ubicacion_plantera,nivel_plantera,diametro_altura_pecho,altura_arbol
-58.3691013816817,-34.6475585058393,357963,4,Iriarte Gral. Av.,1300,1378,Tilia,2.6,Ocupada,Regular,A nivel,34,7
-58.370362059436,-34.6477846489096,357991,4,Iriarte Gral. Av.,1400,1496,Lagerstroemia,2.4,Ocupada,Regular,Elevada,6,3
-58.372211457024406,-34.6480016659446,362608,4,Iriarte Gral. Av.,1600,1661,Platanus,2.3,Ocupada,Regular,A nivel,38,9
-58.3719583612021,-34.6480749268248,362642,4,Iriarte Gral. Av.,1600,1630,Platanus,2.5,Ocupada,Regular,A nivel,42,11
-58.3722357826451,-34.648125057122805,362647,4,Iriarte Gral. Av.,1600,1664,Platanus,2.4,Ocupada,Regular,A nivel,45,11
-58.3722357826451,-34.648125057122805,362648,4,Iriarte Gral. Av.,1600,1664,Platanus,2.4,Ocupada,Regular,A nivel,26,10
-58.373352292568505,-34.6482084684478,385258,4,Iriarte Gral. Av.,1700,1739,Platanus,2.4,Ocupada,Regular,A nivel,55,15
-58.3770147813955,-34.648963355965,374689,4,Iriarte Gral. Av.,1900,2100,Platanus,2.4,Ocupada,Regular,A nivel,90,20
-58.3762387403057,-34.6487296593411,374694,4,Iriarte Gral. Av.,1900,2035,Platanus,2.4,Ocupada,Regular,A nivel,40,12
-58.3762387403057,-34.6487296593411,374697,4,Iriarte Gral. Av.,1900,2035,Lagerstroemia,2.4,Ocupada,Regular,A nivel,3,2
-58.37581123332561,-34.648652823183305,374699,4,Iriarte Gral. Av.,1900,1929,Platanus,2.4,Ocupada,Regular,A nivel,85,23
-58.374910005008104,-34.648548537452804,504778,4,Iriarte Gral. Av.,1900,1900,Platanus,3.7,Ocupada,Regular,A Nivel,92,20
-58.3761928797518,-34.6488368132587,505021,4,Iriarte Gral. Av.,2000,2022,Platanus,2.4,Ocupada,Regular,A Nivel,27,8
