long,lat,nro_registro,comuna,calle_nombre,calle_altura,calle_chapa,nombre_cientifico,ancho_acera,estado_plantera,ubicacion_plantera,nivel_plantera,diametro_altura_pecho,altura_arbol
-58.452718988829496,-34.559618419485695,97276,13,Juramento Av.,1900,1981.0,Platanus,3.6,Ocupada,Regular,Bajo nivel,38,16
-58.452718988829496,-34.559618419485695,97277,13,Juramento Av.,1900,1981.0,Platanus,3.6,Ocupada,Regular,A nivel,55,25
-58.4510598258023,-34.5586276254909,105746,13,Juramento Av.,1700,1787.0,Platanus,3.6,Ocupada,Regular,A nivel,60,25
-58.45030696138099,-34.5582134150277,105747,13,Juramento Av.,1700,1705.0,Platanus,3.6,Ocupada,Regular,Elevada,85,27
-58.45030696138099,-34.5582134150277,105748,13,Juramento Av.,1700,1705.0,Platanus,3.6,Ocupada,Regular,A nivel,90,27
-58.4505457720879,-34.5583695581067,105749,13,Juramento Av.,1700,1735.0,Platanus,3.6,Ocupada,Regular,A nivel,50,20
-58.4505456837329,-34.558369472307,105751,13,Juramento Av.,1700,1719.0,Jacaranda,3.6,Ocupada,Regular,A nivel,2,2
-58.4507994740664,-34.558472643654596,105753,13,Juramento Av.,1700,1775.0,Ficus,3.6,Ocupada,Regular,Elevada,12,4
-58.4525641772999,-34.5597293437296,106795,13,Juramento Av.,1900,1970.0,Platanus,3.6,Ocupada,Regular,Elevada,57,23
-58.452114826122894,-34.5594618999137,106796,13,Juramento Av.,1900,1902.0,Platanus,3.6,Ocupada,Regular,A nivel,19,21
-58.452660515153106,-34.5597866814459,106799,13,Juramento Av.,1900,1974.0,Platanus,3.6,Ocupada,Regular,Bajo nivel,54,22
-58.452386937828706,-34.5596238551464,106802,13,Juramento Av.,1900,1948.0,Platanus,3.6,Ocupada,Regular,Elevada,55,25
-58.4527672994436,-34.5598502364001,106803,13,Juramento Av.,1900,1992.0,Platanus,3.6,Ocupada,Regular,A nivel,54,21
-58.45138495460379,-34.558821168344004,107200,13,Juramento Av.,1800,1805.0,Platanus,3.6,Ocupada,Regular,Bajo nivel,47,17
-58.4516164163756,-34.5589589533622,107201,13,Juramento Av.,1800,1823.0,Platanus,3.6,Ocupada,Regular,Bajo nivel,35,15
-58.4517071182526,-34.559012946300996,107207,13,Juramento Av.,1800,1865.0,Platanus,3.6,Ocupada,Regular,Elevada,40,17
