long,lat,nro_registro,comuna,calle_nombre,calle_altura,calle_chapa,nombre_cientifico,ancho_acera,estado_plantera,ubicacion_plantera,nivel_plantera,diametro_altura_pecho,altura_arbol
NA,NA,35967,6,Justo Juan Bautista Av.,4300.0,4358.0,Ficus,4.8,Ocupada,Ochava,A nivel,43,16
NA,NA,35968,6,Justo Juan Bautista Av.,4300.0,4360.0,Platanus,2.8,Ocupada,Regular,A nivel,53,26
NA,NA,48987,6,Justo Juan Bautista Av.,4200.0,4224.0,Ficus,3,Ocupada,Regular,Elevada,34,8
NA,NA,48990,6,Justo Juan Bautista Av.,4200.0,4264.0,Ficus,3,Ocupada,Regular,A nivel,59,12
NA,NA,48991,6,Justo Juan Bautista Av.,4200.0,4278.0,Ficus,3,Ocupada,Regular,Elevada,60,11
NA,NA,48992,6,Justo Juan Bautista Av.,4200.0,4284.0,Ficus,3,Ocupada,Regular,Elevada,63,12
NA,NA,48993,6,Justo Juan Bautista Av.,4200.0,4284.0,Ficus,3,Ocupada,Regular,A nivel,42,12
NA,NA,50200,6,Justo Juan Bautista Av.,4300.0,4350.0,Platanus,3,Ocupada,Regular,A nivel,60,18
NA,NA,50201,6,Justo Juan Bautista Av.,4300.0,4332.0,Platanus,3,Ocupada,Regular,A nivel,50,15
NA,NA,50203,6,Justo Juan Bautista Av.,4300.0,4330.0,Ficus,3,Ocupada,Ochava,A nivel,58,13
NA,NA,51036,6,Justo Juan Bautista Av.,4100.0,4150.0,Platanus,3,Ocupada,Regular,A nivel,66,20
NA,NA,51032,6,Justo Juan Bautista Av.,4100.0,4190.0,Platanus,3,Ocupada,Regular,A nivel,92,20
NA,NA,53712,6,Justo Juan Bautista Av.,4000.0,4032.0,Platanus,3,Ocupada,Regular,A nivel,69,20
NA,NA,53713,6,Justo Juan Bautista Av.,4000.0,4040.0,Platanus,3,Ocupada,Regular,A nivel,63,22
NA,NA,53714,6,Justo Juan Bautista Av.,4000.0,4044.0,Platanus,3,Ocupada,Regular,Bajo nivel,72,23
NA,NA,519966,6,Justo Juan Bautista Av.,4100.0,4190.0,Platanus,3.2,Ocupada,Regular,A Nivel,82,12
NA,NA,519969,6,Justo Juan Bautista Av.,4100.0,4150.0,Platanus,3.2,Ocupada,Regular,A Nivel,68,12
NA,NA,325673,7,Justo Juan Bautista Av.,6600.0,6645,Jacaranda,2.8,Ocupada,Regular,A nivel,26,16
NA,NA,325739,7,Justo Juan Bautista Av.,6500.0,6535,Platanus,2.8,Ocupada,Regular,A nivel,59,20
NA,NA,325741,7,Justo Juan Bautista Av.,6500.0,6563,Platanus,2.8,Ocupada,Regular,A nivel,64,20
NA,NA,248054,9,Justo Juan Bautista Av.,9400,9460,Jacaranda,5.2,Ocupada,Regular,A nivel,58,10
NA,NA,248422,9,Justo Juan Bautista Av.,9200,9364,Jacaranda,5.4,Ocupada,Regular,A nivel,51,10
NA,NA,248445,9,Justo Juan Bautista Av.,9200,964,Jacaranda,5.4,Ocupada,Regular,A nivel,43,11
NA,NA,238726,9,Justo Juan Bautista Av.,9500,9592,Jacaranda,3,Ocupada,Ochava,Bajo nivel,53,14
NA,NA,238760,9,Justo Juan Bautista Av.,9500,9592,Ficus,3,Ocupada,Regular,Elevada,53,10
NA,NA,237069,9,Justo Juan Bautista Av.,9700,9752,Jacaranda,3.6,Ocupada,Regular,Elevada,40,6
NA,NA,307124,10,Justo Juan Bautista Av.,6700.0,6716,Platanus,2.75,Ocupada,Ochava,A nivel,54,16
NA,NA,307126,10,Justo Juan Bautista Av.,6700.0,6732,Platanus,2.75,Ocupada,Regular,Bajo nivel,53,20
NA,NA,307127,10,Justo Juan Bautista Av.,6700.0,6742,Platanus,2.75,Ocupada,Regular,A nivel,59,20
NA,NA,307128,10,Justo Juan Bautista Av.,6700.0,6764,Platanus,2.75,Ocupada,Regular,A nivel,55,16
NA,NA,307158,10,Justo Juan Bautista Av.,6500.0,6542,Platanus,2.75,Ocupada,Regular,A nivel,57,20
NA,NA,307161,10,Justo Juan Bautista Av.,6500.0,6596,Platanus,2.75,Ocupada,Ochava,A nivel,17,10
NA,NA,307188,10,Justo Juan Bautista Av.,6800.0,6900,Ficus,2.75,Ocupada,Regular,Elevada,36,10
NA,NA,307192,10,Justo Juan Bautista Av.,6800.0,6858,Platanus,2.75,Ocupada,Regular,A nivel,57,18
NA,NA,307195,10,Justo Juan Bautista Av.,6800.0,6822,Platanus,2.75,Ocupada,Regular,A nivel,38,20
NA,NA,307109,10,Justo Juan Bautista Av.,6600.0,6676.0,Platanus,2.75,Ocupada,Regular,A nivel,57,16
NA,NA,307110,10,Justo Juan Bautista Av.,6600.0,6672.0,Jacaranda,2.75,Ocupada,Regular,A nivel,37,14
NA,NA,307112,10,Justo Juan Bautista Av.,6600.0,6612.0,Ficus,2.75,Ocupada,Regular,A nivel,39,8
NA,NA,315073,10,Justo Juan Bautista Av.,6900.0,6928.0,Platanus,2.75,Ocupada,Regular,A nivel,50,14
NA,NA,315075,10,Justo Juan Bautista Av.,6900.0,6948.0,Melia,2.75,Sobreocupada,Regular,Bajo nivel,35,13
NA,NA,315078,10,Justo Juan Bautista Av.,6900.0,6982.0,Ficus,2.75,Ocupada,Regular,A nivel,65,15
NA,NA,315124,10,Justo Juan Bautista Av.,7000.0,7032.0,Platanus,2.75,Ocupada,Regular,A nivel,57,20
NA,NA,346220,10,Justo Juan Bautista Av.,6800.0,6883.0,Ficus,28,Ocupada,Regular,Elevada,49,8
NA,NA,335305,10,Justo Juan Bautista Av.,7600.0,7624.0,Ficus,2.8,Ocupada,Regular,Elevada,33,2
NA,NA,335306,10,Justo Juan Bautista Av.,7600.0,7658.0,Ficus,2.8,Ocupada,Regular,Elevada,30,7
NA,NA,335309,10,Justo Juan Bautista Av.,7600.0,7686.0,Ficus,2.8,Ocupada,Regular,Elevada,32,7
NA,NA,340498,10,Justo Juan Bautista Av.,6700.0,6733.0,Jacaranda,2.8,Ocupada,Regular,A nivel,39,14
NA,NA,340499,10,Justo Juan Bautista Av.,6700.0,6739.0,Jacaranda,28,Ocupada,Regular,A nivel,28,14
NA,NA,340500,10,Justo Juan Bautista Av.,6700.0,6747.0,Platanus,2.8,Ocupada,Regular,A nivel,67,17
NA,NA,335348,10,Justo Juan Bautista Av.,7700.0,7716.0,Ficus,2.8,Ocupada,Regular,A nivel,21,3
NA,NA,335349,10,Justo Juan Bautista Av.,7700.0,7720.0,Jacaranda,2.8,Ocupada,Regular,A nivel,33,10
NA,NA,335350,10,Justo Juan Bautista Av.,7700.0,7776.0,Jacaranda,2.8,Ocupada,Regular,A nivel,41,10
NA,NA,365966,10,Justo Juan Bautista Av.,9600.0,9637.0,Ficus,3.2,Ocupada,Regular,A nivel,15,3
NA,NA,364139,10,Justo Juan Bautista Av.,7100.0,7185.0,Jacaranda,3.2,Ocupada,Regular,A nivel,45,8
NA,NA,367262,10,Justo Juan Bautista Av.,8900.0,8949.0,Melia,2.8,Ocupada,Regular,A nivel,50,16
NA,NA,364524,10,Justo Juan Bautista Av.,7300.0,7300.0,Jacaranda,2.8,Ocupada,Regular,A nivel,72,11
NA,NA,355632,10,Justo Juan Bautista Av.,8400.0,8355.0,Jacaranda,4,Ocupada,Regular,A nivel,70,15
NA,NA,355635,10,Justo Juan Bautista Av.,8400.0,8355.0,Jacaranda,4,Ocupada,Regular,A nivel,75,13
NA,NA,354521,10,Justo Juan Bautista Av.,8400.0,8420.0,Jacaranda,3.2,Ocupada,Regular,A nivel,36,8
NA,NA,357188,10,Justo Juan Bautista Av.,7800.0,7830.0,Jacaranda,3.2,Ocupada,Regular,A nivel,25,7
NA,NA,355625,10,Justo Juan Bautista Av.,8400.0,8355.0,Jacaranda,4,Ocupada,Ochava,A nivel,70,16
NA,NA,355629,10,Justo Juan Bautista Av.,8400.0,8355.0,Jacaranda,4,Ocupada,Regular,A nivel,70,14
NA,NA,355631,10,Justo Juan Bautista Av.,8400.0,8355.0,Jacaranda,4,Ocupada,Regular,A nivel,65,13
NA,NA,352884,10,Justo Juan Bautista Av.,7600.0,7615.0,Platanus,3.2,Ocupada,Regular,Elevada,18,8
NA,NA,350036,10,Justo Juan Bautista Av.,7200.0,7261.0,Jacaranda,3.2,Sobreocupada,Regular,A nivel,49,14
NA,NA,352489,10,Justo Juan Bautista Av.,8300.0,8355.0,Jacaranda,3.6,Ocupada,Ochava,A nivel,42,12
