long,lat,nro_registro,comuna,calle_nombre,calle_altura,calle_chapa,nombre_cientifico,ancho_acera,estado_plantera,ubicacion_plantera,nivel_plantera,diametro_altura_pecho,altura_arbol
-58.4232913101669,-34.641399395292694,428213,4,La Plata Av.,2300,2307,Jacaranda,3.2,Ocupada,Regular,A nivel,7,5
-58.4233809719202,-34.641048789001005,428246,4,La Plata Av.,2200,2297,Ficus,3.2,Ocupada,Regular,A nivel,7,2
-58.4227923945996,-34.6424924682609,436838,4,La Plata Av.,2300,2392,Ficus,3.2,Sobreocupada,Regular,Elevada,6,2
-58.422839060591095,-34.642310739657695,436840,4,La Plata Av.,2300,2384,Tilia,3.2,Ocupada,Regular,A nivel,26,9
-58.4228608300215,-34.642225963955305,436923,4,La Plata Av.,2300,2380,Jacaranda,3.2,Ocupada,Regular,A nivel,27,9
-58.42299424667221,-34.6417064017971,436925,4,La Plata Av.,2300,2346,Tilia,3.2,Ocupada,Regular,A nivel,12,6
-58.4212020795758,-34.6446595764831,512420,4,La Plata Av.,2500,2588,Platanus,5.6,Ocupada,Regular,A Nivel,66,12
-58.42164812301821,-34.6441593065274,512428,4,La Plata Av.,2500,2520,Platanus,5.6,Ocupada,Regular,A Nivel,70,11
-58.42164812301821,-34.6441593065274,512429,4,La Plata Av.,2500,2520,Platanus,5.6,Ocupada,Regular,A Nivel,67,11
-58.42180094920071,-34.6439878991616,512430,4,La Plata Av.,2500,2508,Platanus,5.6,Ocupada,Regular,A Nivel,74,11
-58.42180764420589,-34.643980390127204,512431,4,La Plata Av.,2500,2506,Platanus,5.6,Ocupada,Ochava,A Nivel,82,11
-58.4199293671023,-34.6461571295626,512456,4,La Plata Av.,2600,2698,Platanus,5.6,Ocupada,Ochava,A Nivel,76,17
-58.4199293671023,-34.6461571295626,512457,4,La Plata Av.,2600,2692,Platanus,5.6,Ocupada,Regular,A Nivel,80,17
-58.419987939257496,-34.646086907276604,512459,4,La Plata Av.,2600,2688,Platanus,5.6,Ocupada,Regular,A Nivel,67,17
-58.4200410847327,-34.646023190917504,512460,4,La Plata Av.,2600,2684,Platanus,5.6,Ocupada,Regular,A Nivel,78,17
-58.4202665438338,-34.6457558227947,512466,4,La Plata Av.,2600,2666,Platanus,5.6,Ocupada,Regular,A Nivel,99,20
-58.420429103612605,-34.6455633129215,512468,4,La Plata Av.,2600,2652,Platanus,5.6,Ocupada,Regular,A Nivel,58,15
-58.4204830042762,-34.6454994813367,512469,4,La Plata Av.,2600,2646,Platanus,5.6,Sobreocupada,Regular,A Nivel,57,17
-58.42053723164479,-34.645435262716695,512470,4,La Plata Av.,2600,2642,Platanus,5.6,Ocupada,Regular,A Nivel,61,15
-58.4206452655605,-34.6453073234583,512472,4,La Plata Av.,2600,2632,Platanus,5.6,Ocupada,Regular,A Nivel,100,18
