long,lat,nro_registro,comuna,calle_nombre,calle_altura,calle_chapa,nombre_cientifico,ancho_acera,estado_plantera,ubicacion_plantera,nivel_plantera,diametro_altura_pecho,altura_arbol
-58.4702033797048,-34.648949782021496,275153,9,Lacarra Av.,1500,1578,Ficus,4.4,Ocupada,Regular,A nivel,35,9
-58.4731995136302,-34.6465753861704,306558,9,Lacarra Av.,1300.0,1330,Lagerstroemia,4.4,Ocupada,Regular,A nivel,14,4
-58.47340575058951,-34.6464119888668,306562,9,Lacarra Av.,1300.0,1314,Tilia,4.4,Ocupada,Regular,A nivel,45,10
-58.4782254326573,-34.6426990111755,308809,9,Lacarra Av.,800.0,899,Jacaranda,4,Ocupada,Regular,Bajo nivel,28,8
-58.4728985220181,-34.6469133923533,300526,9,Lacarra Av.,1300.0,1357,Melia,16,Ocupada,Regular,A nivel,34,8
-58.4729952369708,-34.6468367679805,300535,9,Lacarra Av.,1300.0,1307,Tilia,4.4,Ocupada,Regular,A nivel,8,5
-58.4729952369708,-34.6468367679805,300536,9,Lacarra Av.,1300.0,1307,Tilia,4.4,Ocupada,Regular,A nivel,13,5
-58.4729952369708,-34.6468367679805,300537,9,Lacarra Av.,1300.0,1307,Tilia,4.4,Ocupada,Regular,A nivel,7,5
-58.4729952369708,-34.6468367679805,300540,9,Lacarra Av.,1300.0,1307,Tilia,4.4,Ocupada,Regular,A nivel,11,5
-58.4729952369708,-34.6468367679805,300542,9,Lacarra Av.,1300.0,1307,Tilia,4.4,Ocupada,Regular,A nivel,8,4
-58.4729952369708,-34.6468367679805,300544,9,Lacarra Av.,1300.0,1307,Tilia,4.4,Ocupada,Regular,A nivel,15,5
-58.4729952369708,-34.6468367679805,300545,9,Lacarra Av.,1300.0,1307,Tilia,4.4,Ocupada,Regular,A nivel,14,6
-58.4736712693143,-34.6462513924585,300546,9,Lacarra Av.,1200.0,1299,Ficus,4.4,Ocupada,Regular,A nivel,10,2
-58.4736712693143,-34.6462513924585,300551,9,Lacarra Av.,1200.0,1299,Ficus,4.5,Ocupada,Regular,A nivel,5,2
-58.4716761683662,-34.6478845456308,330408,9,Lacarra Av.,1400.0,1475,Jacaranda,9,Sobreocupada,Fuera de línea,A nivel,33,7
-58.47181246215701,-34.6477765687966,330412,9,Lacarra Av.,1400.0,1463,Tilia,9,Sobreocupada,Fuera de línea,A nivel,27,7
-58.47181246215701,-34.6477765687966,330414,9,Lacarra Av.,1400.0,1461,Melia,9,Sobreocupada,Fuera de línea,A nivel,61,9
-58.471880830301295,-34.6477224049315,330416,9,Lacarra Av.,1400.0,1453,Melia,9,Sobreocupada,Fuera de línea,A nivel,54,9
-58.4719259920855,-34.6476866259746,330420,9,Lacarra Av.,1400.0,1449,Jacaranda,9,Sobreocupada,Fuera de línea,A nivel,48,9
-58.4719259920855,-34.6476866259746,330421,9,Lacarra Av.,1400.0,1449,Melia,9,Sobreocupada,Fuera de línea,A nivel,52,6
-58.47194857295979,-34.647668736488,330422,9,Lacarra Av.,1400.0,1447,Melia,9,Ocupada,Fuera de línea,A nivel,19,8
-58.4721122897204,-34.64753903308561,330426,9,Lacarra Av.,1400.0,1445,Melia,9,Ocupada,Fuera de línea,A nivel,51,10
-58.4721122897204,-34.64753903308561,330429,9,Lacarra Av.,1400.0,1443,Ficus,9,Sobreocupada,Fuera de línea,A nivel,17,4
-58.4722485539847,-34.6474310782546,330432,9,Lacarra Av.,1400.0,1437,Melia,9,Sobreocupada,Fuera de línea,A nivel,57,11
-58.4723167815279,-34.6473770250838,330436,9,Lacarra Av.,1400.0,1433,Tilia,9,Ocupada,Fuera de línea,A nivel,33,9
-58.4723167815279,-34.6473770250838,330439,9,Lacarra Av.,1400.0,1433,Jacaranda,9,Ocupada,Fuera de línea,A nivel,24,7
-58.4723852842509,-34.6473227537988,330440,9,Lacarra Av.,1400.0,1431,Melia,9,Sobreocupada,Fuera de línea,A nivel,70,12
-58.4737958208228,-34.6461032845574,319885,9,Lacarra Av.,1200.0,1290,Melia,4.4,Ocupada,Regular,A nivel,50,7
-58.474065539201405,-34.6458899824074,319888,9,Lacarra Av.,1200.0,1264,Platanus,4.4,Ocupada,Regular,A nivel,87,18
-58.47454671907371,-34.645509402485196,319893,9,Lacarra Av.,1200.0,1226,Tilia,4.4,Ocupada,Regular,A nivel,35,7
-58.474613104626506,-34.6454568956984,319894,9,Lacarra Av.,1200.0,1218,Tilia,4.4,Ocupada,Regular,Elevada,28,4
-58.47581872950301,-34.644499517370804,319953,9,Lacarra Av.,1100.0,1110,Tilia,4.4,Ocupada,Ochava,Elevada,28,9
-58.4710251052462,-34.6483966430474,321399,9,Lacarra Av.,1500.0,1515,Ficus,4.4,Ocupada,Regular,A nivel,37,10
-58.4702764753659,-34.6489895162279,321404,9,Lacarra Av.,1500.0,1591,Ficus,4.4,Ocupada,Regular,A nivel,39,5
-58.4715398780765,-34.6479925192682,317097,9,Lacarra Av.,1400.0,1483,Melia,9,Sobreocupada,Fuera de línea,A nivel,59,10
-58.4690847318919,-34.6499112937288,326525,9,Lacarra Av.,1600.0,1625,Melia,9.5,Ocupada,Ochava,A nivel,27,7
-58.4690149779782,-34.6499635687538,326526,9,Lacarra Av.,1600.0,1629,Melia,11.5,Ocupada,Ochava,A nivel,41,5
-58.4690149779782,-34.6499635687538,326527,9,Lacarra Av.,1600.0,1629,Ficus,11.5,Ocupada,Ochava,A nivel,47,7
-58.4690149779782,-34.6499635687538,326528,9,Lacarra Av.,1600.0,1629,Melia,11.5,Ocupada,Ochava,A nivel,7,3
-58.4690149779782,-34.6499635687538,326529,9,Lacarra Av.,1600.0,1629,Melia,10.5,Sobreocupada,Ochava,A nivel,19,4
-58.4690149779782,-34.6499635687538,326530,9,Lacarra Av.,1600.0,1629,Melia,10.5,Sobreocupada,Ochava,A nivel,19,4
-58.47571094714099,-34.6446379645879,424542,9,Lacarra Av.,1100.0,1135,Ficus,4.4,Ocupada,Regular,A nivel,3,2
-58.47571094714099,-34.6446379645879,424547,9,Lacarra Av.,1100.0,1135,Ficus,4.4,Ocupada,Regular,A nivel,11,2
-58.47571094714099,-34.6446379645879,424548,9,Lacarra Av.,1100.0,1135,Tilia,4.4,Ocupada,Regular,A nivel,16,5
-58.47571094714099,-34.6446379645879,424551,9,Lacarra Av.,1100.0,1135,Tilia,4.4,Ocupada,Regular,A nivel,9,3
-58.47571094714099,-34.6446379645879,424553,9,Lacarra Av.,1100.0,1135,Tilia,4.4,Ocupada,Regular,A nivel,12,5
-58.47571094714099,-34.6446379645879,424557,9,Lacarra Av.,1100.0,1135,Tilia,4.4,Ocupada,Regular,A nivel,11,3
-58.4728985220181,-34.6469133923533,424565,9,Lacarra Av.,1300.0,1357,Melia,17,Ocupada,Ochava,A nivel,32,8
-58.4798417078757,-34.6413704273202,436702,9,Lacarra Av.,700.0,715,Jacaranda,3,Ocupada,Regular,A nivel,0,8
-58.474777419468495,-34.6453763245557,436749,9,Lacarra Av.,1200.0,1215,Ficus,3,Ocupada,Regular,A nivel,0,2
-58.4742242921292,-34.6458138121773,436754,9,Lacarra Av.,1200.0,1257,Ficus,3,Ocupada,Regular,A nivel,0,2
-58.4742242921292,-34.6458138121773,436755,9,Lacarra Av.,1200.0,1257,Tilia,3,Ocupada,Regular,A nivel,0,7
-58.4742242921292,-34.6458138121773,436758,9,Lacarra Av.,1200.0,1257,Tilia,3,Ocupada,Fuera de línea,A nivel,0,4
-58.47319924281611,-34.646675139519,436760,9,Lacarra Av.,1300.0,1305,Tilia,3,Ocupada,Regular,A nivel,0,7
-58.47319924281611,-34.646675139519,436763,9,Lacarra Av.,1300.0,1305,Tilia,3,Ocupada,Fuera de línea,A nivel,0,5
-58.47319924281611,-34.646675139519,436765,9,Lacarra Av.,1300.0,1305,Tilia,3,Ocupada,Regular,A nivel,0,5
-58.4729952369708,-34.6468367679805,436771,9,Lacarra Av.,1300.0,1307,Melia,3,Ocupada,Regular,A nivel,0,11
-58.48448244389421,-34.637648192235304,339107,10,Lacarra Av.,200.0,234.0,Ficus,3,Ocupada,Regular,A nivel,29,6
-58.4856145280344,-34.6367503451123,339119,10,Lacarra Av.,100.0,136.0,Melia,3,Ocupada,Regular,A nivel,24,5
-58.4856145280344,-34.6367503451123,339120,10,Lacarra Av.,100.0,136.0,Ficus,3,Ocupada,Regular,A nivel,6,2
-58.4837258577479,-34.6382478905377,339096,10,Lacarra Av.,300.0,322.0,Tilia,3,Ocupada,Regular,A nivel,8,4
-58.4837258577479,-34.6382478905377,339098,10,Lacarra Av.,300.0,316.0,Tilia,3,Ocupada,Regular,A nivel,14,7
-58.48660227625339,-34.6359713126123,356198,10,Lacarra Av.,NA,68.0,Melia,3.2,Sobreocupada,Regular,A nivel,34,7
-58.4871060477696,-34.635575547489,356199,10,Lacarra Av.,NA,30.0,Ficus,3.2,Ocupada,Regular,A nivel,56,7
-58.4871516127371,-34.6355397511604,356200,10,Lacarra Av.,NA,22.0,Ficus,3.2,Ocupada,Regular,A nivel,37,7
-58.48726775178471,-34.6355780634829,356201,10,Lacarra Av.,NA,25.0,Ficus,3.2,Ocupada,Regular,A nivel,48,8
-58.486661622444494,-34.6360542421666,359917,10,Lacarra Av.,NA,79.0,Melia,3.2,Ocupada,Regular,A nivel,42,7
-58.479969,-34.641203,424509,9,Lacarra Av.,700.0,NA,Jacaranda,4.4,Ocupada,Regular,A nivel,29,8
