long,lat,nro_registro,comuna,calle_nombre,calle_altura,calle_chapa,nombre_cientifico,ancho_acera,estado_plantera,ubicacion_plantera,nivel_plantera,diametro_altura_pecho,altura_arbol
-58.445576385985404,-34.5709953718463,118982,13,Lacroze Federico Av.,2400,2467.0,Jacaranda,3.6,Sobreocupada,Regular,A nivel,15,5
-58.44553378199161,-34.5709245978234,118983,13,Lacroze Federico Av.,2400,2461.0,Jacaranda,3.6,Ocupada,Regular,A nivel,15,4
-58.445639014341005,-34.5714734769516,129512,13,Lacroze Federico Av.,2400,2494.0,Lagerstroemia,3.6,Ocupada,Regular,A nivel,3,3
-58.4454750892466,-34.571201517225596,129531,13,Lacroze Federico Av.,2400,2466.0,Ficus,3.6,Ocupada,Regular,A nivel,16,2
-58.44860275886129,-34.5766740272482,132738,13,Lacroze Federico Av.,300,3060.0,Ficus,3.6,Ocupada,Regular,A nivel,89,13
-58.44981263645229,-34.5788325274408,133014,13,Lacroze Federico Av.,3200,3292.0,Ficus,3.2,Ocupada,Regular,Elevada,34,10
-58.449221240780794,-34.577829723084605,133024,13,Lacroze Federico Av.,3100,3182.0,Platanus,3.6,Ocupada,Regular,A nivel,31,10
-58.4483757014315,-34.5758335457324,146850,13,Lacroze Federico Av.,2900,2985.0,Jacaranda,3.6,Ocupada,Regular,A nivel,57,10
-58.448813380326605,-34.5766589903582,146938,13,Lacroze Federico Av.,3000,3075.0,Jacaranda,3.2,Ocupada,Regular,Elevada,63,17
-58.448771459187896,-34.5765807251366,146939,13,Lacroze Federico Av.,3000,3061.0,Jacaranda,3.2,Ocupada,Regular,A nivel,53,14
-58.4452824056038,-34.5708811654141,245409,13,Lacroze Federico Av.,2400,2448.0,Jacaranda,3.6,Ocupada,Regular,A nivel,28,9
-58.4449608190512,-34.5702479466107,245448,13,Lacroze Federico Av.,2400,2408.0,Platanus,3.6,Ocupada,Regular,A nivel,5,4
-58.449600786518495,-34.5781051419725,257714,13,Lacroze Federico Av.,3200,3213.0,Ficus,3.6,Sobreocupada,Regular,A nivel,38,7
-58.449600786518495,-34.5781051419725,257725,13,Lacroze Federico Av.,3200,3217.0,Ficus,3.6,Sobreocupada,Regular,A nivel,34,8
-58.4501552670847,-34.5790222956052,259225,13,Lacroze Federico Av.,3300,3307.0,Jacaranda,3.6,Ocupada,Ochava,A nivel,62,19
-58.450542447419394,-34.5796609338716,259247,13,Lacroze Federico Av.,3300,3383.0,Jacaranda,3.6,Ocupada,Regular,A nivel,63,17
-58.4506527403677,-34.5802022813632,544351,13,Lacroze Federico Av.,3400.0,3460,Tilia,3.6,Ocupada,Regular,Elevada,25,10
-58.45013816032989,-34.579370156437,544376,13,Lacroze Federico Av.,3300.0,3344,Ficus,3.6,Ocupada,Regular,Elevada,41,9
-58.44469103825129,-34.569646483944396,73742,14,Lacroze Federico Av.,2300.0,2393,Ficus,5.8,Ocupada,Regular,A nivel,30,4
-58.44469103825129,-34.569646483944396,73746,14,Lacroze Federico Av.,2300.0,2395,Ficus,5.8,Ocupada,Regular,A nivel,19,4
