long,lat,nro_registro,comuna,calle_nombre,calle_altura,calle_chapa,nombre_cientifico,ancho_acera,estado_plantera,ubicacion_plantera,nivel_plantera,diametro_altura_pecho,altura_arbol
-58.482838380467605,-34.5568939349999,119307,12,Larralde Crisólogo Av.,4000.0,4033.0,Ficus,3.2,Ocupada,Regular,Bajo nivel,55,12
-58.4819815388587,-34.5564845902401,126721,12,Larralde Crisólogo Av.,3900.0,3939.0,Ficus,3.2,Ocupada,Regular,A nivel,83,9
-58.4819815388587,-34.5564845902401,126734,12,Larralde Crisólogo Av.,3900.0,3939.0,Ficus,3.2,Ocupada,Regular,A nivel,67,14
-58.480083162687905,-34.555488104763,128552,12,Larralde Crisólogo Av.,3700.0,3733.0,Ficus,3.2,Ocupada,Regular,A nivel,31,11
-58.4931250605011,-34.5619274225723,127817,12,Larralde Crisólogo Av.,5100.0,5124.0,Ficus,3.3,Ocupada,Regular,A nivel,13,4
-58.49399402762299,-34.562342687695306,127836,12,Larralde Crisólogo Av.,5100.0,5186.0,Lagerstroemia,3.3,Ocupada,Regular,Elevada,3,3
-58.4801011942019,-34.5554980884259,128539,12,Larralde Crisólogo Av.,3600.0,3735.0,Ficus,3.2,Ocupada,Regular,A nivel,38,12
-58.4994119958459,-34.564956848129604,127939,12,Larralde Crisólogo Av.,5600.0,5630.0,Jacaranda,2.8,Ocupada,Regular,A nivel,47,10
-58.488752452008,-34.5597258469925,129008,12,Larralde Crisólogo Av.,4600.0,4679.0,Tilia,3.3,Ocupada,Regular,Elevada,28,7
-58.4885066194353,-34.5596082838152,129012,12,Larralde Crisólogo Av.,4600.0,4643.0,Platanus,3.3,Ocupada,Regular,A nivel,58,12
-58.4884251622918,-34.5595693288167,129013,12,Larralde Crisólogo Av.,4600.0,4619.0,Ficus,3.3,Ocupada,Regular,A nivel,36,7
-58.490705837599,-34.5607744441285,129108,12,Larralde Crisólogo Av.,4800.0,4888.0,Platanus,3.2,Ocupada,Regular,Bajo nivel,41,4
-58.490276369075296,-34.560569256011895,129187,12,Larralde Crisólogo Av.,4800.0,4820.0,Ficus,3.2,Ocupada,Regular,Bajo nivel,31,7
-58.4906014512629,-34.560724558227,129190,12,Larralde Crisólogo Av.,4800.0,4876.0,Ficus,3.2,Ocupada,Regular,A nivel,57,4
-58.49052020844271,-34.5606857324465,129193,12,Larralde Crisólogo Av.,4800.0,4850.0,Lagerstroemia,3.2,Ocupada,Regular,A nivel,3,5
-58.4895616116048,-34.560112810883396,128950,12,Larralde Crisólogo Av.,4700.0,4741.0,Tilia,3.3,Ocupada,Regular,Bajo nivel,31,8
-58.489480614605704,-34.560074079059,128951,12,Larralde Crisólogo Av.,4700.0,4733.0,Tilia,3.3,Ocupada,Regular,A nivel,34,9
-58.4893177424762,-34.5599961952474,128952,12,Larralde Crisólogo Av.,4700.0,4709.0,Lagerstroemia,3.3,Ocupada,Regular,A nivel,8,3
-58.4761796205588,-34.5534464374809,129850,12,Larralde Crisólogo Av.,3300.0,3320.0,Tilia,3,Ocupada,Regular,Elevada,3,4
-58.486889699711895,-34.5588344934996,132264,12,Larralde Crisólogo Av.,4400.0,4475.0,Ficus,3.3,Sobreocupada,Regular,Elevada,32,7
-58.48989525851261,-34.5603875023261,133865,12,Larralde Crisólogo Av.,4700.0,4800.0,Lagerstroemia,3.4,Ocupada,Regular,Bajo nivel,8,4
-58.476551564342095,-34.553532706604,132810,12,Larralde Crisólogo Av.,3300.0,3369.0,Tilia,3.2,Ocupada,Regular,Elevada,38,13
-58.4904971399615,-34.5605606509705,132593,12,Larralde Crisólogo Av.,4800.0,4841.0,Platanus,3.2,Ocupada,Regular,Bajo nivel,61,23
-58.4904971399615,-34.5605606509705,132594,12,Larralde Crisólogo Av.,4800.0,4841.0,Platanus,3.2,Ocupada,Regular,Bajo nivel,85,23
