long,lat,nro_registro,comuna,calle_nombre,calle_altura,calle_chapa,nombre_cientifico,ancho_acera,estado_plantera,ubicacion_plantera,nivel_plantera,diametro_altura_pecho,altura_arbol
-58.4882920523529,-34.6638046895442,382320,8,Larrazábal Av.,2600.0,2650,Tilia,4.4,Ocupada,Regular,Elevada,40,8
-58.488154467703104,-34.663911724485196,382321,8,Larrazábal Av.,2600.0,2662,Melia,4.4,Ocupada,Regular,A nivel,48,6
-58.48801628595471,-34.6640192235079,382322,8,Larrazábal Av.,2600.0,2672,Ficus,4.4,Ocupada,Regular,Elevada,11,2
-58.48752127790689,-34.6644034826382,382366,8,Larrazábal Av.,2700.0,2712,Melia,4.4,Ocupada,Regular,A nivel,59,10
-58.4849992951941,-34.666372846395696,384394,8,Larrazábal Av.,2900.0,2912,Tilia,4.4,Ocupada,Regular,A nivel,48,12
-58.4848620744121,-34.6664805124764,384395,8,Larrazábal Av.,2900.0,2930,Tilia,4.4,Ocupada,Regular,A nivel,38,11
-58.4848620744121,-34.6664805124764,384396,8,Larrazábal Av.,2900.0,2930,Tilia,4.4,Ocupada,Regular,Bajo nivel,45,11
-58.48462151577379,-34.6666692583753,384397,8,Larrazábal Av.,2900.0,2948,Lagerstroemia,4.4,Ocupada,Regular,A nivel,22,7
-58.48462151577379,-34.6666692583753,384398,8,Larrazábal Av.,2900.0,2948,Lagerstroemia,4.4,Ocupada,Regular,A nivel,21,6
-58.4801302243752,-34.6701866454845,377437,8,Larrazábal Av.,3300.0,3328,Lagerstroemia,4.4,Ocupada,Regular,Elevada,15,3
-58.482698953177206,-34.668178079623104,378555,8,Larrazábal Av.,3000.0,3090,Ficus,4.4,Ocupada,Regular,A nivel,43,6
-58.4835322945901,-34.6675243463622,378564,8,Larrazábal Av.,3000.0,3032,Lagerstroemia,4.4,Ocupada,Regular,Elevada,24,4
-58.4838459474526,-34.667278249167296,378569,8,Larrazábal Av.,3000.0,3012,Platanus,4.4,Ocupada,Regular,Elevada,62,12
-58.4838459474526,-34.667278249167296,378570,8,Larrazábal Av.,3000.0,3010,Platanus,4.4,Ocupada,Regular,Elevada,69,9
