long,lat,nro_registro,comuna,calle_nombre,calle_altura,calle_chapa,nombre_cientifico,ancho_acera,estado_plantera,ubicacion_plantera,nivel_plantera,diametro_altura_pecho,altura_arbol
-58.395632628280296,-34.5886235397149,6847,2,Las Heras Gral. Av.,2100.0,2191.0,Tilia,3.6,Ocupada,Regular,Elevada,19,7
-58.398959821468,-34.5860181510947,7183,2,Las Heras Gral. Av.,2400.0,2478.0,Platanus,3.5,Ocupada,Regular,A nivel,110,17
-58.398959821468,-34.5860181510947,7184,2,Las Heras Gral. Av.,2400.0,2476.0,Platanus,3.5,Ocupada,Regular,Bajo nivel,90,17
-58.3986682394584,-34.5862810630421,7187,2,Las Heras Gral. Av.,2400.0,2450.0,Platanus,3.5,Ocupada,Regular,A nivel,42,12
-58.3986682394584,-34.5862810630421,7190,2,Las Heras Gral. Av.,2400.0,2440.0,Ficus,3.5,Ocupada,Regular,Elevada,33,7
-58.3985359873895,-34.5864003105251,7192,2,Las Heras Gral. Av.,2400.0,2416.0,Platanus,3.5,Ocupada,Regular,A nivel,120,14
-58.3984436647669,-34.586483554606,7196,2,Las Heras Gral. Av.,2400.0,2406.0,Platanus,3.5,Ocupada,Ochava,A nivel,100,13
-58.395096070065,-34.5890552071478,6822,2,Las Heras Gral. Av.,2100.0,2129.0,Platanus,3.6,Sobreocupada,Regular,Elevada,68,24
-58.3953036531571,-34.588888204910695,6836,2,Las Heras Gral. Av.,2100.0,2147.0,Jacaranda,3.6,Ocupada,Regular,Elevada,4,3
-58.3953790387691,-34.5888275563392,6840,2,Las Heras Gral. Av.,2100.0,2153.0,Platanus,3.6,Ocupada,NA,A nivel,60,22
-58.3953790387691,-34.5888275563392,6842,2,Las Heras Gral. Av.,2100.0,2153.0,Platanus,3.6,Ocupada,Regular,A nivel,52,23
-58.398230749193296,-34.5866826505503,7963,2,Las Heras Gral. Av.,2300.0,2396.0,Platanus,3.5,Ocupada,Ochava,Elevada,50,20
-58.3981574841471,-34.5867486860426,7965,2,Las Heras Gral. Av.,2300.0,2390.0,Platanus,3.5,Sobreocupada,Regular,Elevada,100,18
-58.397935479552,-34.586948783019096,7968,2,Las Heras Gral. Av.,2300.0,2362.0,Platanus,3.5,Ocupada,Regular,A nivel,100,20
-58.3978504974644,-34.587025378642394,7970,2,Las Heras Gral. Av.,2300.0,2352.0,Platanus,3.5,Ocupada,Regular,Elevada,110,20
-58.393809606298504,-34.59009111354,17903,2,Las Heras Gral. Av.,1900.0,1997.0,Platanus,3.9,Ocupada,Regular,A nivel,75,17
-58.393741388969005,-34.5901460381953,17904,2,Las Heras Gral. Av.,1900.0,1989.0,Platanus,3.9,Ocupada,Regular,Elevada,61,16
-58.3936775350922,-34.5901974495392,17905,2,Las Heras Gral. Av.,1900.0,1987.0,Platanus,3.9,Ocupada,Regular,A nivel,47,15
-58.3936161028893,-34.5902487717422,17906,2,Las Heras Gral. Av.,1900.0,1983.0,Platanus,3.9,Ocupada,Regular,A nivel,45,14
-58.393551358181,-34.5903017794413,17907,2,Las Heras Gral. Av.,1900.0,1977.0,Platanus,3.9,Ocupada,Regular,Elevada,38,12
-58.3934495216486,-34.5903851547031,17908,2,Las Heras Gral. Av.,1900.0,1967.0,Platanus,3.9,Ocupada,Regular,A nivel,44,18
-58.3934495216486,-34.5903851547031,17910,2,Las Heras Gral. Av.,1900.0,1965.0,Platanus,3.9,Ocupada,Regular,A nivel,54,18
-58.393348668711994,-34.5904677244293,17915,2,Las Heras Gral. Av.,1900.0,1955.0,Platanus,3.9,Ocupada,Regular,Elevada,48,18
-58.393348668711994,-34.5904677244293,17919,2,Las Heras Gral. Av.,1900.0,1951.0,Platanus,3.9,Ocupada,Regular,Elevada,52,18
-58.3932810513542,-34.5905230835794,17924,2,Las Heras Gral. Av.,1900.0,1947.0,Platanus,3.9,Ocupada,Regular,A nivel,55,18
-58.3997168145669,-34.5853407787779,18191,2,Las Heras Gral. Av.,2500.0,2564.0,Platanus,6.64,Ocupada,Regular,A nivel,70,17
-58.39334231407229,-34.59070220298,17939,2,Las Heras Gral. Av.,1900.0,1938.0,Platanus,3.9,Ocupada,Regular,Elevada,52,18
-58.3995354689532,-34.5855044151036,18195,2,Las Heras Gral. Av.,2500.0,2560.0,Platanus,3.64,Ocupada,Regular,Bajo nivel,41,17
-58.3995354689532,-34.5855044151036,18198,2,Las Heras Gral. Av.,2500.0,2560.0,Platanus,3.64,Ocupada,Regular,Bajo nivel,46,19
-58.4002831895555,-34.5848324091161,18199,2,Las Heras Gral. Av.,2600.0,2620.0,Platanus,3.64,Ocupada,Regular,Bajo nivel,53,15
-58.4021575977114,-34.583547250446,18466,2,Las Heras Gral. Av.,2600.0,2900.0,Platanus,3.6,Ocupada,Regular,A nivel,84,28
-58.4021575977114,-34.583547250446,18467,2,Las Heras Gral. Av.,2600.0,2900.0,Platanus,3.6,Ocupada,Regular,A nivel,89,30
-58.4021575977114,-34.583547250446,18938,2,Las Heras Gral. Av.,2600.0,2900.0,Platanus,3.6,Ocupada,Regular,A nivel,87,16
-58.39044001806021,-34.5928502682976,19450,2,Las Heras Gral. Av.,1600.0,1649.0,Jacaranda,2.5,Ocupada,Regular,Elevada,4,4
-58.4021575977114,-34.583547250446,18942,2,Las Heras Gral. Av.,2600.0,2900.0,Platanus,3.6,Ocupada,Regular,A nivel,70,21
-58.39044001806021,-34.5928502682976,19455,2,Las Heras Gral. Av.,1600.0,1649.0,Ficus,2.5,Sobreocupada,Regular,Elevada,8,7
