long,lat,nro_registro,comuna,calle_nombre,calle_altura,calle_chapa,nombre_cientifico,ancho_acera,estado_plantera,ubicacion_plantera,nivel_plantera,diametro_altura_pecho,altura_arbol
-58.5186057850144,-34.6094881506356,193655,11,Lastra Av.,3500,3531.0,Platanus,6,Ocupada,Regular,A nivel,51,15
-58.51852320219561,-34.6095488592538,193714,11,Lastra Av.,3500,3521.0,Platanus,6,Ocupada,Regular,A nivel,64,15
-58.5186973617443,-34.6095890266144,206530,11,Lastra Av.,3500,3538.0,Platanus,6,Ocupada,Regular,A nivel,78,13
-58.518308023918294,-34.6097107642729,193747,11,Lastra Av.,3500,3515.0,Platanus,6,Ocupada,Regular,A nivel,45,14
-58.5186973617443,-34.6095890266144,206544,11,Lastra Av.,3500,3538.0,Platanus,6,Ocupada,Regular,A nivel,47,15
-58.518908938897894,-34.6094334904017,206599,11,Lastra Av.,3500,3574.0,Platanus,6,Ocupada,Regular,A nivel,78,18
-58.5189799657745,-34.609381276367,206600,11,Lastra Av.,3500,3582.0,Lagerstroemia,6,Sobreocupada,Regular,A nivel,21,6
-58.519061437074605,-34.609321384189,206625,11,Lastra Av.,3500,3598.0,Platanus,6,Ocupada,Ochava,A nivel,49,16
-58.518720549669105,-34.6094037841367,193568,11,Lastra Av.,3500,3547.0,Platanus,6,Ocupada,Regular,A nivel,70,16
-58.5203059668335,-34.6082454418626,193535,11,Lastra Av.,3500,3745.0,Platanus,6,Ocupada,Regular,A nivel,64,14
-58.522058550540294,-34.6069629282566,213219,11,Lastra Av.,3900,3951.0,Platanus,6,Ocupada,Regular,A nivel,57,18
-58.5217809919789,-34.6071658729471,213502,11,Lastra Av.,3900,3939.0,Platanus,6,Ocupada,Regular,A nivel,76,16
-58.522687163865,-34.6066712071978,212158,11,Lastra Av.,4000,4010.0,Ficus,5.8,Ocupada,Fuera de línea,Elevada,36,4
-58.52232152906671,-34.6069363093719,213270,11,Lastra Av.,3900,3994.0,Platanus,8.4,Ocupada,Regular,A nivel,78,22
-58.520982008322704,-34.607750997793396,209130,11,Lastra Av.,3800,3817.0,Platanus,6,Ocupada,Regular,Elevada,57,14
-58.5230422719347,-34.6064115352006,211914,11,Lastra Av.,4000,4074.0,Platanus,5.8,Ocupada,Regular,A nivel,81,18
-58.522228736791895,-34.606838491036704,213015,11,Lastra Av.,3900,3993.0,Tilia,6,Sobreocupada,Ochava,A nivel,38,6
-58.52232152906671,-34.6069363093719,213323,11,Lastra Av.,3900,3994.0,Tilia,8.4,Ocupada,Regular,A nivel,13,5
-58.522970616078304,-34.606463933601106,211959,11,Lastra Av.,4000,4044.0,Platanus,5.8,Sobreocupada,Regular,A nivel,65,17
-58.522228736791895,-34.606838491036704,213059,11,Lastra Av.,3900,3993.0,Platanus,6,Sobreocupada,Ochava,A nivel,76,14
-58.52193735771811,-34.6070515419698,213338,11,Lastra Av.,3900,3947.0,Platanus,6,Ocupada,Regular,A nivel,57,20
-58.52225188514421,-34.6069872318929,213348,11,Lastra Av.,3900,3968.0,Platanus,8.4,Ocupada,Regular,A nivel,96,20
-58.5208819014696,-34.607824189011005,209208,11,Lastra Av.,3800,3811.0,Platanus,6,Ocupada,Regular,Elevada,76,14
-58.5229004797259,-34.606515220750296,212011,11,Lastra Av.,4000,4034.0,Platanus,5.8,Ocupada,Regular,A nivel,86,17
-58.52216018582929,-34.6068886143765,213121,11,Lastra Av.,3900,3985.0,Platanus,6,Ocupada,Regular,A nivel,64,10
-58.522216562659104,-34.607013059101895,213394,11,Lastra Av.,3900,3964.0,Platanus,8.4,Ocupada,Regular,A nivel,80,20
-58.521856430140105,-34.6071107143918,213404,11,Lastra Av.,3900,3945.0,Ficus,6,Ocupada,Regular,A nivel,48,5
-58.522058550540294,-34.6069629282566,213163,11,Lastra Av.,3900,3951.0,Platanus,6,Ocupada,Regular,A nivel,76,18
-58.5220397870824,-34.6071423140078,213440,11,Lastra Av.,3900,3940.0,Platanus,8.4,Ocupada,Regular,A nivel,91,20
-58.521856430140105,-34.6071107143918,213456,11,Lastra Av.,3900,3941.0,Platanus,6,Ocupada,Regular,A nivel,57,14
-58.52312563289411,-34.6063503938167,211814,11,Lastra Av.,4000,4084.0,Platanus,5.8,Ocupada,Regular,A nivel,75,17
-58.522687163865,-34.6066712071978,212102,11,Lastra Av.,4000,4010.0,Platanus,5.8,Ocupada,Regular,A nivel,68,19
-58.5197292605197,-34.6086648502703,203418,11,Lastra Av.,3600,3685.0,Platanus,6,Ocupada,Regular,A nivel,92,16
-58.52067823528379,-34.6081366544951,202882,11,Lastra Av.,3700,3788.0,Platanus,6,Ocupada,Regular,A nivel,0,19
-58.5200698774502,-34.6084180411001,205355,11,Lastra Av.,3700,3701.0,Platanus,6,Ocupada,Regular,A nivel,83,22
-58.521341723899496,-34.6074879968565,208801,11,Lastra Av.,3800,3865.0,Platanus,6,Ocupada,Regular,A nivel,64,14
-58.520531844911005,-34.6080803067497,204828,11,Lastra Av.,3700,3785.0,Ficus,6,Ocupada,Ochava,A nivel,99,12
-58.52106876018951,-34.6076875706465,209082,11,Lastra Av.,3800,3829.0,Platanus,6,Ocupada,Regular,A nivel,76,13
-58.52067823528379,-34.6081366544951,202903,11,Lastra Av.,3700,3788.0,Platanus,6,Ocupada,Regular,A nivel,1,16
