long,lat,nro_registro,comuna,calle_nombre,calle_altura,calle_chapa,nombre_cientifico,ancho_acera,estado_plantera,ubicacion_plantera,nivel_plantera,diametro_altura_pecho,altura_arbol
-58.52097522077639,-34.5983699088067,229811,11,Lincoln Av.,4700,4646.0,Jacaranda,4.4,Ocupada,Regular,A nivel,1,3
-58.52089708238171,-34.59837926509061,229855,11,Lincoln Av.,4700,4644.0,Melia,4.4,Ocupada,Regular,A nivel,72,14
-58.5210553427927,-34.5982842233441,230430,11,Lincoln Av.,4650,4671.0,Lagerstroemia,4.4,Ocupada,Regular,A nivel,25,8
-58.5214024279752,-34.598318754690496,229596,11,Lincoln Av.,4700,4690.0,Jacaranda,4.4,Sobreocupada,Ochava,Elevada,14,3
-58.5213110936938,-34.598329691452605,229622,11,Lincoln Av.,4700,4682.0,Lagerstroemia,4.4,Sobreocupada,Regular,Elevada,13,4
-58.5210553427927,-34.5982842233441,230457,11,Lincoln Av.,4650,4671.0,Lagerstroemia,4.4,Ocupada,Regular,A nivel,14,6
-58.521217894555505,-34.5983408511833,229644,11,Lincoln Av.,4700,4676.0,Lagerstroemia,4.4,Ocupada,Regular,Elevada,13,4
-58.5210677250852,-34.5983588323823,229785,11,Lincoln Av.,4700,4652.0,Jacaranda,4.4,Ocupada,Regular,A nivel,5,4
-58.52090197385379,-34.598302587369,230345,11,Lincoln Av.,3650,4657.0,Tilia,4.4,Ocupada,Regular,A nivel,32,12
-58.5201791005572,-34.5983880115418,246335,11,Lincoln Av.,4600,4629.0,Tilia,4.4,Ocupada,Regular,Elevada,28,10
-58.5173257880456,-34.5988073319233,233473,11,Lincoln Av.,4500,4420.0,Ficus,4.4,Sobreocupada,Regular,Elevada,22,7
-58.518943443659495,-34.5986111284287,253339,11,Lincoln Av.,4600,4536.0,Lagerstroemia,4.4,Ocupada,Regular,A nivel,7,5
-58.5173257880456,-34.5988073319233,233482,11,Lincoln Av.,4500,4418.0,Ficus,4.4,Sobreocupada,Regular,Elevada,32,8
-58.5158492455686,-34.5989080109726,253159,11,Lincoln Av.,4300,4305.0,Platanus,4.8,Ocupada,Regular,A nivel,46,10
-58.5158492455686,-34.5989080109726,253180,11,Lincoln Av.,4300,4305.0,Platanus,4.8,Ocupada,Regular,A nivel,36,11
-58.5196207487515,-34.598530060949805,253181,11,Lincoln Av.,4600,4594.0,Ficus,4.4,Ocupada,Regular,A nivel,5,2
-58.5177330230368,-34.598681139405606,233610,11,Lincoln Av.,4400,4481.0,Ficus,4.4,Ocupada,Regular,Bajo nivel,0,5
-58.5177330230368,-34.598681139405606,233623,11,Lincoln Av.,4400,4481.0,Jacaranda,4.4,Sobreocupada,Regular,A nivel,33,9
-58.5158492455686,-34.5989080109726,253216,11,Lincoln Av.,4300,4305.0,Platanus,4.8,Ocupada,Regular,A nivel,54,12
-58.519505713974,-34.598543829814,253219,11,Lincoln Av.,4600,4586.0,Lagerstroemia,4.4,Ocupada,Regular,A nivel,11,7
-58.517632398554106,-34.5987706455956,233380,11,Lincoln Av.,4500,4450.0,Ficus,4.4,Sobreocupada,Regular,A nivel,28,9
-58.519411798901395,-34.5985550708812,253246,11,Lincoln Av.,4600,4580.0,Tilia,4.4,Sobreocupada,Regular,A nivel,39,11
-58.517755227115295,-34.5987559486135,233414,11,Lincoln Av.,4500,4446.0,Tilia,4.4,Sobreocupada,Regular,Elevada,45,7
-58.5176442999313,-34.598769221564304,233426,11,Lincoln Av.,4500,4440.0,Ficus,4.4,Ocupada,Regular,A nivel,51,12
-58.5174865564954,-34.5987880957899,233442,11,Lincoln Av.,4500,4432.0,Ficus,4.4,Ocupada,Regular,Elevada,22,9
-58.5158830968704,-34.598980481889,235720,11,Lincoln Av.,4300,4334.0,Ficus,4.4,Sobreocupada,Ochava,A nivel,53,5
-58.5166360052135,-34.598891282105605,235516,11,Lincoln Av.,4300,4390.0,Platanus,4.4,Ocupada,Ochava,A nivel,55,15
-58.5166360052135,-34.598891282105605,235544,11,Lincoln Av.,4300,4390.0,Platanus,4.4,Ocupada,Regular,Elevada,68,18
-58.516540573569706,-34.5989027142264,235575,11,Lincoln Av.,4300,4386.0,Platanus,4.4,Ocupada,Regular,A nivel,78,18
-58.51644629857161,-34.598914007635,235606,11,Lincoln Av.,4300,4380.0,Lagerstroemia,4.4,Ocupada,Regular,A nivel,21,7
-58.5158830968704,-34.598980481889,235663,11,Lincoln Av.,4300,4334.0,Platanus,4.4,Sobreocupada,Regular,A nivel,57,17
-58.5186187310981,-34.5985777721781,256752,11,Lincoln Av.,4500,4513.0,Ficus,4.4,Ocupada,Ochava,A nivel,21,7
-58.519124902705,-34.5985171892784,256894,11,Lincoln Av.,4500,4563.0,Lagerstroemia,4.4,Sobreocupada,Regular,A nivel,19,6
-58.510272287033104,-34.5996570709212,267037,11,Lincoln Av.,3900,3990.0,Platanus,4.2,Ocupada,Regular,A nivel,65,10
-58.510132427722795,-34.599673942452604,267038,11,Lincoln Av.,3900,3970.0,Platanus,4.2,Ocupada,Regular,Elevada,45,10
-58.510132427722795,-34.599673942452604,267040,11,Lincoln Av.,3900,3964.0,Jacaranda,4.2,Sobreocupada,Regular,Elevada,19,7
-58.5089554931384,-34.5998151731774,267060,11,Lincoln Av.,3800,3890.0,Tilia,4.2,Ocupada,Ochava,A nivel,25,7
-58.5099123799409,-34.5996241920126,266808,11,Lincoln Av.,3900,3943.0,Jacaranda,4.4,Ocupada,Regular,Bajo nivel,5,3
-58.509539383891294,-34.599669185756696,266810,11,Lincoln Av.,3900,3929.0,Ficus,4.4,Ocupada,Regular,Elevada,27,3
-58.5087359266355,-34.599841444887,267066,11,Lincoln Av.,3800,3862.0,Platanus,4.2,Ocupada,Regular,A nivel,86,17
-58.509539383891294,-34.599669185756696,266811,11,Lincoln Av.,3900,3929.0,Ficus,4.4,Ocupada,Regular,Elevada,25,3
-58.50352845895001,-34.6004672444407,294779,11,Lincoln Av.,3500,3510.0,Tilia,6,Ocupada,Ochava,A nivel,22,12
-58.508974911375,-34.5997373781396,281355,11,Lincoln Av.,3800,3865.0,Platanus,4.4,Ocupada,Regular,Bajo nivel,41,10
-58.508974911375,-34.5997373781396,281356,11,Lincoln Av.,3800,3865.0,Platanus,4.4,Ocupada,Ochava,A nivel,55,12
-58.5144612890077,-34.599151503818895,287444,11,Lincoln Av.,4200,4228.0,Jacaranda,4.4,Ocupada,Regular,A nivel,4,5
-58.5145743815211,-34.5991378790792,287445,11,Lincoln Av.,4200,4234.0,Jacaranda,4.4,Ocupada,Regular,A nivel,73,10
-58.5149318289327,-34.5990948149631,287446,11,Lincoln Av.,4200,4264.0,Jacaranda,4.4,Ocupada,Regular,A nivel,58,10
