long,lat,nro_registro,comuna,calle_nombre,calle_altura,calle_chapa,nombre_cientifico,ancho_acera,estado_plantera,ubicacion_plantera,nivel_plantera,diametro_altura_pecho,altura_arbol
-58.52679206344211,-34.612797858338105,265575,10,Lope de Vega Av.,3000.0,3332,Lagerstroemia,2.8,Ocupada,Regular,A nivel,2,2
-58.52682523297871,-34.6127735809065,265576,10,Lope de Vega Av.,3300.0,3336,Lagerstroemia,2.8,Ocupada,Regular,A nivel,3,2
-58.5254060595905,-34.6138742069823,265595,10,Lope de Vega Av.,3100.0,3126,Lagerstroemia,2.8,Ocupada,Regular,A nivel,3,3
-58.5255450490676,-34.61377858843,265596,10,Lope de Vega Av.,3100.0,3142,Lagerstroemia,2.8,Ocupada,Regular,A nivel,3,2
-58.5255870243988,-34.6137497111939,265597,10,Lope de Vega Av.,3100.0,3150,Lagerstroemia,2.8,Ocupada,Regular,A nivel,3,2
-58.5256700245392,-34.6136973739354,265598,10,Lope de Vega Av.,3100.0,3186,Lagerstroemia,2.8,Ocupada,Regular,A nivel,3,3
-58.5256700245392,-34.6136973739354,265599,10,Lope de Vega Av.,3100.0,3190,Lagerstroemia,2.8,Ocupada,Regular,A nivel,3,2
-58.5258337781008,-34.6135664562321,265601,10,Lope de Vega Av.,3200.0,3212,Lagerstroemia,2.8,Ocupada,Regular,A nivel,3,2
-58.52599134496979,-34.6134509968185,265603,10,Lope de Vega Av.,3200.0,3238,Lagerstroemia,2.8,Ocupada,Regular,A nivel,3,2
-58.5260721341702,-34.613391854282305,265604,10,Lope de Vega Av.,3200.0,3248,Lagerstroemia,2.8,Ocupada,Regular,A nivel,3,2
-58.5260721341702,-34.613391854282305,265605,10,Lope de Vega Av.,3200.0,3250,Lagerstroemia,2.8,Ocupada,Regular,A nivel,3,2
-58.526153341843994,-34.613332405246,265606,10,Lope de Vega Av.,3200.0,3256,Lagerstroemia,2.8,Ocupada,Regular,A nivel,4,3
-58.52623531606,-34.6132723949246,265607,10,Lope de Vega Av.,3200.0,3270,Lagerstroemia,2.8,Ocupada,Regular,A nivel,3,2
-58.52623531606,-34.6132723949246,265608,10,Lope de Vega Av.,3200.0,3274,Lagerstroemia,2.8,Ocupada,Regular,Bajo nivel,2,2
-58.52628994790361,-34.6132324008644,265609,10,Lope de Vega Av.,3200.0,3282,Lagerstroemia,2.8,Ocupada,Regular,A nivel,2,2
-58.52631726380421,-34.6132124038251,265610,10,Lope de Vega Av.,3200.0,3286,Lagerstroemia,2.8,Ocupada,Regular,Bajo nivel,2,2
-58.5263990115547,-34.6131525590062,265611,10,Lope de Vega Av.,3200.0,3292,Lagerstroemia,2.8,Ocupada,Regular,A nivel,2,3
-58.527159438481206,-34.6126000423071,265546,10,Lope de Vega Av.,3300.0,3378,Lagerstroemia,2.8,Ocupada,Regular,A nivel,3,4
-58.5272299688354,-34.612548421704105,265547,10,Lope de Vega Av.,3300.0,3386,Lagerstroemia,2.8,Ocupada,Regular,A nivel,3,4
-58.52687498724789,-34.6127371647376,265548,10,Lope de Vega Av.,3300.0,3342,Lagerstroemia,2.8,Ocupada,Regular,A nivel,2,2
-58.52836374611779,-34.6117159105194,276680,10,Lope de Vega Av.,3500.0,3510,Lagerstroemia,2.8,Ocupada,Regular,A nivel,3,4
-58.52836374611779,-34.6117159105194,276681,10,Lope de Vega Av.,3500.0,3510,Lagerstroemia,2.8,Ocupada,Regular,A nivel,2,3
-58.5280517396194,-34.611949301265895,276703,10,Lope de Vega Av.,3400.0,3488,Lagerstroemia,3.2,Ocupada,Regular,A nivel,3,2
-58.527733538259106,-34.6121777358623,276722,10,Lope de Vega Av.,3400.0,3440,Lagerstroemia,3.2,Ocupada,Regular,A nivel,3,3
-58.527647527108606,-34.6122407039571,276723,10,Lope de Vega Av.,3400.0,3430,Lagerstroemia,2.8,Ocupada,Regular,A nivel,3,2
-58.5275845651772,-34.612286797794106,276724,10,Lope de Vega Av.,3400.0,3414,Lagerstroemia,2.8,Ocupada,Regular,A nivel,4,2
-58.527512896969,-34.6123392653191,276725,10,Lope de Vega Av.,3400.0,3406,Lagerstroemia,2.8,Ocupada,Regular,A nivel,3,3
-58.5192656567758,-34.618526883150395,291881,10,Lope de Vega Av.,2400.0,2490,Ficus,4,Ocupada,Regular,A nivel,57,7
-58.523480715961504,-34.615296312769296,292451,10,Lope de Vega Av.,2900.0,2924,Lagerstroemia,2.4,Ocupada,Regular,A nivel,3,3
-58.523480715961504,-34.615296312769296,292452,10,Lope de Vega Av.,2900.0,2924,Lagerstroemia,2.4,Ocupada,Regular,A nivel,3,3
-58.523305666649,-34.6154341616715,292453,10,Lope de Vega Av.,2900.0,2908,Lagerstroemia,2.4,Ocupada,Regular,A nivel,3,3
-58.522118302290295,-34.6163396452625,292478,10,Lope de Vega Av.,2800.0,2806,Lagerstroemia,2.4,Sobreocupada,Regular,A nivel,3,3
-58.5221943195874,-34.6162820689652,292479,10,Lope de Vega Av.,2800.0,2812,Lagerstroemia,2.4,Sobreocupada,Regular,A nivel,3,3
-58.5222318487776,-34.6162536439074,292480,10,Lope de Vega Av.,2800.0,2816,Lagerstroemia,2.4,Ocupada,Regular,A nivel,3,3
-58.5222693779421,-34.616225218847,292481,10,Lope de Vega Av.,2800.0,2820,Lagerstroemia,2.4,Sobreocupada,Regular,A nivel,3,3
-58.5222693779421,-34.616225218847,292482,10,Lope de Vega Av.,2800.0,2822,Lagerstroemia,2.4,Sobreocupada,Regular,A nivel,3,3
-58.5223382147901,-34.6161730808757,292483,10,Lope de Vega Av.,2800.0,2826,Lagerstroemia,2.4,Sobreocupada,Regular,A nivel,3,3
-58.5224081372868,-34.6161201204995,292484,10,Lope de Vega Av.,2800.0,2832,Lagerstroemia,2.4,Ocupada,Regular,A nivel,3,2
-58.52247817160111,-34.6160670753287,292486,10,Lope de Vega Av.,2800.0,2838,Lagerstroemia,2.4,Sobreocupada,Regular,A nivel,3,4
-58.5225481136427,-34.616014099934,292487,10,Lope de Vega Av.,2800.0,2842,Lagerstroemia,2.4,Sobreocupada,Regular,A nivel,4,4
-58.5226177625716,-34.6159613464513,292488,10,Lope de Vega Av.,2800.0,2850,Lagerstroemia,2.4,Ocupada,Regular,A nivel,3,3
-58.52268763925671,-34.6159084203437,292489,10,Lope de Vega Av.,2800.0,2856,Lagerstroemia,2.4,Sobreocupada,Regular,A nivel,3,3
-58.522757147991506,-34.6158557728228,292490,10,Lope de Vega Av.,2800.0,2858,Lagerstroemia,2.4,Ocupada,Regular,A nivel,3,3
-58.522826581520995,-34.6158031821619,292491,10,Lope de Vega Av.,2800.0,2870,Lagerstroemia,2.4,Sobreocupada,Regular,A nivel,3,3
-58.5228958694719,-34.6157507016618,292493,10,Lope de Vega Av.,2800.0,2878,Lagerstroemia,2.4,Sobreocupada,Regular,A nivel,3,3
-58.5229704113621,-34.6156942415693,292494,10,Lope de Vega Av.,2800.0,2888,Lagerstroemia,2.4,Ocupada,Regular,A nivel,3,3
-58.52305380398021,-34.6156310775464,292495,10,Lope de Vega Av.,2800.0,2896,Lagerstroemia,2.4,Sobreocupada,Regular,A nivel,3,3
-58.524461023153,-34.614519849394604,280198,10,Lope de Vega Av.,3000.0,3010,Lagerstroemia,2.4,Sobreocupada,Regular,A nivel,3,2
-58.5245260604229,-34.6144673998762,280199,10,Lope de Vega Av.,3000.0,3026,Lagerstroemia,2.4,Sobreocupada,Regular,A nivel,2,2
-58.52459389633471,-34.6144126932639,280200,10,Lope de Vega Av.,3000.0,3040,Lagerstroemia,2.4,Ocupada,Regular,A nivel,3,3
-58.5246621590625,-34.6143576423618,280201,10,Lope de Vega Av.,3000.0,3052,Lagerstroemia,2.4,Sobreocupada,Regular,A nivel,3,3
-58.524695828894,-34.6143304890607,280202,10,Lope de Vega Av.,3000.0,3060,Lagerstroemia,2.4,Ocupada,Regular,A nivel,3,3
-58.5241849449381,-34.6147413448397,287690,10,Lope de Vega Av.,2990.0,2996,Lagerstroemia,2.4,Ocupada,Regular,Bajo nivel,3,5
-58.5240952712224,-34.614813625441606,287691,10,Lope de Vega Av.,2900.0,2994,Lagerstroemia,2.4,Ocupada,Regular,Bajo nivel,3,3
-58.5240272072371,-34.614865953941695,287692,10,Lope de Vega Av.,2990.0,2982,Jacaranda,2.4,Ocupada,Regular,A nivel,33,12
-58.5239586120049,-34.6149199726822,287693,10,Lope de Vega Av.,2900.0,2976,Lagerstroemia,2.4,Ocupada,Regular,A nivel,3,3
-58.523890351586296,-34.614973727652504,287694,10,Lope de Vega Av.,2900.0,2970,Lagerstroemia,2.4,Ocupada,Regular,A nivel,0,3
-58.5238734859436,-34.6149870093009,287695,10,Lope de Vega Av.,2900.0,2968,Lagerstroemia,2.4,Ocupada,Regular,A nivel,3,2
-58.5236858139333,-34.6151348000768,287696,10,Lope de Vega Av.,2900.0,2946,Lagerstroemia,2.4,Sobreocupada,Regular,A nivel,3,3
-58.5175234443231,-34.619851453984396,286613,10,Lope de Vega Av.,2200.0,2276,Tilia,3.8,Ocupada,Regular,A nivel,8,4
-58.523616876798705,-34.6151890875223,287697,10,Lope de Vega Av.,2900.0,2938,Lagerstroemia,2.4,Sobreocupada,Regular,A nivel,26,2
-58.5235147294075,-34.6152695275767,287698,10,Lope de Vega Av.,2900.0,2926,Lagerstroemia,2.4,Ocupada,Regular,A nivel,3,2
-58.5183175251723,-34.6192491627947,286649,10,Lope de Vega Av.,2300.0,2378,Ficus,3.8,Ocupada,Regular,Elevada,27,3
-58.5183175251723,-34.6192491627947,286650,10,Lope de Vega Av.,2300.0,2374,Ficus,3.8,Ocupada,Regular,Elevada,23,2
-58.518101209810105,-34.6194130646736,286653,10,Lope de Vega Av.,2300.0,2320,Lagerstroemia,3.8,Ocupada,Regular,Bajo nivel,8,3
-58.5208397784887,-34.6173185520028,310916,10,Lope de Vega Av.,2600.0,2684,Ficus,2.4,Ocupada,Regular,A nivel,40,5
-58.5207543585241,-34.6173844556054,310917,10,Lope de Vega Av.,2600.0,2678,Ficus,2.4,Ocupada,Regular,A nivel,18,3
-58.52061609947479,-34.6174911255131,310919,10,Lope de Vega Av.,2600.0,2648,Ficus,2.4,Ocupada,Regular,A nivel,20,5
-58.52054688922621,-34.6175445225867,310920,10,Lope de Vega Av.,2600.0,2638,Lagerstroemia,2.4,Ocupada,Regular,Elevada,9,4
-58.5219187280565,-34.6164912868404,310937,10,Lope de Vega Av.,2700.0,2800,Lagerstroemia,2.4,Ocupada,Regular,A nivel,3,2
-58.5218119669536,-34.6165750870731,310938,10,Lope de Vega Av.,2700.0,2790,Lagerstroemia,2.4,Ocupada,Regular,A nivel,3,3
-58.5218119669536,-34.6165750870731,310939,10,Lope de Vega Av.,2700.0,2790,Lagerstroemia,2.4,Ocupada,Regular,A nivel,2,3
